,base.py,chemkin.py,model.py,~,~,~,~,~,~,~,~,~,~
,1260,1659,234,0,0,0,0,0,0,0,0,0,0
,isMoleculeForbidden,markDuplicateReaction,checkForExistingSpecies,<gc.collect>,<method 'copy' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'generateResonanceIsomers' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'getLabeledAtoms' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'getSymmetryNumber' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'isIsomorphic' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'isSubgraphIsomorphic' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'simulate' of 'rmgpy.solver.base.ReactionSystem' objects>,<method 'split' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'update' of 'rmgpy.molecule.molecule.Molecule' objects>
,,,,,,,,,,,,,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,244.445592,538.018246,346.170593,0.0,549.368768,2425.618647,0.0,579.601591,828.350082,900.901461,0.0,238.667139,218.364485
2,262.634222,590.696532,363.491503,0.0,590.534707,2556.368122,0.0,637.044859,861.027059,976.87818,0.0,256.776888,233.993045
3,274.702563,624.065018,372.341209,0.0,625.458378,2610.659531,245.153118,707.322023,884.711213,1043.629082,0.0,272.645386,245.024133
4,297.653246,661.194793,413.511265,0.0,686.84786,2968.96196,270.82004,829.76377,986.510577,1163.352674,0.0,301.446117,267.164623
5,342.878087,715.421397,470.666546,0.0,839.677854,3634.288606,320.020857,1053.750409,1143.363134,1391.635169,0.0,366.059435,314.410496
6,343.393498,716.082179,471.157693,0.0,840.832136,3636.906746,320.593703,1057.087616,1145.482657,1394.45003,0.0,366.856105,314.918137
7,378.197993,735.379028,498.439323,0.0,970.510822,4030.972661,357.764606,1229.41221,1230.388384,1563.373158,0.0,419.649875,352.610182
8,427.069816,750.78271,536.094201,0.0,1265.225583,4777.269941,419.075841,1562.255965,1371.03471,1832.221735,0.0,548.642637,414.660408
9,446.498221,761.30448,548.678726,0.0,1370.60127,4859.170998,443.677694,1693.971418,1405.617269,1937.100368,0.0,595.633195,437.573686
10,475.024208,782.707406,567.05536,0.0,1519.237977,4956.099973,477.518612,1875.156494,1452.893171,2091.517981,0.0,652.4493,468.021262
11,477.194621,784.621702,568.91017,0.0,1525.29879,4969.582433,480.08511,1887.014442,1461.51983,2102.836001,0.0,656.77749,470.375321
12,521.88985,795.116184,600.193471,0.0,1804.092816,5672.360764,536.900021,2192.123192,1595.261431,2355.392894,0.0,783.458574,529.079771
13,565.257602,805.1825,634.447288,0.0,2079.991821,6389.87089,593.359843,2503.745776,1728.625678,2602.678259,0.0,912.10661,587.667354
14,610.18162,815.892769,667.867522,0.0,2365.83214,7097.203921,649.878562,2806.894446,1863.306901,2850.419158,0.0,1035.488515,646.137896
15,660.404924,827.127167,700.625789,0.0,2635.286382,7802.230332,706.24412,3110.795592,2000.801689,3098.281847,0.0,1163.587929,704.555324
16,704.493309,837.932249,733.92842,0.0,2922.309217,8504.845376,762.504656,3412.871507,2137.068681,3347.397705,0.0,1286.543896,763.117476
17,748.485126,848.836687,766.233718,0.0,3214.25065,9186.701202,818.843971,3716.116502,2274.032607,3595.420438,0.0,1415.244334,821.673433
18,796.032846,861.743998,800.991014,0.0,3500.927688,9933.339261,879.363896,4034.678721,2417.8971,3864.453456,0.0,1550.0576,884.718036
19,882.672782,885.169985,864.538579,0.0,4071.93979,11284.283973,991.993901,4645.188049,2685.944442,4363.952838,0.0,1800.593007,1001.318609
20,926.339432,895.970454,899.093357,0.0,4342.373326,12006.201245,1048.176454,4960.776536,2820.319911,4611.96905,0.0,1924.950099,1059.932761
21,970.351309,907.164485,930.141591,0.0,4595.108643,12725.536464,1104.620744,5272.932966,2954.930637,4862.826352,0.0,2047.241981,1118.461606
22,1013.299215,919.046963,964.387364,0.0,4850.529116,13456.061276,1160.810889,5593.099402,3089.318804,5110.105114,0.0,2171.234988,1177.139634
23,1058.135807,930.310777,998.345921,0.0,5148.456503,14143.970439,1217.139429,5902.58438,3225.292051,5357.870699,0.0,2295.01232,1235.770696
24,1102.247922,941.052609,1039.258078,0.0,5442.452229,14829.890634,1273.104319,6206.876773,3364.188757,5606.983967,0.0,2418.145559,1294.374789
25,1146.075376,951.937312,1072.405747,0.0,5723.597449,15516.802608,1329.303262,6522.045063,3501.871095,5854.889714,0.0,2549.90535,1352.972089
26,1189.493131,962.998355,1104.651058,0.0,6017.089662,16201.007903,1385.556866,6824.290995,3639.998087,6103.135346,0.0,2672.861111,1411.536407
27,1232.641361,974.250571,1145.618378,0.0,6250.666287,16937.208701,1441.595454,7125.785381,3777.251063,6351.713664,0.0,2795.585205,1470.02168
28,1319.503265,996.426773,1208.539897,0.0,6779.690055,18308.386377,1554.497391,7743.737155,4047.750666,6852.796997,0.0,3059.423617,1587.035389
29,1323.671987,998.527329,1212.080878,0.0,6804.973416,18343.241844,1559.848994,7772.854856,4069.406227,6875.978038,0.0,3071.089195,1592.371839
30,1486.620914,1074.346817,1353.765461,0.0,7793.27269,20673.58731,1763.708218,8946.366981,4858.503106,7762.31882,0.0,3516.37734,1804.286699
31,1503.886716,1094.507304,1367.929504,0.0,7839.522364,20764.458215,1781.558718,9030.8089,4899.919873,7844.327984,0.0,3539.863463,1820.67134
32,1512.565425,1106.510773,1375.174377,0.0,7867.780637,20805.607767,1790.497844,9064.789515,4916.247307,7884.671067,0.0,3551.617244,1828.932709
33,1513.150553,1107.471561,1375.812608,0.0,7869.456913,20810.702073,1791.259122,9069.239722,4918.336114,7888.324559,0.0,3552.749163,1829.611988
34,1513.243823,1107.552241,1376.076454,0.0,7869.972822,20813.456108,1791.455147,9071.019684,4918.361385,7889.309077,0.0,3553.070611,1829.763774
35,1513.333225,1107.632587,1376.33041,0.0,7870.490459,20816.192292,1791.652314,9072.774351,4918.386869,7890.29594,0.0,3553.392616,1829.916361
36,1513.424107,1107.724698,1376.601961,0.0,7871.012283,20818.943675,1791.894382,9075.287356,4918.412987,7891.611261,0.0,3553.715277,1830.070008
37,1513.608017,1107.957723,1377.194083,0.0,7872.084733,20824.572387,1792.486996,9082.350641,4918.467096,7895.016097,0.0,3554.363125,1830.383879
38,1519.347867,1115.783366,1380.128742,0.0,7880.877144,20849.405425,1796.80599,9083.376158,4941.565125,7910.912664,0.0,3560.231446,1834.655753
39,1526.221429,1116.934897,1385.679049,0.0,7931.521018,20963.260979,1806.440909,9147.343345,4985.218195,7954.688857,0.0,3581.575777,1844.456235
40,1533.19125,1118.139619,1391.339211,0.0,7982.05999,21085.735999,1816.11979,9214.109277,5029.098376,7998.536448,0.0,3602.97165,1854.248735
41,1536.57484,1118.877605,1394.513234,0.0,8005.64719,21128.322055,1820.616498,9238.367738,5053.440529,8018.717343,0.0,3612.606866,1858.954095
42,1539.137961,1119.55741,1396.766365,0.0,8026.616441,21157.746365,1823.99868,9257.242252,5070.466912,8033.610051,0.0,3620.250991,1862.482752
43,1541.211144,1119.882053,1398.568042,0.0,8035.599781,21185.462163,1826.811059,9272.527149,5085.783458,8045.802393,0.0,3627.058152,1865.490052
44,1543.281289,1120.211516,1400.319283,0.0,8044.586665,21213.129317,1829.618487,9287.610022,5101.239281,8058.007503,0.0,3633.839068,1868.49789
45,1545.346325,1120.53171,1402.084722,0.0,8053.569751,21240.797729,1832.428805,9302.761444,5116.632351,8070.210215,0.0,3640.631522,1871.504028
46,1547.428801,1120.860491,1403.803362,0.0,8062.557762,21268.387389,1835.233829,9317.759902,5132.053541,8082.413897,0.0,3647.403819,1874.526666
