,base.py,chemkin.py,model.py,model.py,poll.py,~,~,~,~,~,~,~,~,~,~,~
,1260,1659,234,1066,77,0,0,0,0,0,0,0,0,0,0,0
,isMoleculeForbidden,markDuplicateReaction,checkForExistingSpecies,removeSpeciesFromEdge,poll,<gc.collect>,<method 'copy' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'generateResonanceIsomers' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'generateResonanceIsomers' of 'rmgpy.species.Species' objects>,<method 'isCyclic' of 'rmgpy.molecule.graph.Graph' objects>,<method 'isIsomorphic' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'isIsomorphic' of 'rmgpy.species.Species' objects>,<method 'isSubgraphIsomorphic' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'simulate' of 'rmgpy.solver.base.ReactionSystem' objects>,<method 'split' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'update' of 'rmgpy.molecule.molecule.Molecule' objects>
,,,,,,,,,,,,,,,,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,101.590027,548.11309,349.282828,0.0,0.0,0.0,246.982692,904.549757,108.719126,95.676194,285.896314,119.293697,246.667716,0.0,0.0,0.0
2,112.033901,601.516799,370.774157,0.0,0.0,0.0,272.543595,974.336325,118.618967,99.617665,302.329295,128.111683,270.222369,0.0,99.830644,0.0
3,118.192927,631.546807,379.331334,0.0,0.0,0.0,285.860899,1001.093008,121.933119,100.525199,312.694902,134.031612,288.137079,0.0,107.446299,0.0
4,129.735577,672.14434,428.003539,132.447968,0.0,0.0,319.778363,1167.737159,136.896461,105.789961,362.124973,149.625979,320.875718,0.0,121.309029,0.0
5,139.38798,717.585866,469.883763,146.131296,0.0,0.0,355.519853,1333.962104,149.971985,110.455197,407.09114,176.27689,348.533653,0.0,133.143429,0.0
6,163.117417,741.500174,496.240741,159.681202,0.0,0.0,408.689611,1526.935587,173.71795,116.128556,447.017846,190.412468,401.431194,0.0,163.637451,0.0
7,173.990628,753.00777,508.396798,180.901967,0.0,0.0,471.320894,1564.166677,179.268116,117.093769,462.215339,192.640039,442.916181,0.0,187.673704,0.0
8,190.94821,774.252448,532.119361,191.262795,0.0,0.0,546.000159,1631.030531,187.131622,118.642677,489.56586,198.31224,499.993748,0.0,217.996258,0.0
9,204.12127,785.509973,549.98968,208.987813,0.0,0.0,598.435858,1785.50114,208.694835,120.337087,525.228868,204.87405,541.123321,0.0,238.200882,0.0
10,225.511077,797.653909,586.881697,221.463009,0.0,0.0,717.123417,2144.320219,246.894353,123.315769,591.988325,212.251503,626.367576,0.0,294.780689,0.0
11,247.915469,809.927064,618.834552,242.607267,0.0,0.0,834.526995,2506.087491,285.130515,126.252007,662.651825,222.533953,716.852559,0.0,352.874867,248.205197
12,270.667021,821.804877,655.961509,256.498697,0.0,0.0,985.699412,2856.937808,324.395708,129.35384,729.172799,234.338923,807.319206,0.0,412.792699,279.040462
