Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32)
4.811867387702625e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999978,1.9364715843683634e-16,6.2371040269954158e-19,1.5293236506104632e-29,6.2371040269972146e-19,1.1053886823386462e-29,3.3172012907297012e-30,1.646408131086669e-57,1.5840385357575348e-49,6.8883824816542698e-60,2.1471890028777506e-87
1.3473228685567349e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999944,5.4221204362309221e-16,1.7463891275831989e-18,9.2371148496865792e-29,1.7463891275842867e-18,6.6765476414035276e-29,2.0035895796247356e-29,5.1765705879630402e-56,1.8805705542296167e-48,1.540903611199783e-58,2.4422725683268531e-85
3.0795951281296797e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999867,1.2393418139954048e-15,3.9917465774484452e-18,4.447273175974289e-28,3.9917465774536822e-18,3.2144702883579396e-28,9.6464213538019137e-29,1.1548644211663581e-54,1.8463553309564086e-47,3.0445658859538743e-57,2.2109800822452635e-83
6.544139647275569e-18,0.11224537200000015,0.0,0.0,0.0,0.0,0.99999999999999734,2.6336013547392347e-15,8.4824614775706588e-18,1.9422410362743166e-27,8.4824614775935373e-18,1.4038436266911423e-27,4.2128456395986614e-28,2.1629332467664058e-53,1.6330803971301049e-46,5.4176423755862804e-56,1.6757261576722985e-81
1.3473228685567349e-17,0.1122453720000003,0.0,0.0,0.0,0.0,0.99999999999999456,5.4221204362237147e-15,1.7463891279381984e-17,8.1084739955279229e-27,1.7463891279477492e-17,5.860770794849059e-27,1.7587801246796344e-27,3.7359292907523659e-52,1.3727025014950445e-45,9.1376459011263898e-55,1.1651960885861814e-79
2.7331406762150906e-17,0.11224537200000062,0.0,0.0,0.0,0.0,0.9999999999999889,1.0999158599179946e-14,3.5426750889272209e-17,3.3125762001608726e-26,3.5426750889662387e-17,2.3943161024152927e-26,7.185190686606349e-27,6.2073023604776462e-51,1.1254244905642607e-44,1.5008611407445919e-53,7.7695660960050367e-78
5.504776291531802e-17,0.11224537200000123,0.0,0.0,0.0,0.0,0.99999999999997791,2.2153234925041532e-14,7.1352470134123008e-17,1.3389962636385898e-25,7.1352470135700163e-17,9.6782085080306142e-26,2.9043689580271596e-26,1.0119469386585708e-49,9.1139800336946107e-44,2.4329607724489743e-52,5.0750094496831404e-76
1.1048047522165225e-16,0.11224537200000252,0.0,0.0,0.0,0.0,0.99999999999995515,4.446138757656109e-14,1.4320390872410581e-16,5.3840450848706699e-25,1.4320390873044752e-16,3.8915650778754046e-25,1.1678339850975377e-25,1.6342969756419987e-48,7.3357251934835506e-43,3.9182089217081937e-51,3.2812143491654395e-74
2.213458998343207e-16,0.112245372000005,0.0,0.0,0.0,0.0,0.99999999999991052,8.9077692878785921e-14,2.869067863051966e-16,2.1592428863151424e-24,2.8690678633062972e-16,1.5606916532196921e-24,4.6835366144056192e-25,2.627084549684124e-47,5.8864593480425118e-42,6.2895950033790705e-50,2.110670504680966e-72
4.4307674905965767e-16,0.1122453720000101,0.0,0.0,0.0,0.0,0.99999999999982037,1.7831030347997814e-13,5.743125430718783e-16,8.6482340961925429e-24,5.7431254317374351e-16,6.2509071572584815e-24,1.875857571615444e-24,4.2131281908534191e-46,4.7163336677876509e-41,1.00797580062168e-48,1.3542620797292968e-70
