Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8)
3.928870185864125e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999989,1.5811224277004887e-16,5.0925741128988778e-19,1.019548300085033e-29,5.0925741129443086e-19,7.3692520975159283e-30
1.1000836520419551e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999956,4.4271427975610365e-16,1.4259207516208427e-18,6.1580717325132594e-29,1.4259207516482828e-18,4.451028266923472e-29
2.5144769189530404e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.999999999999999,1.0119183537280807e-15,3.2592474323193792e-18,2.9648464566467638e-28,3.2592474324514899e-18,2.1429785099934097e-28
5.34326345277521e-18,0.11224537200000013,0.0,0.0,0.0,0.0,0.99999999999999778,2.1503265016715042e-15,6.9259007938629577e-18,1.2948263411074624e-27,6.9259007944399193e-18,9.3589501642149279e-28
1.100083652041955e-17,0.11224537200000026,0.0,0.0,0.0,0.0,0.99999999999999556,4.4271427975562319e-15,1.4259207517536141e-17,5.4056450870460771e-27,1.4259207519944851e-17,3.9071774624356741e-27
2.2315982655708232e-17,0.1122453720000005,0.0,0.0,0.0,0.0,0.99999999999999101,8.9807753893172038e-15,2.8925820967226618e-17,2.2083823999121481e-26,2.8925820977066973e-17,1.5962094816120503e-26
4.4946274926285596e-17,0.11224537200000101,0.0,0.0,0.0,0.0,0.99999999999998201,1.808804057280522e-14,5.8259047875983984e-17,8.9266347503952962e-26,5.8259047915760323e-17,6.4521339377931711e-26
9.020685946744031e-17,0.11224537200000208,0.0,0.0,0.0,0.0,0.99999999999996325,3.6302570939645513e-14,1.1692550173100439e-16,3.5893605723544199e-25,1.1692550189094325e-16,2.5943746798184556e-25
1.8072802854974977e-16,0.11224537200000412,0.0,0.0,0.0,0.0,0.99999999999992673,7.2731631672783216e-14,2.3425840959106789e-16,1.4394941275785548e-24,2.3425841023249434e-16,1.0404602836110417e-24
3.617703667143687e-16,0.11224537200000823,0.0,0.0,0.0,0.0,0.99999999999985345,1.4558975313688711e-13,4.6892422591128587e-16,5.7654848717279592e-24,4.6892422848033733e-16,4.1672681525565285e-24
7.238550430436064e-16,0.11224537200001646,0.0,0.0,0.0,0.0,0.9999999999997069,2.9130599605640872e-13,9.3825586095208524e-16,2.3076964773420597e-23,9.3825587123498614e-16,1.6679932873208858e-23
1.448024395702082e-15,0.11224537200003291,0.0,0.0,0.0,0.0,0.99999999999941369,5.8273848186070701e-13,1.8769191406351371e-15,9.2337918226710036e-23,1.8769191817801355e-15,6.6741458501662668e-23
2.896363101019033e-15,0.11224537200006586,0.0,0.0,0.0,0.0,0.99999999999882683,1.165603453330324e-12,3.7542457384070514e-15,3.6941179970353633e-22,3.7542459030138452e-15,2.6700929655599671e-22
5.793040511652935e-15,0.1122453720001317,0.0,0.0,0.0,0.0,0.99999999999765354,2.3313333957136404e-12,7.5088990875741079e-15,1.4777674607032258e-21,7.5088997460549226e-15,1.0681241362450071e-21
1.158639533292074e-14,0.1122453720002634,0.0,0.0,0.0,0.0,0.99999999999530698,4.6627932782566028e-12,1.5018206400401e-14,5.9113103730071324e-21,1.5018209034431831e-14,4.2726706010694644e-21
2.3173104975456347e-14,0.11224537200052673,0.0,0.0,0.0,0.0,0.9999999999906144,9.3257130344478514e-12,3.0036823484024839e-14,2.3645722543796106e-20,3.0036834020365744e-14,1.7091031721504215e-20
4.634652426052757e-14,0.11224537200105354,0.0,0.0,0.0,0.0,0.99999999998122813,1.8651552511251617e-11,6.0074067483144169e-14,9.4583852149802873e-20,6.007410962896226e-14,6.8364835117510371e-20
9.269336283067e-14,0.11224537200210703,0.0,0.0,0.0,0.0,0.99999999996245659,3.7303231322544275e-11,1.2014859480880133e-13,3.7833733145716646e-19,1.2014876339313723e-13,2.7346083366589993e-19
1.8538703997095488e-13,0.1122453720042141,0.0,0.0,0.0,0.0,0.99999999992491284,7.4606588375869897e-11,2.4029780676924364e-13,1.5133531627543713e-18,2.4029848110995074e-13,1.0938469348729686e-18
3.7077439425152465e-13,0.11224537200842818,0.0,0.0,0.0,0.0,0.99999999984982568,1.4921330020548191e-10,4.8059685992227428e-13,6.0534202544873615e-18,4.8059955730172071e-13,4.3753998503766988e-18
7.415491028126642e-13,0.1122453720168564,0.0,0.0,0.0,0.0,0.99999999969965092,2.9842671475654417e-10,9.6119748312198964e-13,2.4213695661777715e-17,9.6120827275214104e-13,1.7501662906452986e-17
1e-12,0.11224537203371279,0.0,0.0,0.0,0.0,0.99999999959497043,4.0243687313144221e-10,1.2962067497995365e-12,4.9531172929619743e-17,1.2962288212003603e-12,3.5801286876493215e-17
1.4830985199349433e-12,0.11224537203371279,0.0,0.0,0.0,0.0,0.99999999939930162,5.9685350742598421e-10,1.9224087968166118e-12,9.6854807429827712e-17,1.9224519561949681e-12,7.0007092892933018e-17
2.2246479370572223e-12,0.11224537205056924,0.0,0.0,0.0,0.0,0.99999999909895199,8.9528026364027955e-10,2.8836301774548184e-12,2.0581647636452757e-16,2.8837218923818904e-12,1.4876570171790788e-16
3.7077467713017805e-12,0.11224537208428206,0.0,0.0,0.0,0.0,0.99999999849825305,1.4921336303376236e-09,4.8061132045590401e-12,5.6902201138808582e-16,4.8063667782163468e-12,4.1129783434687454e-16
5.042535722121883e-12,0.11224537211462364,0.0,0.0,0.0,0.0,0.99999999795762351,2.0293015425602508e-09,6.5363804520335334e-12,1.0132595716384388e-15,6.5368320020319773e-12,7.3240478504048972e-16
6.377324672941985e-12,0.1122453721449652,0.0,0.0,0.0,0.0,0.99999999741699397,2.5664693301224627e-09,8.2666821226891717e-12,1.5817124076916119e-15,8.2673870150483458e-12,1.1433023834318844e-15
7.712113623762087e-12,0.1122453721753068,0.0,0.0,0.0,0.0,0.99999999687636409,3.1036369999132909e-09,9.9970163080432402e-12,2.2674997160380111e-15,9.9980268449929394e-12,1.6390183328685342e-15
