Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13)
4.479601234326958e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999978,1.8027569361371686e-16,5.8064278540566097e-19,1.3254127901105312e-29,5.8064278540581697e-19,9.5800277268255935e-30,2.8749055285619236e-30,1.2366334992537981e-57,1.2780363337955905e-49
1.2542883456115482e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999956,5.0477194211836424e-16,1.6257997991570694e-18,8.0054932522671086e-29,1.6257997991580121e-18,5.7863367470656747e-29,1.7364429392707635e-29,3.888173581982845e-56,1.5172847389752242e-48
2.866944789969253e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999878,1.1537644391274865e-15,3.7161138267447588e-18,3.8543003936406672e-28,3.7161138267492979e-18,2.7858720630554066e-28,8.3602252773484839e-29,8.6743013681471077e-55,1.4896791611137641e-47
6.092257678684663e-18,0.11224537200000015,0.0,0.0,0.0,0.0,0.99999999999999745,2.4517494331450422e-15,7.8967418822596303e-18,1.6832742434395907e-27,7.8967418822794597e-18,1.2166635214045251e-27,3.6511300215737345e-28,1.6246006439733525e-53,1.3176043603040399e-46
1.2542883456115482e-17,0.11224537200000027,0.0,0.0,0.0,0.0,0.999999999999995,5.047719421177397e-15,1.6257997994647356e-17,7.0273386131589763e-27,1.6257997994730127e-17,5.0793307016420088e-27,1.5242749115136139e-27,2.8060935961558566e-52,1.1075258772521558e-45
2.544413501097712e-17,0.11224537200000059,0.0,0.0,0.0,0.0,0.99999999999998967,1.023965939723108e-14,3.298051022485469e-17,2.8708971198850322e-26,3.2980510225192846e-17,2.0750723264856168e-26,6.2271603733729564e-27,4.6623664565571817e-51,9.0801666216560663e-45
5.1246638120700396e-17,0.11224537200000115,0.0,0.0,0.0,0.0,0.99999999999997935,2.0623539349294335e-14,6.6425534706996961e-17,1.160462517550773e-25,6.6425534708363859e-17,8.3877741222890493e-26,2.5171177876023199e-26,7.6008339725493421e-50,7.3533549017084443e-44
1.0285164434014695e-16,0.11224537200000236,0.0,0.0,0.0,0.0,0.99999999999995826,4.1391299253244401e-14,1.3331558375819187e-16,4.6661687440557981e-25,1.3331558376368799e-16,3.3726870863057688e-25,1.0121219924780259e-25,1.227536693540358e-48,5.9186206413439336e-43
2.0606165677904006e-16,0.11224537200000466,0.0,0.0,0.0,0.0,0.99999999999991673,8.2926819060438791e-14,2.6709568220822321e-16,1.8713423658481515e-24,2.6709568223026521e-16,1.3525983707339703e-24,4.0590618786329944e-25,1.9732293083321519e-47,4.7493217497504002e-42
4.1248168165682626e-16,0.11224537200000935,0.0,0.0,0.0,0.0,0.99999999999983313,1.6599785867200455e-13,5.3465588049885192e-16,7.4951303332145404e-24,5.3465588058713492e-16,5.4174486146652357e-24,1.6257419518302214e-24,3.1645224641872262e-46,3.8052391062725784e-41
8.253217314123987e-16,0.11224537200001877,0.0,0.0,0.0,0.0,0.9999999999996656,3.3213993788384391e-13,1.0697762826423719e-15,3.0000054205192103e-23,1.0697762829957345e-15,2.1683912866004833e-23,6.5072046526931848e-24,5.0691275408320262e-45,3.0465086941920612e-40
1.6510018309235436e-15,0.11224537200003754,0.0,0.0,0.0,0.0,0.9999999999993312,6.6442409626235437e-13,2.1400171091784666e-15,1.200392936926849e-22,2.1400171105923775e-15,8.6763897099225653e-23,2.6037294954018906e-23,8.1153185833775074e-44,2.4381387111918348e-39
3.3023620299458336e-15,0.11224537200007506,0.0,0.0,0.0,0.0,0.99999999999866263,1.3289924128387025e-12,4.2804988512468659e-15,4.8023533959828984e-22,4.2804988569034411e-15,3.4711209390090004e-22,1.0416613681813601e-22,1.2988276662720915e-42,1.9508907846944407e-38
6.605082427990413e-15,0.11224537200015017,0.0,0.0,0.0,0.0,0.99999999999732458,2.6581290452687046e-12,8.5614626913684705e-15,1.9210976987837218e-21,8.5614627139967026e-15,1.3885614441497054e-21,4.1669847889676519e-22,2.0784237749516402e-41,1.5608758246900421e-37
1.3210523224079572e-14,0.11224537200030028,0.0,0.0,0.0,0.0,0.9999999999946495,5.3164023072379418e-12,1.7123391795550697e-14,7.684703483865457e-21,1.7123391886068043e-14,5.5544723176652968e-21,1.6668619028918849e-21,3.3257116032053756e-40,1.2487839493874742e-36
2.642140481625789e-14,0.11224537200060059,0.0,0.0,0.0,0.0,0.99999999998929867,1.0632948819613329e-11,3.4247255699669194e-14,3.0739439298584185e-20,3.4247256061751824e-14,2.2218345528256666e-20,6.6675845617240826e-21,5.3213060201956271e-39,9.9908928831986619e-36
5.2843168000614525e-14,0.11224537200120117,0.0,0.0,0.0,0.0,0.99999999997859723,2.1266041798111767e-11,6.8495006290906824e-14,1.2295900772793698e-19,6.8495007739299193e-14,8.8874319975571083e-20,2.667061993468492e-20,8.5141615094909538e-38,7.9934238205299355e-35
1.0568669436932779e-13,0.1122453720024024,0.0,0.0,0.0,0.0,0.9999999999571938,4.253222757009925e-11,1.3699059860526019e-13,4.9183853035985836e-19,1.3699060439923576e-13,3.5549935834961179e-19,1.0668310539729282e-19,1.3622517236954799e-36,6.3957604591856475e-34
2.1137374710675434e-13,0.11224537200480482,0.0,0.0,0.0,0.0,0.99999999991438748,8.5064598374036655e-11,2.739821477604835e-13,1.9673591073050034e-18,2.7398217093945792e-13,1.4220032120105475e-18,4.2673417115440417e-19,2.1795278834667914e-35,5.1181970867774366e-33
4.2274785258160743e-13,0.11224537200960964,0.0,0.0,0.0,0.0,0.99999999982877474,1.7012933702176016e-10,5.4796670416902901e-13,7.8694462966280598e-18,5.4796679690915059e-13,5.6880373788834591e-18,1.7069441697357574e-18,3.4869813007882622e-34,4.0970814204742213e-32
8.454960635313136e-13,0.11224537201921926,0.0,0.0,0.0,0.0,0.99999999965754915,3.402588024765953e-10,1.0959416493147786e-12,3.1477804086666418e-17,1.0959420204683468e-12,2.2752302365038032e-17,6.8278235373768923e-18,5.5783086824200967e-33,3.2816958902947752e-31
1e-12,0.11224537203843851,0.0,0.0,0.0,0.0,0.99999999959497043,4.0243687392926019e-10,1.2962170996329712e-12,4.8734339254754401e-17,1.2962176745396095e-12,3.5225609264725667e-17,1.0570986318196965e-17,2.0863742311725322e-32,7.4912991476008152e-31
1.690992485430726e-12,0.11224537203843851,0.0,0.0,0.0,0.0,0.9999999993150982,6.8051768602376171e-10,2.1919148684110352e-12,1.2591124746961284e-16,2.1919163545685009e-12,9.1010345444741485e-17,2.7311642976948089e-17,8.9225235319588989e-32,2.6318031225942736e-30
2.5364889073301385e-12,0.11224537205765779,0.0,0.0,0.0,0.0,0.99999999897264713,1.0207765221792175e-09,3.2879114157083451e-12,2.6756141304248056e-16,3.2879145760588377e-12,1.9339862811047948e-16,5.8037746343152543e-17,3.4012234903527463e-31,7.5375918040118677e-30
4.227481751128963e-12,0.11224537209609636,0.0,0.0,0.0,0.0,0.99999999828774455,1.7012940050393593e-09,5.4799978194039814e-12,7.3972858623902522e-16,5.4800065729952024e-12,5.3470196341051709e-16,1.6046087468078432e-16,2.7954672105593517e-30,3.4818131732574685e-29
5.749375310547906e-12,0.11224537213069105,0.0,0.0,0.0,0.0,0.99999999767133219,2.3137595864668334e-09,7.4529509504355185e-12,1.3172373790316584e-15,7.4529665570511985e-12,9.5215948711446964e-16,2.8573748975830701e-16,8.1512721438346e-30,7.8643882680340947e-29
7.2712688699668484e-12,0.11224537216528582,0.0,0.0,0.0,0.0,0.99999999705491893,2.92622500583552e-09,9.4259838532367157e-12,2.0562260091440447e-15,9.4260082454061906e-12,1.4863559738806583e-15,4.4604688457195469e-16,1.864656296549155e-29,1.4911090728696784e-28
8.793162429385791e-12,0.11224537219988052,0.0,0.0,0.0,0.0,0.99999999643850568,3.5386902721011199e-09,1.1399092105955831e-11,2.9477494293085385e-15,1.139912711492627e-11,2.1308289257533414e-15,6.3944972588080177e-16,3.6866359230639575e-29,2.5005776772302946e-28
1e-11,0.11224537226907007,0.0,0.0,0.0,0.0,0.99999999594969979,4.0243654781202018e-09,1.2963776523247651e-11,3.7371433991147647e-15,1.2963820944728982e-11,2.7014821774825578e-15,8.1069973726306325e-16,5.8371696696820888e-29,3.5034866079829271e-28
1.1836949548223676e-11,0.11224537226907007,0.0,0.0,0.0,0.0,0.9999999952056785,4.7636204552101479e-09,1.5345480436229686e-11,5.0786489716500517e-15,1.5345540871584096e-11,3.6712702456984237e-15,1.1017280826709901e-15,1.0308771853113537e-28,5.3737071618684555e-28
1.488073666706156e-11,0.11224537233825957,0.0,0.0,0.0,0.0,0.99999999397285033,5.988550072268681e-09,1.9292147265604177e-11,7.7733789300602756e-15,1.9292239944998395e-11,5.6193731833906723e-15,1.6863440212556464e-15,2.3075647637596385e-28,9.8341592311587187e-28
1.7924523785899445e-11,0.11224537240744921,0.0,0.0,0.0,0.0,0.99999999274002105,7.2134790849821393e-09,2.3239111464249722e-11,1.1070182418081e-14,2.3239243707703166e-11,8.0028171729816858e-15,2.4016042372218286e-15,4.5577896305977663e-28,1.6374855057802299e-27
2.4012098023575215e-11,0.1122453725458286,0.0,0.0,0.0,0.0,0.9999999902743586,9.6633352633850102e-09,3.1133948597025353e-11,1.9503934900721751e-14,3.1134182597419814e-11,1.4100443436118557e-14,4.2314757885349376e-15,1.4528955450398201e-27,3.8354367078198161e-27
3.009967226125098e-11,0.11224537268420814,0.0,0.0,0.0,0.0,0.9999999878086917,1.2113188986728987e-08,3.902999347659672e-11,3.0383564708885374e-14,3.9030359556291577e-11,2.1967031822694996e-14,6.5922096208400658e-15,3.5009994854463292e-27,7.471167171604343e-27
4.227482073660252e-11,0.11224537296096783,0.0,0.0,0.0,0.0,0.99999998287734337,1.7012889063206008e-08,5.4825707905512564e-11,5.9485325660828196e-14,5.482643111753076e-11,4.301202232674283e-14,1.2907753487278622e-14,1.3926433666974032e-26,2.1177276110055473e-26
6.66251176873056e-11,0.11224537351448965,0.0,0.0,0.0,0.0,0.99999997301458965,2.6812259733281335e-08,8.6431629684693126e-11,1.4705986805562429e-13,8.643345156183087e-11,1.0635901889762559e-13,3.1918146301176419e-14,9.0968956099380277e-26,8.9509239157684513e-26
9.999999999999999e-11,0.1122453746215428,0.0,0.0,0.0,0.0,0.99999995949642839,4.0243360316935874e-08,1.2978254756021473e-10,3.3071458210477947e-13,1.2978676258036223e-10,2.3926995680830241e-13,7.1805155683218742e-14,5.31167606492521e-25,3.5021236940638768e-25
1.1532571158871175e-10,0.1122453746215428,0.0,0.0,0.0,0.0,0.99999995328885505,4.6410883129659909e-08,1.4970139639320474e-10,4.3969705332987048e-13,1.4970705408878529e-10,3.1815689054012463e-13,9.5479516086584792e-14,8.6293464012990754e-25,5.3464224870993705e-25
1.640263054901179e-10,0.11224537572860868,0.0,0.0,0.0,0.0,0.99999993356281647,6.6009349257449445e-08,2.1304832808881696e-10,8.8898454991563082e-13,2.1306013725982605e-10,6.4352104601244224e-13,1.9312418555580992e-13,3.2466708331315972e-24,1.6220839780529969e-24
2.1272689939152407e-10,0.1122453768356873,0.0,0.0,0.0,0.0,0.99999991383647435,8.560765810210573e-08,2.7647233296123651e-10,1.4949219271280653e-12,2.7649279208492731e-10,1.0825835587955805e-12,3.248930334004136e-13,8.6430429549595741e-24,3.7226047845625185e-24
2.614274932929302e-10,0.11224537794277872,0.0,0.0,0.0,0.0,0.99999989410982792,1.0520580964900702e-07,3.3997331609650953e-10,2.2575083275257948e-12,3.4000511223784252e-10,1.6354805074229555e-12,4.908282730234545e-13,1.891652430853322e-23,7.2876074472902836e-24
