Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25)
4.648701895402717e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999978,1.8708092858248266e-16,6.0256149506885907e-19,1.4273676201190307e-29,6.025614950690273e-19,1.0316952936585801e-29,3.096052107683423e-30,1.4342021647977213e-57,1.4283025968035123e-49,6.0005323862042001e-60
1.3016365307127607e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999944,5.238266000309051e-16,1.687172186215656e-18,8.621300425518382e-29,1.6871721862166718e-18,6.2314395737682494e-29,1.8700154730624255e-29,4.5093610772295751e-56,1.6956808469133073e-48,1.3422950956802322e-58
2.9751692130577387e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999889,1.1973179429275645e-15,3.8563935686006523e-18,4.1507850393052949e-28,3.8563935686055426e-18,3.0001699140647896e-28,9.0033195294679534e-29,1.0060136497522692e-54,1.6648295187487145e-47,2.652148925357261e-57
6.3222345777476944e-18,0.11224537200000013,0.0,0.0,0.0,0.0,0.99999999999999756,2.544300628720142e-15,8.194836333736254e-18,1.8127568775502928e-27,8.1948363337576072e-18,1.3102530230555567e-27,3.9319861770933224e-28,1.8841522259785574e-53,1.4725228698577621e-46,4.7193573527141723e-56
1.3016365307127606e-17,0.1122453720000003,0.0,0.0,0.0,0.0,0.99999999999999467,5.2382660003023252e-15,1.687172186546989e-17,7.5679031218632076e-27,1.6871721865559028e-17,5.4700484479602303e-27,1.6415268277955873e-27,3.2544044067941434e-52,1.2377442219959994e-45,7.9598861187727026e-55
2.6404626765887428e-17,0.1122453720000006,0.0,0.0,0.0,0.0,0.99999999999998934,1.0626196743454819e-14,3.4225492934786896e-17,3.0917353598759388e-26,3.4225492935151066e-17,2.2346932747080285e-26,6.7061727098821479e-27,5.4072415689825052e-51,1.0147775334406094e-44,1.3074137337050106e-53
5.318114968340708e-17,0.1122453720000012,0.0,0.0,0.0,0.0,0.99999999999997857,2.1402058229712302e-14,6.8933035096819858e-17,1.2497288650544757e-25,6.8933035098291897e-17,9.032987516564028e-26,2.7107422328801489e-26,8.8151683878835152e-50,8.2179321945456353e-44,2.1193741598278859e-52
1.0673419551844638e-16,0.11224537200000244,0.0,0.0,0.0,0.0,0.99999999999995659,4.2953781202037246e-14,1.3834811951448157e-16,5.0251048012892243e-25,1.3834811952040049e-16,3.6321245546865617e-25,1.0899775304234502e-25,1.4236520212369809e-48,6.6145077881050333e-43,3.4131872540950699e-51
2.1384028718852496e-16,0.11224537200000487,0.0,0.0,0.0,0.0,0.9999999999999134,8.605722714592714e-14,2.7717828872418814e-16,2.0152917786043893e-24,2.7717828874792565e-16,1.4566443994152039e-24,4.3712974082601218e-25,2.2884789545812363e-47,5.3077275601310604e-42,5.4789230754020051e-50
4.2805247052868213e-16,0.1122453720000097,0.0,0.0,0.0,0.0,0.99999999999982692,1.7226411903066676e-13,5.5483862864113385e-16,8.0716788203743785e-24,5.5483862873620776e-16,5.8341754324858181e-24,1.7507990254497506e-24,3.6700970380104683e-46,4.2526435965034672e-41,8.7805681534063178e-49
8.564768372089966e-16,0.11224537200001947,0.0,0.0,0.0,0.0,0.99999999999965317,3.4467790278798514e-13,1.1101593144651549e-15,3.2307750682430384e-23,1.1101593148456984e-15,2.335190617386075e-23,7.0077588599635099e-24,5.8789880864333655e-45,3.4047048420311016e-40,1.4060365973973293e-47
1.7133255705696252e-15,0.11224537200003896,0.0,0.0,0.0,0.0,0.999999999999306,6.8950547025397911e-13,2.2208007100737155e-15,1.292730855145253e-22,2.220800711596389e-15,9.3438043113734492e-23,2.8040163822381535e-23,9.4118485553457669e-44,2.7248053162100693e-39,2.2505795749466586e-46
3.4270230372908825e-15,0.11224537200007792,0.0,0.0,0.0,0.0,0.99999999999861189,1.3791606049913959e-12,4.4420835971329094e-15,5.1717651956199682e-22,4.4420836032246061e-15,3.7381302487149e-22,1.1217891677938257e-22,1.5063326089319638e-42,2.1802689414385928e-38,3.601677144004856e-45
6.854417970733398e-15,0.11224537200015582,0.0,0.0,0.0,0.0,0.99999999999722367,2.7584708736879451e-12,8.8846497546195535e-15,2.0688744448008674e-21,8.8846497789884261e-15,1.4953738682951269e-21,4.4875220969086977e-22,2.4104794231334806e-41,1.7443978829941965e-37,5.7633244063832374e-44
1.3709207837618429e-14,0.11224537200031162,0.0,0.0,0.0,0.0,0.99999999999444744,5.517091407967908e-12,1.7769783603065593e-14,8.2758345207407237e-21,1.7769783700545877e-14,5.9817394619435906e-21,1.7950820624544069e-21,3.8570376011881716e-40,1.3956119406849033e-36,9.2219631998142458e-43
2.741878757138849e-14,0.11224537200062326,0.0,0.0,0.0,0.0,0.99999999998889455,1.1034332464075276e-11,3.5540057433846483e-14,3.3104011549560107e-20,3.5540057823782119e-14,2.3927449373793664e-20,7.1804757873490233e-21,6.1714532375148103e-39,1.1165598690483874e-35,1.4756076737459611e-41
