Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550)
6.455792478921888e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999978,2.5980492594865588e-16,8.3679531522943064e-19,2.7527804102294846e-29,8.3679531522975496e-19,1.9896980663506005e-29,5.9709576362744186e-30,5.3343539691850729e-57,3.825373268776419e-49,2.2318306693597282e-59,1.3516189508869796e-86,2.2403656201155918e-89,9.5634801170244441e-98,9.1081151670801518e-100,2.0529642295162513e-100,2.0677846801671848e-67,8.5881955462157452e-69,1.8073484766935509e-96,6.7759519969235538e-88,1.0781212722303557e-84,5.8696968034432418e-98,1.1233781307183418e-113,-2.0388345674186243e-184
1.8076218940981286e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999922,7.2745379265614676e-16,2.3430268826864738e-18,1.6626793677784569e-28,2.3430268826884332e-18,1.2017776320946241e-28,3.6064584123676968e-29,1.6772062368780506e-55,4.5414831595249397e-48,4.9925159497087237e-58,1.5283530823426262e-84,1.7287664859537492e-87,1.3378920843515864e-95,1.2741894457754175e-97,2.8720161607997026e-98,1.1909381181112865e-65,4.9463609162887259e-67,3.6834973817684663e-94,7.0924425256765762e-86,1.1284780004211385e-82,1.1117641013694043e-95,4.1283102641840843e-111,3.9752866494335975e-181
4.1317071865100084e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999833,1.662751526070771e-15,5.3554900177768372e-18,8.0050854329450662e-28,5.3554900177862673e-18,5.786041977230471e-28,1.7363544807155247e-28,3.7417548480221826e-54,4.4588551264005855e-47,9.8643702695875848e-57,1.3828860640108713e-82,1.8840942793427253e-85,2.90872835513849e-93,2.7702369329695435e-95,6.2440991392757742e-96,5.3406663922907232e-64,2.2181558438659297e-65,6.6678037325264449e-92,6.3712500429490118e-84,1.0137290851595559e-80,1.9980014456447348e-93,1.4945213098737821e-108,6.6625131433966121e-177
8.779877771333767e-18,0.1122453720000002,0.0,0.0,0.0,0.0,0.99999999999999656,3.5333469928985876e-15,1.1380416288662666e-17,3.4960311209890946e-27,1.1380416288703847e-17,2.5269165445576206e-27,7.5831161989667267e-28,7.0078927092804487e-53,3.9438069168874689e-46,1.7553120069760647e-55,1.0477460038785234e-80,1.5413060986498501e-83,4.7662202486823891e-91,4.5393066702152542e-93,1.0231572789528329e-93,2.0092921739341893e-62,8.3452566476202174e-64,1.0112496503045203e-89,4.8043927286132293e-82,7.6442649359484931e-79,3.0164939051573159e-91,4.5353890319371276e-106,7.9788986698231216e-173
1.8076218940981283e-17,0.11224537200000043,0.0,0.0,0.0,0.0,0.99999999999999267,7.2745379265484957e-15,2.3430268833254729e-17,1.4595241735015569e-26,2.3430268833426645e-17,1.0549379150422106e-26,3.1658017395610914e-27,1.2104391870405612e-51,3.3150074340672896e-45,2.9605903378253311e-54,7.2839771779722291e-79,1.1092891851370392e-81,6.8663076394856125e-89,6.5394617887152191e-91,1.4739911640896081e-91,6.9575408437153111e-61,2.8896974083519622e-62,1.4067272987479247e-87,3.3311384479494346e-80,5.3001706928554401e-77,4.1854462406949805e-89,1.2621522816995163e-103,7.8822470440450623e-169
3.666890128027632e-17,0.11224537200000083,0.0,0.0,0.0,0.0,0.99999999999998535,1.475691979382541e-14,4.7529973933720507e-17,5.9626324797555602e-26,4.7529973934422834e-17,4.3097656018658263e-26,1.2933333085320264e-26,2.0111627979496651e-50,2.7178435234166971e-44,4.8627787704487105e-53,4.8564975615478098e-77,7.5191231901678514e-80,9.3123203711235975e-87,8.8691769686384791e-89,1.9991077092811208e-89,2.3148176465984143e-59,9.6142051989063505e-61,1.8763032797722686e-85,2.2179243943762498e-78,3.5289361320244415e-75,5.575156707211713e-87,3.3674019207308577e-101,7.0832062745427408e-165
7.38542659588664e-17,0.11224537200000168,0.0,0.0,0.0,0.0,0.99999999999997025,2.972168352828762e-14,9.5729384179778587e-17,2.4101913826008688e-25,9.5729384182617476e-17,1.7420761644296577e-25,5.227860022154885e-26,3.2787029031366515e-49,2.2009803843992801e-43,7.8827747502832113e-52,3.172060478029468e-75,4.9509282006964899e-78,1.2265625947399409e-84,1.1682302679710923e-86,2.6331847271378292e-87,7.5521046941912937e-58,3.1366394640167688e-59,2.4513568608470117e-83,1.4476422675360573e-76,2.3033402180637483e-73,7.2789364808961087e-85,8.7995204632222352e-99,6.0755055587802379e-161
1.4822499531604653e-16,0.1122453720000034,0.0,0.0,0.0,0.0,0.99999999999993983,5.9651210996845585e-14,1.9212820485240088e-16,9.6912735453097768e-25,1.9212820486381589e-16,7.0048116453737354e-25,2.1020995242475826e-25,5.2951137887929352e-48,1.771540871473313e-42,1.2694968338375275e-50,2.0508234328995151e-73,3.2136896178916917e-76,1.5924232936988543e-82,1.5167845992064614e-84,3.4188243083631863e-85,2.4400860947934342e-56,1.0134486437096816e-57,3.1699411789519955e-81,9.3561199659977179e-75,1.4886485123100653e-71,9.409478708505144e-83,2.2758784711756473e-96,5.0923442991320438e-157
2.9696645403040684e-16,0.1122453720000068,0.0,0.0,0.0,0.0,0.99999999999987954,1.195102659324957e-13,3.8492584691966997e-16,3.8866341444242607e-24,3.8492584696544944e-16,2.8092427736649745e-24,8.4303592976947702e-25,8.5117402589638961e-47,1.4215505868761828e-41,2.0378244091209943e-49,1.3191939663506419e-71,2.0713071435775148e-74,2.0525793175347916e-80,1.9553235611909219e-82,4.4072887581103689e-83,7.8459466728168857e-55,3.2586816766033475e-56,4.0782664359692433e-79,6.0172831105453245e-73,9.5740552978103666e-70,1.2103648670608027e-80,5.8561364750624626e-94,4.2195728188431397e-153
5.944493714591274e-16,0.11224537200001349,0.0,0.0,0.0,0.0,0.99999999999975953,2.3922837579793288e-13,7.7052113394230697e-16,1.5566809153362366e-23,7.7052113412566408e-16,1.1251624075320246e-23,3.3765409859344446e-24,1.365051288453017e-45,1.1389713154829681e-40,3.2658352727832676e-48,8.4642454478371905e-70,1.3303095300933127e-72,2.6359894418518763e-78,2.5117067021502617e-80,5.6613733411734347e-81,2.5167470671833026e-53,1.0452884207322869e-54,5.2335002788495601e-77,3.8604974657248697e-71,6.14238392800575e-68,1.5530882923991599e-78,1.5030094882122487e-91,3.4764041681411323e-149
