Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535),C5H7(806),C5H8(470)
6.805002778259243e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999978,2.7385843777637654e-16,8.820597104953041e-19,3.0586449002549661e-29,8.8205971049566425e-19,2.2107756292803886e-29,6.6343973736442137e-30,6.5856221840003266e-57,4.4803305299780329e-49,2.7553465056747793e-59,1.854072634229566e-86,3.0732038674079825e-89,1.382824772789059e-97,1.3169816693706339e-99,2.9684695554981644e-100,2.6909091769366755e-67,1.1176238237022379e-68,2.6133231410263279e-96,9.2948586923422031e-88,1.4789043514353555e-84,8.4872478585359715e-98,1.7122056549434606e-113,-4.0439490442342829e-184,-4.657554721558561e-155,-1.7557833850081581e-163,-3.0956460360809992e-140
1.905400777912588e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999922,7.668036257737548e-16,2.4697671894358164e-18,1.8474215197538217e-28,2.4697671894379923e-18,1.3353084801074458e-28,4.0071760137489739e-29,2.0706249836972923e-55,5.3190484235029764e-48,6.1635999396063895e-58,2.0965062861447468e-84,2.3714217909891293e-87,1.9345156883132823e-95,1.8424054954010294e-97,4.1527720819504511e-98,1.5498259281331223e-65,6.436940997396604e-67,5.3261277934001168e-94,9.7290021054906151e-86,1.5479807961200512e-82,1.6075476826964745e-95,6.2921967155830334e-111,7.884826385970269e-181,8.6979031212518631e-152,5.9002555177121738e-160,3.0025837867979159e-137
4.355201778085915e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999833,1.7526940017681139e-15,5.6451821475127031e-18,8.8945393699387817e-28,5.6451821475231793e-18,6.4289355302787393e-28,1.9292827563575442e-28,4.6194504291962436e-54,5.2222733204520149e-47,1.2178234908337527e-56,1.8969630515671655e-82,2.5844914661466823e-85,4.2058549561160879e-93,4.0056051047479834e-95,9.0286123504855981e-96,6.9500699675354742e-64,2.8865945147730832e-65,9.6412651106696937e-92,8.7397120195560961e-84,1.3905748766416989e-80,2.8889964977182881e-93,2.2778864665362701e-108,1.3214835464924319e-176,3.6206339634779311e-148,4.9141932017026963e-156,6.1997078344227665e-134
9.254803778432569e-18,0.11224537200000022,0.0,0.0,0.0,0.0,0.99999999999999623,3.7244747537552409e-15,1.1996012064449921e-17,3.884479023321054e-27,1.1996012064495676e-17,2.8076850495285072e-27,8.4256846655801541e-28,8.6517193924400376e-53,4.619041676408044e-46,2.167051863330136e-55,1.4372373180195756e-80,2.1142744827424539e-83,6.8916806400489001e-91,6.5635793640142916e-93,1.4794272540144591e-93,2.6147900218705078e-62,1.0860089982767235e-63,1.4622095023799137e-89,6.5903878732374529e-82,1.0485960129812202e-78,4.3616786927889686e-91,6.9126490433034717e-106,1.5825834651951669e-172,1.0248610827854463e-144,2.7821923859033879e-152,8.7324768461617315e-131
1.905400777912588e-17,0.11224537200000047,0.0,0.0,0.0,0.0,0.99999999999999223,7.6680362577231334e-15,2.4697671901458151e-17,1.6216935261127046e-26,2.4697671901649166e-17,1.1721532389526345e-26,3.5175574884529664e-27,1.4943693661165731e-51,3.8825829560867126e-45,3.6550498097110047e-54,9.9917382603678105e-79,1.5216586888500258e-81,9.9282822246140179e-89,9.4556899433340679e-91,2.1313074190253945e-91,9.0541876424722072e-61,3.7605043432975552e-62,2.0340477006979538e-87,4.5694629522495608e-80,7.2704673402426487e-77,6.0519173212269798e-89,1.9237193793591034e-103,1.563412940195931e-168,2.4505601391391957e-141,1.3305512000979567e-148,1.0411551178659269e-127
3.8652415780512495e-17,0.11224537200000088,0.0,0.0,0.0,0.0,0.99999999999998446,1.5555159265633473e-14,5.0100991588009756e-17,6.6251471997272866e-26,5.0100991588790118e-17,4.7886284466556896e-26,1.4370370095224593e-26,2.4829170325090247e-50,3.1831762617683589e-44,6.0034306138323358e-53,6.6618622501244095e-77,1.0314297911742828e-79,1.3465063446723312e-86,1.2824325626705294e-88,2.8905960853951633e-89,3.0123852368261411e-59,1.251143468657875e-60,2.7130278802996366e-85,3.042420376053623e-78,4.8407903012434214e-75,8.0613596737929702e-87,5.1324522748725492e-101,1.404926229164221e-164,5.4141478997181503e-138,5.8794100624035995e-145,1.1484109896440636e-124
7.784923178328574e-17,0.11224537200000177,0.0,0.0,0.0,0.0,0.99999999999996858,3.1329405281352357e-14,1.0090763101125357e-16,2.6779904251111758e-25,1.0090763101440789e-16,1.9356401828114614e-25,5.8087333582934849e-26,4.0477813553828527e-49,2.5778189554380656e-43,9.7318207871350846e-52,4.3512489750371639e-75,6.7913966867062822e-78,1.7735338845977032e-84,1.6891945433932487e-86,3.8074353957587627e-87,9.8279226026329105e-58,4.0818620921490133e-59,3.5445226860009223e-83,1.985791969977494e-76,3.1595887721669091e-73,1.052492843392496e-84,1.3411858789554346e-98,1.2050525789590148e-160,1.151220000519492e-134,2.5003204778402744e-141,1.2198344083840751e-121
1.562428637888322e-16,0.11224537200000358,0.0,0.0,0.0,0.0,0.99999999999993672,6.287789731238296e-14,2.0252091005830355e-16,1.0768081717003622e-24,2.0252091007098695e-16,7.7831240513154581e-25,2.3356661383294393e-25,6.5371774959809407e-48,2.0748534261256863e-42,1.5672800765974711e-50,2.8132009123125945e-73,4.4083533570134537e-76,2.3025382474714836e-82,2.193184281091236e-84,4.9434255439470865e-85,3.1754031779212519e-56,1.3188502024971017e-57,4.583554811136018e-81,1.2834185165013902e-74,2.04204184943024e-71,1.3605571555962943e-82,3.4687982277060382e-96,1.0100461519563245e-156,2.4021258432609326e-131,1.0434335788781257e-137,1.2716939873828795e-118
3.1303012779992517e-16,0.11224537200000714,0.0,0.0,0.0,0.0,0.99999999999987321,1.259748813728155e-13,4.0574746895465305e-16,4.3184823826878145e-24,4.0574746900551924e-16,3.1213808603501028e-24,9.3670658885468259e-25,1.0508321239686595e-46,1.6649399520032006e-41,2.5158327158254673e-49,1.8095939750866009e-71,2.8412992005100816e-74,2.9678735589038308e-80,2.8272866655637668e-82,6.3726888902913602e-83,1.0210313469670473e-54,4.2406815554117333e-56,5.8969416334943759e-79,8.254162447132725e-73,1.3133134767351316e-69,1.7501188636580126e-80,8.9256770498287934e-94,8.3693497303178356e-153,4.9655680517342959e-128,4.313884239673372e-134,1.3131308412538097e-115
6.266046558221111e-16,0.11224537200001429,0.0,0.0,0.0,0.0,0.99999999999974598,2.5216884948716591e-13,8.1220058995635021e-16,1.7296454614800511e-23,8.1220059016008015e-16,1.2501804533921217e-23,3.751712208371964e-24,1.6852484825544976e-45,1.3339792140989651e-40,4.0318957576752926e-48,1.1610762662299522e-69,1.8248415587767848e-72,3.8113895993669806e-78,3.631784998997749e-80,8.1860237705150585e-81,3.2751658137413496e-53,1.360284841538541e-54,7.5673444563283239e-77,5.2956092626810457e-71,8.4257666128416422e-68,2.2456775770544277e-78,2.290823975249743e-91,6.895297893475019e-149,1.0216861843314251e-124,1.7751971760020132e-130,1.3486796787589876e-112
1.2537537118664828e-15,0.11224537200002849,0.0,0.0,0.0,0.0,0.99999999999949241,5.0455678568980831e-13,1.6251068447957378e-15,6.9230894317192653e-23,1.6251068456111894e-15,5.0039799230103255e-23,1.5016626216397165e-23,2.6995348416919483e-44,1.0679964050542727e-39,6.4562976039254089e-47,7.4403050760489824e-68,1.1699534661865895e-70,4.8847038080123257e-76,4.6569288762866302e-78,1.0496692474363923e-78,1.049313117928821e-51,4.3581445420212852e-53,9.6985573149487349e-75,3.393360143343071e-69,5.3990786387231782e-66,2.8780126513019681e-76,5.872017000217429e-89,5.6645407961062527e-145,2.0972746410282043e-121,7.2880729198386297e-127,1.3798847949638493e-109
2.508051823955226e-15,0.11224537200005705,0.0,0.0,0.0,0.0,0.99999999999898392,1.0093326579908578e-12,3.2509194058184796e-15,2.7701375465556781e-22,3.250919409081353e-15,2.002243803906567e-22,6.0086066037173277e-23,4.3217655796320754e-43,8.5472477880562232e-39,1.0334316718456849e-45,4.7648197895275224e-66,7.4942788106485392e-69,6.2514922285897362e-74,5.9661461566349048e-76,1.3447660987271148e-76,3.3598182575994882e-50,1.3954434334017279e-51,1.242209642969711e-72,2.1731137171299907e-67,3.4575189141009324e-64,3.6861367713741367e-74,1.504201657735687e-86,4.6466351936709244e-141,4.3001868678324791e-118,2.9886222109726714e-123,1.4058508773654975e-106
5.016648048132714e-15,0.11224537200011404,0.0,0.0,0.0,0.0,0.99999999999796829,2.0188844021760203e-12,6.5025447332398282e-15,1.108235398914077e-21,6.502544746293489e-15,8.0102792876076234e-22,2.4038339872773505e-22,6.9168282415418388e-42,6.8391459671752319e-38,1.6538386244258989e-44,3.0504641355421917e-64,4.7984370942614765e-67,7.9889353904010489e-72,7.640035251775522e-74,1.7220597522431357e-74,1.0754637746573198e-48,4.4667544904767591e-50,1.5905442654255996e-70,1.3912647422785602e-65,2.2134856803376399e-62,4.7197404677720968e-72,3.8520106148878974e-84,3.8086130604031134e-137,8.8118055378504754e-115,1.224816393597338e-119,1.4227877000906206e-103
1.0033840496487687e-14,0.1122453720002281,0.0,0.0,0.0,0.0,0.99999999999593592,4.0379878888785904e-12,1.3005796209585855e-14,4.4333023805372769e-21,1.3005796261805071e-14,3.2043727215068698e-21,9.6161192294575227e-22,1.1068511427120091e-40,5.4719148682395878e-37,2.6464477807567571e-43,1.9526249304045985e-62,3.0716629067033389e-65,1.0186064110151615e-69,9.7813741659471337e-72,2.2047162705945268e-72,3.4419942310612962e-47,1.4295723039460672e-48,2.036245776127757e-68,8.9060602663456785e-64,1.4168446050524222e-60,6.0422833831363392e-70,9.8628467513017688e-82,3.1201020188212033e-133,1.8051442622899004e-111,5.018023650062289e-116,1.4225403575567621e-100
2.0068225393197634e-14,0.11224537200045617,0.0,0.0,0.0,0.0,0.99999999999187184,8.0761948556127211e-12,2.601230244829041e-14,1.7733931106441609e-20,2.6012302657178348e-14,1.2818014305501597e-20,3.8466047798563089e-21,1.7710834024618885e-39,4.3778654543370228e-36,4.2346495312729021e-42,1.2498033113164408e-60,1.9660662232316538e-63,1.2933295011258746e-67,1.2521456628357236e-69,2.8223290765497434e-70,1.1015165663018687e-45,4.5749505420985754e-47,2.6066663360158627e-66,5.7010905929923759e-62,9.0684663831777097e-59,7.7349385354741155e-68,2.5251542935839371e-79,2.5547626403641824e-129,3.6973188930609215e-108,2.0554506926866355e-112,1.3904673728016247e-97
