Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535),C5H7(806),C5H8(470),C7H9(588),C5H9(108)
7.028176648291534e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999967,2.8283977832700876e-16,9.1098735176287137e-19,3.2625545602719527e-29,9.109873517632554e-19,2.3581606712337398e-29,7.0766905318912286e-30,7.4929745736659469e-57,4.9357498394414655e-49,3.1349720244470287e-59,2.2501574838187216e-86,3.7297312705539685e-89,1.733275777230061e-97,1.6507460346702768e-99,3.7207726286105712e-100,3.1620654051947665e-67,1.3133106309264008e-68,3.2756209994481063e-96,1.1280515901388421e-87,1.7948421402539875e-84,1.0638182044112612e-97,2.2165157485397041e-113,-6.1516607427563112e-184,-6.6422611382521292e-155,-2.5860878641789987e-163,-4.2745934659635931e-140,0.0,-1.8879490907490649e-126
1.9678894615216294e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999922,7.9195137931551834e-16,2.5507645849882697e-18,1.9705829544040642e-28,2.5507645849905908e-18,1.4243290454495158e-28,4.2743210813370735e-29,2.3559110924875258e-55,5.8597222302210992e-48,7.0128070436286532e-58,2.5443821478433606e-84,2.8780277495504684e-87,2.4247823370322472e-95,2.3093286997297948e-97,5.2052144743470729e-98,1.8211877953213891e-65,7.5639968145655256e-67,6.6759352409656105e-94,1.1807405231768423e-85,1.8786753602161647e-82,2.0149505687903088e-95,8.1454894619365496e-111,1.1994408512519115e-180,1.240430812770826e-151,8.6904679225867091e-160,4.1460886035295814e-137,4.4793164699258835e-220,1.329259933613443e-123
4.498033054906581e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999822,1.8101745812921139e-15,5.830319051647985e-18,9.487508661267908e-28,5.8303190516591608e-18,6.8575312323127676e-28,2.0579016067861263e-28,5.2559080435504637e-54,5.7531100751003632e-47,1.3856125056799056e-56,2.3022105663133311e-82,3.1366154202853856e-85,5.2717495116825065e-93,5.0207507797525985e-95,1.1316745239062297e-95,8.1669704780060985e-64,3.3920136478786657e-65,1.2084663385791407e-91,1.0606773481905293e-83,1.6876428724175674e-80,3.6211586134147914e-93,2.9488112103369761e-108,2.0102425392844063e-176,5.1634812046196871e-148,7.2380998108848178e-156,8.5608027926726169e-134,5.616755715123507e-215,1.3243332538570967e-120
9.558320241676486e-18,0.11224537200000022,0.0,0.0,0.0,0.0,0.99999999999999611,3.8466209852436073e-15,1.2389427985803094e-17,4.143444291542349e-27,1.2389427985851898e-17,2.9948640528440698e-27,8.9873969766608065e-28,9.8437340630269594e-53,5.0885607832919256e-46,2.4656234554728165e-55,1.7442737949769624e-80,2.5659461566487932e-83,8.6382458754636228e-91,8.2269957581829144e-93,1.8543604134678648e-93,3.0726184071844324e-62,1.276160307485946e-63,1.8327791467133397e-89,7.9982900266701533e-82,1.2726071907255579e-78,5.4670645627451916e-91,8.94868875150638e-106,2.4074280596318662e-172,1.4615813109483988e-144,4.0978824640392384e-152,1.2058141144207269e-130,7.129369477088502e-210,9.2267020399887503e-118
1.9678894615216295e-17,0.11224537200000047,0.0,0.0,0.0,0.0,0.99999999999999212,7.9195137931398085e-15,2.5507645857456018e-17,1.7298064278534599e-26,2.5507645857659766e-17,1.2502967882276274e-26,3.752061321051778e-27,1.7002602561229012e-51,4.2772420710786986e-45,4.1586344573780704e-54,1.2126269619006909e-78,1.8467300699446823e-81,1.2444413009250621e-88,1.1852057653393163e-90,2.6714474098273621e-91,1.0639501977672795e-60,4.4189379515663281e-62,2.5495390408432825e-87,5.5456356774139586e-80,8.8236545834382046e-77,7.5856625588964575e-89,2.4903283643149079e-103,2.3782657815096143e-168,3.4948081804777063e-141,1.9597646943684686e-148,1.4376648706962078e-127,6.3985191017101833e-205,5.4746561615425296e-115
3.9920043362295913e-17,0.1122453720000009,0.0,0.0,0.0,0.0,0.99999999999998401,1.6065299408905071e-14,5.1744081614132699e-17,7.0668236797083526e-26,5.1744081614965076e-17,5.1078703431935498e-26,1.5328394768528817e-26,2.825007822202825e-50,3.5067416731434612e-44,6.8305699668675032e-53,8.0850334352565179e-77,1.2517737541211293e-79,1.6877513952694416e-86,1.6074411018961249e-88,3.6231635813393557e-89,3.539829296930023e-59,1.4702084746896772e-60,3.4005940511085833e-85,3.6923715777556146e-78,5.8749265378401843e-75,1.0104360505510535e-86,6.6441559182089018e-101,2.1371755021017359e-164,7.7212585065185556e-138,8.6597646002023812e-145,1.5857625868581356e-124,4.8845182078525593e-200,3.0128380204281438e-112
8.040234085645515e-17,0.11224537200000183,0.0,0.0,0.0,0.0,0.99999999999996758,3.2356870640327013e-14,1.0421695318096935e-16,2.8565231201179759e-25,1.0421695318433398e-16,2.064682861741801e-25,6.1959822490806245e-26,4.6054756707211049e-49,2.839850654420303e-43,1.1072649507283512e-51,5.2808047083571225e-75,8.2422402284394762e-78,2.2229981479172133e-84,2.1172892941511162e-86,4.7723586563543412e-87,1.154871160371545e-57,4.7965628136486075e-59,4.4428156767940932e-83,2.4100160566466442e-76,3.8345705479911425e-73,1.3192274738233906e-84,1.736216460816575e-98,1.8331273057687329e-160,1.6417850674512152e-134,3.6827141197372547e-141,1.6843755065914579e-121,3.4509917620983153e-195,1.5986668101070181e-109
1.6136693584477362e-16,0.11224537200000366,0.0,0.0,0.0,0.0,0.99999999999993472,6.4940013102736577e-14,2.0916269652857589e-16,1.1485953831465602e-24,2.0916269654210488e-16,8.3019989886834833e-25,2.4913772144066058e-25,7.4378552690118694e-48,2.285759397859703e-42,1.7832164680272205e-50,3.4141840155172293e-73,5.3501082300019996e-76,2.8860612343648084e-82,2.7490057952570611e-84,6.1962442396106275e-85,3.731390342949888e-56,1.5497701016451836e-57,5.7451711000916932e-81,1.5575948472879755e-74,2.4782824890762509e-71,1.705364937898945e-82,4.4904921202731015e-96,1.5364830557858019e-156,3.4257346953499213e-131,1.5368699723674002e-137,1.7559618662949739e-118,2.3476030704046435e-190,8.3319012159156683e-107
3.2329612582141054e-16,0.11224537200000735,0.0,0.0,0.0,0.0,0.9999999999998691,1.3010629802581846e-13,4.1905418407952171e-16,4.6063812081963781e-24,4.1905418413377907e-16,3.3294729181991966e-24,9.9915369492961562e-25,1.1956134339056031e-46,1.8341788148789214e-41,2.8624586380913322e-49,2.1961769099043392e-71,3.448284868290689e-74,3.7199939987114115e-80,3.5438095486313919e-82,7.9877276021886641e-83,1.1998055953351433e-54,4.9831902477042178e-56,7.3914113556946126e-79,1.0017497511003576e-72,1.5938761427814472e-69,2.1936538120913999e-80,1.1554630840253035e-93,1.2731457552966902e-152,7.0815267416975266e-128,6.3539058987356462e-134,1.8131315953634883e-115,1.5673804989344006e-185,4.3039005432655166e-104
6.471545057746844e-16,0.11224537200001473,0.0,0.0,0.0,0.0,0.99999999999973777,2.6043886786503327e-13,8.3883716260434476e-16,1.8449551589088823e-23,8.3883716282165681e-16,1.3335258173461315e-23,4.0018263568088999e-24,1.9174382576992795e-45,1.4695764150969214e-40,4.5874016565691467e-48,1.4091166156619089e-69,2.2146817492151199e-72,4.7772338731041816e-78,4.552192889259942e-80,1.0260618181686486e-80,3.8486205785531138e-53,1.598459594510459e-54,9.4851468166367943e-77,6.4269101027433998e-71,1.0225759942145305e-67,2.8148027109479245e-78,2.9655594632438492e-91,1.0489122338354073e-148,1.4570533831229464e-124,2.6146817779133367e-130,1.8621210741262015e-112,1.0367644824680371e-180,2.2133683483523637e-101
