Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6)
3.7272535255379137e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999989,1.49998443933254e-16,4.8312400050565251e-19,9.1759347007653288e-30,4.8312400049647661e-19
1.0436309871506159e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999956,4.1999564301308131e-16,1.3527472014455568e-18,5.542264559261967e-29,1.3527472013901341e-18
2.3854422563442646e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999911,9.5999004117261653e-16,3.0919936034442841e-18,2.6683618109821186e-28,3.0919936031774481e-18
5.069064794731563e-18,0.11224537200000013,0.0,0.0,0.0,0.0,0.99999999999999789,2.0399788374912104e-15,6.5704864079174146e-18,1.1653437069967429e-27,6.5704864067520714e-18
1.0436309871506159e-17,0.11224537200000022,0.0,0.0,0.0,0.0,0.99999999999999589,4.1999564301264887e-15,1.3527472018766381e-17,4.8650805783416922e-27,1.3527472013901299e-17
2.117080002505535e-17,0.11224537200000048,0.0,0.0,0.0,0.0,0.99999999999999145,8.5199116153894122e-15,2.7441443248075124e-17,1.987544159921114e-26,2.7441443228199681e-17
4.2639780332153734e-17,0.11224537200000095,0.0,0.0,0.0,0.0,0.9999999999999829,1.7159821985884723e-14,5.5269385737135859e-17,8.0339712753572248e-26,5.5269385656796144e-17
8.557774094635049e-17,0.11224537200000194,0.0,0.0,0.0,0.0,0.99999999999996558,3.4439642726753196e-14,1.109252708370303e-16,3.2304245151201539e-25,1.1092527051398787e-16
1.71453662174744e-16,0.1122453720000039,0.0,0.0,0.0,0.0,0.99999999999993061,6.8999284208001516e-14,2.2223704152391107e-16,1.2955447148216409e-24,2.2223704022836643e-16
3.432055046315311e-16,0.11224537200000781,0.0,0.0,0.0,0.0,0.999999999999861,1.3811856716854376e-13,4.4486058484604047e-16,5.1889363845627014e-24,4.4486057965710414e-16
6.867091895451052e-16,0.11224537200001561,0.0,0.0,0.0,0.0,0.99999999999972189,2.7635713308181071e-13,8.901076792837709e-16,2.0769268296138881e-23,8.9010765851450255e-16
1.3737165593722533e-15,0.11224537200003123,0.0,0.0,0.0,0.0,0.99999999999944356,5.5283426487707425e-13,1.780601899333115e-15,8.3104126404521936e-23,1.7806018162289887e-15
2.7477312990265495e-15,0.11224537200006247,0.0,0.0,0.0,0.0,0.99999999999888711,1.1057885283425198e-12,3.5615904641273426e-15,3.3247061973704667e-22,3.5615901316567234e-15
5.495760778335142e-15,0.11224537200012491,0.0,0.0,0.0,0.0,0.99999999999777411,2.2116970547730852e-12,7.1235680924979504e-15,1.329990714663818e-21,7.123566762507234e-15
1.0991819736952327e-14,0.11224537200024987,0.0,0.0,0.0,0.0,0.99999999999554801,4.4235141056329121e-12,1.4247525344367771e-14,5.3201793359537449e-21,1.4247520024188436e-14
2.19839376541867e-14,0.11224537200049972,0.0,0.0,0.0,0.0,0.9999999999910959,8.8471481993473566e-12,2.8495447828621834e-14,2.1281150291395113e-20,2.849542654747154e-14
4.396817348865544e-14,0.11224537200099949,0.0,0.0,0.0,0.0,0.99999999998219136,1.7694416354755391e-11,5.6991324719187505e-14,8.5125466950651678e-20,5.6991239593720563e-14
8.793664515759292e-14,0.11224537200199891,0.0,0.0,0.0,0.0,0.99999999996438316,3.5388952537488064e-11,1.1398320618854816e-13,3.4050359843808285e-19,1.1398286568494972e-13
1.7587358849546788e-13,0.11224537200399785,0.0,0.0,0.0,0.0,0.99999999992876598,7.0778024390619704e-11,2.2796747988017916e-13,1.3620178474919947e-18,2.2796611786233167e-13
3.5174747517121785e-13,0.11224537200799568,0.0,0.0,0.0,0.0,0.99999999985753207,1.4155616604754773e-10,4.5593807027502092e-13,5.4480782371430322e-18,4.5593262219678392e-13
7.034952485227177e-13,0.11224537201599141,0.0,0.0,0.0,0.0,0.99999999971506359,2.8311244116405858e-10,9.1188742311054701e-13,2.179232616043381e-17,9.1186563078438651e-13
1e-12,0.11224537203198279,0.0,0.0,0.0,0.0,0.99999999959497055,4.0243687331584202e-10,1.2962423669158279e-12,4.9347001580400432e-17,1.2961930199142473e-12
1.4069907952257174e-12,0.11224537203198279,0.0,0.0,0.0,0.0,0.99999999943012752,5.6622495860766778e-10,1.8238188169611699e-12,8.7169327205493392e-17,1.8237316476339647e-12
2.8139818886317167e-12,0.11224537206396556,0.0,0.0,0.0,0.0,0.99999999886025448,1.1324498623369783e-09,3.6478123573502806e-12,3.4867732306964925e-16,3.6474636800272108e-12
4.220972982037716e-12,0.11224537209594836,0.0,0.0,0.0,0.0,0.99999999829038155,1.6986746348273589e-09,5.4719366501369128e-12,7.409392867149417e-16,5.4711957108501979e-12
5.6279640754437155e-12,0.11224537212793109,0.0,0.0,0.0,0.0,0.9999999977205084,2.2648992760784562e-09,7.2961916952905688e-12,1.2639551921670151e-15,7.2949277400984003e-12
8.441946262255714e-12,0.11224537219189666,0.0,0.0,0.0,0.0,0.99999999658076177,3.3973482503579512e-09,1.0945008652624361e-11,2.6168584219432354e-15,1.0942391794202421e-11
1e-11,0.11224537225586222,0.0,0.0,0.0,0.0,0.99999999594970324,4.0243656427149592e-09,1.2965502916597169e-11,3.5727536201367432e-15,1.2961930162977035e-11
1.1255928449067713e-11,0.11224537225586222,0.0,0.0,0.0,0.0,0.9999999954410147,4.5297967419161256e-09,1.4594306432456137e-11,4.4505903210485961e-15,1.4589855842135093e-11
1.4069910635879712e-11,0.11224537231982783,0.0,0.0,0.0,0.0,0.99999999430126696,5.6622447163626499e-09,1.8244119379343093e-11,6.7994956215876805e-15,1.8237319883721512e-11
1.969787500950371e-11,0.11224537244775892,0.0,0.0,0.0,0.0,0.99999999202177026,7.9271390815038346e-09,2.5545323132964071e-11,1.3075185451575217e-14,2.5532247947512505e-11
2.5325839383127707e-11,0.11224537257569005,0.0,0.0,0.0,0.0,0.99999998974227144,1.0192031346424233e-08,3.28486192502283e-11,2.144326490209908e-14,3.2827175985326213e-11
3.65817681303757e-11,0.11224537283155232,0.0,0.0,0.0,0.0,0.99999998518326738,1.4721809576369208e-08,4.7461487683541962e-11,4.4455702011273105e-14,4.7417031981530687e-11
5.909362562487169e-11,0.11224537334327685,0.0,0.0,0.0,0.0,0.99999997606523461,2.3781340836122801e-08,7.6712329084619316e-11,1.1558543797313389e-13,7.6596743646646156e-11
9.999999999999999e-11,0.11224537436672587,0.0,0.0,0.0,0.0,0.99999995949673992,4.0243360523504982e-08,1.2994980623087798e-10,3.3050843967941642e-13,1.2961929779119853e-10
1.0411734061386367e-10,0.11224537436672587,0.0,0.0,0.0,0.0,0.99999995782906859,4.1900302549855668e-08,1.3531442867412722e-10,3.5826308404624563e-13,1.3495616559008097e-10
1.9416477059184766e-10,0.11224537641362389,0.0,0.0,0.0,0.0,0.99999992135633686,7.8137822706273658e-08,2.5292029047424311e-10,1.2452871635633157e-12,2.5167500331067978e-10
3.742596305478156e-10,0.11224538050741976,0.0,0.0,0.0,0.0,0.99999984840927325,1.506112495492682e-07,4.8973863037260951e-10,4.6259812387486178e-12,4.8511264913386074e-10
