,adjlist.py,base.py,base.py,chemkin.py,nodes.py,nodes.py,surfaces.py,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~
,717,889,1260,1653,148,164,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,toAdjacencyList,matchNodeToStructure,isMoleculeForbidden,markDuplicateReaction,iter_fields,iter_child_nodes,write_to_png,<getattr>,<isinstance>,<matplotlib._png.write_png>,<method 'close' of 'file' objects>,<method 'copy' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'format' of 'str' objects>,<method 'generateResonanceIsomers' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'getLabeledAtoms' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'getSymmetryNumber' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'isSubgraphIsomorphic' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'match' of '_sre.SRE_Pattern' objects>,<method 'reduce' of 'numpy.ufunc' objects>,<method 'simulate' of 'rmgpy.solver.base.ReactionSystem' objects>,<method 'toSMILES' of 'rmgpy.molecule.molecule.Molecule' objects>,<open>
,,,,,,,,,,,,,,,,,,,,,,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.012416,0.01441,0.0,0.010632,0.019826,0.222084,0.009862,0.0,0.0,0.0,0.0,0.0,0.0,0.014508,0.013476,0.011986,0.0,0.011041
2,0.0,0.0,0.0,0.0,0.024779,0.028893,0.0,0.021371,0.037845,0.445884,0.019781,0.0,0.0,0.0,0.0,0.0,0.0,0.028869,0.026173,0.025489,0.0,0.021617
3,0.0,0.0,0.0,0.0,0.037253,0.04361,0.0,0.032229,0.056496,0.670891,0.029662,0.0,0.0,0.0,0.0,0.0,0.0,0.041744,0.037661,0.037483,0.0,0.032832
4,0.047202,0.0,0.049025,0.0,0.049936,0.058153,0.0,0.044553,0.081239,0.896803,0.040473,0.0,0.0,0.0,0.0,0.0,0.0,0.054699,0.051731,0.050047,0.0,0.044758
5,0.066368,0.0,0.054002,0.0,0.063474,0.07277,0.0,0.056576,0.101481,1.123697,0.051038,0.0,0.0,0.0,0.0,0.0,0.0,0.06936,0.067219,0.073396,0.0,0.055191
6,0.104681,0.0,0.094633,0.0,0.075913,0.08729,0.0,0.071074,0.134117,1.355504,0.06408,0.0,0.079449,0.0,0.0,0.0,0.078171,0.083726,0.094823,0.132778,0.0,0.065824
7,0.15662,0.0,0.132072,0.0,0.088303,0.101498,0.0,0.086634,0.165483,1.587735,0.081297,0.0,0.114853,0.0,0.0,0.0,0.102771,0.098498,0.126163,0.213331,0.0,0.076895
8,0.216766,0.0,0.167105,0.0,0.100661,0.115739,0.0,0.103154,0.197076,1.820198,0.096229,0.0,0.158654,0.0,0.0,0.0,0.124147,0.11295,0.15002,0.257393,0.0,0.087107
9,0.307609,0.134212,0.241788,0.0,0.113033,0.130031,0.0,0.12287,0.240619,2.059198,0.114053,0.0,0.221966,0.0,0.0,0.0,0.193197,0.127638,0.18837,0.355559,0.0,0.098276
