Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30)
5.271136623936369e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999978,2.1212983374526261e-16,6.8324051381912987e-19,1.835188380732544e-29,6.8324051381934605e-19,1.3264664188079087e-29,3.9806415488803542e-30,2.3708277086869743e-57,2.0822727314710664e-49,9.9192707749665366e-60,3.7103425951264412e-87,6.6381412068508877e-90,2.3136536281447752e-98,2.2034886192002171e-100
1.4759182547021833e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999944,5.9396353448667573e-16,1.9130734387229428e-18,1.1084537819623746e-28,1.9130734387242482e-18,8.0118571697024406e-29,2.4043074955552776e-29,7.4542616462194151e-56,2.4720741933951617e-48,2.2189012009299112e-58,4.2202469990548829e-85,5.1222871562840846e-88,3.2367081042537288e-96,3.0825938072506012e-98
3.373527439319276e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999867,1.3576309359692633e-15,4.3727392886480857e-18,5.3367278111690036e-28,4.3727392886543719e-18,3.8573643460474053e-28,1.1575705624617227e-28,1.6630047662789847e-54,2.4270971154981703e-47,4.3841748793776075e-57,3.8205735843162089e-83,5.5825191023805272e-86,7.036971109788971e-94,6.7019195969303714e-96
7.168745808553461e-18,0.11224537200000015,0.0,0.0,0.0,0.0,0.99999999999999722,2.8849657389334849e-15,9.2920709889684431e-18,2.3306892435290536e-27,9.2920709889958945e-18,1.684612352045185e-27,5.0554147675669793e-28,3.1146238745891197e-53,2.1467399359973564e-46,7.8014050344129469e-56,2.8956548040557546e-81,4.5668472319314391e-84,1.1530735677397722e-91,1.0981756826785354e-93
1.4759182547021833e-17,0.11224537200000033,0.0,0.0,0.0,0.0,0.99999999999999412,5.9396353448581096e-15,1.9130734391489426e-17,9.7301687946324393e-27,1.9130734391604033e-17,7.0329249539517961e-27,2.1105361496564004e-27,5.3797381760709689e-52,1.8044643062038811e-45,1.3158210144620719e-54,2.0134588462628494e-79,3.2867931010440457e-82,1.6611420769460695e-89,1.5820649376245806e-91
2.994005602395858e-17,0.11224537200000068,0.0,0.0,0.0,0.0,0.9999999999999879,1.204897455669209e-14,3.8808061204052488e-17,3.9750914401921706e-26,3.8808061204520702e-17,2.8731793230073304e-26,8.6222288242624412e-27,8.9385153903963705e-51,1.4794089236586216e-44,2.1612400583112959e-53,1.3425810284259892e-77,2.227895361070602e-80,2.2529038324684207e-87,2.1456832992898271e-89
6.030180297783207e-17,0.11224537200000136,0.0,0.0,0.0,0.0,0.9999999999999758,2.4267652980298985e-14,7.8162714859263013e-17,1.6067955163655975e-25,7.8162714861155613e-17,1.1613850210519275e-25,3.4852427499037358e-26,1.4572035888328046e-49,1.1980638067719472e-43,3.5034635633527939e-52,8.7696164217562549e-76,1.4669463119709235e-78,2.9674055814321746e-85,2.8262511825013386e-87
1.2102529688557904e-16,0.11224537200000277,0.0,0.0,0.0,0.0,0.99999999999995082,4.8705009827268445e-14,1.568720222900215e-16,6.4608541018390895e-25,1.5687202229763154e-16,4.669878094160832e-25,1.4014007823352863e-25,2.3533876357629356e-48,9.6430614850494619e-43,5.6422210121316451e-51,5.6699385157369351e-74,9.5220734262924885e-77,3.8525706310727454e-83,3.6694943042639026e-85
2.4247228470107295e-16,0.11224537200000548,0.0,0.0,0.0,0.0,0.99999999999990197,9.7579723520230207e-14,3.1429063763288876e-16,2.5910914635735854e-24,3.142906376634085e-16,1.8728299844336389e-24,5.6202439390379903e-25,3.7830017220868943e-47,7.7379522330275086e-42,9.0570173350105675e-50,3.6472387872830061e-72,6.1372258977686594e-75,4.9659440776825745e-81,4.7304335978863612e-83
4.853662603320609e-16,0.11224537200001104,0.0,0.0,0.0,0.0,0.99999999999980327,1.9532915090224488e-13,6.2912787024402339e-16,1.0377880915394316e-23,6.2912787036626143e-16,7.5010885932771844e-24,2.2510290873416619e-24,6.0669045003358345e-46,6.1997823631206106e-41,1.4514853229514442e-48,2.3401650731337487e-70,3.9416705964498474e-73,6.3777150633639291e-79,6.0764686365726947e-81
9.711542115940367e-16,0.11224537200002209,0.0,0.0,0.0,0.0,0.99999999999960654,3.9082800565063901e-13,1.2588023431678942e-15,4.1538569198093115e-23,1.2588023436571657e-15,3.0023902984000743e-23,9.0099827649440651e-24,9.7183420919560679e-45,4.9636025258969273e-40,2.3242707912554876e-47,1.4996080143770648e-68,2.5271079997072827e-71,8.174677785898332e-77,7.7916741893192704e-79
1.942730114117988e-15,0.11224537200004416,0.0,0.0,0.0,0.0,0.9999999999992133,7.8182571508488677e-13,2.5181513198220431e-15,1.662083832708544e-22,2.5181513217797675e-15,1.2013472156001561e-22,3.6051667621754665e-23,1.555838500979665e-43,3.972401608739915e-39,3.7203569534346037e-46,9.6035976930094546e-67,1.6187700400810554e-69,1.046447022161093e-74,9.9821746426274096e-77
3.885881919165891e-15,0.11224537200008836,0.0,0.0,0.0,0.0,0.99999999999842593,1.5638211337032185e-12,5.0368493963559548e-15,6.649417613749064e-22,5.0368494041881469e-15,4.8061712670968948e-22,1.4423015005139167e-22,2.4900635157695653e-42,3.1785425136557478e-38,5.9538144186988058e-45,6.148275385631054e-65,1.0364665923655044e-67,1.3379016422486688e-72,1.2782824498089327e-74
7.772185529261696e-15,0.11224537200017666,0.0,0.0,0.0,0.0,0.99999999999685218,3.1278119699392308e-12,1.00742460423262e-14,2.6599835168497299e-21,1.0074246073657668e-14,1.9226250795545978e-21,5.7696758745147356e-22,3.9846749766962425e-41,2.5431037473701439e-37,9.5271747574391631e-44,3.9355507987885208e-63,6.6348241975697357e-66,1.707430062297028e-70,1.6365591077803017e-72
1.5544792749453306e-14,0.11224537200035337,0.0,0.0,0.0,0.0,0.99999999999370381,6.2557936384086458e-12,2.0149041305875963e-14,1.0640367020327041e-20,2.014904143120813e-14,7.690814119866401e-21,2.3079645258288538e-21,6.3759250027522087e-40,2.0346248495990638e-36,1.524458319309611e-42,2.5189915744791607e-61,4.2467301683961022e-64,2.1718980773257072e-68,2.0950159135674326e-70
