Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18)
5.5562658631897825e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999978,2.2360447810262446e-16,7.2019873779125011e-19,2.0390982008139289e-29,7.2019873779149037e-19,1.4738515764542904e-29,4.4229350543147561e-30,2.9269477883451279e-57,2.4387868672886271e-49,1.2246013303488905e-59,5.4935657402925993e-87,9.1058178394044965e-90,3.3454114479100679e-98,3.1861192651684578e-100,7.1814940778101541e-101,9.764994584922801e-68
1.5557544416931391e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999944,6.2609253868728222e-16,2.0165564658481443e-18,1.2316153132915171e-28,2.0165564658495945e-18,8.9020635219041643e-29,2.6714527728430565e-29,9.2027921549211472e-56,2.8953277769842075e-48,2.7393841992937745e-58,6.21188991361066e-85,7.0264570033387811e-88,4.6800955015282678e-96,4.4572553865778677e-98,1.0046627576474693e-98,5.6241369744560693e-66
3.556010152441461e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999856,1.4310686598563325e-15,4.6092719220925065e-18,5.929697567965458e-28,4.6092719220994891e-18,4.28596038450945e-28,1.2861895138501474e-28,2.0530923036421892e-54,2.8426499968270479e-47,5.4125615822408718e-57,5.6206488467212816e-83,7.6577765445364877e-86,1.0175058420836813e-93,9.6905947034255097e-96,2.1842543741087487e-96,2.5220990807026651e-64
7.556521573938105e-18,0.11224537200000019,0.0,0.0,0.0,0.0,0.99999999999999689,3.0410209021933722e-15,9.7947028351035276e-18,2.5896547150321916e-27,9.7947028351340297e-18,1.8717915022833357e-27,5.6171275195523779e-28,3.8452146584593894e-53,2.5142917590208018e-46,9.6313642504158403e-56,4.2584942584956466e-81,6.2645366665519518e-84,1.6672782568920492e-91,1.5878996007267051e-93,3.5791163997333968e-94,9.4887670820323217e-63
1.5557544416931392e-17,0.11224537200000036,0.0,0.0,0.0,0.0,0.99999999999999367,6.2609253868632112e-15,2.0165564663214763e-17,1.0811298660701967e-26,2.0165564663342109e-17,7.8143610600381279e-27,2.3450401663130599e-27,6.6416520639354254e-52,2.1134137693120239e-45,1.6244703918270425e-54,2.96052428984688e-79,4.5086325080273099e-82,2.4019153717506457e-89,2.2875759511776724e-91,5.1561827906535319e-92,3.2856587716351728e-61
3.155959010291796e-17,0.1122453720000007,0.0,0.0,0.0,0.0,0.99999999999998734,1.2700734356185928e-14,4.0907288327794017e-17,4.4167682668795855e-26,4.0907288328314258e-17,3.1924214700833199e-26,9.5802542494114543e-27,1.1035204168081299e-50,1.732704374535699e-44,2.6681976148401787e-53,1.973891267872919e-77,3.0560978841714263e-80,3.257566436132076e-87,3.1025360552477917e-89,6.9930980860361596e-90,1.0931593623734964e-59
6.356368147489111e-17,0.11224537200000143,0.0,0.0,0.0,0.0,0.99999999999997446,2.5580352294763494e-14,8.2390735690379605e-17,1.7853283515168403e-25,8.2390735692482511e-17,1.2904278012296876e-25,3.8724919445245237e-26,1.7990167705970329e-49,1.4031890544450175e-43,4.3252636975698288e-52,1.2892629632449989e-75,2.0122720266687218e-78,4.2906881203465303e-85,4.0865985138748787e-87,9.2111690959264758e-88,3.5664381510447205e-58
1.2757186421883742e-16,0.11224537200000291,0.0,0.0,0.0,0.0,0.99999999999994815,5.1339588171647169e-14,1.6535763054925912e-16,7.1787267798172679e-25,1.6535763055771472e-16,5.1887534384464857e-25,1.557111980523086e-25,2.9054168157301114e-48,1.1294088326435771e-42,6.965705079616587e-51,8.3354358448787883e-74,1.3061829037181197e-76,5.5705678706961932e-83,5.3058801070681381e-85,1.1959422651802081e-85,1.152316675322577e-56
2.5558822970673e-16,0.1122453720000058,0.0,0.0,0.0,0.0,0.99999999999989664,1.0285805992432878e-13,3.3129142080185181e-16,2.8789905150785984e-24,3.3129142083576258e-16,2.080922205319465e-24,6.2447154890280253e-25,4.6703724367729926e-47,9.0627979262066987e-42,1.1181503289063701e-49,5.3617762528297848e-72,8.4186911154994893e-75,7.1803948824646438e-81,6.8399379581170031e-83,1.541718003525006e-83,3.7052033826975935e-55
5.116209606825152e-16,0.11224537200001163,0.0,0.0,0.0,0.0,0.99999999999979283,2.0589500342534886e-13,6.6315900344637069e-16,1.1530978794857241e-23,6.6315900358219074e-16,8.3345428845694795e-24,2.5011434313475237e-24,7.4900053646931247e-46,7.2612721253067491e-41,1.7919573191702048e-48,3.440236158281553e-70,5.4069554198237633e-73,9.2216132795429628e-79,8.7862279717322526e-81,1.980410626391813e-81,1.1885194069355097e-53
