,adjlist.py,base.py,base.py,chemkin.py,nodes.py,nodes.py,poll.py,surfaces.py,~,~,~,~,~,~,~,~,~,~,~,~,~,~
,717,889,1260,1653,148,164,77,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,toAdjacencyList,matchNodeToStructure,isMoleculeForbidden,markDuplicateReaction,iter_fields,iter_child_nodes,poll,write_to_png,<getattr>,<isinstance>,<map>,<matplotlib._png.write_png>,<method 'close' of 'file' objects>,<method 'copy' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'format' of 'str' objects>,<method 'isSubgraphIsomorphic' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'match' of '_sre.SRE_Pattern' objects>,<method 'reduce' of 'numpy.ufunc' objects>,<method 'simulate' of 'rmgpy.solver.base.ReactionSystem' objects>,<method 'split' of '_sre.SRE_Pattern' objects>,<method 'toSMILES' of 'rmgpy.molecule.molecule.Molecule' objects>,<open>
,,,,,,,,,,,,,,,,,,,,,,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.012713,0.014691,0.0,0.0,0.010634,0.018001,0.0,0.22689,0.009656,0.0,0.0,0.0,0.013494,0.012203,0.012479,0.0,0.0,0.010349
2,0.019054,0.0,0.0,0.0,0.025525,0.029242,0.0,0.0,0.021239,0.034803,0.0,0.450657,0.018871,0.0,0.0,0.0,0.026197,0.024589,0.02528,0.0,0.0,0.020738
3,0.029989,0.0,0.0,0.0,0.038242,0.043693,0.0,0.0,0.031963,0.05246,0.0,0.675732,0.028223,0.0,0.0,0.0,0.039253,0.036118,0.037512,0.0,0.0,0.031464
4,0.048473,0.0,0.0,0.0,0.051049,0.058287,0.0,0.0,0.04407,0.07341,0.0,0.901841,0.038938,0.0,0.0,0.0,0.051943,0.048343,0.049809,0.0,0.0,0.043033
5,0.0665,0.0,0.0,0.0,0.063969,0.072683,0.0,0.0,0.055903,0.092218,0.0,1.128891,0.049652,0.0,0.0,0.0,0.06484,0.063721,0.073449,0.0,0.0,0.053524
6,0.105164,0.0,0.0,0.0,0.076687,0.087233,0.0,0.0,0.070365,0.118617,0.0,1.360724,0.062026,0.0,0.077511,0.0,0.077801,0.090844,0.130827,0.0,0.0,0.064455
7,0.155144,0.0,0.0,0.0,0.089485,0.101753,0.0,0.0,0.085478,0.143823,0.0,1.59319,0.075488,0.0,0.111937,0.0,0.092615,0.118949,0.203835,0.0,0.0,0.075176
8,0.215208,0.0,0.0,0.0,0.102259,0.11637,0.0,0.0,0.101701,0.170833,0.0,1.825691,0.090159,0.0,0.15354,0.0,0.108018,0.140307,0.247264,0.0,0.0,0.085829
9,0.306334,0.0,0.123491,0.0,0.114787,0.130927,0.0,0.0,0.120614,0.203117,0.0,2.064725,0.108229,0.0,0.215605,0.0,0.123093,0.175927,0.352306,0.0,0.0,0.09781
10,0.491388,0.0,0.225214,0.0,0.127582,0.1459,0.0,0.150337,0.146997,0.259303,0.0,2.301337,0.133997,0.0,0.338476,0.24191,0.137987,0.220579,0.484256,0.0,0.0,0.109132
11,0.730579,0.0,0.271377,0.0,0.140422,0.160408,0.229411,0.185857,0.174358,0.299743,0.0,2.538917,0.163177,0.0,0.494149,0.309273,0.15205,0.252132,0.572684,0.0,0.0,0.121853
12,1.050087,0.0,0.359522,0.0,0.153131,0.175063,0.245053,0.266229,0.207196,0.363583,0.0,2.776365,0.261161,0.0,0.702277,0.455069,0.166409,0.293464,0.696001,0.0,0.0,0.133673
13,1.621602,0.0,0.604781,0.0,0.165795,0.18967,0.279859,0.490349,0.258267,0.479683,0.0,3.015536,0.314863,0.911451,1.072837,0.870563,0.178878,0.345824,0.820998,0.0,0.397335,0.146107
14,2.309979,0.0,0.715835,0.0,0.178496,0.20415,0.315867,0.598927,0.309644,0.561454,0.0,3.253229,0.386856,0.95183,1.506864,1.048746,0.193044,0.3912,0.988333,0.0,0.555874,0.15981
15,3.059194,0.0,0.807014,0.0,0.191347,0.218625,0.32297,0.641014,0.360832,0.626017,0.0,3.492812,0.456575,0.979906,1.975166,1.15665,0.207755,0.437857,1.204032,0.0,0.710825,0.173452
16,3.893596,0.0,0.900764,0.0,0.204134,0.23322,0.359997,0.74,0.42094,0.707545,0.0,3.730376,0.530558,1.008306,2.500563,1.269514,0.222432,0.489746,1.44226,0.0,0.895173,0.187045
17,4.812918,0.0,1.023813,0.0,0.216929,0.247522,0.379459,0.791683,0.482418,0.782964,0.0,3.968719,0.612001,1.039289,3.077788,1.382392,0.237346,0.540068,1.705383,0.0,1.081756,0.201315
18,5.883616,0.0,1.183801,0.0,0.229544,0.262085,0.502742,0.99642,0.558314,0.90143,0.0,4.205088,0.707119,1.092623,3.764491,1.639016,0.252815,0.601325,1.947974,0.0,1.337011,0.217135
19,7.060269,0.0,1.322006,0.0,0.242388,0.276432,0.520163,1.130598,0.637964,1.000659,1.067948,4.443426,0.810887,1.136419,4.507024,1.795528,0.266228,0.65949,2.239043,0.0,1.604949,0.233747
20,8.473665,0.0,1.6828,0.0,0.255226,0.291143,0.6284,1.49325,0.744106,1.209761,1.281144,4.687701,0.952058,1.243912,5.420263,2.260756,0.280134,0.737701,2.53921,0.0,1.976704,0.250803
