Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8)
3.9288732700329545e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999989,1.5811224277391759e-16,5.0925681071570348e-19,1.0195491004568832e-29,5.0925681072024636e-19,7.3692578825699104e-30
1.1000845156092272e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999956,4.4271427976693609e-16,1.4259190700131264e-18,6.1580765667592359e-29,1.4259190700405663e-18,4.4510317610960773e-29
2.514478892821091e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.999999999999999,1.0119183537528407e-15,3.2592435886445987e-18,2.9648487841281048e-28,3.2592435887767094e-18,2.1429801922871073e-28
5.343267647244818e-18,0.11224537200000013,0.0,0.0,0.0,0.0,0.99999999999999778,2.1503265017241196e-15,6.9258926260540493e-18,1.2948273575797123e-27,6.9258926266310133e-18,9.3589575112334845e-28
1.1000845156092273e-17,0.11224537200000026,0.0,0.0,0.0,0.0,0.99999999999999556,4.4271427976645567e-15,1.4259190701458979e-17,5.4056493306176273e-27,1.4259190703867691e-17,3.9071805296712951e-27
2.2316000173787183e-17,0.1122453720000005,0.0,0.0,0.0,0.0,0.99999999999999101,8.9807753895369505e-15,2.8925786854612947e-17,2.2083841335495907e-26,2.8925786864453315e-17,1.596210734677884e-26
4.4946310209177e-17,0.11224537200000101,0.0,0.0,0.0,0.0,0.99999999999998201,1.8088040573247809e-14,5.8258979170297321e-17,8.9266417580350231e-26,5.8258979210073672e-17,6.4521390028856214e-26
9.020693027995664e-17,0.11224537200000208,0.0,0.0,0.0,0.0,0.99999999999996325,3.6302570940533783e-14,1.1692536383917171e-16,3.5893633900955339e-25,1.1692536399911072e-16,2.5943767164698553e-25
1.807281704215159e-16,0.11224537200000412,0.0,0.0,0.0,0.0,0.99999999999992673,7.2731631674562861e-14,2.3425813332694339e-16,1.4394952576187683e-24,2.3425813396837033e-16,1.0404611003993465e-24
3.6177065070463446e-16,0.11224537200000823,0.0,0.0,0.0,0.0,0.99999999999985345,1.4558975314044945e-13,4.6892367290257807e-16,5.765489397783071e-24,4.689236754716316e-16,4.1672714239701102e-24
7.238556112708716e-16,0.11224537200001646,0.0,0.0,0.0,0.0,0.9999999999997069,2.9130599606353648e-13,9.3825475445421292e-16,2.307698288943628e-23,9.3825476473712191e-16,1.6679945967388866e-23
1.4480255324033458e-15,0.11224537200003291,0.0,0.0,0.0,0.0,0.99999999999941369,5.8273848187496568e-13,1.8769169271589426e-15,9.2337990714369962e-23,1.8769169683039742e-15,6.6741510895439723e-23
2.8963653746682945e-15,0.11224537200006586,0.0,0.0,0.0,0.0,0.99999999999882683,1.1656034533588442e-12,3.7542413109742438e-15,3.6941208970137697e-22,3.7542414755811662e-15,2.6700950616523033e-22
5.793045059198191e-15,0.1122453720001317,0.0,0.0,0.0,0.0,0.99999999999765354,2.3313333957706832e-12,7.5088902322281948e-15,1.4777686207889969e-21,7.5088908907095238e-15,1.0681249747502487e-21
1.1586404428257985e-14,0.1122453720002634,0.0,0.0,0.0,0.0,0.99999999999530698,4.6627932783706899e-12,1.5018188689229357e-14,5.9113150135390393e-21,1.5018191323262255e-14,4.272673955227463e-21
2.317312316637757e-14,0.11224537200052673,0.0,0.0,0.0,0.0,0.9999999999906144,9.3257130346760191e-12,3.0036788061203674e-14,2.3645741106301348e-20,3.0036798597552846e-14,1.709104513841357e-20
4.6346560642616746e-14,0.11224537200105354,0.0,0.0,0.0,0.0,0.99999999998122813,1.8651552511707917e-11,6.0073996637031664e-14,9.4583926400578807e-20,6.0074038782882824e-14,6.8364888785728905e-20
9.26934355950951e-14,0.11224537200210703,0.0,0.0,0.0,0.0,0.99999999996245659,3.7303231323456726e-11,1.2014845311613703e-13,3.783376284617782e-19,1.2014862170060526e-13,2.7346104834014716e-19
1.8538718550005179e-13,0.1122453720042141,0.0,0.0,0.0,0.0,0.99999999992491284,7.4606588377694205e-11,2.402975233835992e-13,1.5133543507758179e-18,2.402981977248356e-13,1.0938477935743912e-18
3.707746853099652e-13,0.11224537200842818,0.0,0.0,0.0,0.0,0.99999999984982568,1.492133002091282e-10,4.8059629315116372e-13,6.0534250065790204e-18,4.8059899053272737e-13,4.3754032852047577e-18
7.415496849297919e-13,0.1122453720168564,0.0,0.0,0.0,0.0,0.99999999969965092,2.9842671476382719e-10,9.611963495819227e-13,2.4213714670155065e-17,9.6120713922054442e-13,1.7501676645917959e-17
1e-12,0.11224537203371279,0.0,0.0,0.0,0.0,0.99999999959497077,4.0243655722800381e-10,1.2962042036595463e-12,4.9531134915258232e-17,1.2962262750434309e-12,3.5801259400086312e-17
1.4830996841694455e-12,0.11224537203371279,0.0,0.0,0.0,0.0,0.99999999939930162,5.9685350744051219e-10,1.9224065297465345e-12,9.6854883463350375e-17,1.922449689158775e-12,7.0007147851962322e-17
2.224649683409099e-12,0.11224537205056924,0.0,0.0,0.0,0.0,0.99999999909895199,8.9528026366202406e-10,2.8836267768626323e-12,2.0581663793576223e-16,2.8837184918617117e-12,1.4876581850754788e-16
3.707749681888406e-12,0.11224537208428206,0.0,0.0,0.0,0.0,0.99999999849825305,1.492133630373687e-09,4.8061075369542391e-12,5.6902245808495365e-16,4.8063611108106516e-12,4.1129815724796839e-16
