Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13)
4.479604750820464e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999978,1.802756936181279e-16,5.806421006457348e-19,1.3254138305939363e-29,5.8064210064589099e-19,9.5800352473957628e-30,2.8749043949491465e-30,1.2366354408332835e-57,1.2780383403484258e-49
1.25428933022973e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999956,5.0477194213071514e-16,1.6257978818292761e-18,8.0054995367868736e-29,1.625797881830219e-18,5.7863412894900589e-29,1.7364422545686461e-29,3.888179686619393e-56,1.5172871211547558e-48
2.8669470405250973e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999878,1.1537644391557173e-15,3.7161094442812318e-18,3.8543034193664091e-28,3.7161094442857708e-18,2.7858742500372131e-28,8.3602219808025268e-29,8.6743149872554213e-55,1.4896814999517654e-47
6.092262461115832e-18,0.11224537200000015,0.0,0.0,0.0,0.0,0.99999999999999745,2.451749433205032e-15,7.8967325695246374e-18,1.6832755648535149e-27,7.8967325695444637e-18,1.2166644765169379e-27,3.6511285818855064e-28,1.6246031946816099e-53,1.3176064289797844e-46
1.2542893302297301e-17,0.11224537200000027,0.0,0.0,0.0,0.0,0.999999999999995,5.0477194213009066e-15,1.6257978821369422e-17,7.0273441298019889e-27,1.62579788214522e-17,5.0793346890483154e-27,1.5242743104721195e-27,2.806098001870038e-52,1.1075276160987968e-45
2.544415498466024e-17,0.11224537200000059,0.0,0.0,0.0,0.0,0.99999999999998967,1.0239659397481625e-14,3.2980471330490896e-17,2.8708993736137066e-26,3.2980471330829058e-17,2.0750739554712005e-26,6.2271579179223407e-27,4.6623737767171356e-51,9.0801808777719133e-45
5.124667834938611e-17,0.11224537200000115,0.0,0.0,0.0,0.0,0.99999999999997935,2.0623539349798954e-14,6.6425456370461433e-17,1.1604634285439372e-25,6.6425456371828381e-17,8.3877807069092388e-26,2.5171167950699237e-26,7.6008459062574144e-50,7.3533664466815075e-44
1.0285172507883787e-16,0.11224537200000236,0.0,0.0,0.0,0.0,0.99999999999995826,4.1391299254257159e-14,1.3331542653731285e-16,4.6661724071192435e-25,1.3331542654280927e-16,3.3726897339525921e-25,1.0121215933851163e-25,1.2275386208373447e-48,5.9186299337439844e-43
2.0606181853774135e-16,0.11224537200000466,0.0,0.0,0.0,0.0,0.99999999999991673,8.2926819062467868e-14,2.6709536721865743e-16,1.8713438349004286e-24,2.6709536724070037e-16,1.3525994325587699e-24,4.0590602780919398e-25,1.973232406405595e-47,4.7493292063183796e-42
4.124820054555483e-16,0.11224537200000935,0.0,0.0,0.0,0.0,0.99999999999983313,1.6599785867606623e-13,5.3465524997191277e-16,7.4951362170861839e-24,5.3465525006019961e-16,5.4174528675029175e-24,1.6257413107789719e-24,3.1645274326531845e-46,3.8052450806042605e-41
8.253223792911623e-16,0.11224537200001877,0.0,0.0,0.0,0.0,0.9999999999996656,3.3213993789197082e-13,1.0697750210406881e-15,3.0000077756012489e-23,1.0697750213940656e-15,2.1683929888439065e-23,6.5072020868176418e-24,5.0691354996270915e-45,3.0465134772955786e-40
1.6510031269623901e-15,0.11224537200003754,0.0,0.0,0.0,0.0,0.9999999999993312,6.6442409627861172e-13,2.1400145854272985e-15,1.2003938792664282e-22,2.1400145868412714e-15,8.6763965211137621e-23,2.603728468717518e-23,8.1153313248497778e-44,2.4381425391371697e-39
3.302364622304846e-15,0.11224537200007506,0.0,0.0,0.0,0.0,0.99999999999866263,1.3289924128712203e-12,4.2804938031967543e-15,4.8023571659548273e-22,4.2804938088535796e-15,3.4711236639291812e-22,1.0416609574408102e-22,1.298829705498482e-42,1.9508938476464515e-38
6.605087612989758e-15,0.11224537200015017,0.0,0.0,0.0,0.0,0.99999999999732458,2.6581290453337433e-12,8.5614525947205664e-15,1.921099206895224e-21,8.5614526173498003e-15,1.3885625342066351e-21,4.1669831458721563e-22,2.0784270381821903e-41,1.5608782753069498e-37
1.3210533594359581e-14,0.11224537200030028,0.0,0.0,0.0,0.0,0.9999999999946495,5.3164023073680184e-12,1.7123371601707587e-14,7.6847095165569286e-21,1.7123371692228934e-14,5.5544766780716201e-21,1.6668612456272789e-21,3.3257168247348175e-40,1.2487859100102877e-36
2.642142555709923e-14,0.11224537200060059,0.0,0.0,0.0,0.0,0.99999999998929867,1.0632948819873474e-11,3.4247215311437195e-14,3.0739463429840955e-20,3.424721567353583e-14,2.2218362970246237e-20,6.6675819326148612e-21,5.3213143748859864e-39,9.9909085691329215e-36
5.284320948257853e-14,0.11224537200120117,0.0,0.0,0.0,0.0,0.99999999997859723,2.1266041798632012e-11,6.8494925513903156e-14,1.2295910425394551e-19,6.8494926962359543e-14,8.8874389744314509e-20,2.6670609418162607e-20,8.5141748770454667e-38,7.9934363703534132e-35
1.0568677733353713e-13,0.1122453720024024,0.0,0.0,0.0,0.0,0.9999999999571938,4.2532227571139566e-11,1.3699043705073751e-13,4.9183891646585251e-19,1.3699044284496923e-13,3.5549963742660806e-19,1.0668306333116198e-19,1.3622538624619046e-36,6.395770500587436e-34
2.1137391303545432e-13,0.11224537200480482,0.0,0.0,0.0,0.0,0.99999999991438748,8.5064598376116497e-11,2.7398182465102031e-13,1.9673606517328758e-18,2.7398184783101936e-13,1.4220043283261969e-18,4.2673400289083175e-19,2.1795313053110966e-35,5.118205122296212e-33
4.227481844392887e-13,0.11224537200960964,0.0,0.0,0.0,0.0,0.99999999982877474,1.7012933702591677e-10,5.4796605795007445e-13,7.8694524743471529e-18,5.4796615069429507e-13,5.6880418441903358e-18,1.7069434966916451e-18,3.4869867751196575e-34,4.0970878526964305e-32
8.454967272469575e-13,0.11224537201921926,0.0,0.0,0.0,0.0,0.99999999965754915,3.4025880248489616e-10,1.0959403568784001e-12,3.1477828797556466e-17,1.0959407280483648e-12,2.2752320226585715e-17,6.8278208452869866e-18,5.5783174393387597e-33,3.2817010421527183e-31
1e-12,0.11224537203843851,0.0,0.0,0.0,0.0,0.99999999959497088,4.02436558025833e-10,1.2962145534666332e-12,4.873428983570425e-17,1.2962151283976215e-12,3.5225573544449944e-17,1.0570963132210633e-17,2.0863697398031352e-32,7.4912895191825077e-31
1.690993812862295e-12,0.11224537203843851,0.0,0.0,0.0,0.0,0.9999999993150982,6.8051768604031401e-10,2.1919122835460442e-12,1.2591134631318829e-16,2.1919137697690991e-12,9.1010416893425373e-17,2.7311632209291123e-17,8.9225375365719716e-32,2.6318072538046806e-30
2.5364908984776326e-12,0.11224537205765779,0.0,0.0,0.0,0.0,0.99999999897264713,1.0207765222039839e-09,3.2879075384209752e-12,2.6756162308507413e-16,3.2879106989108498e-12,1.9339877994257531e-16,5.8037723462916451e-17,3.4012288284729532e-31,7.5376036352033465e-30
4.227485069708308e-12,0.11224537209609636,0.0,0.0,0.0,0.0,0.99999999828774455,1.7012940050804065e-09,5.4799913572967798e-12,7.3972916694490111e-16,5.480000111273387e-12,5.3470238320750751e-16,1.6046081143104895e-16,2.7954715968424727e-30,3.4818186372875066e-29
5.749379823815915e-12,0.11224537213069105,0.0,0.0,0.0,0.0,0.99999999767133219,2.3137595865224133e-09,7.452942162010591e-12,1.3172384130966031e-15,7.4529577693125788e-12,9.521602346790855e-16,2.8573737713799229e-16,8.1512849323780542e-30,7.8644006079740933e-29
7.271274577923523e-12,0.11224537216528582,0.0,0.0,0.0,0.0,0.99999999705491893,2.9262250059055069e-09,9.425972738515363e-12,2.0562276233337308e-15,9.4259971317562404e-12,1.4863571408876778e-15,4.4604670878379739e-16,1.8646592216202841e-29,1.4911114122643121e-28
8.79316933203113e-12,0.11224537219988052,0.0,0.0,0.0,0.0,0.99999999643850568,3.5386902721853914e-09,1.1399078664958163e-11,2.947751743366519e-15,1.1399113675464627e-11,2.1308305988085485e-15,6.3944947389446692e-16,3.686641705613808e-29,2.5005815998609063e-28
1e-11,0.11224537226907007,0.0,0.0,0.0,0.0,0.99999999594970279,4.0243623190878898e-09,1.2963751059792494e-11,3.7371409610293574e-15,1.2963795483157186e-11,2.7014804153083423e-15,8.1069825244871937e-16,5.83716280603131e-29,3.5034849973911186e-28
1.1836958840246345e-11,0.11224537226907007,0.0,0.0,0.0,0.0,0.99999999520567862,4.7636204553227189e-09,1.5345462342725224e-11,5.0786529585174141e-15,1.5345522780726308e-11,3.6712731283795949e-15,1.1017276485804942e-15,1.0308788020072125e-28,5.3737155893226283e-28
1.488074834846156e-11,0.1122453723382596,0.0,0.0,0.0,0.0,0.99999999397285055,5.988550072409109e-09,1.9292124519667199e-11,7.7733850323574122e-15,1.9292217203112825e-11,5.6193775959059317e-15,1.6863433569178489e-15,2.3075683820949081e-28,9.8341746498969419e-28
1.7924537856676774e-11,0.11224537240744921,0.0,0.0,0.0,0.0,0.99999999274002116,7.2134790851499494e-09,2.3239084065959501e-11,1.1070191108449815e-14,2.3239216315183212e-11,8.0028234573221126e-15,2.4016032912464535e-15,4.5577967762096489e-28,1.6374880724845661e-27
2.4012116873107205e-11,0.11224537254582861,0.0,0.0,0.0,0.0,0.9999999902743586,9.6633352636061421e-09,3.1133911894270611e-11,1.9503950211789877e-14,3.1134145904833706e-11,1.4100454509763963e-14,4.2314741223352809e-15,1.4528978217077253e-27,3.8354427161473839e-27
3.009969588953763e-11,0.11224537268420814,0.0,0.0,0.0,0.0,0.99999998780869181,1.2113188987001526e-08,3.9029947469698815e-11,3.0383588560720479e-14,3.9030313565238097e-11,2.1967049075897104e-14,6.5922070259152179e-15,3.5010049690547535e-27,7.4711788691659495e-27
4.2274853922398494e-11,0.11224537296096787,0.0,0.0,0.0,0.0,0.99999998287734337,1.7012889063575582e-08,5.4825643291290779e-11,5.9485372358210486e-14,5.4826366534344312e-11,4.3012056115704432e-14,1.2907748409877908e-14,1.3926455454982391e-26,2.117730923003113e-26
6.662516998812021e-11,0.11224537351448965,0.0,0.0,0.0,0.0,0.99999997301458998,2.6812259733821943e-08,8.6431527859659163e-11,1.4705998350087297e-13,8.6433349813600627e-11,1.0635910248531466e-13,3.191813376437263e-14,9.096909804364375e-26,8.9509378847682954e-26
9.999999999999999e-11,0.11224537462154283,0.0,0.0,0.0,0.0,0.99999995949646081,4.0243328726849041e-08,1.2978229273476721e-10,3.3071432323173037e-13,1.2978650792106931e-10,2.3926976968417582e-13,7.1805014918318849e-14,5.3116694084793501e-25,3.5021207397883575e-25
1.1532580211956366e-10,0.11224537462154283,0.0,0.0,0.0,0.0,0.99999995328885538,4.6410883130450317e-08,1.497012201617731e-10,4.3969739850046064e-13,1.4970687808747385e-10,3.1815714079818887e-13,9.5479478699262241e-14,8.6293597916453964e-25,5.346430801330104e-25
1.640264342510071e-10,0.11224537572860865,0.0,0.0,0.0,0.0,0.99999993356281724,6.6009349258366702e-08,2.1304807747113951e-10,8.8898524778316708e-13,2.1305988710825804e-10,6.4352155258137912e-13,1.9312411013623011e-13,3.2466758549712276e-24,1.6220864947223041e-24
2.1272706638245055e-10,0.11224537683568728,0.0,0.0,0.0,0.0,0.99999991383647491,8.5607658103026746e-08,2.7647200797725507e-10,1.494923100662663e-12,2.7649246788613574e-10,1.0825844116089853e-12,3.248929068515307e-13,8.6430562849427232e-24,3.7226105491425825e-24
