Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25)
4.648705544640488e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999978,1.8708092858706019e-16,6.0256078445990064e-19,1.4273687406396199e-29,6.0256078446006878e-19,1.0316961035661367e-29,3.0960508868696607e-30,1.4342044165703777e-57,1.4283048392785886e-49,6.0005465176419472e-60
1.3016375524993368e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999944,5.2382660004372222e-16,1.6871701965105726e-18,8.6213071934627413e-29,1.687170196511588e-18,6.2314444656098921e-29,1.8700147356909126e-29,4.5093681571630841e-56,1.6956835091797237e-48,1.3422982568263371e-58
2.9751715485699127e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999889,1.1973179429568608e-15,3.8563890207033191e-18,4.1507882977791698e-28,3.8563890207082086e-18,3.0001722692759654e-28,9.0033159793415329e-29,1.006015229246487e-54,1.6648321325776815e-47,2.6521551712492944e-57
6.322239540711064e-18,0.11224537200000013,0.0,0.0,0.0,0.0,0.99999999999999756,2.5443006287823954e-15,8.1948266694544198e-18,1.8127583006114415e-27,8.1948266694757729e-18,1.3102540516381543e-27,3.9319846266598449e-28,1.8841551841964161e-53,1.4725251817599036e-46,4.7193684669454284e-56
1.3016375524993366e-17,0.1122453720000003,0.0,0.0,0.0,0.0,0.99999999999999467,5.2382660004304953e-15,1.6871701968419055e-17,7.5679090628633715e-27,1.6871701968508197e-17,5.4700527420900981e-27,1.641526180520131e-27,3.2544095163798169e-52,1.2377461652890869e-45,7.9599048645485395e-55
2.6404647493557973e-17,0.1122453720000006,0.0,0.0,0.0,0.0,0.99999999999998934,1.0626196743714821e-14,3.4225452572198063e-17,3.0917377869683568e-26,3.4225452572562245e-17,2.2346950290001945e-26,6.7061700655507108e-27,5.4072500586354622e-51,1.0147791266697496e-44,1.3074168127044315e-53
5.318119143068719e-17,0.1122453720000012,0.0,0.0,0.0,0.0,0.99999999999997857,2.140205823023597e-14,6.8932953803155041e-17,1.2497298461240367e-25,6.893295380462713e-17,9.032994607693457e-26,2.7107411639991052e-26,8.8151822281603101e-50,8.2179450969292295e-44,2.1193791510189899e-52
1.067342793049456e-16,0.11224537200000244,0.0,0.0,0.0,0.0,0.99999999999995659,4.2953781203088242e-14,1.3834795635866477e-16,5.0251087461267801e-25,1.3834795636458394e-16,3.6321274059985233e-25,1.0899771006310851e-25,1.4236542564453145e-48,6.6145181730673428e-43,3.4131952922556246e-51
2.1384045505346244e-16,0.11224537200000487,0.0,0.0,0.0,0.0,0.9999999999999134,8.605722714803278e-14,2.7717796184406755e-16,2.0152933606606864e-24,2.771779618678061e-16,1.4566455429188337e-24,4.3712956846005247e-25,2.2884825476131404e-47,5.3077358934117248e-42,5.4789359784335864e-50
4.2805280655049616e-16,0.1122453720000097,0.0,0.0,0.0,0.0,0.99999999999982692,1.722641190348817e-13,5.5483797431240599e-16,8.0716851568515269e-24,5.5483797440748414e-16,5.8341800124648605e-24,1.7507983350868672e-24,3.670102800254959e-46,4.2526502732726133e-41,8.7805888319127437e-49
8.564775095445635e-16,0.11224537200001947,0.0,0.0,0.0,0.0,0.99999999999965317,3.4467790279641866e-13,1.1101580052392142e-15,3.2307776044852311e-23,1.1101580056197749e-15,2.3351924505713013e-23,7.0077560967129321e-24,5.8789973167517396e-45,3.4047101875124173e-40,1.406039908656372e-47
1.7133269155326984e-15,0.11224537200003896,0.0,0.0,0.0,0.0,0.999999999999306,6.8950547027084988e-13,2.2207980910533558e-15,1.292731869972491e-22,2.2207980925760963e-15,9.3438116465024463e-23,2.8040152765780648e-23,9.4118633324373547e-44,2.7248095942297086e-39,2.25058487512975e-46
3.427025727508968e-15,0.11224537200007792,0.0,0.0,0.0,0.0,0.99999999999861189,1.3791606050251411e-12,4.4420783585237368e-15,5.1717692555897342e-22,4.4420783646157033e-15,3.7381331832443396e-22,1.1217887254578528e-22,1.5063349739517579e-42,2.1802723645202648e-38,3.601685626062362e-45
6.854423351461508e-15,0.11224537200015582,0.0,0.0,0.0,0.0,0.99999999999722367,2.7584708737554387e-12,8.8846392768328561e-15,2.0688760689209452e-21,8.8846393012028078e-15,1.4953750422026009e-21,4.4875203274212734e-22,2.4104832077080397e-41,1.7444006217451262e-37,5.7633379791806123e-44
1.3709218599366587e-14,0.11224537200031162,0.0,0.0,0.0,0.0,0.99999999999444744,5.5170914081028943e-12,1.7769762646924263e-14,8.2758410174853826e-21,1.776976274440885e-14,5.9817441577658798e-21,1.7950813546310117e-21,3.8570436569248075e-40,1.3956141318305775e-36,9.2219849177937508e-43
