Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50)
5.122624014347047e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999978,2.0615314267673769e-16,6.6398964506160782e-19,1.7332334707766699e-29,6.6398964506181197e-19,1.2527738400460903e-29,3.7594903626320396e-30,2.1147197774224407e-57,1.9111828351989568e-49,8.8477446114707888e-60,3.1256709834474778e-87,5.5921103840690581e-90,1.8941562875802013e-98
1.4343347240171731e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999944,5.7722879949480917e-16,1.8591710062002491e-18,1.0468730163490329e-28,1.8591710062014825e-18,7.5667539939726213e-29,2.2707321790587041e-29,6.6490173333644241e-56,2.2689562678287363e-48,1.9792050835078359e-58,3.5552252242513894e-85,4.3151229091183661e-88,2.649848297390813e-96
3.2784793691821098e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999867,1.319380113130727e-15,4.249533728588519e-18,5.0402429330174212e-28,4.2495337285944563e-18,3.6430663269953834e-28,1.0932597974968252e-28,1.4833591898778121e-54,2.2276747302757972e-47,3.9105757405164605e-57,3.2185318962640407e-83,4.702832023393624e-86,5.7610714760778698e-94
6.966768659511983e-18,0.11224537200000015,0.0,0.0,0.0,0.0,0.99999999999999722,2.8036827404016621e-15,9.0302591738090133e-18,2.2012065078851978e-27,9.030259173834941e-18,1.5910227770045993e-27,4.7745527609914469e-28,2.7781675923298414e-53,1.9703530921335778e-46,6.9586606601789355e-56,2.4393607765257822e-81,3.8472085842773395e-84,9.4400555646350115e-92
1.434334724017173e-17,0.11224537200000033,0.0,0.0,0.0,0.0,0.99999999999999423,5.7722879949399252e-15,1.8591710066025816e-17,9.18960386204734e-27,1.8591710066134065e-17,6.6422069012389502e-27,1.9932817906713884e-27,4.7985936212371136e-52,1.6562005315957176e-45,1.1736798542516667e-54,1.6961802649010258e-79,2.7688639439782462e-82,1.3599545353631667e-89
2.9096504401491226e-17,0.11224537200000066,0.0,0.0,0.0,0.0,0.99999999999998834,1.1709498504002033e-14,3.7714611857562682e-17,3.7542530270321514e-26,3.77146118580049e-17,2.7135582496064441e-26,8.1432065084950277e-27,7.9729350274371534e-51,1.3578533165698378e-44,1.9277727637394252e-53,1.1310186183893466e-77,1.8768261194218396e-80,1.8444225277159677e-87
5.860281872413021e-17,0.11224537200000133,0.0,0.0,0.0,0.0,0.99999999999997635,2.3583919522068561e-14,7.596041546904939e-17,1.5175290988642102e-25,7.5960415470836936e-17,1.0968636310202157e-25,3.2916142708345927e-26,1.2997896218484286e-49,1.0996249133612568e-43,3.1250029788255642e-52,7.3877101061617376e-76,1.2357865663816764e-78,2.4293773645439981e-85
1.1761544736940818e-16,0.1122453720000027,0.0,0.0,0.0,0.0,0.99999999999995215,4.7332761557970879e-14,1.5245202280567487e-16,6.101917763148378e-25,1.5245202281286245e-16,4.4104404222619198e-25,1.3235436224075806e-25,2.0991636656118425e-48,8.8507394499081078e-43,5.0327217816599382e-51,4.7764759500443757e-74,8.0215958594033459e-77,3.1540552414064108e-83
2.3564070465996416e-16,0.11224537200000534,0.0,0.0,0.0,0.0,0.99999999999990474,9.4830445628852663e-14,3.054352379335342e-16,2.447141937940652e-24,3.0543523796235957e-16,1.7687838740998124e-24,5.3080019044359224e-25,3.3743441374787059e-47,7.1021634079307274e-42,8.078635680649546e-50,3.0725109598756216e-72,5.170128811401646e-75,4.0655727715114479e-81
4.716912192410761e-16,0.11224537200001072,0.0,0.0,0.0,0.0,0.99999999999980893,1.8982581376692451e-13,6.1140167000768531e-16,9.8013319761410554e-24,6.1140167012313747e-16,7.0843614481581983e-24,2.1259694082586438e-24,5.4115290419734357e-46,5.6903771499105127e-41,1.2946890200052573e-48,1.9714044391748944e-70,3.3205466633286967e-73,5.2214062355890303e-79
