Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40)
6.086584297678843e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999978,2.4494643323794607e-16,7.8893725874556074e-19,2.4469178410964393e-29,7.8893725874584886e-19,1.7686218918340662e-29,5.3075158060819501e-30,4.2148048154499262e-57,3.2058685931391977e-49,1.7634259161591878e-59,9.492881703075397e-87,1.5734853220533292e-89,6.332626323384964e-98,6.0310956541845557e-100,1.3594056965365275e-100,1.5403700381625001e-67,6.3976671455668445e-69,1.1967677360185429e-96,4.7589826087519007e-88,7.5720140563324087e-85
1.704243603350076e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999922,6.8585001306616941e-16,2.209024324526742e-18,1.4779383760221223e-28,2.209024324528483e-18,1.0682476226835834e-28,3.2057395469220616e-29,1.3252020703351023e-55,3.8060072054952307e-48,3.9447132490159344e-58,1.073414588708878e-84,1.2141717700110418e-87,8.8590878437421878e-96,8.4372653252267239e-98,1.90175506847708e-98,8.8717428467367376e-66,3.6847287133786018e-67,2.4390928899235284e-94,4.9812647062628331e-86,7.9256865638931721e-83
3.895413950514459e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999833,1.5676571727222981e-15,5.0491984562457945e-18,7.1156370819065406e-28,5.0491984562541754e-18,5.1431524616905739e-28,1.5434255964814778e-28,2.9564529170712023e-54,3.7367604671772593e-47,7.7940886865880654e-57,9.7124813132836048e-83,1.323263786533644e-85,1.9260658712810744e-93,1.8343601963498166e-95,4.1346380112325661e-96,3.9784618650205416e-64,1.6523870108831097e-65,4.4152040803503164e-92,4.4747465773411801e-84,7.1197657260848861e-81
8.277754644843226e-18,0.1122453720000002,0.0,0.0,0.0,0.0,0.99999999999999656,3.3312714920332822e-15,1.0729546720310657e-17,3.1075856581905092e-27,1.0729546720347262e-17,2.2461498028742767e-27,6.7405450744768314e-28,5.5371091069820482e-53,3.3051223572449076e-46,1.3869164549810102e-55,7.3586781610286408e-81,1.0825119353598556e-83,3.1560376393294027e-91,3.0057802556500734e-93,6.7750125094975882e-94,1.4967967858927841e-62,6.2166929014881467e-64,6.6961682713946869e-90,3.3742891422298933e-82,5.368828446748203e-79
1.704243603350076e-17,0.11224537200000038,0.0,0.0,0.0,0.0,0.99999999999999323,6.8585001306501631e-15,2.2090243250947413e-17,1.2973558393475596e-26,2.209024325110023e-17,9.3772332727093321e-27,2.8140448810621304e-27,9.5639789669734544e-52,2.778154559538722e-45,2.3392373741077933e-54,5.115786033133488e-79,7.7909169647183959e-82,4.5466499109779585e-89,4.3302174898776187e-91,9.7602868935480951e-92,5.1829320343940323e-61,2.152643367311485e-62,9.3148933987446192e-88,2.3395723146361919e-80,3.7224909696365045e-77
3.457179881081583e-17,0.11224537200000077,0.0,0.0,0.0,0.0,0.99999999999998612,1.3912957407863564e-14,4.4811636322249055e-17,5.3001219205135222e-26,4.481163632287337e-17,3.8309057644552562e-26,1.1496291542341748e-26,1.5890693983531999e-50,2.2776990712341199e-44,3.8422045978498212e-53,3.4108841552518052e-77,5.2809371312830189e-80,6.1663269393025498e-87,5.8728786103937723e-89,1.3237436740122419e-89,1.7243941226915736e-59,7.161980007056502e-61,1.2424273705933293e-85,1.5577240383596873e-78,2.4784924203198283e-75
6.963052436544597e-17,0.11224537200000156,0.0,0.0,0.0,0.0,0.99999999999997191,2.8021871962208934e-14,9.0254422504964824e-17,2.1423940219239569e-25,9.0254422507488402e-17,1.5485133616872868e-25,4.646984853701762e-26,2.5905841433686698e-49,1.8445399463357191e-43,6.2283798298568688e-52,2.2278464349711035e-75,3.4772060454341738e-78,8.1219276760687627e-85,7.7356383669859112e-87,1.7436087184034713e-87,5.6258448601797606e-58,2.3365997179367634e-59,1.6232092519215979e-83,1.0167285687762664e-76,1.6177145356126899e-73
1.3974797547470624e-16,0.11224537200000319,0.0,0.0,0.0,0.0,0.99999999999994327,5.6239701070573932e-14,1.8113999503084626e-16,8.6144721361934845e-25,1.8113999504099343e-16,6.2265041275341711e-25,1.8685321734214578e-25,4.1838001939153646e-48,1.4846465181494793e-42,1.0030615654078484e-50,1.4403633434232988e-73,2.2570840359510061e-76,1.0544583950057982e-82,1.0043651068502688e-84,2.2638335356420578e-85,1.8177112729939589e-56,7.5495569303991105e-58,2.0990325310361401e-81,6.5711219796613877e-75,1.0455287158125622e-71
2.799828776932268e-16,0.1122453720000064,0.0,0.0,0.0,0.0,0.99999999999988642,1.1267535928600099e-13,3.62911140724409e-16,3.4547886182563234e-24,3.6291114076510367e-16,2.4971066473831594e-24,7.4936497523398756e-25,6.7253362416195988e-47,1.1913358092786669e-41,1.6101365826108418e-49,9.2651496460108018e-72,1.4547497968007173e-74,1.3591704563080359e-80,1.2947512597079375e-82,2.9183623547401445e-83,5.8447387541073958e-55,2.4275135300807748e-56,2.7004960841991902e-79,4.2261425638859102e-73,6.7241861909451285e-70
5.604526821302679e-16,0.11224537200001272,0.0,0.0,0.0,0.0,0.99999999999977318,2.2554667571164347e-13,7.264534346787341e-16,1.3837174554449289e-23,7.2645343484172509e-16,1.0001451469004273e-23,3.0013685802918531e-24,1.0785607508116814e-45,9.5451914291359374e-41,2.5804188889489738e-48,5.9447283797318673e-70,9.3432186067205948e-73,1.7455156314334441e-78,1.6631699859365907e-80,3.7487761668133858e-81,1.8748189133115029e-53,7.786743409953447e-55,3.465454413637783e-77,2.7113580427026685e-71,4.3140061492030448e-68
1.12139229100435e-15,0.1122453720000255,0.0,0.0,0.0,0.0,0.9999999999995457,4.5128930854208137e-13,1.4535380328561801e-15,5.5384758932805038e-23,1.4535380335085702e-15,4.0031870733854315e-23,1.2013296212686995e-23,1.7277051028400619e-44,7.6419692991003004e-40,4.1320386824142671e-47,3.8094471732600556e-68,5.9901811780635357e-71,2.2371873151157644e-76,2.1326330532039903e-78,4.8069433613803687e-79,6.0066336849365557e-52,2.4947535579808702e-53,4.4414395277302085e-75,1.7374027543811474e-69,2.7643370677913125e-66
