Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535),C5H7(806)
6.690630089815187e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999978,2.6925544713800755e-16,8.6723309892551241e-19,2.9566923913248377e-29,8.6723309892586081e-19,2.1370847859694138e-29,6.4132482656923449e-30,6.1539077250467835e-57,4.2581979961764904e-49,2.5747242981981035e-59,1.6747822026779278e-86,2.7760223883529299e-89,1.2281105584176859e-97,1.1696336731409869e-99,2.6363479694173285e-100,2.4722475375537236e-67,1.0268063163132627e-68,2.3209378908711375e-96,8.3960377994990284e-88,1.3358930180108197e-84,7.537671233686513e-98,1.4950817987945972e-113,-3.2442022731834409e-184,-3.8652962917965124e-155,-1.4326314193463003e-163
1.8733764251482523e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999922,7.5391525198632494e-16,2.4282526770387679e-18,1.7858422043600335e-28,2.428252677040871e-18,1.2907992107465218e-28,3.8736019525426803e-29,1.9348870504446859e-55,5.0553326781732891e-48,5.7595552847220609e-58,1.8937723098692394e-84,2.1421032471960856e-87,1.7180768127129404e-95,1.6362714508540634e-97,3.688147053709578e-98,1.4238880179721212e-65,5.9138786537606363e-67,4.730227047153886e-94,8.7881991601766486e-86,1.3982897105908146e-82,1.4276908279456499e-95,5.4942867141366563e-111,6.3254930842833039e-181,7.2183741663783118e-152,4.8143133771574665e-160
4.28200325748172e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999833,1.7232348616825753e-15,5.5502918334546123e-18,8.5980614739701e-28,5.5502918334647404e-18,6.2146425579139971e-28,1.8649725957600934e-28,4.3166265674095313e-54,4.9633556354664959e-47,1.1379910750881241e-56,1.7135250790074871e-82,2.3345689000512609e-85,3.7352925935462359e-93,3.5574455747364394e-95,8.0184631815544772e-96,6.3853115187716643e-64,2.6520314059511749e-65,8.5625758073271444e-92,7.8945742794723163e-84,1.2561050800597329e-80,2.5657676258453928e-93,1.98902893755044e-108,1.06014192927648e-176,3.0047576189173958e-148,4.0097358510360565e-156
9.099256922148655e-18,0.1122453720000002,0.0,0.0,0.0,0.0,0.99999999999999645,3.66187408107354e-15,1.1794370147043633e-17,3.7549993369799293e-27,1.1794370147087863e-17,2.7140976785065938e-27,8.1448252984291241e-28,8.084563814857835e-53,4.390031911937841e-46,2.0249943425472287e-55,1.2982552224616635e-80,1.9098223068463747e-83,6.1206212936850693e-91,5.8292257358981168e-93,1.3139043417048123e-93,2.4023137787594542e-62,9.9776049457626047e-64,1.2986137777627356e-89,5.9530916374765884e-82,9.4719586913144038e-79,3.8736820866728898e-91,6.0360598218508589e-106,1.2696057408734883e-172,8.505303709073335e-145,2.2701298273372899e-152
1.8733764251482524e-17,0.11224537200000043,0.0,0.0,0.0,0.0,0.99999999999999245,7.5391525198493163e-15,2.4282526777250999e-17,1.5676383058780744e-26,2.4282526777435654e-17,1.1330823538138775e-26,3.4003042313699433e-27,1.3964073447286425e-51,3.6900864430354811e-45,3.4154490292822375e-54,9.0255284991348067e-79,1.3745129742945826e-81,8.8174811099955438e-89,8.3977580095496642e-91,1.8928501311109833e-91,8.3184498749218269e-61,3.4549277949869834e-62,1.8064732607621413e-87,4.1275919037144365e-80,6.5674068434990204e-77,5.3748121669355509e-89,1.6797735827027801e-103,1.254226465352935e-168,2.0337154571468743e-141,1.0856632298316958e-148
3.800277891015026e-17,0.11224537200000086,0.0,0.0,0.0,0.0,0.99999999999998479,1.5293709397376269e-14,4.9258840049783056e-17,6.4043139872853137e-26,4.9258840050537441e-17,4.6290111322810267e-26,1.3891352281039088e-26,2.3201516704097913e-50,3.0253559785124076e-44,5.60988558601507e-53,6.0176543850733972e-77,9.3168963631564193e-80,1.1958561632386677e-86,1.1389500282046087e-88,2.5671872259327635e-89,2.7676006494665276e-59,1.1494762275282003e-60,2.4094874057316306e-85,2.7482156627401094e-78,4.3726816816744634e-75,7.1594325758756918e-87,4.4816088204704894e-101,1.1270827119730605e-164,4.4931916218021714e-138,4.7973045613335493e-145
7.654080822748574e-17,0.11224537200000173,0.0,0.0,0.0,0.0,0.99999999999996925,3.0802823152331781e-14,9.9211466643316442e-17,2.588726109823277e-25,9.9211466646365759e-17,1.8711203122258147e-25,5.6151066987975163e-26,3.7824327404655387e-49,2.4500119793293349e-43,9.0938672521677693e-52,3.9304794152563304e-75,6.1346627434476246e-78,1.575107751212785e-84,1.5002022171269439e-86,3.381447711094921e-87,9.0293116074255637e-58,3.7501721890017389e-59,3.1479524480432152e-83,1.7937641323116001e-76,2.854053798865347e-73,9.3473704680602177e-85,1.1711108322331885e-98,9.6673687150083887e-161,9.5539541421042911e-135,2.0401364752606894e-141
1.536168668621567e-16,0.1122453720000035,0.0,0.0,0.0,0.0,0.99999999999993783,6.1821050661849209e-14,1.9911672002426018e-16,1.0409153831221691e-24,1.9911672003652137e-16,7.5236924889423414e-25,2.2578097100133795e-25,6.1086387907765243e-48,1.9719832222751782e-42,1.4645395988345582e-50,2.5411619311422975e-73,3.9820617723933503e-76,2.0449283877124855e-82,1.9478040213452963e-84,4.3903397616701088e-85,2.9173718543172587e-56,1.2116811500884294e-57,4.0707349958975515e-81,1.1593107914780185e-74,1.8445746331802573e-71,1.2083342711969223e-82,3.0289218142923607e-96,8.1029571528848981e-157,1.9935199409762574e-131,8.5138963342847124e-138
3.077689841314986e-16,0.112245372000007,0.0,0.0,0.0,0.0,0.99999999999987532,1.2385750567930966e-13,3.9892722756165575e-16,4.1745362470500102e-24,3.9892722761082851e-16,3.0173372001291587e-24,9.0548267877882257e-25,9.8194578406147252e-47,1.5823930429674996e-41,2.3509114066395016e-49,1.634604651395923e-71,2.5665431142744506e-74,2.635831175864338e-80,2.5109610694851988e-82,5.6596927036456023e-83,9.3806296402818009e-55,3.8960860768470671e-56,5.2371767131905805e-79,7.4559772466069773e-73,1.1863149266243404e-69,1.5543107300248193e-80,7.7938167541184221e-94,6.7141975499051596e-153,4.1209160897313998e-128,3.5199139684833474e-134
6.160732186701824e-16,0.11224537200001403,0.0,0.0,0.0,0.0,0.99999999999975031,2.4793041570793306e-13,7.9854824573847937e-16,1.671991925321505e-23,7.9854824593542697e-16,1.208508720139092e-23,3.6266537041592007e-24,1.5747735611485569e-45,1.2678411575543818e-40,3.7675913541801883e-48,1.0487991626521391e-69,1.6483778110483728e-72,3.3849903064473477e-78,3.2254496488630189e-80,7.2701460868229629e-81,3.0090278484943245e-53,1.2497488380620433e-54,6.7206905064315924e-77,4.7835185695204879e-71,7.6109877009972573e-68,1.9944249355183211e-78,2.0003257951051665e-91,5.5316613264500675e-149,8.4789556469097783e-125,1.4484722716171512e-130
