Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535),C5H7(806),C5H8(470)
6.805008120196355e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999978,2.7385843778307747e-16,8.8205867027030288e-19,3.0586473013705168e-29,8.8205867027066303e-19,2.210777364796583e-29,6.6343947576147248e-30,6.5856325237727281e-57,4.480337564222439e-49,2.7553529946002825e-59,1.8540784561259881e-86,3.0732135174478248e-89,1.3828302004607455e-97,1.3169863136683234e-99,2.9684800237199429e-100,2.6909157153481856e-67,1.1176264557679967e-68,2.6133339927196484e-96,9.2948878787419684e-88,1.4789089952814717e-84,8.4872811715132914e-98,1.7122137549906948e-113,-4.0439808734149953e-184,-4.6575840678939801e-155,-1.755795826154816e-163,-3.0956630469383209e-140
1.9054022736549795e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999922,7.6680362579251737e-16,2.4697642768058131e-18,1.8474229700276151e-28,2.4697642768079891e-18,1.3353095283592273e-28,4.0071744336671656e-29,2.0706282346871697e-55,5.3190567745579649e-48,6.163614455073233e-58,2.0965128692970004e-84,2.3714292373922094e-87,1.9345232814034324e-95,1.8424119925905973e-97,4.1527867265807228e-98,1.5498296939234255e-65,6.4369561567477513e-67,5.3261499098787378e-94,9.7290326551259728e-86,1.5479856568702403e-82,1.6075539924214104e-95,6.2922264825041055e-111,7.8848884459911066e-181,8.6979579250271096e-152,5.9002973257989273e-160,3.0026002862568679e-137
4.355205196925667e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999833,1.7526940018109996e-15,5.6451754900726957e-18,8.8945463523828038e-28,5.6451754900831728e-18,6.4289405771598339e-28,1.9292819956161704e-28,4.6194576819758134e-54,5.222281519567378e-47,1.2178263588454134e-56,1.8969690081419977e-82,2.5844995816009836e-85,4.2058714643390898e-93,4.0056192303982395e-95,9.0286441896250663e-96,6.9500868549197985e-64,2.8866013128624032e-65,9.6413051455396506e-92,8.7397394627626841e-84,1.3905792431280992e-80,2.8890078372097559e-93,2.2778972426880165e-108,1.3214939476466185e-176,3.6206567763797002e-148,4.9142280227395584e-156,6.199741902296632e-134
9.254811043467043e-18,0.11224537200000022,0.0,0.0,0.0,0.0,0.99999999999999623,3.724474753846374e-15,1.1995997917389908e-17,3.8844820727378043e-27,1.1995997917435663e-17,2.8076872536340756e-27,8.4256813432227108e-28,8.6517329760934521e-53,4.6190489284328267e-46,2.1670569668037157e-55,1.437241831028732e-80,2.1142811216879072e-83,6.8917076902593689e-91,6.5636025102865136e-93,1.4794324711717211e-93,2.6147963753265456e-62,1.0860115558878217e-63,1.4622155741315487e-89,6.5904085674404919e-82,1.0485993056339964e-78,4.3616958126498985e-91,6.9126817454403298e-106,1.5825959214183962e-172,1.024867540233321e-144,2.7822120999884567e-152,8.7325248316290909e-131
1.9054022736549797e-17,0.11224537200000047,0.0,0.0,0.0,0.0,0.99999999999999223,7.6680362579107608e-15,2.4697642775158121e-17,1.6216947991841702e-26,2.4697642775349143e-17,1.1721541591233221e-26,3.5175561014341347e-27,1.494371712354886e-51,3.8825890518506737e-45,3.6550584174653635e-54,9.9917696350096767e-79,1.5216634669472073e-81,9.9283211935507845e-89,9.4557232885501002e-91,2.1313149350190752e-91,9.0542096424732033e-61,3.7605131994927086e-62,2.034056146979012e-87,4.5694773006301177e-80,7.2704901699350699e-77,6.0519410753799e-89,1.9237284800285995e-103,1.5634252455306103e-168,2.4505755796359354e-141,1.3305606281300554e-148,1.0411608390336916e-127
3.8652446122715296e-17,0.11224537200000088,0.0,0.0,0.0,0.0,0.99999999999998446,1.5555159266014089e-14,5.0100932503229709e-17,6.6251524006396155e-26,5.0100932504010102e-17,4.7886322058531954e-26,1.4370364428800105e-26,2.4829209308190268e-50,3.1831812594442123e-44,6.0034447520954611e-53,6.6618831687609357e-77,1.0314330299240284e-79,1.3465116297420743e-86,1.2824370851316546e-88,2.8906062789981028e-89,3.0123925563649743e-59,1.2511464151697449e-60,2.7130391460117774e-85,3.0424299294311177e-78,4.840805501607891e-75,8.061391315132295e-87,5.1324765553118625e-101,1.4049372870776748e-164,5.4141820131969451e-138,5.8794517227808676e-145,1.1484173000965659e-124
7.784929289504631e-17,0.11224537200000177,0.0,0.0,0.0,0.0,0.99999999999996858,3.1329405282118941e-14,1.0090751200951347e-16,2.6779925274030948e-25,1.0090751201266794e-16,1.9356417023391997e-25,5.8087310678341144e-26,4.0477877106118893e-49,2.5778230026859773e-43,9.731843705871279e-52,4.3512626382128909e-75,6.7914180120875174e-78,1.7735408456927091e-84,1.6892005002884806e-86,3.8074488225684168e-87,9.8279464826665498e-58,4.0818717051592906e-59,3.5445374044533686e-83,1.985798205479905e-76,3.159598693460281e-73,1.0524969744924882e-84,1.3411922237941783e-98,1.2050620637013807e-160,1.151227254129523e-134,2.500338194632679e-141,1.219841111116471e-121
1.5624298643970833e-16,0.11224537200000358,0.0,0.0,0.0,0.0,0.99999999999993672,6.2877897313921492e-14,2.0252067122264343e-16,1.0768090170226968e-24,2.0252067123532742e-16,7.7831301612696818e-25,2.3356652173458065e-25,6.5371877596923299e-48,2.0748566837036034e-42,1.5672837675900553e-50,2.8132097459274191e-73,4.408367199498829e-76,2.3025472847242374e-82,2.1931920152910757e-84,4.9434429767917053e-85,3.1754108935634105e-56,1.3188533084619984e-57,4.5835738441167891e-81,1.2834225465099514e-74,2.0420482615609231e-71,1.3605624958678076e-82,3.4688146377841143e-96,1.0100541018352214e-156,2.4021409785806099e-131,1.0434409724478027e-137,1.2717009746815867e-118
3.130303735290324e-16,0.11224537200000714,0.0,0.0,0.0,0.0,0.99999999999987321,1.2597488137589794e-13,4.0574699045115314e-16,4.3184857728084552e-24,4.057469905020215e-16,3.1213833107150366e-24,9.3670621949905796e-25,1.050833773830135e-46,1.6649425660054403e-41,2.5158386406884875e-49,1.8095996573168651e-71,2.8413081223532046e-74,2.9678852070814195e-80,2.8272966359057618e-82,6.3727113633882671e-83,1.0210338278842455e-54,4.2406915424501842e-56,5.896966120246846e-79,8.2541883656774663e-73,1.313317600616099e-69,1.7501257329832212e-80,8.9257192751305709e-94,8.3694156037839329e-153,4.9655993387911888e-128,4.3139148070194465e-134,1.313138055419755e-115
6.266051477076805e-16,0.11224537200001429,0.0,0.0,0.0,0.0,0.99999999999974598,2.5216884949333614e-13,8.1219963211717145e-16,1.7296468192965845e-23,8.1219963232091046e-16,1.2501814348162111e-23,3.7517107290229536e-24,1.6852511284827232e-45,1.3339813084835092e-40,4.0319052529128965e-48,1.1610799120765501e-69,1.8248472888827591e-72,3.8114045569688808e-78,3.6317978063758938e-80,8.1860526382759976e-81,3.2751737717877962e-53,1.3602880450840274e-54,7.5673758793416076e-77,5.2956258911935658e-71,8.425793070239774e-68,2.245686391477701e-78,2.2908348126042787e-91,6.8953521648522427e-149,1.0216926217708669e-124,1.7752097546978792e-130,1.3486870865721572e-112
