Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6)
3.7272564514373704e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999989,1.4999844393692417e-16,4.8312343075095442e-19,9.1759419041119761e-30,4.8312343074177843e-19
1.0436318064024638e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999956,4.199956430233578e-16,1.3527456061324022e-18,5.5422689100833414e-29,1.3527456060769793e-18
2.385444128919917e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999911,9.5999004119610605e-16,3.0919899570142167e-18,2.6683639057153248e-28,3.0919899567473806e-18
5.069068773954824e-18,0.11224537200000013,0.0,0.0,0.0,0.0,0.99999999999999789,2.0399788375411248e-15,6.5704786592535227e-18,1.1653446218217674e-27,6.5704786580881771e-18
1.0436318064024638e-17,0.11224537200000022,0.0,0.0,0.0,0.0,0.99999999999999589,4.1999564302292544e-15,1.3527456065634839e-17,4.8650843975560854e-27,1.3527456060769753e-17
2.1170816644164263e-17,0.11224537200000048,0.0,0.0,0.0,0.0,0.99999999999999145,8.5199116155978798e-15,2.7441410886008291e-17,1.9875457201948122e-26,2.744141086613283e-17
4.2639813804443517e-17,0.11224537200000095,0.0,0.0,0.0,0.0,0.9999999999999829,1.7159821986304592e-14,5.5269320557198473e-17,8.0339775822329774e-26,5.5269320476858684e-17
8.557780812500202e-17,0.11224537200000194,0.0,0.0,0.0,0.0,0.99999999999996558,3.443964272759587e-14,1.109251400213519e-16,3.2304270510871551e-25,1.1092513969830919e-16
1.7145379676611904e-16,0.1122453720000039,0.0,0.0,0.0,0.0,0.99999999999993061,6.8999284209689817e-14,2.2223677943675102e-16,1.2955457318578326e-24,2.222367781412053e-16
3.432057740483531e-16,0.11224537200000781,0.0,0.0,0.0,0.0,0.999999999999861,1.3811856717192329e-13,4.4486006021591861e-16,5.1889404580123009e-24,4.4486005502697814e-16
6.867097286128212e-16,0.11224537200001561,0.0,0.0,0.0,0.0,0.99999999999972189,2.763571330885727e-13,8.9010662956773124e-16,2.0769284600552995e-23,8.9010660879844671e-16
1.3737176377417573e-15,0.11224537200003123,0.0,0.0,0.0,0.0,0.99999999999944356,5.5283426489060126e-13,1.7805997994452649e-15,8.3104191643415826e-23,1.7805997163410736e-15
2.7477334559996295e-15,0.11224537200006247,0.0,0.0,0.0,0.0,0.99999999999888711,1.1057885283695764e-12,3.5615862638959697e-15,3.3247088073510332e-22,3.5615859314250894e-15
5.4957650925153736e-15,0.11224537200012491,0.0,0.0,0.0,0.0,0.99999999999777411,2.211697054827201e-12,7.1235596915799229e-15,1.3299917587410122e-21,7.1235583615881636e-15
1.0991828365546863e-14,0.11224537200024987,0.0,0.0,0.0,0.0,0.99999999999554801,4.4235141057411451e-12,1.4247508542078001e-14,5.3201835124324586e-21,1.4247503221894488e-14
2.198395491160984e-14,0.11224537200049972,0.0,0.0,0.0,0.0,0.9999999999910959,8.847148199563813e-12,2.8495414223594846e-14,2.1281166997649822e-20,2.8495392942427847e-14
4.3968208003735795e-14,0.11224537200099949,0.0,0.0,0.0,0.0,0.99999999998219136,1.7694416355188271e-11,5.6991257508711129e-14,8.5125533776349994e-20,5.6991172383177354e-14
8.79367141879877e-14,0.11224537200199891,0.0,0.0,0.0,0.0,0.99999999996438316,3.5388952538353702e-11,1.1398307176727327e-13,3.4050386574223346e-19,1.139827312634075e-13
1.7587372655649152e-13,0.11224537200399785,0.0,0.0,0.0,0.0,0.99999999992876598,7.0778024392350438e-11,2.279672110377082e-13,1.3620189167112983e-18,2.2796584901879145e-13
3.5174775129349914e-13,0.11224537200799568,0.0,0.0,0.0,0.0,0.99999999985753207,1.4155616605100711e-10,4.5593753259176154e-13,5.4480825140255397e-18,4.5593208450924756e-13
7.034958007675144e-13,0.11224537201599141,0.0,0.0,0.0,0.0,0.99999999971506359,2.8311244117096874e-10,9.1188634775212616e-13,2.179234326797355e-17,9.1186455540885821e-13
1e-12,0.11224537203198279,0.0,0.0,0.0,0.0,0.99999999959497077,4.0243655741239953e-10,1.2962398207521612e-12,4.9346967367590998e-17,1.2961904737847942e-12
1.406991899715545e-12,0.11224537203198279,0.0,0.0,0.0,0.0,0.99999999943012752,5.6622495862145388e-10,1.8238166662780888e-12,8.7169395635664776e-17,1.8237294968824533e-12
2.813984097611606e-12,0.11224537206396556,0.0,0.0,0.0,0.0,0.99999999886025448,1.1324498623644136e-09,3.6478080561205239e-12,3.4867759679030392e-16,3.647459378523734e-12
4.220976295507667e-12,0.11224537209594837,0.0,0.0,0.0,0.0,0.99999999829038155,1.6986746348683407e-09,5.4719301984631285e-12,7.4093986837124982e-16,5.4711892585947578e-12
