,adjlist.py,chemkin.py,nodes.py,nodes.py,poll.py,surfaces.py,weakref.py,~,~,~,~,~,~,~,~,~,~,~,~,~,~
,717,1653,148,164,77,576,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,toAdjacencyList,markDuplicateReaction,iter_fields,iter_child_nodes,poll,write_to_png,__init__,<getattr>,<isinstance>,<map>,<matplotlib._png.write_png>,<method 'format' of 'str' objects>,<method 'generateResonanceIsomers' of 'rmgpy.species.Species' objects>,<method 'getFormula' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'match' of '_sre.SRE_Pattern' objects>,<method 'reduce' of 'numpy.ufunc' objects>,<method 'simulate' of 'rmgpy.solver.base.ReactionSystem' objects>,<method 'sort' of 'list' objects>,<method 'split' of '_sre.SRE_Pattern' objects>,<method 'toSMILES' of 'rmgpy.molecule.molecule.Molecule' objects>,<open>
,,,,,,,,,,,,,,,,,,,,,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.012123,0.014291,0.124028,0.0,0.009387,0.010623,0.017124,0.0,0.222169,0.0,0.0,0.0,0.014552,0.012496,0.012787,0.0,0.0,0.0,0.0
2,0.0,0.0,0.024424,0.028564,0.144525,0.0,0.019378,0.0212,0.033679,0.0,0.445988,0.0,0.0,0.0,0.029243,0.025075,0.025704,0.0,0.0,0.0,0.019622
3,0.0,0.0,0.036983,0.0429,0.159993,0.0,0.028753,0.032113,0.0503,0.0,0.687315,0.0,0.0,0.0,0.042354,0.036679,0.037547,0.0,0.0,0.0,0.029917
4,0.048122,0.0,0.049417,0.057332,0.284246,0.0,0.038259,0.044289,0.068947,0.0,0.913995,0.0,0.0,0.0,0.057233,0.049075,0.049425,0.0,0.0,0.0,0.038584
5,0.066283,0.0,0.06187,0.071743,0.286166,0.0,0.050448,0.056019,0.087494,0.0,1.141029,0.0,0.0,0.0,0.069889,0.064646,0.073261,0.0,0.0,0.0,0.048871
6,0.10428,0.0,0.074251,0.086276,0.286658,0.0,0.061936,0.070261,0.111447,0.0,1.372985,0.076074,0.0,0.0,0.084794,0.089603,0.131146,0.0,0.0,0.0,0.06106
7,0.154203,0.0,0.086712,0.100678,0.423441,0.0,0.073934,0.085346,0.13427,0.0,1.605562,0.110179,0.0,0.0,0.099697,0.117802,0.206984,0.0,0.0,0.0,0.071088
8,0.214052,0.0,0.099309,0.11478,0.556762,0.0,0.084341,0.101608,0.156501,0.0,1.838109,0.151067,0.0,0.0,0.11504,0.138943,0.250771,0.0,0.0,0.0,0.080956
9,0.305395,0.0,0.111808,0.130134,0.573587,0.0,0.09555,0.1209,0.183998,0.0,2.077144,0.212188,0.0,0.0,0.129288,0.173103,0.352323,0.0,0.0,0.0,0.091248
10,0.492249,0.0,0.123915,0.145704,0.644466,0.0,0.106965,0.146778,0.219586,0.0,2.314837,0.335402,0.0,0.0,0.143462,0.208362,0.456932,0.0,0.0,0.0,0.101924
11,0.730953,0.0,0.136202,0.160091,0.782976,0.175245,0.119052,0.1741,0.251099,0.0,2.552453,0.489719,0.0,0.0,0.158392,0.239021,0.548393,0.0,0.0,0.163571,0.11337
12,1.046519,0.0,0.148447,0.174383,0.978187,0.255566,0.130387,0.206053,0.287302,0.0,2.789784,0.693784,0.0,0.0,0.173239,0.276858,0.68036,0.0,0.0,0.239267,0.125151
13,1.617314,0.0,0.160708,0.188649,1.196787,0.494045,0.142818,0.255887,0.339823,0.0,3.029143,1.060381,0.658857,0.0,0.187138,0.316252,0.807981,0.0,0.0,0.404566,0.137877
14,2.303408,0.0,0.173139,0.203094,1.341151,0.601719,0.15517,0.306296,0.388545,0.0,3.266883,1.497277,0.673943,0.0,0.202046,0.355535,0.978921,0.0,0.0,0.564019,0.150829
15,3.04515,0.0,0.185385,0.217638,1.477553,0.64374,0.167054,0.358222,0.435718,0.462206,3.504464,1.970104,0.680169,0.0,0.216683,0.399094,1.187881,0.0,0.0,0.718551,0.16454
16,3.876179,0.0,0.197601,0.232028,1.61007,0.736668,0.178923,0.416942,0.489738,0.587762,3.742052,2.495359,0.691515,0.0,0.2318,0.448153,1.443683,0.536335,0.0,0.906057,0.176965
