,adjlist.py,chemkin.py,nodes.py,nodes.py,poll.py,surfaces.py,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~
,717,1653,148,164,77,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,toAdjacencyList,markDuplicateReaction,iter_fields,iter_child_nodes,poll,write_to_png,<getattr>,<isinstance>,<map>,<matplotlib._png.write_png>,<method 'close' of 'file' objects>,<method 'copy' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'format' of 'str' objects>,<method 'getFormula' of 'rmgpy.molecule.molecule.Molecule' objects>,<method 'match' of '_sre.SRE_Pattern' objects>,<method 'reduce' of 'numpy.ufunc' objects>,<method 'simulate' of 'rmgpy.solver.base.ReactionSystem' objects>,<method 'sort' of 'list' objects>,<method 'split' of '_sre.SRE_Pattern' objects>,<method 'toSMILES' of 'rmgpy.molecule.molecule.Molecule' objects>,<open>
,,,,,,,,,,,,,,,,,,,,,
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.012637,0.014462,0.0,0.0,0.010756,0.017785,0.0,0.222078,0.01001,0.0,0.0,0.0,0.014828,0.012687,0.013074,0.0,0.0,0.0,0.010621
2,0.0,0.0,0.025447,0.029008,0.0,0.0,0.021396,0.034806,0.0,0.445834,0.019518,0.0,0.0,0.0,0.030113,0.025539,0.02634,0.0,0.0,0.0,0.02078
3,0.029255,0.0,0.037902,0.04361,0.0,0.0,0.032451,0.051496,0.0,0.670862,0.028993,0.0,0.0,0.0,0.043171,0.03723,0.037699,0.0,0.0,0.0,0.031622
4,0.04812,0.0,0.05058,0.058005,0.0,0.0,0.044676,0.07051,0.0,0.89684,0.039657,0.0,0.0,0.0,0.057846,0.04965,0.048956,0.0,0.0,0.0,0.043084
5,0.066792,0.0,0.063157,0.072598,0.0,0.0,0.056759,0.088147,0.0,1.123799,0.050559,0.0,0.0,0.0,0.07081,0.065605,0.07316,0.0,0.0,0.0,0.053713
6,0.105689,0.0,0.075775,0.08691,0.0,0.0,0.071077,0.112065,0.0,1.35546,0.063128,0.0,0.078496,0.0,0.085751,0.091378,0.134617,0.0,0.0,0.0,0.06444
7,0.157602,0.0,0.088419,0.101205,0.098433,0.0,0.086693,0.134647,0.0,1.589096,0.076977,0.0,0.114612,0.0,0.099697,0.120151,0.211045,0.0,0.0,0.0,0.07529
8,0.219216,0.0,0.100989,0.115747,0.138324,0.0,0.103248,0.157156,0.0,1.821601,0.095702,0.0,0.156426,0.0,0.115113,0.141774,0.255125,0.0,0.0,0.0,0.086167
9,0.311841,0.0,0.113623,0.129971,0.202921,0.0,0.12269,0.183824,0.0,2.06053,0.113089,0.0,0.219173,0.0,0.129977,0.176827,0.358812,0.0,0.0,0.0,0.097665
10,0.503156,0.0,0.126234,0.144589,0.284029,0.145991,0.149362,0.218907,0.0,2.297012,0.14168,0.0,0.344423,0.0,0.145203,0.21188,0.459575,0.0,0.0,0.0,0.108276
11,0.747263,0.0,0.138784,0.159014,0.383445,0.180174,0.176796,0.251299,0.0,2.5345,0.169852,0.0,0.501143,0.0,0.158785,0.243281,0.551392,0.0,0.0,0.0,0.120396
12,1.071846,0.0,0.151535,0.173539,0.384807,0.25706,0.209246,0.290874,0.0,2.771753,0.208125,0.0,0.709604,0.0,0.174173,0.278136,0.66422,0.0,0.0,0.240448,0.130902
13,1.657224,0.0,0.164197,0.18792,0.389419,0.49223,0.259369,0.351661,0.0,3.011225,0.268808,0.691891,1.086045,0.0,0.189032,0.3182,0.792512,0.0,0.0,0.409325,0.143567
14,2.356454,0.0,0.176653,0.202328,0.461774,0.591384,0.310382,0.404245,0.0,3.2488,0.534457,0.711323,1.52382,0.0,0.204531,0.358231,0.964444,0.0,0.0,0.570081,0.15651
15,3.112438,0.0,0.189239,0.216658,0.553794,0.634962,0.362348,0.452829,0.466175,3.486134,0.608668,0.717002,2.005948,0.0,0.219086,0.401939,1.172676,0.0,0.0,0.72562,0.170657
16,3.958466,0.0,0.201931,0.230934,0.597114,0.732229,0.421488,0.509851,0.592818,3.723701,0.686108,0.726098,2.531898,0.0,0.234456,0.448432,1.406398,0.0,0.0,0.913004,0.183418
17,4.942638,0.0,0.214359,0.245202,0.680595,0.787319,0.48502,0.567125,0.735187,3.96173,0.777358,0.739897,3.132485,0.0,0.249041,0.49524,1.654605,0.0,0.0,1.102371,0.197722
18,6.032938,0.0,0.226971,0.259631,0.683611,0.983163,0.558402,0.640577,0.897865,4.198201,0.890426,0.765994,3.834809,0.0,0.264478,0.541921,1.880908,0.82248,0.0,1.363125,0.211973
19,7.219567,0.0,0.239438,0.273958,0.752635,1.102205,0.635461,0.710462,1.079492,4.436972,1.245208,0.782357,4.589644,0.904024,0.279339,0.592848,2.178862,0.984973,0.0,1.631604,0.229378
20,8.719239,0.0,0.252308,0.288372,0.827008,1.467586,0.740395,0.812991,1.302864,4.676248,1.370463,0.821161,5.551171,1.097473,0.29242,0.648113,2.476082,1.19147,0.0,2.005976,0.246262
