Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28)
4.96967526846156e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999978,1.9999792524433445e-16,6.4416533400336113e-19,1.6312785606511571e-29,6.4416533400355325e-19,1.1790812611616902e-29,3.5383480434464512e-30,1.8732465846819217e-57,1.7450538294140915e-49,7.8374485128360928e-60,2.6058921938618653e-87,4.6621787519837598e-90
1.3915090751692369e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999944,5.599941906840835e-16,1.8036629352355264e-18,9.8529225063322999e-29,1.803662935236687e-18,7.121650817502653e-29,2.1371622182680925e-29,5.8897869799609307e-56,2.0717279114894645e-48,1.7532058867385006e-58,2.964014352791195e-85,3.5975460085198583e-88
3.1805921718153984e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999867,1.2799867215633694e-15,4.1226581378043167e-18,4.7437580543725287e-28,4.1226581378099026e-18,3.4287683075872614e-28,1.0289516110738812e-28,1.3139790746948245e-54,2.034034759126937e-47,3.4640394089972158e-57,2.6833109388639498e-83,3.9207816397668293e-86
6.758758365107721e-18,0.11224537200000015,0.0,0.0,0.0,0.0,0.99999999999999722,2.7199717833210933e-15,8.7606485433597347e-18,2.0717237720258984e-27,8.760648543384137e-18,1.4974332018087143e-27,4.493702015586742e-28,2.4609373827827122e-53,1.7990807281781401e-46,6.1640731065732841e-56,2.0337109169648837e-81,3.2074428530720921e-84
1.3915090751692367e-17,0.1122453720000003,0.0,0.0,0.0,0.0,0.99999999999999445,5.5999419068331484e-15,1.8036629356141928e-17,8.6490389285627923e-27,1.8036629356243805e-17,6.2514888478795925e-27,1.876032133004083e-27,4.2506573256578802e-52,1.5122357857631104e-45,1.0396610460263923e-54,1.4141164986882922e-79,2.3084199587633869e-82
2.822775552486166e-17,0.11224537200000062,0.0,0.0,0.0,0.0,0.99999999999998868,1.1359882153843684e-14,3.6588590988391729e-17,3.5334146135046633e-26,3.6588590988807927e-17,2.5539371759429298e-26,7.6642033991490374e-27,7.0625306833393654e-51,1.2398223134045004e-44,1.7076464577153418e-53,9.4293756404583674e-78,1.5647222719886817e-80
5.685308507120024e-17,0.11224537200000129,0.0,0.0,0.0,0.0,0.99999999999997713,2.2879762647810472e-14,7.3692514279633002e-17,1.4282626812142775e-25,7.3692514281315309e-17,1.0323422408835533e-25,3.0979935553117831e-26,1.1513707383261515e-49,1.0040403362320709e-43,2.7681687149507963e-52,6.1591818611579233e-76,1.0302834820635588e-78
1.1410374416387741e-16,0.11224537200000263,0.0,0.0,0.0,0.0,0.99999999999995359,4.5919523635526867e-14,1.4790036096908223e-16,5.7429814238602968e-25,1.4790036097584671e-16,4.1510027499507223e-25,1.2456895841706961e-25,1.8594667786876239e-48,8.0813914457464089e-43,4.4580510845716774e-51,3.9821789843638856e-74,6.6876591199889835e-77
2.2860506234923175e-16,0.11224537200000519,0.0,0.0,0.0,0.0,0.99999999999990752,9.199904561009109e-14,2.9631605477584751e-16,2.3031924120680824e-24,2.9631605480297614e-16,1.6647377636084335e-24,4.9957723892342042e-25,2.9890384129763046e-47,6.4848098124469083e-42,7.1561615699969014e-50,2.5615723003187476e-72,4.3103732701744238e-75
4.576076987199404e-16,0.11224537200001043,0.0,0.0,0.0,0.0,0.99999999999981448,1.8415808955574499e-13,5.9314744410084495e-16,9.2247830359274861e-24,5.9314744420950108e-16,6.667634302470602e-24,2.0009147434850269e-24,4.7936036048281497e-46,5.1957425807168022e-41,1.1468525126539771e-48,1.6435726343546195e-70,2.7683655655133795e-73
