Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39)
5.958431328278888e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999978,2.3978908862097614e-16,7.7232710376156966e-19,2.3449629309360045e-29,7.7232710376184574e-19,1.6949293129241502e-29,5.0863753124672414e-30,3.8708884499600556e-57,3.0076036851939865e-49,1.6195352595843939e-59,8.3550268867148867e-87,1.3848810700985962e-89,5.4562209786600522e-98,5.1964206095457617e-100,1.1712703931857998e-100,1.38489394287227e-67,5.7519238373311316e-69,1.0311405209020217e-96,4.1885518969794445e-88
1.6683607719180887e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999922,6.7140944813865696e-16,2.1625158905699349e-18,1.4163576102852275e-28,2.1625158905716031e-18,1.0237373050210161e-28,3.0721706887757747e-29,1.2170692624156649e-55,3.5706271058263256e-48,3.6228356047130936e-58,9.4475081729401594e-85,1.0686362792655776e-87,7.6330323779686125e-96,7.2695878055336463e-98,1.638561183276159e-98,7.9762801319615e-66,3.3128136301211594e-67,2.101533519622134e-94,4.3841903676660778e-86
3.813396050098489e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999856,1.5346501671737139e-15,4.9428934643368274e-18,6.8191522031601143e-28,4.9428934643448578e-18,4.9288544422058732e-28,1.4791179409338156e-28,2.7152145712410396e-54,3.5056628876192609e-47,7.1581126976665306e-57,8.5483044058371381e-83,1.1646520898457329e-85,1.6595076124376208e-93,1.5804934419809714e-95,3.5624237130347289e-96,3.5768987986356035e-64,1.4856046775294091e-65,3.8041599023093332e-92,3.9383855278352845e-84
8.10346660645929e-18,0.11224537200000019,0.0,0.0,0.0,0.0,0.99999999999999678,3.2611316052426082e-15,1.0503648612471252e-17,2.9781029222868787e-27,1.0503648612506329e-17,2.1525602276435305e-27,6.4596966475395992e-28,5.0852963845870996e-53,3.100719161837009e-46,1.2737479240574726e-55,6.4766375250901348e-81,9.5275771975410979e-84,2.7192574069335118e-91,2.5897945190293369e-93,5.8373828993316893e-94,1.345718724245124e-62,5.589216081243753e-64,5.7694490149053562e-90,2.969833325272527e-82
1.668360771918089e-17,0.11224537200000038,0.0,0.0,0.0,0.0,0.99999999999999323,6.7140944813755188e-15,2.1625158911142675e-17,1.2432993459806063e-26,2.1625158911289119e-17,8.9865152191925799e-27,2.6967961913057123e-27,8.7835848503115291e-52,2.6063413518935618e-45,2.1483620999107971e-54,4.5025874290560409e-79,6.8570664587735669e-82,3.9174163126444761e-89,3.7309359198933881e-91,8.4095094634036232e-92,4.6597966747460053e-61,1.9353680674907663e-62,8.0257544827735004e-88,2.0591417973669862e-80
3.3843889944624085e-17,0.11224537200000076,0.0,0.0,0.0,0.0,0.99999999999998646,1.362002023362183e-14,4.3868179518095818e-17,5.0792835069105396e-26,4.3868179518694089e-17,3.6712846907177555e-26,1.1017292387197802e-26,1.4594057498170985e-50,2.1368362137636424e-44,3.5286913679856243e-53,3.0020419170145211e-77,4.6479428606850952e-80,5.3129397639716611e-87,5.0601000569260946e-89,1.1405438260572834e-89,1.5503436947848776e-59,6.4390914068070689e-61,1.0704810676977712e-85,1.3710089830175088e-78
6.816445439551048e-17,0.11224537200000154,0.0,0.0,0.0,0.0,0.99999999999997258,2.7431871738036421e-14,8.8354220770443247e-17,2.0531276042435718e-25,8.8354220772861586e-17,1.4839919715128884e-25,4.4533657365065879e-26,2.3791996745091222e-49,1.7304655371351393e-43,5.7201613129890972e-52,1.9608078345079525e-75,3.0604142071064174e-78,6.9978999236677877e-85,6.6650626993243589e-87,1.5023015399732393e-87,5.0580044286532642e-58,2.1007569353692971e-59,1.3985644645352653e-83,8.9485939263506062e-77
1.3680558329728328e-16,0.11224537200000312,0.0,0.0,0.0,0.0,0.99999999999994449,5.5055574746553414e-14,1.7732630342890266e-16,8.2555357967834614e-25,1.7732630343862663e-16,5.9670664550082686e-25,1.7906787778457401e-25,3.8424137239229612e-48,1.3928294850604147e-42,9.2121452035122661e-51,1.267715618559599e-73,1.9865409090047861e-76,9.0852856769869275e-83,8.6536573975354108e-85,1.9505297116946006e-85,1.6342419498914682e-56,6.7875485780312144e-58,1.8085359572834601e-81,5.7834807481899319e-75
2.7408784110082885e-16,0.11224537200000627,0.0,0.0,0.0,0.0,0.99999999999988876,1.1030298076233876e-13,3.5527046936088005e-16,3.3108390923352562e-24,3.5527046939987744e-16,2.3930605367551683e-24,7.181422814341701e-25,6.176567499786389e-47,1.1176583836367984e-41,1.4787538857740683e-49,8.1545916246082654e-72,1.2803776662253766e-74,1.1710734196246725e-80,1.1155638289303085e-82,2.5144748525395596e-83,5.2548044406070675e-55,2.1824944413212016e-56,2.3267596699447448e-79,3.7195798883998069e-73
5.486523567079201e-16,0.11224537200001247,0.0,0.0,0.0,0.0,0.99999999999977784,2.2079779278891495e-13,7.1115880368506888e-16,1.3260625614044728e-23,7.1115880384126196e-16,9.5847243223649436e-24,2.8763149476196198e-24,9.9055319413315515e-46,8.9548748226703752e-41,2.3698637977338366e-48,5.2321693259579659e-70,8.2233030837625245e-73,1.5039592082087192e-78,1.4329951581880097e-80,3.2299633483997389e-81,1.6855854791920536e-53,7.0007948671815945e-55,2.9858511961272932e-77,2.3863634201187261e-71
