Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309)
6.335117792526239e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999978,2.5494833087472742e-16,8.2115290201861148e-19,2.6508276610580765e-29,8.2115290201892367e-19,1.9160070493943342e-29,5.7498155706207265e-30,4.9465417619969305e-57,3.6148383099336767e-49,2.0695762487795326e-59,1.2069364058295882e-86,2.0005481777733506e-89,8.3801388762306902e-98,7.9811153606636202e-100,1.7989390830617671e-100,1.8816129598347412e-67,7.8149626488684464e-69,1.5837154202420643e-96,6.0506277653291486e-88,9.6271498142050869e-85,5.1434072949306972e-98,9.6597602102262576e-114
1.773832981907347e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999922,7.1385532644915068e-16,2.2992281256945481e-18,1.6010999072789352e-28,2.2992281256964344e-18,1.1572682578520014e-28,3.4728886047096772e-29,1.5552718740055603e-55,4.2915360553084228e-48,4.6295592996451155e-58,1.3647522287785713e-84,1.543712602990894e-87,1.1723474624292773e-95,1.1165266107166855e-97,2.5166449781656694e-98,1.0837127380376391e-65,4.501018357232144e-67,3.2277182169438298e-94,6.3332399119289718e-86,1.0076813297321176e-82,9.7419948243708062e-96,3.5498721334944084e-111
4.0544753872167936e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999833,1.6316693175976524e-15,5.25537857321617e-18,7.7086068383547384e-28,5.2553785732252488e-18,5.5717484999060793e-28,1.6720463680186468e-28,3.4697259923656957e-54,4.2134555751517622e-47,9.1472290867393819e-57,1.234856565308969e-82,1.6824135057954655e-85,2.5488157586677058e-93,2.4274594833604323e-95,5.471480612469188e-96,4.8598227825734065e-64,2.0184455484826404e-65,5.8427601112543039e-92,5.6892466721705454e-84,9.0521558431402251e-81,1.7507778598104541e-93,1.2851164788314178e-108
8.615760197835685e-18,0.1122453720000002,0.0,0.0,0.0,0.0,0.99999999999999656,3.4672972998932772e-15,1.11676794689384e-17,3.3665511295415371e-27,1.1167679468978052e-17,2.4333289530070723e-27,7.3022657755371045e-28,6.4984127698260101e-53,3.7267537890515768e-46,1.6277005631212887e-55,9.3559119953268023e-81,1.3763187041864013e-83,4.1764704941815969e-91,3.9776319830626568e-93,8.9655610694381689e-94,1.828386790486808e-62,7.5938966050068658e-64,8.8612223080748275e-90,4.2901118503478189e-82,6.8259931101425797e-79,2.6432467071569773e-91,3.8999130645150563e-106
1.7738329819073468e-17,0.11224537200000041,0.0,0.0,0.0,0.0,0.99999999999999289,7.1385532644790152e-15,2.2992281263098811e-17,1.4054688258909934e-26,2.2992281263264358e-17,1.0158669378375175e-26,3.0485522163070142e-27,1.1224391977766092e-51,3.1325611952747508e-45,2.7453549788171502e-54,6.5042719492701727e-79,9.9054656009095939e-82,6.0167037778084809e-89,5.7302963329235951e-91,1.291605706290025e-91,6.3311229391154381e-61,2.6295252821325273e-62,1.2326652782480484e-87,2.9745604292168115e-80,4.7328198247043265e-77,3.6675582103147952e-89,1.0853058328593811e-103
3.598346906154904e-17,0.11224537200000083,0.0,0.0,0.0,0.0,0.99999999999998546,1.4481065193628433e-14,4.6641484862283445e-17,5.7417987469413089e-26,4.6641484862959757e-17,4.1501479113752671e-26,1.2454330525055049e-26,1.8649495009840374e-50,2.5682630634005531e-44,4.5092540244151395e-53,4.3366391832327765e-77,6.7142470266145561e-80,8.1600610083233078e-87,7.7717423719774373e-89,1.7517465425934263e-89,2.1064044658055189e-59,8.7485961574116902e-61,1.6441380674974574e-85,1.980509129366726e-78,3.1511850948968151e-75,4.885312236549517e-87,2.8955784463853212e-101
7.247374754650018e-17,0.11224537200000162,0.0,0.0,0.0,0.0,0.99999999999997091,2.9166089051839061e-14,9.3939892104107947e-17,2.3209268569701536e-25,9.3939892106841683e-17,1.6775561418147777e-25,5.0342395285460677e-26,3.0403383311458439e-49,2.0798462327101922e-43,7.3096958294372797e-52,2.8325107894200552e-75,4.4209616105496072e-78,1.074794567890694e-84,1.023678376344025e-86,2.3073655425866948e-87,6.8721556022977701e-58,2.8542340634993862e-59,2.1480371369027931e-83,1.29268098908197e-76,2.0567817307566364e-73,6.3782740569061816e-85,7.5665757598676158e-99
1.4545430451640247e-16,0.11224537200000331,0.0,0.0,0.0,0.0,0.99999999999994105,5.8536136767907406e-14,1.8853670676157768e-16,9.3323448137484509e-25,1.8853670677257004e-16,6.7453794717204716e-25,2.0242455752146077e-25,4.9101543825160502e-48,1.6740415403422899e-42,1.1772042167911233e-50,1.8312953127152177e-73,2.8696837983800529e-76,1.3953873027561615e-82,1.3291040645321344e-84,2.9957933952226014e-85,2.2203944482355024e-56,9.2220342050732245e-58,2.7777070975018608e-81,8.3546042101435675e-75,1.3292977915607249e-71,8.2451926672765699e-83,1.9569937798266031e-96
2.9141541845620704e-16,0.11224537200000666,0.0,0.0,0.0,0.0,0.99999999999988176,1.1727623219863263e-13,3.7773033677180079e-16,3.7426876695909463e-24,3.7773033681588485e-16,2.7051988683115751e-24,8.1181301400262186e-25,7.8929293021729146e-47,1.3433134699335655e-41,1.8896742434305928e-49,1.1779823046819783e-71,1.849586385474572e-74,1.7986107738869452e-80,1.7133800670605325e-82,3.8619494277955289e-83,7.1395417110303762e-55,2.9652882872642607e-56,3.5736403004512513e-79,5.3731693364680521e-73,8.5492112278040596e-70,1.0605998224509907e-80,5.0356039306326552e-94
5.833376463358162e-16,0.11224537200001326,0.0,0.0,0.0,0.0,0.99999999999976386,2.3475642305443703e-13,7.5611759957338105e-16,1.4990272433224443e-23,7.5611759974994735e-16,1.083490576112749e-23,3.2514864641888343e-24,1.2658108694323772e-45,1.0762863451545259e-40,3.0284084711001818e-48,7.5581995565162512e-70,1.1879080384995801e-72,2.3098453391558404e-78,2.2009187133209594e-80,4.9608588933730288e-81,2.2901533046765267e-53,9.511765270597101e-55,4.5859307003482744e-77,3.4472542936488064e-71,5.4848793023077479e-68,1.3609161880939666e-78,1.2924153001951789e-91
1.1671821020950345e-15,0.11224537200002654,0.0,0.0,0.0,0.0,0.99999999999952727,4.6971680474346158e-13,1.5128921363010772e-15,6.0000155507372724e-23,1.5128921370078027e-15,4.3367859988133119e-23,1.3014419586954776e-23,2.0276538680384868e-44,8.6168494440890305e-40,4.849407123905316e-47,4.8433774241789334e-68,7.6159881791546602e-71,2.9604198173670729e-76,2.8221720881192293e-78,6.361160612134465e-79,7.3373016260495732e-52,3.0474241559218108e-53,5.8774788507878877e-75,2.2089561107012717e-69,3.5146113670075902e-66,1.7441210455532187e-76,3.312818386173767e-89
2.334871013613471e-15,0.11224537200005312,0.0,0.0,0.0,0.0,0.99999999999905409,9.3963756803117362e-13,3.0264412542546094e-15,2.4007877582780361e-22,3.0264412570824355e-15,1.7352793212145052e-22,5.2074631310044391e-23,3.2461314678213099e-43,6.8961214422512977e-39,7.7622346684863752e-46,3.1017298952065271e-66,4.8785139140406957e-69,3.7890447884474859e-74,3.6155785753497809e-76,8.1494944562067307e-77,2.3493464793858551e-50,9.7576117114873562e-52,7.5279849478697765e-73,1.4146176570593622e-67,2.2507239564844031e-64,2.2338564533839544e-74,8.4862591829892548e-87
4.6702488366503435e-15,0.11224537200010616,0.0,0.0,0.0,0.0,0.99999999999810862,1.8794790942452522e-12,6.0535396681542314e-15,9.6047143303407722e-22,6.0535396794674087e-15,6.9422474641579724e-22,2.0833244137032455e-22,5.1953154227079609e-42,5.5179818035987171e-38,1.2422183000901217e-44,1.98574405983589e-64,3.1236154619222806e-67,4.8428020428960651e-72,4.6299823388195513e-74,1.0435954810265367e-74,7.5201603447781953e-49,3.1233698827470648e-50,9.638943194191363e-71,9.0566039988413343e-66,1.4409018910275798e-62,2.860235025263944e-72,2.1731890797819354e-84
9.341004482724088e-15,0.11224537200021237,0.0,0.0,0.0,0.0,0.99999999999621636,3.7591621452280212e-12,1.2107737207923598e-14,3.8421984127232563e-21,1.210773725318025e-14,2.7771251775992153e-21,8.3339764557825082e-22,8.3136972742289594e-41,4.4148636213714562e-37,1.9877771990878119e-43,1.2710887764368896e-62,1.9995460858667745e-65,6.1764226344390701e-70,5.9276690778614422e-72,1.3360933055820165e-72,2.4068083570469146e-47,9.9962599436535902e-49,1.233995246514269e-68,5.7974790091885964e-64,9.223164755064451e-61,3.6617126795840475e-70,5.5643180301763084e-82
1.8682515774871578e-14,0.11224537200042468,0.0,0.0,0.0,0.0,0.99999999999243316,7.5185282414120159e-12,2.4216135135342182e-14,1.5369419025328072e-20,2.4216135316378234e-14,1.1108954230215771e-20,3.3337266913913433e-21,1.3302832486647958e-39,3.5321530154899217e-36,3.1806875957049769e-42,8.135760131097849e-61,1.2798415276546394e-63,7.8466171231455823e-68,7.5882061555587422e-70,1.7103772962727788e-70,7.7023371118964728e-46,3.1990275353326153e-47,1.5796759017131754e-66,3.7111406163130331e-62,5.9032570643647049e-59,4.6874773714242936e-68,1.424612726182908e-79
3.736553835916656e-14,0.11224537200084937,0.0,0.0,0.0,0.0,0.99999999998486599,1.5037260410653817e-11,4.8432942381693159e-14,6.1478926800402821e-20,4.8432943105868752e-14,4.4436732935410406e-20,1.3335181740989798e-20,2.1285146099511105e-38,2.8259406022864556e-35,5.0894929608625427e-41,5.2072828290728132e-59,8.191337607910063e-62,9.8938725099007746e-66,9.7133260008024033e-68,2.189377724490374e-68,2.4648225272074017e-44,1.0237171072526325e-45,2.0221585684357015e-64,2.3758234356391744e-60,3.778204639037967e-57,6.0005209595986411e-66,3.6473261084835891e-77
