Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8)
3.928873269936821e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999989,1.5811224277004887e-16,5.0925741128988701e-19,1.0195491004069896e-29,5.0925741129442999e-19,7.369257882209254e-30
1.10008451558231e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999956,4.427142797561036e-16,1.4259207516208402e-18,6.1580765664578783e-29,1.4259207516482801e-18,4.4510317608782393e-29
2.5144788927595656e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.999999999999999,1.0119183537280807e-15,3.2592474323193738e-18,2.9648487839830142e-28,3.2592474324514849e-18,2.1429801921822283e-28
5.343267647114077e-18,0.11224537200000013,0.0,0.0,0.0,0.0,0.99999999999999778,2.1503265016715046e-15,6.9259007938629469e-18,1.2948273575163475e-27,6.9259007944399101e-18,9.3589575107754514e-28
1.1000845155823099e-17,0.11224537200000026,0.0,0.0,0.0,0.0,0.99999999999999556,4.4271427975562319e-15,1.425920751753612e-17,5.4056493303530922e-27,1.4259207519944832e-17,3.9071805294800757e-27
2.2316000173241143e-17,0.1122453720000005,0.0,0.0,0.0,0.0,0.99999999999999101,8.9807753893172038e-15,2.8925820967226581e-17,2.2083841334415192e-26,2.8925820977066949e-17,1.5962107345997639e-26
4.494631020807723e-17,0.11224537200000101,0.0,0.0,0.0,0.0,0.99999999999998201,1.808804057280522e-14,5.825904787598391e-17,8.9266417575981823e-26,5.8259047915760286e-17,6.4521390025698462e-26
9.020693027774942e-17,0.11224537200000208,0.0,0.0,0.0,0.0,0.99999999999996325,3.6302570939645513e-14,1.1692550173100427e-16,3.5893633899198815e-25,1.1692550189094325e-16,2.5943767163428822e-25
1.807281704170938e-16,0.11224537200000412,0.0,0.0,0.0,0.0,0.99999999999992673,7.2731631672783241e-14,2.3425840959106779e-16,1.4394952575483239e-24,2.3425841023249484e-16,1.0404611003484235e-24
3.6177065069578256e-16,0.11224537200000823,0.0,0.0,0.0,0.0,0.99999999999985345,1.4558975313688713e-13,4.6892422591128636e-16,5.7654893975009274e-24,4.6892422848033989e-16,4.1672714237661465e-24
