Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40)
6.086584297529914e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999978,2.449464332319526e-16,7.8893818915108533e-19,2.4469178409766953e-29,7.8893818915137374e-19,1.7686218917475092e-29,5.3075220651849619e-30,4.2148048150373936e-57,3.2058685929038599e-49,1.7634259159865897e-59,9.4928815923885498e-87,1.5734853218223148e-89,6.3326263223071991e-98,6.0310980570857696e-100,1.3594059536036672e-100,1.5403702486712042e-67,6.3976671447841234e-69,1.1967680647518587e-96,4.7589841708842351e-88,7.5720131200219669e-85
1.704243603308376e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999922,6.8585001304938767e-16,2.209026929662211e-18,1.4779383759497964e-28,2.2090269296639517e-18,1.0682476226313028e-28,3.2057433274202798e-29,1.3252020702053947e-55,3.8060072052158373e-48,3.944713248629837e-58,1.0734145771114849e-84,1.2141717698327802e-87,8.8590878422422416e-96,8.4372686867909476e-98,1.9017554281038896e-98,8.871744059159088e-66,3.6847287129277897e-67,2.4390935630937145e-94,4.9812663413591038e-86,7.9256855838496698e-83
3.8954139504191455e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999833,1.5676571726839397e-15,5.0492044108411526e-18,7.1156370815583218e-28,5.0492044108495335e-18,5.1431524614388657e-28,1.5434274166286334e-28,2.9564529167818303e-54,3.7367604669029513e-47,7.7940886858252071e-57,9.7124812090921894e-83,1.3232637863393659e-85,1.9260658709587601e-93,1.8343609271932069e-95,4.1346387931033258e-96,3.9784624087216095e-64,1.6523870106809464e-65,4.4152052994584473e-92,4.4747480461732767e-84,7.1197648456967815e-81
8.277754644640684e-18,0.1122453720000002,0.0,0.0,0.0,0.0,0.99999999999999656,3.3312714919517712e-15,1.0729559373825791e-17,3.1075856580384328e-27,1.0729559373862395e-17,2.2461498027643489e-27,6.7405530235376526e-28,5.5371091064400849e-53,3.305122357002287e-46,1.3869164548452644e-55,7.3586780824555254e-81,1.0825119352009246e-83,3.1560376388137233e-91,3.0057814532091117e-93,6.7750137906700074e-94,1.4967969904467136e-62,6.2166929007275594e-64,6.6961701208306083e-90,3.3742902498377036e-82,5.3688277828706402e-79
1.7042436033083762e-17,0.11224537200000038,0.0,0.0,0.0,0.0,0.99999999999999323,6.8585001304823463e-15,2.2090269302302107e-17,1.2973558392840712e-26,2.2090269302454921e-17,9.3772332722504043e-27,2.8140481996385459e-27,9.5639789660373487e-52,2.7781545593347898e-45,2.3392373738788426e-54,5.115785978652618e-79,7.7909169635745675e-82,4.5466499102709722e-89,4.3302192151172101e-91,9.7602887392436456e-92,5.1829327426993438e-61,2.1526433670481182e-62,9.3148959718595613e-88,2.339573082599023e-80,3.7224905093352936e-77
3.457179880996992e-17,0.11224537200000077,0.0,0.0,0.0,0.0,0.99999999999998612,1.3912957407523136e-14,4.4811689169282861e-17,5.3001219202541489e-26,4.4811689169907152e-17,3.8309057642677677e-26,1.1496305099809231e-26,1.5890693981976618e-50,2.2776990710669314e-44,3.8422045974737804e-53,3.4108841189769028e-77,5.2809371305077064e-80,6.1663269384411213e-87,5.8728809502584054e-89,1.3237439243356052e-89,1.7243943583492073e-59,7.1619800061802598e-61,1.2424277138253149e-85,1.5577245496814433e-78,2.4784921138441155e-75
6.963052436374223e-17,0.11224537200000156,0.0,0.0,0.0,0.0,0.99999999999997191,2.8021871961523282e-14,9.0254528943356881e-17,2.1423940218191142e-25,9.0254528945880348e-17,1.5485133616115005e-25,4.6469903338468821e-26,2.5905841431150975e-49,1.8445399462003374e-43,6.2283798292473291e-52,2.227846411294207e-75,3.4772060449236895e-78,8.1219276751907255e-85,7.7356414490088891e-87,1.7436090481244112e-87,5.6258456290140125e-58,2.3365997176508882e-59,1.6232097003665957e-83,1.0167289025166988e-76,1.6177143355756763e-73
1.3974797547128683e-16,0.11224537200000319,0.0,0.0,0.0,0.0,0.99999999999994327,5.623970106919783e-14,1.8114020865195488e-16,8.614472135771921e-25,1.8114020866210165e-16,6.2265041272294324e-25,1.8685343769637066e-25,4.1838001935058245e-48,1.4846465180405316e-42,1.0030615653096964e-50,1.440363328120848e-73,2.2570840356196668e-76,1.0544583949584247e-82,1.0043655070081175e-84,2.2638339637388836e-85,1.8177115214044064e-56,7.5495569294754468e-58,2.099033110949145e-81,6.5711241366279946e-75,1.0455285865286601e-71
2.79982877686376e-16,0.1122453720000064,0.0,0.0,0.0,0.0,0.99999999999988642,1.1267535928324399e-13,3.6291156871095117e-16,3.4547886180872565e-24,3.6291156875164416e-16,2.4971066472609425e-24,7.4936585895298467e-25,6.7253362409612145e-47,1.1913358091912753e-41,1.6101365824533284e-49,9.2651495475947729e-72,1.454749796587189e-74,1.359170456418689e-80,1.2947517755610874e-82,2.9183629066101325e-83,5.8447395528558484e-55,2.4275135297837757e-56,2.7004968302900856e-79,4.2261439511151208e-73,6.724185359471957e-70
5.604526821165544e-16,0.11224537200001272,0.0,0.0,0.0,0.0,0.99999999999977318,2.255466757061247e-13,7.2645429139614459e-16,1.3837174553772139e-23,7.2645429155912877e-16,1.0001451468514743e-23,3.0013721197772884e-24,1.0785607507060748e-45,9.5451914284362535e-41,2.5804188886966755e-48,5.9447283165914498e-70,9.3432186053495524e-73,1.7455156320164486e-78,1.6631706485747235e-80,3.7487768757169472e-81,1.8748191695262902e-53,7.7867434090007519e-55,3.4654553710757196e-77,2.7113589327053842e-71,4.3140056157584513e-68
1.1213922909769114e-15,0.1122453720000255,0.0,0.0,0.0,0.0,0.9999999999995457,4.5128930853103898e-13,1.4535397470353327e-15,5.5384758930094665e-23,1.4535397476876945e-15,4.0031870731894701e-23,1.2013310379852855e-23,1.7277051026708308e-44,7.6419692985409383e-40,4.1320386820106851e-47,3.8094471328007768e-68,5.9901811771849666e-71,2.2371873169923814e-76,2.1326339028851762e-78,4.8069442703865173e-79,6.006634505809405e-52,2.4947535576756336e-53,4.4414407548170931e-75,1.7374033246842345e-69,2.7643367259695963e-66
