Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535),C5H7(806),C5H8(470)
6.805008120029847e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999978,2.7385843777637649e-16,8.8205971049530256e-19,3.0586473012208357e-29,8.8205971049566271e-19,2.2107773646883859e-29,6.6344025814934889e-30,6.5856325231281403e-57,4.4803375638935414e-49,2.7553529943305953e-59,1.8540784345074617e-86,3.0732135169966179e-89,1.3828302002255728e-97,1.3169868383802786e-99,2.9684805850671994e-100,2.6909160830917552e-67,1.1176264556312591e-68,2.6133347105614843e-96,9.2948909297816656e-88,1.4789088124083379e-84,8.4872823309793469e-98,1.7122142219710254e-113,-4.0439819758546694e-184,-4.65758533783747e-155,-1.7557963048496409e-163,-3.0956635072347244e-140
1.9054022736083574e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999922,7.668036257737549e-16,2.4697671894358125e-18,1.8474229699372078e-28,2.4697671894379885e-18,1.3353095282938764e-28,4.0071791592899379e-29,2.0706282344845018e-55,5.3190567741674986e-48,6.1636144544699557e-58,2.0965128466458413e-84,2.3714292370440408e-87,1.9345232810763459e-95,1.8424127266419745e-97,4.1527875118834491e-98,1.5498299057248932e-65,6.4369561559602162e-67,5.3261513798536386e-94,9.7290358486733859e-86,1.5479854654554938e-82,1.6075542120328792e-95,6.2922282075554508e-111,7.8848906061544433e-181,8.6979603088840659e-152,5.9002989427567034e-160,3.0026007327157012e-137
4.355205196819103e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999833,1.7526940017681139e-15,5.6451821475126946e-18,8.894546351947534e-28,5.6451821475231716e-18,6.4289405768451978e-28,1.9292842708001146e-28,4.619457681523671e-54,5.2222815191840208e-47,1.2178263587262166e-56,1.8969689877921121e-82,2.5844995812215347e-85,4.205871463637223e-93,4.0056208263118144e-95,9.0286458969650738e-96,6.9500878047264771e-64,2.8866013125092392e-65,9.6413078076574837e-92,8.7397423315753963e-84,1.3905790711772977e-80,2.8890082318834394e-93,2.2778978675029225e-108,1.3214943099553576e-176,3.6206577692371121e-148,4.9142293702000876e-156,6.1997428241407981e-134
9.254811043240594e-18,0.11224537200000022,0.0,0.0,0.0,0.0,0.99999999999999623,3.7244747537552417e-15,1.1996012064449905e-17,3.8844820725477106e-27,1.1996012064495659e-17,2.8076872534966657e-27,8.4256912795487388e-28,8.6517329752466366e-53,4.6190489280937556e-46,2.167056966591614e-55,1.4372418156824213e-80,2.1142811213774956e-83,6.8917076891397225e-91,6.5636051253484431e-93,1.4794327509362348e-93,2.614796732667555e-62,1.0860115557549523e-63,1.4622159779854997e-89,6.5904107307370346e-82,1.0485991759704102e-78,4.3616964085107126e-91,6.9126836421349115e-106,1.5825963554493953e-172,1.0248678213595817e-144,2.7822128630949649e-152,8.7325261300746176e-131
1.9054022736083574e-17,0.11224537200000047,0.0,0.0,0.0,0.0,0.99999999999999223,7.6680362577231365e-15,2.469767190145812e-17,1.62169479910481e-26,2.4697671901649132e-17,1.172154159065956e-26,3.5175602496546548e-27,1.4943717122086193e-51,3.8825890515656708e-45,3.655058417107628e-54,9.9917695286017284e-79,1.5216634667238038e-81,9.9283211920254782e-89,9.4557270558870139e-91,2.1313153380562548e-91,9.0542108798316583e-61,3.7605131990326262e-62,2.0340567088598675e-87,4.5694788005575733e-80,7.2704892709092675e-77,6.0519419021488335e-89,1.9237290079507394e-103,1.5634256743810333e-168,2.4505762519581407e-141,1.3305609931404995e-148,1.0411609938446642e-127
3.865244612176954e-17,0.11224537200000088,0.0,0.0,0.0,0.0,0.99999999999998446,1.5555159265633479e-14,5.0100991588009706e-17,6.6251524003154029e-26,5.0100991588790069e-17,4.7886322056188352e-26,1.437038137563446e-26,2.4829209305759982e-50,3.1831812592105605e-44,6.0034447515079015e-53,6.6618830979115165e-77,1.0314330297726002e-79,1.3465116295589872e-86,1.2824375960785645e-88,2.8906068256192497e-89,3.0123929680419178e-59,1.2511464150166719e-60,2.7130398955137881e-85,3.0424309281064939e-78,4.8408049030225169e-75,8.0613924164166626e-87,5.1324779639262875e-101,1.4049376724908034e-164,5.4141834987272576e-138,5.8794533358270203e-145,1.1484174708555875e-124
7.784929289314146e-17,0.11224537200000177,0.0,0.0,0.0,0.0,0.99999999999996858,3.1329405281352364e-14,1.0090763101125353e-16,2.6779925272720428e-25,1.0090763101440787e-16,1.9356417022444668e-25,5.8087379180155167e-26,4.0477877102156803e-49,2.5778230024967797e-43,9.7318437049188884e-52,4.3512625919689531e-75,6.7914180110904862e-78,1.7735408455142033e-84,1.689201173297549e-86,3.8074495425668902e-87,9.8279478257647046e-58,4.0818717046598858e-59,3.5445383837048527e-83,1.9857988573167763e-76,3.1595983027629887e-73,1.0524971182764179e-84,1.3411925919027685e-98,1.2050623942990014e-160,1.1512275700149702e-134,2.5003388806398474e-141,1.2198412924955664e-121
1.5624298643588532e-16,0.11224537200000358,0.0,0.0,0.0,0.0,0.99999999999993672,6.2877897312382973e-14,2.0252091005830369e-16,1.076809016970001e-24,2.025209100709871e-16,7.7831301608887592e-25,2.3356679717736183e-25,6.5371877590524204e-48,2.0748566835513519e-42,1.567283767436699e-50,2.8132097160398216e-73,4.4083671988516963e-76,2.3025472846551312e-82,2.1931928890998131e-84,4.9434439116096794e-85,3.1754113275185986e-56,1.3188533083006415e-57,4.5835751104497521e-81,1.2834229677926079e-74,2.0420480090533027e-71,1.3605626817372687e-82,3.4688155898696092e-96,1.0100543789408739e-156,2.4021416377196022e-131,1.0434412587388852e-137,1.2717011637717967e-118
3.1303037352137303e-16,0.11224537200000714,0.0,0.0,0.0,0.0,0.99999999999987321,1.2597488137281553e-13,4.0574746895465413e-16,4.3184857725971226e-24,4.0574746900552043e-16,3.1213833105622646e-24,9.3670732414780442e-25,1.0508337737272604e-46,1.6649425658833172e-41,2.5158386404423882e-49,1.8095996380949846e-71,2.8413081219361697e-74,2.9678852074115432e-80,2.8272977623537047e-82,6.3727125684847585e-83,1.0210339674198542e-54,4.2406915419313481e-56,5.8969677494559204e-79,8.2541910751110112e-73,1.3133174382189951e-69,1.7501259720718341e-80,8.9257217250006583e-94,8.3694178999385854e-153,4.965600701349509e-128,4.3139159906510936e-134,1.3131382506713402e-115
6.266051476923484e-16,0.11224537200001429,0.0,0.0,0.0,0.0,0.99999999999974598,2.5216884948716591e-13,8.1220058995635564e-16,1.7296468192119412e-23,8.1220059016008597e-16,1.250181434755019e-23,3.751715153379747e-24,1.6852511283177056e-45,1.333981308385742e-40,4.0319052525187286e-48,1.1610798997444365e-69,1.8248472886149929e-72,3.811404558469093e-78,3.6317992533523247e-80,8.1860541862804304e-81,3.2751742193765841e-53,1.360288044917598e-54,7.567377970060997e-77,5.2956276294820324e-71,8.4257920283558008e-68,2.2456866982661082e-78,2.290835441380485e-91,6.8953540566082522e-149,1.0216929021243761e-124,1.7752102417745198e-130,1.3486872871096887e-112
1.253754696034299e-15,0.11224537200002849,0.0,0.0,0.0,0.0,0.99999999999949241,5.0455678568980831e-13,1.6251068447957622e-15,6.9230948661851765e-23,1.625106845611215e-15,5.0039838510194924e-23,1.5016638004103429e-23,2.6995390798378201e-44,1.0679980817601015e-39,6.4563128080720873e-47,7.4403283600103254e-68,1.1699571397331744e-70,4.8847229794636697e-76,4.6569471542097687e-78,1.049673147556889e-78,1.0493158109657627e-51,4.3581548051565871e-53,9.6986002672500435e-75,3.3933719125549432e-69,5.3990949245231486e-66,2.8780243408516627e-76,5.872046391090229e-89,5.6645869343583598e-145,2.0972884310251853e-121,7.2881265613268079e-127,1.3798925759858536e-109
2.5080537927182004e-15,0.11224537200005705,0.0,0.0,0.0,0.0,0.99999999999898392,1.009332657990858e-12,3.2509194058185821e-15,2.7701397210499149e-22,3.2509194090814591e-15,2.0022453756219375e-22,6.0086113203354285e-23,4.321772364603771e-43,8.5472612068465933e-39,1.0334341055077409e-45,4.764834700723091e-66,7.4943023419714862e-69,6.2515167637906575e-74,5.9661695730689438e-76,1.3447710952963646e-76,3.3598268804908949e-50,1.3954467195757848e-51,1.2422151443807797e-72,2.1731212541481038e-67,3.4575293433717506e-64,3.6861517432573155e-74,1.5042091866292569e-86,4.6466730406490104e-141,4.3002151423797144e-118,2.988644207710976e-123,1.4058587980101833e-106
5.016651986086004e-15,0.11224537200011404,0.0,0.0,0.0,0.0,0.99999999999796829,2.0188844021760199e-12,6.5025447332402486e-15,1.1082362688533657e-21,6.5025447462939189e-15,8.0102855754929977e-22,2.4038358742318576e-22,6.9168391006351888e-42,6.8391567043229471e-38,1.6538425191044765e-44,3.0504736817653405e-64,4.7984521608655744e-67,7.9889667429771322e-72,7.6400652379797862e-74,1.7220661506609038e-74,1.0754665348078141e-48,4.4667650093740089e-50,1.5905513095125419e-70,1.3912695675999361e-65,2.2134923571008065e-62,4.7197596378070822e-72,3.8520298951241338e-84,3.808644081121945e-137,8.8118634770013597e-115,1.2248254084066147e-119,1.4227957026525036e-103
1.003384837282161e-14,0.1122453720002281,0.0,0.0,0.0,0.0,0.99999999999593592,4.037987888878588e-12,1.3005796209587557e-14,4.4333058605776369e-21,1.3005796261806814e-14,3.204375236866086e-21,9.6161267778909644e-22,1.1068528804139058e-40,5.4719234588959973e-37,2.6464540129626997e-43,1.9526310410039457e-62,3.0716725513713346e-65,1.0186104081406818e-69,9.781412556515145e-72,2.2047244623226284e-72,3.44200306484585e-47,1.4295756704867242e-48,2.0362547940941189e-68,8.9060911551296009e-64,1.4168488788231907e-60,6.042307924883828e-70,9.862896117160567e-82,3.1201274308031328e-133,1.8051561313656051e-111,5.0180605830810823e-116,1.4225483326879946e-100
2.006824114629282e-14,0.11224537200045617,0.0,0.0,0.0,0.0,0.99999999999187184,8.0761948556127098e-12,2.6012302448297251e-14,1.7733945027169468e-20,2.6012302657185357e-14,1.2818024367350789e-20,3.8466077993534431e-21,1.7710861829691613e-39,4.3778723273846278e-36,4.2346595035856774e-42,1.2498072224737116e-60,1.9660723964016463e-63,1.2933345753041372e-67,1.2521505773049959e-69,2.8223395629734996e-70,1.1015193933101251e-45,4.5749613157608448e-47,2.6066778801876e-66,5.7011103659009112e-62,9.0684937372725446e-59,7.7349699521674472e-68,2.5251669325454195e-79,2.55478344642186e-129,3.6973432031981878e-108,2.0554658207125539e-112,1.3904751206996417e-97
4.013702669323525e-14,0.11224537200091236,0.0,0.0,0.0,0.0,0.99999999998374356,1.615260876239689e-11,5.2025328069770117e-14,7.0937223214791777e-20,5.2025328905360176e-14,5.1273155431566286e-20,1.5386748790833976e-20,2.8338180824764552e-38,3.5025821856546194e-35,6.7760041842966803e-41,7.9993967935031108e-59,1.2583395332541059e-61,1.6289985509170509e-65,1.6028213204686882e-67,3.6127485835289288e-68,3.5249669215802582e-44,1.4640270122008993e-45,3.3368452228668831e-64,3.649844577892734e-60,5.8040177794486006e-57,9.9017080550444397e-66,6.4650127815691585e-77,2.090316941438294e-125,7.5720814701297506e-105,8.4179140840339958e-109,1.3049644949788205e-94
8.02745977871201e-14,0.11224537200182479,0.0,0.0,0.0,0.0,0.99999999996748634,3.2305436469228999e-11,1.0405143188887515e-13,2.8375177838271501e-19,1.0405143523143446e-13,2.0509482649963368e-19,6.1547657647400141e-20,4.5341184503988443e-37,2.8024209137941852e-34,1.0842949899993207e-39,5.1201175554060771e-57,8.0534384178278207e-60,2.0203518412825736e-63,2.0516286353351703e-65,4.6243556458894741e-66,1.1279930079565374e-42,4.684874726796289e-44,4.2716687434423558e-62,2.3372183536893241e-58,3.7145915189495242e-55,1.2675878464885936e-63,1.6552439223494868e-74,1.7079797851812402e-121,1.5505619523115598e-101,3.4465595476510497e-105,1.1450035071882945e-91
1.6054973997488982e-13,0.1122453720036495,0.0,0.0,0.0,0.0,0.99999999993497291,6.4611091455948145e-11,2.0810384983128625e-13,1.13501287888867e-18,2.0810386320291195e-13,8.2038442620624008e-19,2.4619217389691697e-19,7.2544223139621058e-36,2.242465092015257e-33,1.735268725650398e-38,3.2774226730315609e-55,5.1541818916071005e-58,2.4347243439517296e-61,2.6260757017691475e-63,5.9191508599146501e-64,3.6094989923339001e-41,1.4991102080760998e-42,5.4688703562283151e-60,1.4974637157035002e-56,2.3772963370519776e-53,1.6228988349786357e-61,4.2383248627208605e-72,1.3919220569795343e-117,3.1745588413439529e-98,1.4104738920234907e-101,9.1155196939159816e-89
3.211000243504292e-13,0.11224537200729903,0.0,0.0,0.0,0.0,0.99999999986994537,1.2922239972160578e-10,4.1620952692942082e-13,4.5400630005761733e-18,4.1620958042662315e-13,3.2815536303761021e-18,9.8477352888330521e-19,1.1606382516697537e-34,1.7948014841654159e-32,2.7776730587739395e-37,2.0982199823071617e-53,4.3591505309121224e-56,3.6805638734452734e-59,4.4335668995825859e-61,9.9932053497294891e-62,1.1549730924645483e-39,4.796767038201827e-41,7.0029530378862115e-58,9.6046712988473171e-55,1.5213938302542566e-51,2.0782696106483113e-59,1.0854558578353415e-69,5.9643729283919059e-113,1.0321432080123393e-94,9.1605762053016721e-98,1.0192117427821586e-85
6.422005931015079e-13,0.11224537201459808,0.0,0.0,0.0,0.0,0.99999999973989007,2.584450094217953e-10,8.324242459510093e-13,1.816027460661508e-17,8.3242446002459765e-13,1.3126291853210207e-17,3.939117755637728e-18,1.8567867865646858e-33,1.4371618395862165e-31,4.4482335737805586e-36,1.3437074026478781e-51,2.8014068699908458e-54,3.9170283036870635e-57,5.7090466305377056e-59,1.2868084532195764e-59,3.6954618368051655e-38,1.5347079050375772e-39,8.970875768448632e-56,6.1736960812983392e-53,9.7358805412594936e-50,2.6626206704490824e-57,2.7810222754135908e-67,4.7901381811214584e-109,2.1114532136816915e-91,3.7398660583513464e-94,6.4637366000703387e-83
1e-12,0.11224537202919617,0.0,0.0,0.0,0.0,0.99999999959497088,4.0243655824635951e-10,1.2962159733253904e-12,4.8514038313274146e-17,1.2962165455862765e-12,3.5066339943216493e-17,1.0523190343600299e-17,1.7370055880919831e-32,7.0538766881679487e-31,4.1693372160746762e-35,4.8568196983542964e-50,1.0124746482045656e-52,2.0937172975487363e-55,4.101561597569924e-57,9.2447912406839556e-58,6.7505313049436189e-37,2.8032150783291228e-38,6.4473620690643511e-54,2.247742980075107e-51,3.5139146721497888e-48,1.9140944472396796e-55,3.9852803306492174e-65,2.1039461922525152e-105,2.403932832506075e-88,8.4760684717568506e-91,2.0986652997695408e-80
1.2844017306036654e-12,0.11224537202919617,0.0,0.0,0.0,0.0,0.99999999947977991,5.1689020149764712e-10,1.6648671430720297e-12,7.2641140709044575e-17,1.6648680000429661e-12,5.2505685915313505e-17,1.5756630092494051e-17,2.9700989057767844e-32,1.1518398965840093e-30,7.1298177716877965e-35,8.6105225561527463e-50,1.7949865447802632e-52,3.7268019678750521e-55,7.3163645479977674e-57,1.6490855718407822e-57,1.1822544215580712e-36,4.9094004058819335e-38,1.1500829372917005e-53,3.9853196303452389e-51,6.2296106245286524e-48,3.4143742790342022e-55,7.130929332998082e-65,3.775915720996504e-105,4.3130532603568457e-88,1.521041422787994e-90,3.7616802008213877e-80
2.568804005607981e-12,0.11224537205839231,0.0,0.0,0.0,0.0,0.9999999989595596,1.0337804763510462e-09,3.3298067718380776e-12,2.9056462399293902e-16,3.3298102051309525e-12,2.1002669128836934e-16,6.3027732854370826e-17,4.7497202172609158e-31,9.2484736778388601e-30,1.1448153404541926e-33,5.5245174112774624e-48,1.1521138790508877e-50,3.1566468953691577e-53,9.3919267304761468e-55,2.1168867869818022e-55,3.7813314043223706e-35,1.5699407292107073e-36,1.4767318557990847e-51,2.5942761711202179e-49,3.985213279198171e-46,4.386298757108258e-53,1.8314005008179544e-62,2.8781069866802854e-101,8.7881591496705405e-85,6.1434647465690794e-87,2.0724439862808391e-77
3.853206280612296e-12,0.11224537208758852,0.0,0.0,0.0,0.0,0.99999999843933873,1.5506706418386467e-09,4.9948002331242689e-12,6.1744983867895098e-16,4.9948075368142499e-12,4.4631246059746964e-16,1.3393569626761699e-16,1.8104011099365691e-30,2.6509301489113877e-29,4.221884174990162e-33,3.0855182396362115e-47,5.7214733302762769e-50,1.6631145571744246e-52,5.5669552706286767e-54,1.2547553354423443e-54,1.774365603207375e-34,7.3663174232008989e-36,9.6648302050657808e-51,1.4668479201455956e-48,2.2393702531269668e-45,2.8877833789938089e-52,1.3771973804472347e-61,1.6477906233023252e-100,6.9689980243394261e-84,5.4740189317893164e-86,1.333844232540285e-76
5.137608555616612e-12,0.11224537211678468,0.0,0.0,0.0,0.0,0.99999999791911753,2.0675606979601793e-09,6.6598475251433764e-12,1.0532967651045096e-15,6.6598599968533357e-12,7.6136554045551067e-16,2.2848130292350242e-16,4.8700498574625484e-30,5.6065917966228163e-29,1.0729739122961064e-32,1.1605832233025827e-46,2.4249730134174316e-49,7.1534164285642951e-52,2.5181139581519585e-53,5.6756527949545369e-54,5.5302963790692285e-34,2.295771686987402e-35,4.0402082171965275e-50,5.2776055906096942e-48,7.9771237596079731e-45,1.1632932904883592e-51,6.3666353542009406e-61,2.8235922272636477e-99,5.8315967874063402e-83,4.613342123553239e-85,1.0151363058735248e-75
7.706413105625242e-12,0.11224537217517709,0.0,0.0,0.0,0.0,0.99999999687867502,3.101340553351104e-09,9.9900684405064933e-12,2.1807170259315282e-15,9.9900943046995204e-12,1.5763416548787116e-15,4.7305104539945449e-16,1.9691611113427432e-29,1.5404800428088733e-28,3.7692521651582562e-32,8.3656194824358959e-46,2.1983106415821198e-48,6.7539207579408418e-51,2.6224252445544205e-52,5.9107414445486886e-53,2.7240997688616482e-33,1.1307310643676429e-34,3.3528216499857772e-49,3.2459411312298309e-47,4.7290736264223961e-44,8.2684260332083351e-51,6.069164456410065e-60,3.0752142123460478e-97,2.3313572171813967e-81,1.9613796213603362e-83,2.7472005034975915e-74
1e-11,0.11224537223356952,0.0,0.0,0.0,0.0,0.99999999594970324,4.0243625305485012e-09,1.2963662020716036e-11,3.5259437885392852e-15,1.2963703899780578e-11,2.5487884656572537e-15,7.6487703911826596e-16,4.8821188759359798e-29,3.0239683247649154e-28,8.7035286984526659e-32,2.7648288719879114e-45,7.7858966340372748e-48,2.467200945329534e-50,1.0471129230767458e-51,2.3601025474643293e-52,7.7473532367291931e-33,3.215563739145772e-34,1.2503635306170227e-48,1.0571912910764627e-46,1.5133258832857121e-43,2.9492300712271404e-50,2.5007077452578951e-59,2.32303943041649e-96,1.3949187925808344e-80,1.3034394684247696e-82,1.3007625835038016e-73
1.0275217655633873e-11,0.11224537223356952,0.0,0.0,0.0,0.0,0.99999999583823185,4.1351200064745268e-09,1.3320487295548619e-11,3.7088282047523816e-15,1.3320531353509595e-11,2.6809944167998191e-15,8.0455133393597601e-16,5.3324271574519882e-29,3.2405625018151105e-28,9.4558008265676855e-32,3.0776676137921731e-45,8.6998888680282744e-48,2.7616172750750895e-50,1.1776304147115536e-51,2.6542772936606841e-52,8.5456700885795592e-33,3.5468896538604643e-34,1.4014874815293035e-48,1.1761552512468517e-46,1.6818736908786592e-43,3.2982335742592718e-50,2.8172568658770899e-59,2.6754140833473198e-96,1.5951096558649246e-80,1.495664256445381e-82,1.4739510972674514e-73
