Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3)
3.5141247788969506e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999989,1.4142135623730135e-16,8.1565556284011878e-30,8.1565556284011878e-30
9.839549380911462e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999956,3.9597979746441726e-16,4.9265595995540402e-29,4.9265595995540402e-29
2.2490398584940483e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999911,9.0509667991854307e-16,2.3719263767386506e-28,2.3719263767386506e-28
4.779209699299853e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999811,1.9233304448263709e-15,1.0358825648065227e-27,1.0358825648065227e-27
9.839549380911463e-18,0.11224537200000022,0.0,0.0,0.0,0.0,0.999999999999996,3.9597979746403289e-15,4.3246057941744553e-27,4.3246057941744553e-27
1.996022874413468e-17,0.11224537200000047,0.0,0.0,0.0,0.0,0.99999999999999201,8.0327330342614599e-15,1.7667425753309467e-26,1.7667425753309467e-26
4.020158747058112e-17,0.1122453720000009,0.0,0.0,0.0,0.0,0.9999999999999839,1.617860315347658e-14,7.1414559673085596e-26,7.1414559673085596e-26
8.068430492347398e-17,0.11224537200000183,0.0,0.0,0.0,0.0,0.99999999999996758,3.2470343391798239e-14,2.8715480351793795e-25,2.8715480351793795e-25
1.6164973982925973e-16,0.11224537200000365,0.0,0.0,0.0,0.0,0.99999999999993505,6.5053823868007242e-14,1.1516191952230485e-24,1.1516191952230485e-24
3.2358060964083125e-16,0.1122453720000073,0.0,0.0,0.0,0.0,0.99999999999986988,1.3022078481868799e-13,4.6124835946485387e-24,4.6124835946485387e-24
6.474423492639742e-16,0.11224537200001464,0.0,0.0,0.0,0.0,0.99999999999973943,2.6055470671310045e-13,1.8461954857189763e-23,1.8461954857189763e-23
1.2951658285102603e-15,0.11224537200002928,0.0,0.0,0.0,0.0,0.99999999999947875,5.2122255047412962e-13,7.3871867234066534e-23,7.3871867234066534e-23
2.5906127870028322e-15,0.11224537200005852,0.0,0.0,0.0,0.0,0.99999999999895739,1.0425582378850041e-12,2.9553557137126413e-22,2.9553557137126413e-22
5.181506703987976e-15,0.11224537200011704,0.0,0.0,0.0,0.0,0.99999999999791467,2.0852296122620189e-12,1.1822384969895697e-21,1.1822384969895697e-21
1.0363294537958263e-14,0.11224537200023406,0.0,0.0,0.0,0.0,0.99999999999582945,4.1705723592371108e-12,4.7291464160828977e-21,4.7291464160828977e-21
2.072687020589884e-14,0.11224537200046814,0.0,0.0,0.0,0.0,0.99999999999165867,8.3412578460715411e-12,1.8916970513544998e-20,1.8916970513544998e-20
4.1454021541779993e-14,0.11224537200093627,0.0,0.0,0.0,0.0,0.99999999998331734,1.66826287912774e-11,7.5668651648359695e-20,7.5668651648359695e-20
8.29083242135423e-14,0.11224537200187257,0.0,0.0,0.0,0.0,0.99999999996663469,3.3365370567837079e-11,3.0267614489986056e-19,3.0267614489986056e-19
1.658169295570669e-13,0.11224537200374514,0.0,0.0,0.0,0.0,0.99999999993326905,6.6730853665548196e-11,1.2107076491088228e-18,1.2107076491088228e-18
3.316341402441161e-13,0.11224537200749024,0.0,0.0,0.0,0.0,0.9999999998665382,1.3346181803933727e-10,4.8428366785783821e-18,4.8428366785783821e-18
6.632685616182145e-13,0.1122453720149805,0.0,0.0,0.0,0.0,0.99999999973307618,2.6692373950037914e-10,1.9371358423546175e-17,1.9371358423546175e-17
1e-12,0.11224537202996096,0.0,0.0,0.0,0.0,0.99999999959756303,4.0243687378934062e-10,4.8874994891954856e-17,4.8874994891954856e-17
1.3265374043664112e-12,0.11224537202996096,0.0,0.0,0.0,0.0,0.99999999946615226,5.338475532762912e-10,7.7485453472170704e-17,7.7485453472170704e-17
2.653075089862805e-12,0.11224537205992194,0.0,0.0,0.0,0.0,0.99999999893230429,1.0676950642432162e-09,3.0994182432072295e-16,3.0994182432072295e-16
3.979612775359199e-12,0.11224537208988289,0.0,0.0,0.0,0.0,0.99999999839845621,1.6015424585537016e-09,6.5862635035174616e-16,6.5862635035174616e-16
5.306150460855593e-12,0.11224537211984385,0.0,0.0,0.0,0.0,0.99999999786460803,2.1353897362074547e-09,1.123539006011856e-15,1.123539006011856e-15
7.959225831848379e-12,0.11224537217976582,0.0,0.0,0.0,0.0,0.99999999679691132,3.2030840175414693e-09,2.3261445420297292e-15,2.3261445420297292e-15
1e-11,0.11224537223968774,0.0,0.0,0.0,0.0,0.99999999597562717,4.0243656735537042e-09,3.5420333710397777e-15,3.5420333710397777e-15
1.0612301202841166e-11,0.11224537223968774,0.0,0.0,0.0,0.0,0.99999999572921416,4.2707778697921773e-09,3.9561621515034707e-15,3.9561621515034707e-15
1.3265376573833954e-11,0.11224537229960967,0.0,0.0,0.0,0.0,0.99999999466151668,5.3384712623901904e-09,6.0441210974383618e-15,6.0441210974383618e-15
1.857152731581953e-11,0.11224537241945357,0.0,0.0,0.0,0.0,0.99999999252611993,7.473856639813745e-09,1.1622627055865156e-14,1.1622627055865156e-14
2.3877678057805103e-11,0.11224537253929744,0.0,0.0,0.0,0.0,0.99999999039072152,9.6092401503846719e-09,1.9061072925879591e-14,1.9061072925879591e-14
3.448997954177625e-11,0.11224537277898516,0.0,0.0,0.0,0.0,0.99999998611991947,1.3880001571657185e-08,3.9516991877972915e-14,3.9516991877972915e-14
5.571458250971855e-11,0.11224537325836069,0.0,0.0,0.0,0.0,0.99999997757829251,2.2421502014279328e-08,1.027447102058012e-13,1.027447102058012e-13
9.816378844560314e-11,0.1122453742171117,0.0,0.0,0.0,0.0,0.99999996049494977,3.9504413295556864e-08,3.184624948587298e-13,3.184624948587298e-13
