Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4)
3.0433213305931333e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999989,1.224744871391589e-16
8.521299725660773e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999956,3.4292856398964485e-16
1.947725651579605e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999911,7.8383671769061644e-16
4.1389170096066616e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999822,1.6656530250925588e-15
8.521299725660775e-18,0.11224537200000019,0.0,0.0,0.0,0.0,0.99999999999999667,3.4292856398964401e-15
1.7286065157769e-17,0.11224537200000038,0.0,0.0,0.0,0.0,0.99999999999999312,6.9565508695041864e-15
3.4815596021985446e-17,0.11224537200000077,0.0,0.0,0.0,0.0,0.99999999999998601,1.4011081328719618e-14
6.987465775041834e-17,0.11224537200000156,0.0,0.0,0.0,0.0,0.9999999999999718,2.812014224715023e-14
1.3999278120728414e-16,0.11224537200000316,0.0,0.0,0.0,0.0,0.99999999999994371,5.6338264084010468e-14
2.8022902812101576e-16,0.11224537200000632,0.0,0.0,0.0,0.0,0.99999999999988731,1.1277450775772695e-13
5.607015219484789e-16,0.11224537200001267,0.0,0.0,0.0,0.0,0.99999999999977429,2.25646995105144e-13
1.1216465096034051e-15,0.11224537200002532,0.0,0.0,0.0,0.0,0.99999999999954858,4.5139196979991432e-13
2.2435364849132577e-15,0.11224537200005068,0.0,0.0,0.0,0.0,0.99999999999909706,9.0288191918920017e-13
4.4873164355329635e-15,0.11224537200010135,0.0,0.0,0.0,0.0,0.99999999999819411,1.8058618179667526e-12
8.974876336772374e-15,0.11224537200020271,0.0,0.0,0.0,0.0,0.99999999999638811,3.611821615517781e-12
1.7949996139251194e-14,0.11224537200040541,0.0,0.0,0.0,0.0,0.99999999999277622,7.2237412106035305e-12
3.5900235744208834e-14,0.11224537200081083,0.0,0.0,0.0,0.0,0.99999999998555233,1.4447580400709798e-11
7.180071495412413e-14,0.11224537200162167,0.0,0.0,0.0,0.0,0.99999999997110467,2.8895258780661407e-11
1.436016733739547e-13,0.11224537200324336,0.0,0.0,0.0,0.0,0.99999999994220945,5.7790615539520865e-11
2.8720359021361586e-13,0.11224537200648674,0.0,0.0,0.0,0.0,0.99999999988441857,1.1558132905306445e-10
5.744074238929382e-13,0.11224537201297348,0.0,0.0,0.0,0.0,0.99999999976883724,2.31162756063448e-10
1e-12,0.11224537202594695,0.0,0.0,0.0,0.0,0.99999999959756314,4.0243692266685841e-10
1.1488150912515827e-12,0.11224537202594695,0.0,0.0,0.0,0.0,0.99999999953767449,4.6232561001738106e-10
2.2976304259688717e-12,0.1122453720518939,0.0,0.0,0.0,0.0,0.99999999907534876,9.246513176577562e-10
4.59526109540345e-12,0.11224537210378784,0.0,0.0,0.0,0.0,0.99999999815069729,1.8493027318673048e-09
9.190522434272607e-12,0.11224537220757567,0.0,0.0,0.0,0.0,0.99999999630139436,3.6986055559916883e-09
1e-11,0.11224537241515134,0.0,0.0,0.0,0.0,0.99999999597563083,4.0243692141415174e-09
1.838104511201092e-11,0.11224537241515134,0.0,0.0,0.0,0.0,0.99999999260278882,7.397211186982353e-09
3.676209046748755e-11,0.11224537283030271,0.0,0.0,0.0,0.0,0.99999998520557765,1.4794422379297271e-08
7.35241811784408e-11,0.11224537366060545,0.0,0.0,0.0,0.0,0.99999997041115551,2.9588844480189507e-08
9.999999999999999e-11,0.11224537449090818,0.0,0.0,0.0,0.0,0.99999995975630906,4.0243690905095335e-08
1.1028627188939404e-10,0.11224537449090818,0.0,0.0,0.0,0.0,0.99999995561673383,4.4383266235862796e-08
1.8381045331130056e-10,0.11224537615151353,0.0,0.0,0.0,0.0,0.99999992602789156,7.3972108544632858e-08
2.5733463473320706e-10,0.11224537781211896,0.0,0.0,0.0,0.0,0.99999989643905063,1.0356094937785053e-07
3.3085881615511355e-10,0.11224537947272432,0.0,0.0,0.0,0.0,0.99999986685021136,1.3314978868141503e-07
4.779071789989266e-10,0.11224538279393484,0.0,0.0,0.0,0.0,0.99999980767253704,1.9232746291479988e-07
7.720039046865527e-10,0.1122453894363554,0.0,0.0,0.0,0.0,0.99999968931720951,3.1068279048568417e-07
9.999999999999999e-10,0.11224539541453314,0.0,0.0,0.0,0.0,0.99999959756322465,4.024367753028471e-07
1.036690957805416e-09,0.11224539541453314,0.0,0.0,0.0,0.0,0.99999958279744028,4.1720255977215886e-07
1.3013780109242796e-09,0.11224540139271015,0.0,0.0,0.0,0.0,0.99999947627769792,5.237223020424576e-07
1.566065064043143e-09,0.11224540737088601,0.0,0.0,0.0,0.0,0.9999993697579852,6.3024201486608617e-07
2.0954391702808698e-09,0.11224541932723374,0.0,0.0,0.0,0.0,0.99999915671866113,8.4328133899887631e-07
2.571875865894824e-09,0.11224543008794191,0.0,0.0,0.0,0.0,0.99999896498339536,1.0350166045967141e-06
3.048312561508778e-09,0.11224544084864554,0.0,0.0,0.0,0.0,0.99999877324826525,1.2267517347097218e-06
3.524749257122732e-09,0.11224545160934177,0.0,0.0,0.0,0.0,0.9999985815132848,1.418486715299984e-06
4.001185952736686e-09,0.112245462370031,0.0,0.0,0.0,0.0,0.99999838977846833,1.6102215317472814e-06
4.954059343964595e-09,0.1122454838913841,0.0,0.0,0.0,0.0,0.99999800630938018,1.9936906197827402e-06
5.906932735192503e-09,0.11224550541270077,0.0,0.0,0.0,0.0,0.99999762284111793,2.3771588820326984e-06
6.859806126420411e-09,0.11224552693397122,0.0,0.0,0.0,0.0,0.99999723937380469,2.7606261952186071e-06
8.765552908876229e-09,0.11224556997635113,0.0,0.0,0.0,0.0,0.99999647244249978,3.5275575000662078e-06
9.999999999999999e-09,0.11224561301847132,0.0,0.0,0.0,0.0,0.99999597566562881,4.0243343712641244e-06
1.0671299691332045e-08,0.11224561301847132,0.0,0.0,0.0,0.0,0.99999570551641392,4.2944835860886916e-06
1.448279325624368e-08,0.11224569910172126,0.0,0.0,0.0,0.0,0.99999417168365701,5.8283163429847477e-06
1.8294286821155313e-08,0.11224578518329874,0.0,0.0,0.0,0.0,0.99999263788307058,7.3621169293810514e-06
2.2105780386066946e-08,0.11224587126277744,0.0,0.0,0.0,0.0,0.99999110412218772,8.8958778123315399e-06
2.9728767515890214e-08,0.1122460434137583,0.0,0.0,0.0,0.0,0.99998803674966374,1.19632503362612e-05
4.497474177553675e-08,0.1122463876719646,0.0,0.0,0.0,0.0,0.99998190281245236,1.8097187547531317e-05
