Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6)
3.727253525629113e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999989,1.4999844393692417e-16,4.8312343075095337e-19,9.1759347012143637e-30,4.8312343074177747e-19
1.0436309871761518e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999956,4.1999564302335785e-16,1.3527456061323989e-18,5.5422645595331855e-29,1.3527456060769766e-18
2.3854422564026326e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999911,9.5999004119610605e-16,3.0919899570142094e-18,2.668361811112699e-28,3.0919899567473737e-18
5.069064794855594e-18,0.11224537200000013,0.0,0.0,0.0,0.0,0.99999999999999789,2.0399788375411248e-15,6.5704786592535065e-18,1.1653437070537706e-27,6.5704786580881625e-18
1.0436309871761517e-17,0.11224537200000022,0.0,0.0,0.0,0.0,0.99999999999999589,4.1999564302292536e-15,1.3527456065634802e-17,4.8650805785797707e-27,1.3527456060769724e-17
2.1170800025573365e-17,0.11224537200000048,0.0,0.0,0.0,0.0,0.99999999999999145,8.5199116155978782e-15,2.7441410886008211e-17,1.9875441600183773e-26,2.7441410866132765e-17
4.263978033319706e-17,0.11224537200000095,0.0,0.0,0.0,0.0,0.9999999999999829,1.7159821986304592e-14,5.526932055719827e-17,8.0339712757503794e-26,5.5269320476858561e-17
8.557774094844445e-17,0.11224537200000194,0.0,0.0,0.0,0.0,0.99999999999996558,3.4439642727595876e-14,1.1092514002135137e-16,3.2304245152782395e-25,1.1092513969830893e-16
1.7145366217893922e-16,0.1122453720000039,0.0,0.0,0.0,0.0,0.99999999999993061,6.8999284209689805e-14,2.2223677943674949e-16,1.2955447148850404e-24,2.2223677814120481e-16
3.4320550463992876e-16,0.11224537200000781,0.0,0.0,0.0,0.0,0.999999999999861,1.3811856717192329e-13,4.4486006021591358e-16,5.1889363848166309e-24,4.4486005502697715e-16
6.867091895619079e-16,0.11224537200001561,0.0,0.0,0.0,0.0,0.99999999999972189,2.7635713308857265e-13,8.901066295677129e-16,2.0769268297155257e-23,8.9010660879844474e-16
1.373716559405866e-15,0.11224537200003123,0.0,0.0,0.0,0.0,0.99999999999944356,5.5283426489060116e-13,1.7805997994451959e-15,8.3104126408588735e-23,1.7805997163410697e-15
2.7477312990937826e-15,0.11224537200006247,0.0,0.0,0.0,0.0,0.99999999999888711,1.1057885283695766e-12,3.5615862638957007e-15,3.3247061975331664e-22,3.5615859314250815e-15
5.495760778469615e-15,0.11224537200012491,0.0,0.0,0.0,0.0,0.99999999999777411,2.2116970548272014e-12,7.1235596915788595e-15,1.329990714728903e-21,7.1235583615881462e-15
1.0991819737221281e-14,0.11224537200024987,0.0,0.0,0.0,0.0,0.99999999999554801,4.4235141057411476e-12,1.4247508542073789e-14,5.3201793362140938e-21,1.4247503221894456e-14
2.1983937654724612e-14,0.11224537200049972,0.0,0.0,0.0,0.0,0.9999999999910959,8.8471481995638291e-12,2.8495414223578078e-14,2.1281150292436529e-20,2.8495392942427777e-14
4.396817348973127e-14,0.11224537200099949,0.0,0.0,0.0,0.0,0.99999999998219136,1.7694416355188339e-11,5.6991257508644183e-14,8.5125466954817368e-20,5.6991172383177228e-14
8.793664515974459e-14,0.11224537200199891,0.0,0.0,0.0,0.0,0.99999999996438316,3.5388952538353967e-11,1.1398307176700572e-13,3.4050359845474556e-19,1.1398273126340725e-13
1.7587358849977125e-13,0.11224537200399785,0.0,0.0,0.0,0.0,0.99999999992876598,7.077802439235151e-11,2.2796721103663853e-13,1.3620178475586444e-18,2.2796584901879094e-13
3.5174747517982454e-13,0.11224537200799568,0.0,0.0,0.0,0.0,0.99999999985753207,1.415561660510114e-10,4.5593753258748397e-13,5.4480782374096195e-18,4.5593208450924656e-13
7.034952485399312e-13,0.11224537201599141,0.0,0.0,0.0,0.0,0.99999999971506359,2.8311244117098586e-10,9.118863477350177e-13,2.1792326161500061e-17,9.1186455540885619e-13
1e-12,0.11224537203198279,0.0,0.0,0.0,0.0,0.99999999959497055,4.0243687331584191e-10,1.2962408382660688e-12,4.9347001580540639e-17,1.2961914912644889e-12
1.4069907952601443e-12,0.11224537203198279,0.0,0.0,0.0,0.0,0.99999999943012752,5.6622495862152233e-10,1.823816666209659e-12,8.7169327209757629e-17,1.8237294968824492e-12
2.8139818887005706e-12,0.11224537206396556,0.0,0.0,0.0,0.0,0.99999999886025448,1.1324498623646872e-09,3.6478080558468119e-12,3.4867732308670013e-16,3.6474593785237267e-12
4.2209729821409965e-12,0.11224537209594837,0.0,0.0,0.0,0.0,0.99999999829038155,1.6986746348689222e-09,5.471930197881497e-12,7.4093928675116451e-16,5.4711892585947464e-12
5.627964075581423e-12,0.11224537212793113,0.0,0.0,0.0,0.0,0.99999999772050829,2.2648992761338736e-09,7.2961830922832114e-12,1.2639551922287898e-15,7.2949191370909815e-12
8.441946262462277e-12,0.11224537219189669,0.0,0.0,0.0,0.0,0.99999999658076166,3.3973482504410778e-09,1.0944995748113146e-11,2.6168584220710659e-15,1.0942378889691074e-11
1e-11,0.11224537225586226,0.0,0.0,0.0,0.0,0.99999999594970346,4.0243656427149576e-09,1.2965487630099636e-11,3.5727536201495235e-15,1.2961914876479489e-11
1.125592844934313e-11,0.11224537225586226,0.0,0.0,0.0,0.0,0.9999999954410147,4.529796742026962e-09,1.4594289226441092e-11,4.4505903212658925e-15,1.4589838636119829e-11
1.4069910636223984e-11,0.11224537231982779,0.0,0.0,0.0,0.0,0.99999999430126718,5.6622447165011968e-09,1.8244097871824254e-11,6.7994956219194896e-15,1.8237298376202338e-11
1.9697875009985687e-11,0.11224537244775896,0.0,0.0,0.0,0.0,0.99999999202177026,7.9271390816977969e-09,2.5545293022437744e-11,1.3075185452212501e-14,2.5532217836985532e-11
2.5325839383747394e-11,0.11224537257569009,0.0,0.0,0.0,0.0,0.99999998974227167,1.0192031346673616e-08,3.2848580536694623e-11,2.1443264903143027e-14,3.2827137271791483e-11
3.65817681312708e-11,0.11224537283155232,0.0,0.0,0.0,0.0,0.9999999851832676,1.4721809576729431e-08,4.7461431763993942e-11,4.4455702013432116e-14,4.7416976061980516e-11
5.909362562631763e-11,0.11224537334327686,0.0,0.0,0.0,0.0,0.99999997606523461,2.378134083670469e-08,7.6712238753044213e-11,1.1558543797871867e-13,7.6596653315065508e-11
9.999999999999999e-11,0.11224537436672587,0.0,0.0,0.0,0.0,0.99999995949674003,4.0243360523504982e-08,1.2994965336590671e-10,3.30508439679067e-13,1.2961914492622767e-10
1.0411734061641127e-10,0.11224537436672587,0.0,0.0,0.0,0.0,0.99999995782906892,4.1900302550880909e-08,1.3531426951850431e-10,3.5826308406337298e-13,1.3495600643444097e-10
1.9416477059659857e-10,0.11224537641362389,0.0,0.0,0.0,0.0,0.99999992135633731,7.8137822708185557e-08,2.5291999367054986e-10,1.2452871636215636e-12,2.5167470650692832e-10
3.7425963055697314e-10,0.11224538050741972,0.0,0.0,0.0,0.0,0.99999984840927425,1.5061124955295341e-07,4.8973805827287702e-10,4.6259812389554202e-12,4.8511207703392156e-10
5.543544905173477e-10,0.11224538460121536,0.0,0.0,0.0,0.0,0.9999997754600789,2.2308252460025933e-07,7.2869823422227638e-10,1.0148832617947795e-11,7.1854940160432867e-10
7.344493504777223e-10,0.11224538869501065,0.0,0.0,0.0,0.0,0.99999970250875203,2.9555164714548232e-07,9.6980046045745454e-10,1.781378927319216e-11,9.5198667118426248e-10
9.145442104380969e-10,0.11224539278880565,0.0,0.0,0.0,0.0,0.99999962955529398,3.6801861646015138e-07,1.2130446739213567e-09,2.7620797487051126e-11,1.1854238764343056e-09
9.999999999999999e-10,0.11224540097639438,0.0,0.0,0.0,0.0,0.99999959493781787,4.0240375320078473e-07,1.3292144178036666e-09,3.3023603382790403e-11,1.2961908144208758e-09
1.274733930358846e-09,0.11224540097639438,0.0,0.0,0.0,0.0,0.99999948364198965,5.1294609269711331e-07,1.7059588286615607e-09,5.3660769346286591e-11,1.652298059315274e-09
1.6349236502795952e-09,0.11224540916398129,0.0,0.0,0.0,0.0,0.99999933772017213,6.5786494746962428e-07,2.2074401925890168e-09,8.8268317247101287e-11,2.1191718753419151e-09
1.9951133702003445e-09,0.11224541735156592,0.0,0.0,0.0,0.0,0.99999919178984875,8.0277517462891848e-07,2.717488232936174e-09,1.3144298728022213e-10,2.5860452456559521e-09
2.7154928100418425e-09,0.11224543372672699,0.0,0.0,0.0,0.0,0.99999889990371316,1.0925697221880074e-06,3.7632822660118345e-09,2.434919237805951e-10,3.519790342231238e-09
3.435872249883341e-09,0.11224545010187462,0.0,0.0,0.0,0.0,0.9999986079836386,1.3823296877738041e-06,4.8433367927253665e-09,3.8980405451348401e-10,4.4535327382118827e-09
4.876631129566338e-09,0.11224548285211805,0.0,0.0,0.0,0.0,0.99999802404189386,1.9617456842779826e-06,7.1062108777341478e-09,7.8520387315648587e-10,6.3210070045776619e-09
6.317390009249335e-09,0.11224551560227285,0.0,0.0,0.0,0.0,0.99999743996505897,2.541022786000677e-06,9.5060774838765566e-09,1.3176142966658038e-09,8.1884631872107528e-09
7.758148888932332e-09,0.11224554835231555,0.0,0.0,0.0,0.0,0.99999685575357755,3.1201606152482977e-06,1.2042903524129528e-08,1.9870070938397706e-09,1.0055896430289758e-08
9.198907768615329e-09,0.11224558110222299,0.0,0.0,0.0,0.0,0.99999627140789371,3.6991587946739662e-06,1.4716655814760755e-08,2.7933539364841965e-09,1.1923301878276559e-08
