Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38)
5.827456225822745e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999978,2.3451835513023868e-16,7.5534991784148149e-19,2.243006260296774e-29,7.5534991784174563e-19,1.6212354615476322e-29,4.8652190031535539e-30,3.5416012640114867e-57,2.8135989529506238e-49,1.4817641205343939e-59,7.311913123789364e-87,1.2119805487651557e-89,4.6700573383570785e-98,4.4476904020547162e-100,1.0025070096163582e-100,1.2392319591551746e-67,5.146941310964097e-69,8.4000432722216355e-97
1.6316877432303685e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999944,6.5665139436459549e-16,2.114979769992057e-18,1.3547757812191409e-28,2.1149797699936529e-18,9.7922621878864332e-29,2.9385922779473704e-29,1.1135361026075756e-55,3.3403046867913371e-48,3.3146470764064526e-58,8.2679996030115168e-85,9.3521849064269294e-88,6.5332213683180272e-96,6.2221437287527048e-98,1.4024678514705946e-98,7.137341675624279e-66,2.9643746702489791e-67,1.7181139837358251e-94
3.729571984526557e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999856,1.5009174728330172e-15,4.8342394744368384e-18,6.5226622049413483e-28,4.8342394744445221e-18,4.7145527223886121e-28,1.4148056861809877e-28,2.4842377873045515e-54,3.2795309689808654e-47,6.5491840954432023e-57,7.4810602048729915e-83,1.0192468576631467e-85,1.4203963088888993e-93,1.352766844799317e-95,3.0491291884666211e-96,3.2006835822076643e-64,1.3293500232369667e-65,3.1111515161929842e-92
7.925340467118932e-18,0.11224537200000019,0.0,0.0,0.0,0.0,0.99999999999999678,3.189449629768694e-15,1.0272758883900929e-17,2.8486179505751751e-27,1.0272758883934485e-17,2.058969036380526e-27,6.1788281346656634e-28,4.6527024318880876e-53,2.9007080374221889e-46,1.1653923311906562e-55,5.6680381210003883e-81,8.3380721205256641e-84,2.3274515016340411e-91,2.2166420102649652e-93,4.9962991540858445e-94,1.2041771572518273e-62,5.0013470206659063e-64,4.7194154609065649e-90
1.6316877432303687e-17,0.11224537200000038,0.0,0.0,0.0,0.0,0.99999999999999334,6.5665139436353822e-15,2.1149797705127222e-17,1.1892419192077938e-26,2.1149797705267304e-17,8.5957904190608414e-27,2.5795391160665983e-27,8.0363863787150896e-52,2.4382199448021742e-45,1.9656045495822304e-54,3.9404454987025754e-79,6.0009710224909594e-82,3.3529734538801802e-89,3.193361186803316e-91,7.1978189111714828e-92,4.1696831681714851e-61,1.7318076772316133e-62,6.5658539748780147e-88
3.3099951362673195e-17,0.11224537200000073,0.0,0.0,0.0,0.0,0.99999999999998679,1.3320642571350104e-14,4.2903875356772258e-17,4.8584412800400518e-26,4.2903875357344533e-17,3.5116608607691844e-26,1.0538258974624875e-26,1.3352576072858783e-50,1.9990001178330388e-44,3.2285115251400863e-53,2.6272410557869929e-77,4.0676535071022579e-80,4.5474236381883998e-87,4.3310117018493477e-89,9.7620770371875763e-90,1.3872798452787697e-59,5.7618331738786838e-61,8.7581227365806188e-86
6.666609922341221e-17,0.1122453720000015,0.0,0.0,0.0,0.0,0.99999999999997313,2.6828899826704886e-14,8.6412030696832059e-17,1.9638596451794822e-25,8.641203069914532e-17,1.419469467234946e-25,4.2597327719140795e-26,2.1768068722477452e-49,1.6188422785461332e-43,5.2335567949071321e-52,1.7160036338016988e-75,2.6783256514245687e-78,5.9896096647742596e-85,5.7047220878360729e-87,1.2858412837824133e-87,4.5260077664460445e-58,1.8798010838159515e-59,1.1442687083068426e-83
1.3379839494489024e-16,0.11224537200000305,0.0,0.0,0.0,0.0,0.99999999999994582,5.3845414337115869e-14,1.7342834152403065e-16,7.8965932595372916e-25,1.7342834153333218e-16,5.7076243027293743e-25,1.7128198142950238e-25,3.515548818756425e-48,1.3029853522630904e-42,8.4284834440812155e-51,1.1094430387099802e-73,1.7385239776250375e-76,7.7762447733359017e-83,7.4067886202555218e-85,1.6694861616024798e-85,1.4623537535659625e-56,6.0736399194112791e-58,1.4797196647389364e-81
2.6806298638784626e-16,0.11224537200000612,0.0,0.0,0.0,0.0,0.99999999999989131,1.0787844335674346e-13,3.4746096376674387e-16,3.1668870808046339e-24,3.4746096380404728e-16,2.2890126295525672e-24,6.8691735462940315e-25,5.6511417468869252e-47,1.0455640878899849e-41,1.3529587587458489e-49,7.1365018545806512e-72,1.1205242581941839e-74,1.0023434125539023e-80,9.5482697236789637e-83,2.1521748450516768e-83,4.7021085265200064e-55,1.9529415121689838e-56,1.9037380450686045e-79
5.365921692737584e-16,0.1122453720000122,0.0,0.0,0.0,0.0,0.99999999999978273,2.1594450139122132e-13,6.9552621060543445e-16,1.2684066718236653e-23,6.9552621075484283e-16,9.1679899801099681e-24,2.7512523712967854e-24,9.0628921672029109e-46,8.3772425469727172e-41,2.1682634002988894e-48,4.5789399906981582e-70,7.1966349261986464e-73,1.287272932470844e-78,1.226520974658172e-80,2.764571653975786e-81,1.5082970188604158e-53,6.264457173028128e-55,2.4430111892286044e-77
