Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12)
4.120633814246202e-19,0.11224537199999998,0.0,0.0,0.0,0.0,0.99999999999999989,1.6582951922125381e-16,5.3411367895963764e-19,1.1215031300935336e-29,5.3411367895976976e-19,8.1061773073066339e-30,2.4326123703193785e-30
1.1537774679889368e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999956,4.6432265381947413e-16,1.4955183011049395e-18,6.7738789057645484e-29,1.4955183011057373e-18,4.8961310936622568e-29,1.4692978716879737e-29
2.63720564111757e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.999999999999999,1.0613089230157692e-15,3.4183275454673597e-18,3.2613311023114041e-28,3.4183275454712008e-18,2.3572763610383431e-28,7.0740367731147904e-29
5.604061987374835e-18,0.11224537200000013,0.0,0.0,0.0,0.0,0.99999999999999778,2.2552814614077755e-15,7.2639460344794641e-18,1.4243089752181761e-27,7.2639460344962397e-18,1.0294845181039685e-27,3.0894177105391841e-28
1.1537774679889368e-17,0.11224537200000026,0.0,0.0,0.0,0.0,0.99999999999999545,4.6432265381894555e-15,1.4955183013652723e-17,5.9462095957504124e-27,1.4955183013722762e-17,4.2978952090182082e-27,1.2897710789535514e-27
2.340520006491843e-17,0.11224537200000054,0.0,0.0,0.0,0.0,0.99999999999999056,9.4191166917434872e-15,3.0337656976595467e-17,2.4292206399031394e-26,3.0337656976881602e-17,1.7558304300511605e-26,5.2691357003864231e-27
4.714005083497656e-17,0.11224537200000106,0.0,0.0,0.0,0.0,0.99999999999998113,1.8970896998814228e-14,6.1102604920865846e-17,9.8192982254330106e-26,6.1102604922022439e-17,7.0973473338230365e-26,2.1298688970724514e-26
9.460975237509282e-17,0.11224537200000217,0.0,0.0,0.0,0.0,0.99999999999996148,3.8074457612806388e-14,1.226325008829461e-16,3.9482966295884035e-25,1.2263250088759671e-16,2.8538121496117395e-25,8.5641091660793335e-26
1.8954915545532534e-16,0.11224537200000431,0.0,0.0,0.0,0.0,0.99999999999992317,7.6281578840193571e-14,2.4569229310126484e-16,1.5834435403352407e-24,2.4569229311991578e-16,1.1445063134257111e-24,3.4345908195452829e-25
3.7942796161579037e-16,0.11224537200000863,0.0,0.0,0.0,0.0,0.99999999999984635,1.5269582129257923e-13,4.9181187871453504e-16,6.342033358891384e-24,4.9181187878923612e-16,4.5839949794583925e-24,1.3756278047246004e-24
7.591855739367204e-16,0.11224537200001723,0.0,0.0,0.0,0.0,0.9999999999996928,3.0552430618779581e-13,9.8405105464760606e-16,2.5384661250687636e-23,9.8405105494660506e-16,1.8347926253770244e-23,5.5060962392208584e-24
1.5187007985785806e-15,0.11224537200003455,0.0,0.0,0.0,0.0,0.99999999999938471,6.1118127594000924e-13,1.9685294253398698e-15,1.0157171004878053e-22,1.9685294265362559e-15,7.3415605098036263e-23,2.2031557225843418e-23
3.037731247862301e-15,0.11224537200006908,0.0,0.0,0.0,0.0,0.99999999999876954,1.2224952152915592e-12,3.9374862420288847e-15,4.0635297966908531e-22,3.9374862468152162e-15,2.9371023218238878e-22,8.8140576964053743e-23
6.0757921464297414e-15,0.11224537200013808,0.0,0.0,0.0,0.0,0.99999999999753941,2.445123093383151e-12,7.8754001766248382e-15,1.6255442067351097e-21,7.8754001957717908e-15,1.1749365976403825e-21,3.5259101785589638e-22
1.2151913943564623e-14,0.11224537200027623,0.0,0.0,0.0,0.0,0.99999999999507816,4.8903788471202944e-12,1.5751229250688234e-14,6.5024414100003111e-21,1.5751229327279733e-14,4.6999380433615303e-21,1.4104215881457659e-21
2.4304157537834382e-14,0.11224537200055248,0.0,0.0,0.0,0.0,0.99999999999015599,9.780890344810433e-12,3.1502892218299485e-14,2.6010294795715333e-20,3.1502892524676299e-14,1.8800137951207855e-20,5.6418021455064336e-21
4.8608644726373906e-14,0.11224537200110497,0.0,0.0,0.0,0.0,0.99999999998031186,1.9561913301054113e-11,6.300623743144771e-14,1.0404223734509987e-19,6.3006238657004077e-14,7.5201343089972877e-20,2.2567446229404178e-20
9.721761910345296e-14,0.11224537200220991,0.0,0.0,0.0,0.0,0.99999999996062372,3.9123959056995097e-11,1.2601300496935024e-13,4.1617106444541565e-19,1.2601300987189382e-13,3.0080711271926905e-19,9.0270308690378344e-20
1.9443556785761105e-13,0.1122453720044198,0.0,0.0,0.0,0.0,0.99999999992124788,7.8248049942691428e-11,2.5202684849080442e-13,1.6646884777700649e-18,2.5202686810337412e-13,1.2032331938579633e-18,3.6108267011764647e-19
3.8887146536592725e-13,0.11224537200883956,0.0,0.0,0.0,0.0,0.99999999984249566,1.5649622920934084e-10,5.0405576931010756e-13,6.6587622698581079e-18,5.0405584777924917e-13,4.8129523593956477e-18,1.4443366536674348e-18
7.777432603825595e-13,0.11224537201767913,0.0,0.0,0.0,0.0,0.99999999968499131,3.1299257772366129e-10,1.008118546004684e-12,2.6635065147331081e-17,1.0081188600315516e-12,1.9251929388720783e-17,5.7773833811499558e-18
