Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28)
4.969671367383885e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999978,1.999979252443345e-16,6.4416533400336219e-19,1.6312772801360268e-29,6.4416533400355459e-19,1.1790803356107582e-29,3.538345265926839e-30,1.8732436437744546e-57,1.7450510897631118e-49,7.8374300562148325e-60,2.6058840116162795e-87,4.6621641132003117e-90
1.3915079828674879e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999944,5.599941906840836e-16,1.8036629352355295e-18,9.8529147720209141e-29,1.8036629352366904e-18,7.1216452271750253e-29,2.1371605406462468e-29,5.8897777332773153e-56,2.071724658975815e-48,1.7532017580661424e-58,2.9640050460771998e-85,3.5975347125786793e-88
3.1805896751256865e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999867,1.2799867215633698e-15,4.1226581378043236e-18,4.7437543306345316e-28,4.1226581378099111e-18,3.4287656160851521e-28,1.0289508033711782e-28,1.3139770118105774e-54,2.0340315657897326e-47,3.4640312514363367e-57,2.6833025135311116e-83,3.9207693288975118e-86
6.758753059642084e-18,0.11224537200000015,0.0,0.0,0.0,0.0,0.99999999999999722,2.7199717833210937e-15,8.7606485433597485e-18,2.0717221457716832e-27,8.7606485433841539e-18,1.4974320263590313e-27,4.4936984881368348e-28,2.4609335192288294e-53,1.7990779037075173e-46,6.1640585906294132e-56,2.0337045313123261e-81,3.2074327820165147e-84
1.391507982867488e-17,0.1122453720000003,0.0,0.0,0.0,0.0,0.99999999999999445,5.5999419068331499e-15,1.8036629356141956e-17,8.6490321392715727e-27,1.8036629356243833e-17,6.2514839406085516e-27,1.8760306603631841e-27,4.2506506523293718e-52,1.5122334116253164e-45,1.0396585977002406e-54,1.4141120585013669e-79,2.3084127105514097e-82
2.8227733366740465e-17,0.11224537200000062,0.0,0.0,0.0,0.0,0.99999999999998868,1.1359882153843689e-14,3.6588590988391785e-17,3.5334118398576712e-26,3.6588590988807983e-17,2.5539351711625884e-26,7.6641973829304536e-27,7.0625195955043286e-51,1.2398203669428185e-44,1.7076424363321267e-53,9.4293460331449922e-78,1.5647173589144086e-80
5.685304044287164e-17,0.11224537200000129,0.0,0.0,0.0,0.0,0.99999999999997713,2.2879762647810481e-14,7.36925142796331e-17,1.428261560061817e-25,7.3692514281315395e-17,1.0323414305192854e-25,3.0979911234600381e-26,1.1513689307292271e-49,1.0040387599368072e-43,2.7681621961147986e-52,6.1591625219319363e-76,1.0302802470746042e-78
1.14103654595134e-16,0.11224537200000263,0.0,0.0,0.0,0.0,0.99999999999995359,4.591952363552688e-14,1.4790036096908227e-16,5.7429769157555623e-25,1.4790036097584676e-16,4.1509994915116362e-25,1.2456886063338037e-25,1.8594638594138545e-48,8.0813787583487137e-43,4.4580405861856077e-51,3.9821664807132066e-74,6.6876381213961206e-77
2.2860488289965874e-16,0.11224537200000519,0.0,0.0,0.0,0.0,0.99999999999990752,9.1999045610091128e-14,2.9631605477584717e-16,2.3031906041164544e-24,2.963160548029758e-16,1.6647364568286181e-24,4.995768467670902e-25,2.9890337203292776e-47,6.4847996316059652e-42,7.1561447177568934e-50,2.5615642572336273e-72,4.3103597360256781e-75
4.576073395087081e-16,0.11224537200001043,0.0,0.0,0.0,0.0,0.99999999999981448,1.8415808955574507e-13,5.9314744410084259e-16,9.2247757946907471e-24,5.9314744420949851e-16,6.6676290685351807e-24,2.0009131728142191e-24,4.7935960791005924e-46,5.1957344236497325e-41,1.146849811899731e-48,1.6435674736984025e-70,2.7683568731174042e-73
