Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5)
3.28716273425128e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999989,1.3228756555322953e-16,0.0
9.204055655903584e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999956,3.7040518354904248e-16,0.0
2.103784149920819e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999911,8.466404195406683e-16,0.0
4.470541318581741e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999822,1.7991108915239187e-15,0.0
9.204055655903583e-18,0.1122453720000002,0.0,0.0,0.0,0.0,0.99999999999999634,3.7040518354904147e-15,0.0
1.8671084330547268e-17,0.11224537200000043,0.0,0.0,0.0,0.0,0.99999999999999245,7.5139337234233908e-15,0.0
3.760514167983464e-17,0.11224537200000086,0.0,0.0,0.0,0.0,0.9999999999999849,1.5133697499289266e-14,0.0
7.547325637840938e-17,0.1122453720000017,0.0,0.0,0.0,0.0,0.99999999999996969,3.0373225051020728e-14,0.0
1.5120948577555888e-16,0.11224537200000342,0.0,0.0,0.0,0.0,0.99999999999993916,6.0852280154482486e-14,0.0
3.026819445698579e-16,0.11224537200000682,0.0,0.0,0.0,0.0,0.99999999999987821,1.2181039036140137e-13,0.0
6.056268621584559e-16,0.11224537200001368,0.0,0.0,0.0,0.0,0.9999999999997562,2.4372661077522061e-13,0.0
1.2115166973356517e-15,0.11224537200002736,0.0,0.0,0.0,0.0,0.99999999999951239,4.8755905160278457e-13,0.0
2.4232963676900437e-15,0.11224537200005474,0.0,0.0,0.0,0.0,0.99999999999902478,9.7522393325761542e-13,0.0
4.846855708398828e-15,0.11224537200010949,0.0,0.0,0.0,0.0,0.99999999999804934,1.9505536965660874e-12,0.0
9.693974389816394e-15,0.11224537200021896,0.0,0.0,0.0,0.0,0.99999999999609879,3.901213223178276e-12,0.0
1.9388211752651527e-14,0.11224537200043791,0.0,0.0,0.0,0.0,0.99999999999219746,7.802532276383628e-12,0.0
3.87766864783218e-14,0.11224537200087581,0.0,0.0,0.0,0.0,0.99999999998439482,1.5605170382718231e-11,0.0
7.755363592966234e-14,0.11224537200175162,0.0,0.0,0.0,0.0,0.99999999996878952,3.1210446595083013e-11,0.0
1.551075348323434e-13,0.11224537200350325,0.0,0.0,0.0,0.0,0.99999999993757893,6.2420999018594869e-11,0.0
3.1021533263770554e-13,0.11224537200700646,0.0,0.0,0.0,0.0,0.99999999987515797,1.2484210386074733e-10,0.0
6.204309282484299e-13,0.11224537201401295,0.0,0.0,0.0,0.0,0.99999999975031573,2.4968431352556416e-10,0.0
1e-12,0.1122453720280259,0.0,0.0,0.0,0.0,0.99999999959756314,4.0243692266533857e-10,0.0
1.2408621194698784e-12,0.1122453720280259,0.0,0.0,0.0,0.0,0.99999999950063134,4.993687327772212e-10,0.0
2.4817245019127754e-12,0.11224537205605184,0.0,0.0,0.0,0.0,0.99999999900126246,9.9873757096843342e-10,0.0
4.96344926679857e-12,0.11224537211210367,0.0,0.0,0.0,0.0,0.99999999800252481,1.9974752461008916e-09,0.0
9.926898796570158e-12,0.11224537222420737,0.0,0.0,0.0,0.0,0.99999999600504941,3.9949505913534541e-09,0.0
1e-11,0.11224537244841473,0.0,0.0,0.0,0.0,0.99999999597563083,4.0243692144776786e-09,0.0
1.9853797856113338e-11,0.11224537244841473,0.0,0.0,0.0,0.0,0.99999999201009881,7.9899012617093155e-09,0.0
3.9707595975199697e-11,0.11224537289682947,0.0,0.0,0.0,0.0,0.99999998402019741,1.5979802521025025e-08,0.0
7.941519221337241e-11,0.1122453737936589,0.0,0.0,0.0,0.0,0.99999996804039537,3.1959604707681015e-08,0.0
9.999999999999999e-11,0.11224537469048836,0.0,0.0,0.0,0.0,0.99999995975630918,4.0243690892353227e-08,0.0
1.1912278845154513e-10,0.11224537469048836,0.0,0.0,0.0,0.0,0.99999995206059356,4.7939406490001202e-08,0.0
1.9853798092789054e-10,0.11224537648414716,0.0,0.0,0.0,0.0,0.99999992010099148,7.989900864152119e-08,0.0
2.77953173404236e-10,0.11224537827780598,0.0,0.0,0.0,0.0,0.99999988814139085,1.1185860905639182e-07,0.0
3.573683658805814e-10,0.11224538007146476,0.0,0.0,0.0,0.0,0.99999985618179232,1.4381820766643825e-07,0.0
5.161987508332722e-10,0.11224538365878206,0.0,0.0,0.0,0.0,0.99999979226260016,2.0773739971653788e-07,0.0
8.338595207386539e-10,0.11224539083341613,0.0,0.0,0.0,0.0,0.99999966442424093,3.3557575895096978e-07,0.0
9.999999999999999e-10,0.11224539729058584,0.0,0.0,0.0,0.0,0.9999995975632251,4.0243677475751617e-07,0.0
1.1197542136534975e-09,0.11224539729058584,0.0,0.0,0.0,0.0,0.99999954936974822,4.5063025176027085e-07,0.0
1.405648906568341e-09,0.11224540374775466,0.0,0.0,0.0,0.0,0.99999943431528782,5.6568471211250097e-07,0.0
1.6915435994831846e-09,0.11224541020492203,0.0,0.0,0.0,0.0,0.99999931926086305,6.8073913694707927e-07,0.0
1.9774382923980282e-09,0.11224541666208797,0.0,0.0,0.0,0.0,0.99999920420647681,7.9579352309277412e-07,0.0
2.5492276782277154e-09,0.11224542957641477,0.0,0.0,0.0,0.0,0.99999897409783201,1.0259021679810616e-06,0.0
3.1210170640574026e-09,0.11224544249073415,0.0,0.0,0.0,0.0,0.9999987439893786,1.2560106215238166e-06,0.0
3.6928064498870897e-09,0.11224545540504399,0.0,0.0,0.0,0.0,0.99999851388114291,1.486118857074733e-06,0.0
4.836385221546464e-09,0.11224548123363033,0.0,0.0,0.0,0.0,0.99999805366542838,1.9463345717291027e-06,0.0
5.9799639932058384e-09,0.1122455070621624,0.0,0.0,0.0,0.0,0.9999975934508929,2.4065491070461257e-06,0.0
8.267121536524586e-09,0.11224555871901806,0.0,0.0,0.0,0.0,0.99999667302617257,3.3269738274735233e-06,0.0
9.999999999999999e-09,0.11224561037551975,0.0,0.0,0.0,0.0,0.99999597566560838,4.0243343915684121e-06,0.0
1.0554279079843335e-08,0.11224561037551975,0.0,0.0,0.0,0.0,0.99999575260861029,4.2473913897560643e-06,0.0
1.512859416648083e-08,0.1122457136870945,0.0,0.0,0.0,0.0,0.9999939118014709,6.088198529181025e-06,0.0
1.9702909253118328e-08,0.11224581699615648,0.0,0.0,0.0,0.0,0.99999207104250076,7.9289574992959617e-06,0.0
2.8851539426393323e-08,0.11224602360381626,0.0,0.0,0.0,0.0,0.999988389721162,1.161027883788349e-05,0.0
3.800016959966832e-08,0.11224623019265215,0.0,0.0,0.0,0.0,0.99998470874877021,1.5291251229703056e-05,0.0
5.629742994621831e-08,0.11224664329048316,0.0,0.0,0.0,0.0,0.99997734826724638,2.2651732753716282e-05,0.0
7.27649642581133e-08,0.11224701495555603,0.0,0.0,0.0,0.0,0.99997072607132265,2.9273928677303372e-05,0.0
8.923249857000829e-08,0.11224738646880508,0.0,0.0,0.0,0.0,0.99996410662352109,3.5893376479030307e-05,0.0
9.999999999999998e-08,0.1122477577963567,0.0,0.0,0.0,0.0,0.99995978019080978,4.0219809190209578e-05,0.0
1.0570003288190328e-07,0.1122477577963567,0.0,0.0,0.0,0.0,0.9999574905288332,4.2509471166732002e-05,0.0
1.2216756719379826e-07,0.11224812890428015,0.0,0.0,0.0,0.0,0.99995087839101959,4.9121608980525898e-05,0.0
1.3863510150569325e-07,0.11224849975877053,0.0,0.0,0.0,0.0,0.99994427081238269,5.57291876172464e-05,0.0
1.5510263581758824e-07,0.11224887032618908,0.0,0.0,0.0,0.0,0.99993766839382348,6.2331606176630142e-05,0.0
1.7589984617113295e-07,0.11224933786124745,0.0,0.0,0.0,0.0,0.99992933835828368,7.0661641716280435e-05,0.0
1.9669705652467767e-07,0.1122498048172778,0.0,0.0,0.0,0.0,0.9999210187086891,7.8981291310954168e-05,0.0
