Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550)
6.455791350615381e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999978,2.598049259562884e-16,8.3679413037630058e-19,2.752779929195131e-29,8.3679413037662491e-19,1.9896977452605545e-29,5.970948138179937e-30,5.334352176195912e-57,3.8253735676534513e-49,2.2318295311506695e-59,1.3516180547089539e-86,2.2403650420555898e-89,9.5634759780182437e-98,9.1081150019072282e-100,2.0529629329389911e-100,2.0677832865706785e-67,8.5881911585464095e-69,1.8073444493101082e-96,6.7759495147127162e-88,1.0781207049151747e-84,5.8696958296957246e-98,1.123376635355889e-113,-2.0388304573476348e-184
1.807621578172307e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999922,7.2745379267751808e-16,2.34302356509771e-18,1.6626790772337073e-28,2.3430235650996691e-18,1.2017774381562368e-28,3.6064526755186302e-29,1.6772056731335721e-55,4.5414835143517546e-48,4.9925134035805827e-58,1.5283520665182976e-84,1.7287660398967549e-87,1.3378915053232791e-95,1.274189422668377e-97,2.8720143469391461e-98,1.1909373154710512e-65,4.9463583892158432e-67,3.6834891646147343e-94,7.0924399275266213e-86,1.1284774066078929e-82,1.1117639169344017e-95,4.1283047578116018e-111,3.9752786255721771e-181
4.131706464393844e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999833,1.6627515261196198e-15,5.3554824347168056e-18,8.0050840340971693e-28,5.355482434726235e-18,5.7860410435006196e-28,1.7363517186696497e-28,3.7417535903392641e-54,4.4588554747716549e-47,9.8643652388674013e-57,1.3828851446719544e-82,1.884093793207995e-85,2.9087270962747025e-93,2.770236882732137e-95,6.2440951957307227e-96,5.3406627929150238e-64,2.2181547106203842e-65,6.6677888564192502e-92,6.3712477089908487e-84,1.0137285517280161e-80,1.9980011141882568e-93,1.4945193160791587e-108,6.6624996929855117e-177
8.779876236836918e-18,0.1122453720000002,0.0,0.0,0.0,0.0,0.99999999999999656,3.5333469930023911e-15,1.1380400174660097e-17,3.4960305100754675e-27,1.1380400174701281e-17,2.5269161367732623e-27,7.5831041363867364e-28,7.0078903537795353e-53,3.9438072250177337e-46,1.755311111786273e-55,1.047745307241168e-80,1.5413057009614602e-83,4.7662181859476033e-91,4.53930658789631e-93,1.0231566327640507e-93,2.0092908197590934e-62,8.3452523840672544e-64,1.0112473940234037e-89,4.8043909686362781e-82,7.6442609134812726e-79,3.0164934047390005e-91,4.5353829806938532e-106,7.9788825605671936e-173
1.8076215781723067e-17,0.11224537200000043,0.0,0.0,0.0,0.0,0.99999999999999267,7.2745379267622092e-15,2.3430235657367086e-17,1.4595239184571431e-26,2.3430235657539009e-17,1.0549377448002689e-26,3.1657967036713982e-27,1.2104387801863574e-51,3.3150076930693435e-45,2.9605888279568578e-54,7.283972334533108e-79,1.1092888989178226e-81,6.8663046679567106e-89,6.5394616701240957e-91,1.4739902331706095e-91,6.9575361546369116e-61,2.889695932018947e-62,1.4067241599692924e-87,3.3311372276644002e-80,5.3001679038674799e-77,4.1854455463543591e-89,1.2621505975874438e-103,7.8822311291973404e-169
3.666889487149536e-17,0.11224537200000083,0.0,0.0,0.0,0.0,0.99999999999998535,1.4756919794258943e-14,4.7529906634062698e-17,5.9626314378159115e-26,4.7529906634765049e-17,4.3097649063719456e-26,1.2933312512067699e-26,2.0111621219553258e-50,2.7178437357622259e-44,4.8627762904850565e-53,4.8564943321145994e-77,7.5191212500808809e-80,9.3123163412683975e-87,8.869176807798743e-89,1.9991064467176989e-89,2.314816086512506e-59,9.6142002870534868e-61,1.8762990931663842e-85,2.2179235818908119e-78,3.5289342750728525e-75,5.5751557823261307e-87,3.367397427390404e-101,7.0831919726775995e-165
7.385425305103996e-17,0.11224537200000168,0.0,0.0,0.0,0.0,0.99999999999997025,2.9721683529160794e-14,9.5729248632580413e-17,2.4101909614322035e-25,9.5729248635419449e-17,1.7420758832999117e-25,5.2278517061172612e-26,3.278701801095284e-49,2.2009805563621912e-43,7.8827707301547705e-52,3.1720583686553112e-75,4.9509269232562068e-78,1.2265620640132721e-84,1.1682302467856172e-86,2.633183064114549e-87,7.5520996044028511e-58,3.1366378615222231e-59,2.4513513910681677e-83,1.4476417372251061e-76,2.3033390060295491e-73,7.2789352733628261e-85,8.7995087212501685e-99,6.0754932914431465e-161
1.4822496941012915e-16,0.1122453720000034,0.0,0.0,0.0,0.0,0.99999999999993983,5.965121099859803e-14,1.9212793281012184e-16,9.6912718518090998e-25,1.9212793282153749e-16,7.0048105149633931e-25,2.1020961804054299e-25,5.2951120089932367e-48,1.7715410098840192e-42,1.2694961864080782e-50,2.0508220691174769e-73,3.2136887886944152e-76,1.5924226048260644e-82,1.5167845717001055e-84,3.4188221491587315e-85,2.4400844502820677e-56,1.0134481259434821e-57,3.1699341057422307e-81,9.3561165385873348e-75,1.4886477289725022e-71,9.4094771475254818e-83,2.2758754342443725e-96,5.092334016889054e-157
2.969664021283075e-16,0.1122453720000068,0.0,0.0,0.0,0.0,0.99999999999987954,1.1951026593600672e-13,3.8492530188722861e-16,3.8866334652547452e-24,3.849253019330106e-16,2.8092423203198713e-24,8.4303458873921734e-25,8.511737397988041e-47,1.4215506979420481e-41,2.0378233698528368e-49,1.3191930890920675e-71,2.0713066091382496e-74,2.0525784300129401e-80,1.9553235257319105e-82,4.4072859746281155e-83,7.8459413849917968e-55,3.2586800117580926e-56,4.0782573359566761e-79,6.0172809062349666e-73,9.574050259873515e-70,1.2103646662676065e-80,5.856128660601338e-94,4.2195642988539627e-153
5.944492675646643e-16,0.11224537200001349,0.0,0.0,0.0,0.0,0.99999999999975953,2.3922837580496104e-13,7.7052004292953884e-16,1.5566806433141773e-23,7.7052004311290542e-16,1.1251622259575221e-23,3.3765356148186334e-24,1.3650508296304212e-45,1.1389714044708012e-40,3.2658336072427525e-48,8.4642398191339701e-70,1.3303091868465946e-72,2.635988303124312e-78,2.5117066566017066e-80,5.6613697656578058e-81,2.5167453710057947e-53,1.0452878866993514e-54,5.2334886010989529e-77,3.8604960514966204e-71,6.1423806958390493e-68,1.5530880347487524e-78,1.5030074825833602e-91,3.4763971487455233e-149
