Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25)
4.648701082882017e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999978,1.8708092858608109e-16,6.0256093645881779e-19,1.4273673706648532e-29,6.0256093645898612e-19,1.0316951271465126e-29,3.0960486963193406e-30,1.4342016826738561e-57,1.4283027083535579e-49,6.0005293257552977e-60
1.3016363032069649e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999944,5.2382660004098063e-16,1.6871706221075406e-18,8.6212989188151474e-29,1.6871706221085562e-18,6.2314385680353635e-29,1.8700134125985193e-29,4.5093595613549961e-56,1.6956809793455215e-48,1.3422944110700526e-58
2.975168693044491e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999889,1.1973179429505943e-15,3.8563899934963888e-18,4.1507843138925459e-28,3.8563899935012776e-18,3.0001694298476981e-28,9.0033096092211979e-29,1.0060133115689896e-54,1.664829648771448e-47,2.6521475726829059e-57
6.3222334727195436e-18,0.11224537200000013,0.0,0.0,0.0,0.0,0.99999999999999756,2.5443006287690798e-15,8.1948287366396914e-18,1.8127565607434868e-27,8.1948287366610461e-18,1.3102528115852309e-27,3.9319818446609364e-28,1.8841515925987021e-53,1.4725229848613966e-46,4.7193549457024018e-56
1.3016363032069648e-17,0.1122453720000003,0.0,0.0,0.0,0.0,0.99999999999999467,5.2382660004030785e-15,1.6871706224388729e-17,7.5679017992571536e-27,1.6871706224477874e-17,5.470047565113248e-27,1.6415250190903505e-27,3.2544033127879543e-52,1.2377443186634839e-45,7.9598820589954517e-55
2.6404622150769858e-17,0.1122453720000006,0.0,0.0,0.0,0.0,0.99999999999998934,1.0626196743659207e-14,3.4225461205736541e-17,3.0917348195482113e-26,3.4225461206100724e-17,2.2346929140362296e-26,6.70616532073109e-27,5.4072397512748714e-51,1.0147776126944541e-44,1.30741306688535e-53
5.3181140388170275e-17,0.1122453720000012,0.0,0.0,0.0,0.0,0.99999999999997857,2.1402058230123955e-14,6.8932971191831098e-17,1.2497286466453691e-25,6.8932971193303174e-17,9.0329860586709507e-26,2.7107392460671481e-26,8.8151654245613307e-50,8.2179328363638254e-44,2.1193730788843904e-52
1.0673417686297111e-16,0.11224537200000244,0.0,0.0,0.0,0.0,0.99999999999995659,4.2953781202863436e-14,1.3834799125761592e-16,5.0251039230758124e-25,1.3834799126353502e-16,3.6321239684741682e-25,1.0899763294390791e-25,1.4236515426596652e-48,6.6145083046961628e-43,3.4131855132686018e-51
2.138402498125728e-16,0.11224537200000487,0.0,0.0,0.0,0.0,0.9999999999999134,8.6057227147582385e-14,2.7717803176356852e-16,2.0152914264015322e-24,2.7717803178730688e-16,1.4566441643178155e-24,4.371292591775641e-25,2.2884781852822071e-47,5.3077279746629284e-42,5.4789202809890545e-50
4.2805239571177617e-16,0.1122453720000097,0.0,0.0,0.0,0.0,0.99999999999982692,1.7226411903398015e-13,5.5483811427300551e-16,8.0716774097258696e-24,5.5483811436808278e-16,5.8341744908700068e-24,1.7507970963436943e-24,3.6700958042643185e-46,4.2526439286334355e-41,8.7805636750563037e-49
8.564766875101829e-16,0.11224537200001947,0.0,0.0,0.0,0.0,0.99999999999965317,3.4467790279461481e-13,1.1101582852820051e-15,3.2307745036160096e-23,1.1101582856625627e-15,2.3351902404943608e-23,7.0077511385118938e-24,5.8789861101425674e-45,3.4047051079370764e-40,1.4060358802768795e-47
1.7133252711069963e-15,0.11224537200003896,0.0,0.0,0.0,0.0,0.999999999999306,6.8950547026724136e-13,2.2207986512605098e-15,1.2927306292208955e-22,2.2207986527832365e-15,9.3438028033156893e-23,2.8040132926517418e-23,9.4118453914424163e-44,2.7248055290157446e-39,2.2505784270838401e-46
3.427022438300623e-15,0.11224537200007792,0.0,0.0,0.0,0.0,0.99999999999861189,1.3791606050179235e-12,4.4420794790595318e-15,5.1717642917754236e-22,4.4420794851514462e-15,3.7381296453936108e-22,1.1217879317580812e-22,1.5063321025605545e-42,2.1802691117155938e-38,3.6016753070407835e-45
6.854416772687877e-15,0.11224537200015582,0.0,0.0,0.0,0.0,0.99999999999722367,2.7584708737410034e-12,8.8846415180256023e-15,2.0688740832336249e-21,8.8846415423953443e-15,1.4953736269469823e-21,4.4875171523633444e-22,2.4104786128224202e-41,1.7443980192289398e-37,5.7633214669101927e-44
