Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14)
4.303863969729234e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999978,1.7320328397086497e-16,5.5786275358117758e-19,1.223458618823728e-29,5.5786275358132164e-19,8.8431073964988167e-30,2.6537566206031215e-30,1.0537006984043552e-57
1.2050819115241856e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999956,4.849691951183824e-16,1.5620157100468836e-18,7.3896900576948754e-29,1.5620157100477539e-18,5.3412368675411737e-29,1.6028689988614568e-29,3.3130035870510302e-56
2.75447294062671e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.999999999999999,1.1085010174132582e-15,3.5703216230566402e-18,3.5578176635387308e-28,3.5703216230608318e-18,2.5715756309856867e-28,7.7171242529714361e-29,7.3911287504412019e-55
5.8532549988317585e-18,0.11224537200000013,0.0,0.0,0.0,0.0,0.99999999999999767,2.355564662002373e-15,7.5869334493895338e-18,1.5537924459054397e-27,7.5869334494078348e-18,1.1230746394419751e-27,3.3702709084321056e-28,1.3842766141730835e-53
1.2050819115241857e-17,0.11224537200000027,0.0,0.0,0.0,0.0,0.99999999999999512,4.8496919511780578e-15,1.562015710330883e-17,6.4867775969971443e-27,1.5620157103385242e-17,4.6886155424032987e-27,1.4070217604833012e-27,2.3909936002492627e-52
2.4445947348062053e-17,0.11224537200000055,0.0,0.0,0.0,0.0,0.99999999999999012,9.8379465295192503e-15,3.1686604416161491e-17,2.6500603067116424e-26,3.1686604416473645e-17,1.9154524351713121e-26,5.7481429925191707e-27,3.9726716090271793e-51
4.9236203813702446e-17,0.11224537200000109,0.0,0.0,0.0,0.0,0.99999999999998024,1.9814455686160917e-14,6.3819499061923058e-17,1.0711967467895124e-25,6.3819499063184853e-17,7.7425650002194561e-26,2.3234913033240024e-26,6.4764573141729242e-50
9.881671674498322e-17,0.11224537200000229,0.0,0.0,0.0,0.0,0.99999999999995981,3.9767473999281364e-14,1.2808528843367105e-16,4.3072350058782718e-25,1.2808528843874471e-16,3.11325133577109e-25,9.3426563466288953e-26,1.0459495671040985e-48
1.979777426075448e-16,0.1122453720000045,0.0,0.0,0.0,0.0,0.99999999999991995,7.9673510624870861e-14,2.5661686749806693e-16,1.7273938831369814e-24,2.5661686751841462e-16,1.2485530309947812e-24,3.7468230609890288e-25,1.6813333196337519e-47
3.9629979433266794e-16,0.11224537200000902,0.0,0.0,0.0,0.0,0.99999999999983957,1.5948558387344394e-13,5.1368002691045781e-16,6.9185855710854906e-24,5.1368002699195434e-16,5.0007245562777867e-24,1.5006835613108886e-24,2.6964007949591356e-46
