Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52)
5.415576733897141e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999978,2.1794268627086518e-16,7.0196190452565403e-19,1.9371428131375375e-29,7.0196190452588206e-19,1.4001586711162321e-29,4.2017813159669835e-30,2.6415691117621146e-57,2.2581834863573765e-49,1.1052018988174404e-59,4.3637200135054078e-87,7.8070963138663506e-90,2.7956437186601651e-98,2.6625298372834043e-100,6.0013230224646834e-101
1.5163614854911995e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999944,6.1023952155835973e-16,1.9654933327028433e-18,1.170034259134984e-28,1.9654933327042211e-18,8.4569583736533884e-29,2.5378759148782675e-29,8.3055159357755517e-56,2.6809154423490589e-48,2.4722924460498071e-58,4.9634166721253406e-85,6.0243052885815741e-88,3.9109927250227825e-96,3.7247743950261204e-98,8.3956147168999939e-99
3.4659691096941703e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999856,1.3948331921330967e-15,4.4925561891812667e-18,5.6332113006026207e-28,4.4925561891879012e-18,4.0716614157730211e-28,1.2218780067345121e-28,1.8529149153682711e-54,2.632138693642826e-47,4.8848332830114097e-57,4.4933622680754431e-83,6.5655825853320411e-86,8.5029421101980698e-94,8.0980953287703913e-96,1.8253048627306424e-96
7.365184358100112e-18,0.11224537200000015,0.0,0.0,0.0,0.0,0.99999999999999711,2.9640205332815638e-15,9.5466819026343002e-18,2.4601713726832877e-27,9.5466819026632785e-18,1.7782015124901997e-27,5.336262271808308e-28,3.4703045654406472e-53,2.3280968925096245e-46,8.6922999254893085e-56,3.4055687591151003e-81,5.3710541966255189e-84,1.3932865148827406e-91,1.3269528582874938e-93,2.9909421936716771e-94
1.5163614854911995e-17,0.11224537200000033,0.0,0.0,0.0,0.0,0.999999999999994,6.102395215574469e-15,1.9654933331525093e-17,1.0270731195242743e-26,1.9654933331646079e-17,7.423641275811525e-27,2.2277844542029076e-27,5.9940881158012668e-52,1.9569057602069022e-45,1.4660834634409558e-54,2.3680214015384049e-79,3.8655866899853425e-82,2.0071975649393154e-89,1.9116482213721166e-91,4.3088413303555273e-92
3.076047584853576e-17,0.1122453720000007,0.0,0.0,0.0,0.0,0.99999999999998757,1.2379144580144161e-14,3.98714361972456e-17,4.1959288189578603e-26,3.9871436197739859e-17,3.0327996892996971e-26,9.1012264056775163e-27,9.9592669964117078e-51,1.6043896451169125e-44,2.4080465951239539e-53,1.5790045161231486e-77,2.6202204963672179e-80,2.7222364631364621e-87,2.5926822366654783e-89,5.8438870950507558e-90
6.195419783578329e-17,0.11224537200000141,0.0,0.0,0.0,0.0,0.99999999999997502,2.4932643309219078e-14,8.0304441960442345e-17,1.6960615157482463e-25,8.0304441962440197e-17,1.2259061252602453e-25,3.6788612309558044e-26,1.6236118606971872e-49,1.2992764472438839e-43,3.9035476377893767e-52,1.0313913026216269e-75,1.7252707903179143e-78,3.5855831951266567e-85,3.4150292513496493e-87,7.6974513416426398e-88
1.2434164181027837e-16,0.11224537200000284,0.0,0.0,0.0,0.0,0.99999999999994948,5.0039640767111028e-14,1.6117045361385864e-16,6.8197887592926672e-25,1.6117045362189193e-16,4.9293146167858969e-25,1.479253922107202e-25,2.6221374317116602e-48,1.0457709059991617e-42,6.2865442174708013e-51,6.6683934734345683e-74,1.1198879592868614e-76,4.6551417203524922e-83,4.4339407777105256e-85,9.9940705784361097e-86
2.4911652975926847e-16,0.11224537200000564,0.0,0.0,0.0,0.0,0.9999999999998993,1.0025363568186347e-13,3.2290247742878265e-16,2.7350403149551744e-24,3.2290247746099963e-16,1.9768756338648296e-24,5.9324698510405648e-25,4.2150091454651528e-47,8.3916559144058155e-42,1.0091299216642684e-49,4.2895039197958264e-72,7.2179713962112336e-75,6.0004376617163439e-81,5.7158999627651538e-83,1.2883597333583153e-83
4.986663056572487e-16,0.11224537200001133,0.0,0.0,0.0,0.0,0.99999999999979794,2.0068162550724235e-13,6.4636652709099586e-16,1.0954427154124849e-23,6.4636652722003181e-16,7.9178138924422905e-24,2.3760823089940338e-24,6.7597267380668708e-46,6.7235412884413514e-41,1.6172402492723158e-48,2.7522594417982591e-70,4.6357859225461548e-73,7.7062630445680387e-79,7.3423473572528067e-81,1.6549598005464751e-81
