Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3)
3.5141266707295225e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999989,1.4142135623730133e-16,8.1565600194910232e-30,8.1565600194910232e-30
9.839554678042664e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999956,3.9597979746441721e-16,4.926562251772303e-29,4.926562251772303e-29
2.2490410692668945e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999911,9.0509667991854327e-16,2.3719276536675759e-28,2.3719276536675759e-28
4.779212272192151e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999811,1.9233304448263709e-15,1.0358831224749327e-27,1.0358831224749327e-27
9.839554678042664e-18,0.11224537200000022,0.0,0.0,0.0,0.0,0.999999999999996,3.9597979746403281e-15,4.3246081223302884e-27,4.3246081223302884e-27
1.996023948974369e-17,0.11224537200000047,0.0,0.0,0.0,0.0,0.99999999999999201,8.0327330342614583e-15,1.7667435264585706e-26,1.7667435264585706e-26
4.0201609113145744e-17,0.1122453720000009,0.0,0.0,0.0,0.0,0.9999999999999839,1.6178603153476577e-14,7.1414598119184859e-26,7.1414598119184859e-26
8.068434835994984e-17,0.11224537200000183,0.0,0.0,0.0,0.0,0.99999999999996758,3.2470343391798239e-14,2.8715495810801213e-25,2.8715495810801213e-25
1.6164982685355803e-16,0.11224537200000365,0.0,0.0,0.0,0.0,0.99999999999993505,6.5053823868007242e-14,1.1516198151983885e-24,1.1516198151983885e-24
3.235807838407744e-16,0.1122453720000073,0.0,0.0,0.0,0.0,0.99999999999986988,1.3022078481868796e-13,4.6124860777836726e-24,4.6124860777836726e-24
6.474426978152072e-16,0.11224537200001464,0.0,0.0,0.0,0.0,0.99999999999973943,2.6055470671310045e-13,1.8461964796201533e-23,1.8461964796201533e-23
1.2951665257640729e-15,0.11224537200002928,0.0,0.0,0.0,0.0,0.99999999999947875,5.2122255047412952e-13,7.3871907003059769e-23,7.3871907003059769e-23
2.590614181661804e-15,0.11224537200005852,0.0,0.0,0.0,0.0,0.99999999999895739,1.0425582378850038e-12,2.9553573047313311e-22,2.9553573047313311e-22
5.181509493457266e-15,0.11224537200011704,0.0,0.0,0.0,0.0,0.99999999999791467,2.0852296122620189e-12,1.1822391334488411e-21,1.1822391334488411e-21
1.0363300117048192e-14,0.11224537200023406,0.0,0.0,0.0,0.0,0.99999999999582945,4.1705723592371092e-12,4.7291489620235751e-21,4.7291489620235751e-21
2.072688136423004e-14,0.11224537200046814,0.0,0.0,0.0,0.0,0.99999999999165867,8.341257846071533e-12,1.8916980697514883e-20,1.8916980697514883e-20
4.1454043858593736e-14,0.11224537200093627,0.0,0.0,0.0,0.0,0.99999999998331734,1.6682628791277358e-11,7.5668692384653456e-20,7.5668692384653456e-20
8.290836884732114e-14,0.11224537200187257,0.0,0.0,0.0,0.0,0.99999999996663469,3.3365370567836911e-11,3.0267630784586303e-19,3.0267630784586303e-19
1.6581701882477593e-13,0.11224537200374514,0.0,0.0,0.0,0.0,0.99999999993326905,6.6730853665547563e-11,1.2107083008944805e-18,1.2107083008944805e-18
3.3163431877968555e-13,0.11224537200749024,0.0,0.0,0.0,0.0,0.9999999998665382,1.3346181803933469e-10,4.842839285724247e-18,4.842839285724247e-18
6.632689186895048e-13,0.1122453720149805,0.0,0.0,0.0,0.0,0.99999999973307618,2.669237395003687e-10,1.9371368852135607e-17,1.9371368852135607e-17
1e-12,0.11224537202996096,0.0,0.0,0.0,0.0,0.99999999959756336,4.0243665713716039e-10,4.8874974034774347e-17,4.8874974034774347e-17
1.326538118509143e-12,0.11224537202996096,0.0,0.0,0.0,0.0,0.99999999946615226,5.3384755327624953e-10,7.7485495186536515e-17,7.7485495186536515e-17
2.65307651814842e-12,0.11224537205992194,0.0,0.0,0.0,0.0,0.99999999893230429,1.0676950642430495e-09,3.0994199117817101e-16,3.0994199117817101e-16
3.979614917787697e-12,0.11224537208988289,0.0,0.0,0.0,0.0,0.99999999839845621,1.601542458553347e-09,6.586267049237786e-16,6.586267049237786e-16
5.306153317426974e-12,0.11224537211984385,0.0,0.0,0.0,0.0,0.99999999786460803,2.1353897362068501e-09,1.1235396108699479e-15,1.1235396108699479e-15
7.959230116705527e-12,0.11224537217976582,0.0,0.0,0.0,0.0,0.99999999679691132,3.2030840175402165e-09,2.3261457943112737e-15,2.3261457943112737e-15
1e-11,0.11224537223968774,0.0,0.0,0.0,0.0,0.99999999597562939,4.0243635070333383e-09,3.5420317368498857e-15,3.5420317368498857e-15
1.0612306915984081e-11,0.11224537223968774,0.0,0.0,0.0,0.0,0.99999999572921416,4.2707778697900482e-09,3.9561642813058717e-15,3.9561642813058717e-15
1.3265383715262635e-11,0.11224537229960967,0.0,0.0,0.0,0.0,0.99999999466151668,5.3384712623869371e-09,6.0441243512943654e-15,6.0441243512943654e-15
1.857153731381974e-11,0.11224537241945357,0.0,0.0,0.0,0.0,0.99999999252611993,7.4738566398074882e-09,1.162263331291112e-14,1.162263331291112e-14
2.387769091237685e-11,0.11224537253929744,0.0,0.0,0.0,0.0,0.99999999039072152,9.6092401503744099e-09,1.906108318741291e-14,1.906108318741291e-14
3.448999810949106e-11,0.11224537277898516,0.0,0.0,0.0,0.0,0.99999998611991947,1.388000157163591e-08,3.951701315194195e-14,3.951701315194195e-14
5.5714612503719486e-11,0.11224537325836069,0.0,0.0,0.0,0.0,0.99999997757829251,2.2421502014224016e-08,1.0274476551833394e-13,1.0274476551833394e-13
9.816384129217634e-11,0.1122453742171117,0.0,0.0,0.0,0.0,0.99999996049494977,3.9504413295385406e-08,3.1846266630229342e-13,3.1846266630229342e-13
9.999999999999999e-11,0.11224537613461363,0.0,0.0,0.0,0.0,0.99999995975600009,4.0243338895619108e-08,3.3047899947658046e-13,3.3047899947658046e-13
1.8306229886909004e-10,0.11224537613461363,0.0,0.0,0.0,0.0,0.99999992632790868,7.3669877401998384e-08,1.1069442400425922e-12,1.1069442400425922e-12
3.528592140229175e-10,0.11224537996961748,0.0,0.0,0.0,0.0,0.99999985799240443,1.419993714733592e-07,4.1120617945501548e-12,4.1120617945501548e-12
5.226561291767449e-10,0.11224538380462107,0.0,0.0,0.0,0.0,0.99999978965500436,2.1032695293829311e-07,9.0213485973807436e-12,9.0213485973807436e-12
6.924530443305724e-10,0.11224538763962444,0.0,0.0,0.0,0.0,0.99999972131570924,2.7865262121381886e-07,1.5834753489824208e-11,1.5834753489824208e-11
8.622499594843998e-10,0.11224539147462752,0.0,0.0,0.0,0.0,0.99999965297451987,3.4697637569721397e-07,2.4552223646515134e-11,2.4552223646515134e-11
9.999999999999999e-10,0.11224539914463261,0.0,0.0,0.0,0.0,0.99999959753041567,4.0240353777088116e-07,3.302328347402758e-11,3.302328347402758e-11
1.2018437897920546e-09,0.11224539914463261,0.0,0.0,0.0,0.0,0.99999951628646067,4.8361814105306372e-07,4.7699163841535274e-11,4.7699163841535274e-11
1.5414376200997095e-09,0.11224540681463623,0.0,0.0,0.0,0.0,0.99999937959083229,6.2025224417259726e-07,7.8461745446056317e-11,7.8461745446056317e-11
1.8810314504073642e-09,0.11224541448463791,0.0,0.0,0.0,0.0,0.99999924288764108,7.5687867996829446e-07,1.1683952220192536e-10,1.1683952220192536e-10
2.560219111022674e-09,0.11224542982463445,0.0,0.0,0.0,0.0,0.99999896945859246,1.0301085297961947e-06,2.1643892174369735e-10,2.1643892174369735e-10
3.239406771637984e-09,0.11224544516461987,0.0,0.0,0.0,0.0,0.99999869599936086,1.3033076511503966e-06,3.4649389927631334e-10,3.4649389927631334e-10
4.597782092868603e-09,0.11224547584454787,0.0,0.0,0.0,0.0,0.99999814899053407,1.8496135522544333e-06,6.9795681453696716e-10,6.9795681453696716e-10
5.956157414099223e-09,0.11224550652440274,0.0,0.0,0.0,0.0,0.99999760186152831,2.3957960703728151e-06,1.1712006345087334e-09,1.1712006345087334e-09
