Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535),C5H7(806),C5H8(470),C7H9(588),C5H9(108)
7.028175419875703e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999967,2.8283977833244904e-16,9.1098650722387207e-19,3.2625539900909756e-29,9.1098650722425629e-19,2.3581602906347288e-29,7.0766827344876126e-30,7.4929720548147205e-57,4.9357502249221891e-49,3.134970425518621e-59,2.250155991736373e-86,3.7297303079802541e-89,1.7332750269565033e-97,1.6507449228022129e-99,3.7207678400382356e-100,3.1620617457109855e-67,1.3133099598954707e-68,3.2756137000245292e-96,1.1280511768351091e-87,1.7948411956860564e-84,1.0638180278547656e-97,2.2165127978890129e-113,-6.1516483408594059e-184,-6.6422500630006856e-155,-2.5860831001502835e-163,-4.2745885781109475e-140,0.0,-1.8879474891641578e-126
1.967889117565197e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999922,7.9195137933075105e-16,2.5507622202790717e-18,1.9705826100147541e-28,2.5507622202813924e-18,1.4243288155677134e-28,4.2743163717052892e-29,2.3559103005203993e-55,5.8597226878638147e-48,7.0128034668897487e-58,2.544380456557507e-84,2.8780270067854646e-87,2.4247812874322603e-95,2.3093271442701315e-97,5.205207775322835e-98,1.8211856876460967e-65,7.5639929497709366e-67,6.6759203478012076e-94,1.1807400905684905e-85,1.878674371529518e-82,2.0149502343792071e-95,8.1454785967581379e-111,1.1994384300992446e-180,1.2404287411924783e-151,8.6904518901298702e-160,4.1460838626219647e-137,4.4793066982992192e-220,1.3292588059756876e-123
4.49803226872045e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999822,1.8101745813269314e-15,5.8303136465983893e-18,9.4875070031816284e-28,5.8303136466095651e-18,6.8575301255308435e-28,2.0578993393011544e-28,5.2559062767153707e-54,5.7531105244166972e-47,1.3856117989765658e-56,2.3022090356698639e-82,3.1366146107837565e-85,5.2717472297448354e-93,5.0207473980013202e-95,1.1316730674599877e-95,8.166961026305444e-64,3.3920119147425585e-65,1.2084636423619744e-91,1.0606769595717584e-83,1.6876419842651994e-80,3.6211580124294747e-93,2.9488072761799379e-108,2.0102384807026242e-176,5.1634725799076642e-148,7.2380864557725022e-156,8.5607930037122768e-134,5.6167434571565883e-215,1.3243321303987459e-120
9.558318571030956e-18,0.11224537200000022,0.0,0.0,0.0,0.0,0.99999999999999611,3.8466209853175954e-15,1.23894165000727e-17,4.1434435674125082e-27,1.2389416500121508e-17,2.9948635694833258e-27,8.9873870739582128e-28,9.8437307539403781e-53,5.0885611807071338e-46,2.4656221979319614e-55,1.7442726351180862e-80,2.5659454944262072e-83,8.6382421363344381e-91,8.2269902168496554e-93,1.8543580269369381e-93,3.0726148512184277e-62,1.2761596554368296e-63,1.8327750573210046e-89,7.9982870961971542e-82,1.2726065209931718e-78,5.4670636554041351e-91,8.9486768111887052e-106,2.4074231987596099e-172,1.4615788693935462e-144,4.0978749023286981e-152,1.2058127356223432e-130,7.1293539165811908e-210,9.2266942127931548e-118
1.967889117565197e-17,0.11224537200000047,0.0,0.0,0.0,0.0,0.99999999999999212,7.9195137932921375e-15,2.5507622210364031e-17,1.7298061255435062e-26,2.5507622210567785e-17,1.2502965864340315e-26,3.7520571868683794e-27,1.7002596845604881e-51,4.2772424051301288e-45,4.1586323363515469e-54,1.2126261554975068e-78,1.8467295933382892e-81,1.244440762269538e-88,1.185204967038178e-90,2.6714439717191085e-91,1.0639489664491557e-60,4.4189356937272804e-62,2.5495333519700288e-87,5.5456336455617891e-80,8.8236499398315361e-77,7.5856612999421208e-89,2.4903250412237326e-103,2.3782609792992057e-168,3.4948023421258789e-141,1.959761077891676e-148,1.4376632267987739e-127,6.3985051356183476e-205,5.4746515172824038e-115
3.992003638489399e-17,0.1122453720000009,0.0,0.0,0.0,0.0,0.99999999999998401,1.6065299409214077e-14,5.1744033644317511e-17,7.0668224446735484e-26,5.1744033645149926e-17,5.1078695188008688e-26,1.532837787904069e-26,2.8250068725433354e-50,3.5067419470190087e-44,6.8305664830748465e-53,8.0850280584464651e-77,1.2517734310618134e-79,1.687750664755072e-86,1.6074400191963261e-88,3.6231589183882975e-89,3.5398252002570998e-59,1.4702077234924175e-60,3.400586463102815e-85,3.6923702249152159e-78,5.8749234460545972e-75,1.0104358828539776e-86,6.6441470519461788e-101,2.1371711865997684e-164,7.7212456071878952e-138,8.6597486193897488e-145,1.5857607736463528e-124,4.8845075460816227e-200,3.0128354645775211e-112
8.040232680337805e-17,0.11224537200000183,0.0,0.0,0.0,0.0,0.99999999999996758,3.2356870640949381e-14,1.0421685656570774e-16,2.8565226208971612e-25,1.0421685656907249e-16,2.0646825285090983e-25,6.1959754220794818e-26,4.6054741225364836e-49,2.8398508762118254e-43,1.107264385990477e-51,5.2808011963773395e-75,8.2422381012720867e-78,2.2229971858031561e-84,2.1172878680406171e-86,4.7723525144084859e-87,1.1548698238298606e-57,4.7965603628636708e-59,4.4428057631038654e-83,2.4100151736442413e-76,3.8345685299795293e-73,1.3192272548775276e-84,1.7362141438897466e-98,1.8331236041743594e-160,1.6417823246045158e-134,3.6827073235339482e-141,1.6843735806818298e-121,3.4509842292749264e-195,1.5986654539260838e-109
1.6136690764034616e-16,0.11224537200000366,0.0,0.0,0.0,0.0,0.99999999999993472,6.4940013103985666e-14,2.0916250262242128e-16,1.1485951824120663e-24,2.0916250263595073e-16,8.3019976487694426e-25,2.4913744692994724e-25,7.4378527686896614e-48,2.2857595763768221e-42,1.7832155585340532e-50,3.4141817449030175e-73,5.3501068492397517e-76,2.8860599854657384e-82,2.7490039436509416e-84,6.1962362651480396e-85,3.7313860245818308e-56,1.5497693097962605e-57,5.7451582802658733e-81,1.5575942766009214e-74,2.4782811848355786e-71,1.7053646548671768e-82,4.4904861277978232e-96,1.5364799531831141e-156,3.4257289721089362e-131,1.5368671361580241e-137,1.7559598586573528e-118,2.3475979460198022e-190,8.3318941477979903e-107
3.2329606931428233e-16,0.11224537200000735,0.0,0.0,0.0,0.0,0.9999999999998691,1.3010629802832098e-13,4.1905379559158063e-16,4.6063804031612767e-24,4.1905379564583981e-16,3.3294723808337392e-24,9.9915259401887727e-25,1.1956130319861404e-46,1.8341789581276779e-41,2.8624571781526386e-49,2.1961754493221319e-71,3.4482839783535099e-74,3.7199923894273154e-80,3.543807161681625e-82,7.9877173221175588e-83,1.1998042067904802e-54,4.9831877015629708e-56,7.3913948623931335e-79,1.001749384066692e-72,1.5938753039754934e-69,2.1936534480191828e-80,1.1554615420751143e-93,1.2731431844457718e-152,7.0815149108267735e-128,6.3538941729121157e-134,1.8131295226171954e-115,1.5673770776179875e-185,4.3038968921812798e-104
6.471543926621548e-16,0.11224537200001473,0.0,0.0,0.0,0.0,0.99999999999973777,2.604388678700426e-13,8.3883638495282868e-16,1.8449548364749375e-23,8.3883638517014842e-16,1.3335256021196614e-23,4.001821947423628e-24,1.9174376131299554e-45,1.4695765298702617e-40,4.5873993168581487e-48,1.4091156785170363e-69,2.2146811776479213e-72,4.7772318077034453e-78,4.5521898231094382e-80,1.0260604976444896e-80,3.8486161245135859e-53,1.598458777783987e-54,9.4851256513167959e-77,6.4269077479372411e-71,1.0225754560655322e-67,2.8148022437825979e-78,2.9655555057346598e-91,1.0489101157831703e-148,1.4570509488685852e-124,2.6146769526376095e-130,1.8621189458983133e-112,1.0367622193873775e-180,2.2133664707083595e-101
1.2948710393578995e-15,0.11224537200002947,0.0,0.0,0.0,0.0,0.99999999999947542,5.2110400752569008e-13,1.6784015773670418e-15,7.3846274365657448e-23,1.6784015782368879e-15,5.3375777262362545e-23,1.6017716991495828e-23,3.0714696701306326e-44,1.1765569708062638e-39,7.3458290306243386e-47,9.0297694155944405e-68,1.4198897796517349e-70,6.122430153229234e-76,5.8371362583185811e-78,1.3156865448198746e-78,1.2330378315893236e-51,5.1212173431513373e-53,1.2156449327343908e-74,4.1182832059143261e-69,6.552478268610331e-66,3.6073909388296865e-76,7.601541382815587e-89,8.6168664746509501e-145,2.9909729555255721e-121,1.0734555110972889e-126,1.9050097368511279e-109,6.8260038037619496e-176,1.1357512214710462e-98
2.590304332749389e-15,0.11224537200005891,0.0,0.0,0.0,0.0,0.99999999999895084,1.0424342867258018e-12,3.3575320169623357e-15,2.9548128665738641e-22,3.3575320204428586e-15,2.1357263819959933e-22,6.4091733231532091e-23,4.917207022364135e-43,9.4160664799900109e-39,1.1758152592983829e-45,5.7827235621600674e-66,9.0952758895015609e-69,7.8352812653759801e-74,7.4781487723954983e-76,1.6855696307428911e-76,3.9480903096760339e-50,1.6397732768678623e-51,1.5570212782486572e-72,2.6373571768831521e-67,4.1961450734364067e-64,4.62031949024668e-74,1.9472444197515689e-86,7.06841532679008e-141,6.1325971289035095e-118,4.4019201584764984e-123,1.9404658045552982e-106,4.4837616656889937e-171,5.8214685555401233e-96
5.181170919532368e-15,0.11224537200011776,0.0,0.0,0.0,0.0,0.99999999999790168,2.0850948446812916e-12,6.7157931152203766e-15,1.1821175522323777e-21,6.7157931291447798e-15,8.5442965479884461e-22,2.5640867674190114e-22,7.8698103020755313e-42,7.5343396910562347e-38,1.8817007327859377e-44,3.7021323898643412e-64,5.8235232008237013e-67,1.0012222190427364e-71,9.576251611493253e-74,2.1584805297546807e-74,1.2637671582033131e-48,5.2488435956265038e-50,1.9936343118710136e-70,1.688483269625124e-65,2.686350242331976e-62,5.915872180946995e-72,4.9865705794045977e-84,5.7935931203235123e-137,1.2566717832874605e-114,1.8040216002434829e-119,1.963065740781074e-103,2.9417515114669724e-166,2.982231320494786e-93
1.0362904093098326e-14,0.11224537200023557,0.0,0.0,0.0,0.0,0.99999999999580291,4.1704159588133352e-12,1.343231618800615e-14,4.728855046003544e-21,1.3432316243708652e-14,3.4179970341376168e-21,1.0257182592656625e-21,1.2593500442515148e-40,6.0281334823349137e-37,3.011070684013924e-43,2.3697634224162167e-62,3.7278592534144354e-65,1.2764085148013381e-69,1.2260269254330812e-71,2.7634561349584983e-72,4.0446541227294674e-47,1.6798775920512712e-48,2.552290545448752e-68,1.0808702984133473e-63,1.719523495871734e-60,7.5735929057624736e-70,1.2767826150439284e-81,4.7461914262036255e-133,2.5743558564140137e-111,7.390990586006878e-116,1.9612270368586213e-100,1.9288520400191139e-161,1.5273164836856548e-90
2.072637044023024e-14,0.11224537200047116,0.0,0.0,0.0,0.0,0.99999999999160516,8.3410581799616763e-12,2.6865365838655505e-14,1.8916189873271032e-20,2.6865366061477427e-14,1.3672546515305475e-20,4.1030406173800878e-21,2.0150981296337583e-39,4.8228787946738887e-36,4.8180964598601005e-42,1.516799276265485e-60,2.3860745390322463e-63,1.6202325699229627e-67,1.5694768004627201e-69,3.5375894334386568e-70,1.294381295479108e-45,5.3759824101917804e-47,3.2672751546005698e-66,6.9190717875062657e-62,1.1005751242168576e-58,9.6952305603797837e-68,3.2689099414130517e-79,3.8861329666944835e-129,5.2728204745513462e-108,3.0274390884265185e-112,1.9142876160331499e-97,1.2642354090310393e-156,7.8208642186118792e-88
4.145330313449408e-14,0.11224537200094231,0.0,0.0,0.0,0.0,0.9999999999832101,1.6682342593795389e-11,5.3731479160258021e-14,7.5666298800630049e-20,5.3731480051586581e-14,5.4691315071030293e-20,1.641250139431673e-20,3.2242473959100671e-38,3.8586235291595941e-35,7.7095930048098068e-41,9.7082931572092927e-59,1.5271517956428463e-61,2.0396825678128759e-65,2.0090156469834081e-67,4.5283060082284808e-68,4.1421423101194504e-44,1.720360059309702e-45,4.1824919115235219e-64,4.4296217180436184e-60,7.0438998401846028e-57,1.2411104763950341e-65,8.3691812113899632e-77,3.1794868479955391e-125,1.0798596638727497e-104,1.2398423182546402e-108,1.7921146414516539e-94,8.283578978750539e-152,4.0044876004903129e-85
8.290716852302175e-14,0.11224537200188459,0.0,0.0,0.0,0.0,0.99999999996642019,3.3364911307610911e-11,1.0746376188461813e-13,3.0266827305803162e-19,1.0746376545015046e-13,2.1876761618336731e-19,6.5650713498569757e-20,5.1588039452986496e-37,3.0873017204697205e-34,1.2336922048774521e-39,6.2139348274248928e-57,9.7738484513398273e-60,2.5272083593969848e-63,2.571561136809813e-65,5.7962771503700158e-66,1.325489083919275e-42,5.5051345867719478e-44,5.3542422964170885e-62,2.8366079177051997e-58,4.508118322010876e-55,1.5888394626507603e-63,2.142777253636096e-74,2.5977086796750871e-121,2.21125490987611e-101,5.0762310574823293e-105,1.5663491211345109e-91,5.4253226206523306e-147,2.0503081862025285e-82
1.658148993000771e-13,0.1122453720037692,0.0,0.0,0.0,0.0,0.99999999993284006,6.6730048279834336e-11,2.1492855165747784e-13,1.2106792416746682e-18,2.1492856592113427e-13,8.7507595942877005e-19,2.626045103694173e-19,8.2538873720591696e-36,2.47044205213962e-33,1.9743733227211627e-38,3.977603169390807e-55,6.2552451311235852e-58,3.0400770672754903e-61,3.2915895545537614e-63,7.4192097170074115e-64,4.2414683323719813e-41,1.7615822031858762e-42,6.8548963646577454e-60,1.8174890848076812e-56,2.8851418854296943e-53,2.0342140652568745e-61,5.4867118179402194e-72,2.1166495171804186e-117,4.5271863405603059e-98,2.0773416178460892e-101,1.2405936425763395e-88,3.5507449438249995e-142,1.0497377523183213e-79
3.3163036085418773e-13,0.11224537200753841,0.0,0.0,0.0,0.0,0.99999999986568,1.334603204026502e-10,4.2985902849590911e-13,4.8427292152440878e-18,4.2985908556231712e-13,3.5003210901164349e-18,1.0504232784540068e-18,1.320540327954459e-34,1.9772971324577579e-32,3.160457736176208e-37,2.5465047378317689e-53,5.2904162200479127e-56,4.581878606879301e-59,5.5571877330111261e-61,1.252582668681703e-61,1.3571888487743116e-39,5.6365941787731402e-41,8.7778892361400435e-58,1.16581291217758e-54,1.8463954769951434e-51,2.605035171202557e-59,1.4051925367589933e-69,9.0669280215785413e-113,1.4718910551074811e-94,1.3490882289601114e-97,1.3795178560209448e-85,6.7079141224947386e-136,7.0854673484537496e-77
6.632612839624091e-13,0.11224537201507685,0.0,0.0,0.0,0.0,0.99999999973135956,2.6692085736175448e-10,8.5972357131284923e-13,1.9370940955158267e-17,8.5972379967186836e-13,1.4001368968814934e-17,4.201718981654138e-18,2.1125889113163718e-33,1.5833402340249248e-31,5.0613815583986904e-36,1.6308240382457812e-51,3.3999568566898308e-54,4.8546346873329776e-57,7.1560701591603748e-59,1.6129639039679949e-59,4.3424553592352027e-38,1.8033974371161509e-39,1.1244882898734551e-55,7.4946760761778394e-53,1.181562661762011e-49,3.3375976276335507e-57,3.6003078054550851e-67,7.2772942523211651e-109,3.0109163193323244e-91,5.5071027570446436e-94,8.708041395650844e-83,4.4067640047611398e-131,3.6510146015399728e-74
1e-12,0.11224537203015365,0.0,0.0,0.0,0.0,0.99999999959497043,4.0243694413598467e-10,1.2962161939986901e-12,4.887490324605193e-17,1.2962167705504376e-12,3.5327186311759206e-17,1.0601458814966005e-17,1.8196507746604738e-32,7.2225750899666951e-31,4.3681842672334082e-35,5.3861689523230915e-50,1.1228280319955507e-52,2.356288608970906e-55,4.6915009905658904e-57,1.0574488029648931e-57,7.2669116621191348e-37,3.0176326514084325e-38,7.3748282892037087e-54,2.4938649556395266e-51,3.8965427696351703e-48,2.1894808318990749e-55,4.7049108133861875e-65,2.9093487029073151e-105,3.1237759748271242e-88,1.1371558312152292e-90,2.568937983958559e-80,1.4526386437248646e-126,9.5190514844124292e-72
