Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8)
3.928869499158799e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999989,1.5811224277309007e-16,5.0925693917823483e-19,1.0195481219034777e-29,5.0925693918277781e-19,7.3692509081440186e-30
1.1000834597644636e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999956,4.4271427976461901e-16,1.4259194297082141e-18,6.158070656296665e-29,1.4259194297356538e-18,4.4510275485428369e-29
2.514476479461631e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.999999999999999,1.0119183537475445e-15,3.2592444108047996e-18,2.9648459384948009e-28,3.2592444109369099e-18,2.1429781641240582e-28
5.343262518855966e-18,0.11224537200000013,0.0,0.0,0.0,0.0,0.99999999999999778,2.1503265017128645e-15,6.9258943731444756e-18,1.2948261148168869e-27,6.925894373721438e-18,9.3589486537126007e-28
1.1000834597644636e-17,0.11224537200000026,0.0,0.0,0.0,0.0,0.99999999999999556,4.4271427976413854e-15,1.4259194298409858e-17,5.4056441423274699e-27,1.4259194300818565e-17,3.9071768318306878e-27
2.2315978755221977e-17,0.1122453720000005,0.0,0.0,0.0,0.0,0.99999999999999101,8.9807753894899454e-15,2.8925794151284719e-17,2.2083820139637716e-26,2.8925794161125087e-17,1.5962092239893371e-26
4.494626707037666e-17,0.11224537200000101,0.0,0.0,0.0,0.0,0.99999999999998201,1.8088040573153133e-14,5.8258993866410865e-17,8.9266331903302497e-26,5.8258993906187204e-17,6.4521328964409757e-26
9.020684370068603e-17,0.11224537200000208,0.0,0.0,0.0,0.0,0.99999999999996325,3.6302570940343768e-14,1.1692539333416879e-16,3.5893599450591256e-25,1.1692539349410767e-16,2.5943742610953176e-25
1.8072799696130476e-16,0.11224537200000412,0.0,0.0,0.0,0.0,0.99999999999992673,7.2731631674182175e-14,2.3425819241970743e-16,1.439493876005086e-24,2.3425819306113374e-16,1.0404601156843362e-24
3.6177030348254224e-16,0.11224537200000823,0.0,0.0,0.0,0.0,0.99999999999985345,1.4558975313968745e-13,4.6892379119087541e-16,5.7654838641218846e-24,4.6892379375992648e-16,4.1672674799738097e-24
7.238549165250171e-16,0.11224537200001646,0.0,0.0,0.0,0.0,0.9999999999997069,2.9130599606201182e-13,9.3825499113357409e-16,2.3076960740370396e-23,9.3825500141647381e-16,1.6679930181125203e-23
1.448024142609967e-15,0.11224537200003291,0.0,0.0,0.0,0.0,0.99999999999941369,5.8273848187191575e-13,1.8769174006204231e-15,9.2337902089255951e-23,1.8769174417654165e-15,6.6741447729821667e-23
2.8963625947798667e-15,0.11224537200006586,0.0,0.0,0.0,0.0,0.99999999999882683,1.1656034533527439e-12,3.7542422579999233e-15,3.6941173514321187e-22,3.7542424226066958e-15,2.6700925346162023e-22
5.793039499119666e-15,0.1122453720001317,0.0,0.0,0.0,0.0,0.99999999999765354,2.3313333957584826e-12,7.5088921263821214e-15,1.4777672024409107e-21,7.5088927848628446e-15,1.0681239638534859e-21
1.1586393307799265e-14,0.1122453720002634,0.0,0.0,0.0,0.0,0.99999999999530698,4.6627932783462914e-12,1.5018192477639166e-14,5.9113093399158355e-21,1.5018195111669646e-14,4.2726699114754317e-21
2.3173100925158463e-14,0.11224537200052673,0.0,0.0,0.0,0.0,0.9999999999906144,9.3257130346272316e-12,3.0036795638122801e-14,2.3645718411346851e-20,3.0036806174462311e-14,1.7091028963072855e-20
4.634651615987686e-14,0.11224537200105354,0.0,0.0,0.0,0.0,0.99999999998122813,1.8651552511610387e-11,6.0074011790959648e-14,9.4583835619837722e-20,6.0074053936772185e-14,6.83648240836798e-20
9.269334662931365e-14,0.11224537200210703,0.0,0.0,0.0,0.0,0.99999999996245659,3.7303231323261848e-11,1.2014848342404358e-13,3.7833726533696998e-19,1.2014865200835732e-13,2.7346078953041004e-19
1.8538700756818722e-13,0.1122453720042141,0.0,0.0,0.0,0.0,0.99999999992491284,7.4606588377305185e-11,2.4029758399930649e-13,1.5133528982729154e-18,2.4029825833992493e-13,1.0938467583310152e-18
3.7077432944593435e-13,0.11224537200842818,0.0,0.0,0.0,0.0,0.99999999984982568,1.4921330020835303e-10,4.8059641438184644e-13,6.0534191965602172e-18,4.8059911176093834e-13,4.3753991442116254e-18
7.415489732014287e-13,0.1122453720168564,0.0,0.0,0.0,0.0,0.99999999969965092,2.9842671476228847e-10,9.6119659204005312e-13,2.4213691430066636e-17,9.6120738166878644e-13,1.7501660081820025e-17
1e-12,0.11224537203371279,0.0,0.0,0.0,0.0,0.99999999959497055,4.0243694347889405e-10,1.2962057747082187e-12,4.9531181394925708e-17,1.2962278461137724e-12,3.5801293474164429e-17
1.4830982607124173e-12,0.11224537203371279,0.0,0.0,0.0,0.0,0.99999999939930162,5.968535074374813e-10,1.9224070146495467e-12,9.6854790502979549e-17,1.9224501740222336e-12,7.0007081594630512e-17
2.224647548223406e-12,0.11224537205056924,0.0,0.0,0.0,0.0,0.99999999909895199,8.9528026365753578e-10,2.8836275042005141e-12,2.0581644039497381e-16,2.8837192191155382e-12,1.4876567770935487e-16
3.707746123245383e-12,0.11224537208428206,0.0,0.0,0.0,0.0,0.99999999849825305,1.4921336303664236e-09,4.8061087491218138e-12,5.6902191194285503e-16,4.8063623227458176e-12,4.1129776797271973e-16
5.0425348407651625e-12,0.11224537211462364,0.0,0.0,0.0,0.0,0.99999999795762351,2.0293015425994612e-09,6.5363743926248561e-12,1.0132593945559576e-15,6.5368259425640048e-12,7.3240466685066017e-16
6.377323558284942e-12,0.1122453721449652,0.0,0.0,0.0,0.0,0.99999999741699397,2.5664693301721043e-09,8.2666744593018242e-12,1.5817121312633805e-15,8.267379351568443e-12,1.1433021989404222e-15
7.712112275804721e-12,0.1122453721753068,0.0,0.0,0.0,0.0,0.99999999687636409,3.1036369999733839e-09,9.9970070406703982e-12,2.2674993197580544e-15,9.9980175774874255e-12,1.6390180683927883e-15
1e-11,0.11224537223599002,0.0,0.0,0.0,0.0,0.99999999594970002,4.0243662684144784e-09,1.2962932172940626e-11,3.6504319974453789e-15,1.2964559082491596e-11,2.6386707742076525e-15
1.038168971084428e-11,0.11224537223599002,0.0,0.0,0.0,0.0,0.99999999579510379,4.1779720707903795e-09,1.3457746347291012e-11,3.9066527017500942e-15,1.3459487456581126e-11,2.8238809959319889e-15
1.3051267145883839e-11,0.1122453722966732,0.0,0.0,0.0,0.0,0.99999999471384304,5.2523067061852503e-09,1.6918605827735102e-11,5.9795218052516216e-15,1.6921270866406814e-11,4.3222802384816136e-15
1.5720844580923397e-11,0.11224537235735652,0.0,0.0,0.0,0.0,0.99999999363258119,6.3266408767010037e-09,2.0379593622345072e-11,8.5155244319181192e-15,2.0383389084118979e-11,6.1554931029120646e-15
2.1059999451002515e-11,0.11224537247872315,0.0,0.0,0.0,0.0,0.99999999147005569,8.4753077969518745e-09,2.7301961313893238e-11,1.500302648165989e-14,2.7308648879026777e-11,1.0845295807597506e-14
2.6399154321081632e-11,0.11224537260008995,0.0,0.0,0.0,0.0,0.99999998930752687,1.0623972828707082e-08,3.4224850111136692e-11,2.3371973092582581e-14,3.4235268965875619e-11,1.6895413915753462e-14
3.707746406123987e-11,0.11224537284282401,0.0,0.0,0.0,0.0,0.99999998498245912,1.4921297222872011e-08,4.8072191524927091e-11,4.5757946680280294e-14,4.8092593257197791e-11,3.3079839475486952e-14
5.843408354155635e-11,0.11224537332829397,0.0,0.0,0.0,0.0,0.99999997633228532,2.3515923332344361e-08,7.5773126409263294e-11,1.131230027632992e-13,7.582358230133978e-11,8.1789447419908933e-14
9.999999999999999e-11,0.11224537429924127,0.0,0.0,0.0,0.0,0.99999995949649367,4.0243367459721447e-08,1.2971071868402426e-10,3.3060720216182627e-13,1.2985828907177456e-10,2.390887949560466e-13
1.0114732250218929e-10,0.11224537429924127,0.0,0.0,0.0,0.0,0.99999995903178152,4.0705084827156134e-08,1.3119997750738714e-10,3.3822869478005061e-13,1.3135095214061375e-10,2.4460166400332366e-13
1.4386056146282222e-10,0.11224537527019829,0.0,0.0,0.0,0.0,0.99999994173107054,5.7894125349535457e-08,1.8666010086236684e-10,6.8383485269433001e-13,1.8696554667806226e-10,4.9464033419486829e-13
1.8657380042345516e-10,0.11224537624116514,0.0,0.0,0.0,0.0,0.99999992443015229,7.5083044889614232e-08,2.4215344601103068e-10,1.1499412418431344e-12,2.4266741589259128e-10,8.3195556170182502e-13
2.292870393840881e-10,0.11224537721214176,0.0,0.0,0.0,0.0,0.99999990712902687,9.2271843437509372e-08,2.9767996077325731e-10,1.7365473025730927e-12,2.9845661114610301e-10,1.2565988377093977e-12
3.14713517305354e-10,0.11224537915412443,0.0,0.0,0.0,0.0,0.99999987252615352,1.2664907752057684e-07,4.0883230595523128e-10,3.2712558909026668e-12,4.1029716944334279e-10,2.3680596895070671e-12
4.001399952266199e-10,0.11224538109614629,0.0,0.0,0.0,0.0,0.99999983792245084,1.6102582752048204e-07,5.2011671897368509e-10,5.2879551237293028e-12,5.2248763142627352e-10,3.8294337881588796e-12
4.855664731478858e-10,0.11224538303820741,0.0,0.0,0.0,0.0,0.99999980331791771,1.9540209335495976e-07,6.3153276155818099e-10,7.7866390992103252e-12,6.350284272604152e-10,5.6411524007221535e-12
6.564194289904175e-10,0.11224538692244766,0.0,0.0,0.0,0.0,0.99999973410635989,2.6415317220805804e-07,8.5475804109876459e-10,1.4229937708933302e-11,8.6116268258020628e-10,1.0317289595187553e-11
8.272723848329493e-10,0.11224539080684547,0.0,0.0,0.0,0.0,0.99999966489147785,3.3290231344328241e-07,1.0785047777670178e-09,2.2601105371883478e-11,1.0887032385902778e-09,1.639978309757165e-11
9.981253406754811e-10,0.11224539469140121,0.0,0.0,0.0,0.0,0.99999959567326857,4.0164951642818298e-07,1.3027696474642875e-09,3.2900096083964378e-11,1.317653356068469e-09,2.389190234407292e-11
9.999999999999999e-10,0.11224539857611515,0.0,0.0,0.0,0.0,0.99999959491376345,4.0240382440816136e-07,1.3052332227710202e-09,3.3023792525420237e-11,1.3201733080778902e-09,2.3981938916145026e-11
1.1689782965180129e-09,0.11224539857611515,0.0,0.0,0.0,0.0,0.99999952645173007,4.7039478053075322e-07,1.5275493499353357e-09,4.5126863942328725e-11,1.548016271902123e-09,3.2796892954557905e-11
1.5106842082030764e-09,0.11224540634601901,0.0,0.0,0.0,0.0,0.99999938799865506,6.0787948955787153e-07,1.9786401776316583e-09,7.5363547725233909e-11,2.0129933198186299e-09,5.4858344956102875e-11
1.8182195287196337e-09,0.11224541333947682,0.0,0.0,0.0,0.0,0.99999926337947631,7.316090903566815e-07,2.3863499426225979e-09,1.091691013102333e-10,2.4363365029078467e-09,7.9577830797741215e-11
2.125754849236191e-09,0.11224542033345228,0.0,0.0,0.0,0.0,0.99999913874947199,8.5533239933431161e-07,2.7956773293887846e-09,1.4921994100167658e-10,2.8643065979083073e-09,1.0892460476059951e-10
2.433290169752748e-09,0.11224542732794715,0.0,0.0,0.0,0.0,0.99999901410862879,9.7904941279875605e-07,3.206603791290246e-09,1.9551580091768215e-10,3.2969217778863867e-09,1.4291689375691192e-10
2.740825490269305e-09,0.11224543432296319,0.0,0.0,0.0,0.0,0.99999888945693305,1.1027601270579414e-06,3.6191109940268409e-09,2.4805641583473e-10,3.7342000025234615e-09,1.8157271216567561e-10
3.0483608107858622e-09,0.1122454413185023,0.0,0.0,0.0,0.0,0.99999876479437033,1.2264645384197969e-06,4.0331808124529454e-09,3.0684152119317169e-10,4.1761590213093065e-09,2.2490986502476661e-10
3.6634314518189765e-09,0.11224545531115637,0.0,0.0,0.0,0.0,0.99999851543659357,1.4738544376830914e-06,4.865936751256159e-09,4.4314414810355135e-10,5.07418947895886e-09,3.2569843790312625e-10
4.278502092852091e-09,0.11224546930592315,0.0,0.0,0.0,0.0,0.99999826603519448,1.7212190810513734e-06,5.7047306121466582e-09,6.0442157826563632e-10,5.9911511206516276e-09,4.4542104338530302e-10
4.893572733885205e-09,0.11224548330281586,0.0,0.0,0.0,0.0,0.99999801659007326,1.9685584389863867e-06,6.549424712536039e-09,7.906717194517257e-10,6.9271785857866197e-09,5.8421279635115366e-10
5.508643374918319e-09,0.11224549730184757,0.0,0.0,0.0,0.0,0.99999776710113197,2.2158724819485522e-06,7.3998844500743359e-09,1.0018924902759976e-09,7.8824034166046981e-09,7.422057284031796e-10
6.1237140159514334e-09,0.11224551130303094,0.0,0.0,0.0,0.0,0.99999751756827648,2.4631611803969016e-06,8.2559781009265855e-09,1.2380818199163067e-09,8.8569542604241373e-09,9.1952898970692833e-10
6.738784656984548e-09,0.11224552530637831,0.0,0.0,0.0,0.0,0.9999972679914152,2.7104245047891618e-06,9.1175768014225754e-09,1.4992376483222661e-09,9.8509568877447314e-09,1.1163088673222106e-09
7.589829323724077e-09,0.11224554468575032,0.0,0.0,0.0,0.0,0.99999692259077533,3.0525093789800179e-06,1.0318575488405566e-08,1.9017546621289785e-09,1.1258617446005052e-08,1.4208983098642339e-09
8.440873990463606e-09,0.11224556406931904,0.0,0.0,0.0,0.0,0.99999657710549084,3.3945455397865709e-06,1.1529548441572264e-08,2.3520606539765629e-09,1.2704069269406655e-08,1.763290740905477e-09
9.291918657203135e-09,0.11224558345711409,0.0,0.0,0.0,0.0,0.999996231535347,3.7365329089366059e-06,1.2750181081077625e-08,2.8501502743763313e-09,1.4187618578660492e-08,2.1437938859795997e-09
