Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13)
4.479600451362421e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999978,1.8027569361718442e-16,5.8064224711555629e-19,1.3254125584745098e-29,5.8064224711571248e-19,9.5800261806421095e-30,2.8749023608667057e-30,1.2366330835449553e-57,1.2780364336098818e-49
1.2542881263814778e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999956,5.0477194212807334e-16,1.6257982919447762e-18,8.0054918531855355e-29,1.6257982919457189e-18,5.7863358131708513e-29,1.7364410259828508e-29,3.888172274927724e-56,1.5172848574747508e-48
2.8669442888719494e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999878,1.1537644391496786e-15,3.7161103816880883e-18,3.8542997200431149e-28,3.7161103816926281e-18,2.7858716134252498e-28,8.3602160656907839e-29,8.6742984521790311e-55,1.4896792774573019e-47
6.0922566138528925e-18,0.11224537200000015,0.0,0.0,0.0,0.0,0.99999999999999745,2.4517494331922004e-15,7.8967345615142069e-18,1.6832739492618424e-27,7.8967345615340332e-18,1.2166633250392232e-27,3.6511259986008042e-28,1.6246000978448042e-53,1.3176044632085819e-46
1.2542881263814779e-17,0.11224537200000027,0.0,0.0,0.0,0.0,0.999999999999995,5.0477194212744868e-15,1.6257982922524419e-17,7.0273373850247845e-27,1.6257982922607194e-17,5.0793298818555252e-27,1.5242732320016079e-27,2.8060926528546029e-52,1.1075259637496231e-45
2.544413056373855e-17,0.11224537200000059,0.0,0.0,0.0,0.0,0.99999999999998967,1.0239659397428033e-14,3.2980479649976729e-17,2.8708966181521431e-26,3.2980479650314904e-17,2.0750719915760895e-26,6.2271535120184043e-27,4.6623648892480479e-51,9.0801673308145668e-45
5.1246629163586095e-17,0.11224537200000115,0.0,0.0,0.0,0.0,0.99999999999997935,2.0623539349691016e-14,6.6425473126608947e-17,1.1604623147423173e-25,6.6425473127975895e-17,8.3877727685311948e-26,2.5171150141331055e-26,7.6008314174399096e-50,7.353355476003386e-44
1.0285162636328118e-16,0.11224537200000236,0.0,0.0,0.0,0.0,0.99999999999995826,4.1391299254040532e-14,1.3331546016678365e-16,4.6661679285719159e-25,1.3331546017228002e-16,3.3726865419656899e-25,1.012120877278253e-25,1.2275362808895091e-48,5.918621103586468e-43
2.0606162076267136e-16,0.11224537200000466,0.0,0.0,0.0,0.0,0.99999999999991673,8.2926819062033855e-14,2.6709543459477445e-16,1.8713420388026422e-24,2.6709543461681725e-16,1.3525981524292526e-24,4.0590574061831204e-25,1.9732286450079879e-47,4.7493221206709285e-42
4.124816095614517e-16,0.11224537200000935,0.0,0.0,0.0,0.0,0.99999999999983313,1.6599785867519745e-13,5.3465538484132116e-16,7.4951290233266419e-24,5.3465538492960732e-16,5.4174477403076964e-24,1.6257401605174544e-24,3.1645214003958977e-46,3.8052394034603798e-41
8.253215871590124e-16,0.11224537200001877,0.0,0.0,0.0,0.0,0.9999999999996656,3.3213993789023245e-13,1.0697752908966742e-15,3.0000048962226838e-23,1.0697752912500488e-15,2.168390936629606e-23,6.5071974827738232e-24,5.0691258367853519e-45,3.0465089321230186e-40
