Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39)
5.958425609610875e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999978,2.3978908862558842e-16,7.7232638776879858e-19,2.3449606803779269e-29,7.7232638776907476e-19,1.6949277088891457e-29,5.0863657153989469e-30,3.8708810716080075e-57,3.0075991982928323e-49,1.6195306196877258e-59,8.3549951125391621e-87,1.3848763642973206e-89,5.456197201884669e-98,5.1964021908695953e-100,1.1712655231377392e-100,1.3848890788026068e-67,5.7519073530527514e-69,1.0311348606561532e-96,4.1885372107105467e-88
1.668359170691045e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999922,6.714094481515712e-16,2.1625138857901764e-18,1.4163562509481489e-28,2.1625138857918447e-18,1.023736336183874e-28,3.0721648921465242e-29,1.2170669425437275e-55,3.570621778977261e-48,3.6228252254498155e-58,9.4474722288231857e-85,1.068632648058486e-87,7.6329991152389369e-96,7.2695620385310508e-98,1.6385543702705927e-98,7.9762521174104236e-66,3.3128041360208089e-67,2.101521978483311e-94,4.3841749954321736e-86
3.81339239015096e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999856,1.5346501672032323e-15,4.9428888819830937e-18,6.8191456585372257e-28,4.9428888819911256e-18,4.9288497776720824e-28,1.479115150106356e-28,2.7152093957343708e-54,3.5056576576872281e-47,7.1580921899912234e-57,8.5482718816087294e-83,1.164648132378631e-85,1.6595003807520585e-93,1.5804878399331476e-95,3.562408900763577e-96,3.5768862357350582e-64,1.4856004199763269e-65,3.8041390098499024e-92,3.938371718721392e-84
8.10345882907079e-18,0.11224537200000019,0.0,0.0,0.0,0.0,0.99999999999999678,3.2611316053053348e-15,1.0503638874969567e-17,2.9781000640781202e-27,1.0503638875004647e-17,2.1525581905190752e-27,6.4596844592628649e-28,5.0852866914359159e-53,3.100714536021294e-46,1.2737442748261793e-55,6.4766128824428365e-81,9.5275448230032392e-84,2.7192455571719851e-91,2.5897853395210171e-93,5.83735862796337e-94,1.3457139977679608e-62,5.5892000632650183e-64,5.7694173282315186e-90,2.96982291218139e-82
1.668359170691045e-17,0.11224537200000038,0.0,0.0,0.0,0.0,0.99999999999999323,6.7140944815046616e-15,2.1625138863345088e-17,1.2432981527347137e-26,2.1625138863491535e-17,8.9865067145989875e-27,2.696791102940102e-27,8.7835681078034606e-52,2.606337463616628e-45,2.1483559449486896e-54,4.5025702971392557e-79,6.8570431585838803e-82,3.9173992417205583e-89,3.7309226956175564e-91,8.4094744973402677e-92,4.659780308456272e-61,1.9353625209733232e-62,8.0257104034762335e-88,2.0591345774224004e-80
3.384385746258977e-17,0.11224537200000076,0.0,0.0,0.0,0.0,0.99999999999998646,1.3620020233883808e-14,4.3868138849706411e-17,5.0792786321117215e-26,4.38681388503047e-17,3.6712812163137743e-26,1.1017271599563987e-26,1.4594029680243701e-50,2.1368330259191299e-44,3.5286812584413904e-53,3.002030494448577e-77,4.647927067058291e-80,5.3129166119878785e-87,5.0600821214376981e-89,1.1405390837679324e-89,1.5503382496172391e-59,6.4390729531944092e-61,1.0704751883230337e-85,1.3710041758645108e-78
6.816438897394841e-17,0.11224537200000154,0.0,0.0,0.0,0.0,0.99999999999997258,2.7431871738564062e-14,8.8354138860870138e-17,2.0531256337719477e-25,8.8354138863288539e-17,1.4839905671032473e-25,4.4533573338126301e-26,2.3791951394849753e-49,1.7304629555357391e-43,5.7201449249806544e-52,1.9608003737400321e-75,3.0604038078739367e-78,6.9978694297600766e-85,6.6650390750580684e-87,1.5022952935246125e-87,5.0579866637653634e-58,2.1007509148685695e-59,1.3985567832067452e-83,8.9485625499938975e-77
1.368054519966657e-16,0.11224537200000312,0.0,0.0,0.0,0.0,0.99999999999994449,5.5055574747612393e-14,1.773261390369619e-16,8.2555278736037292e-25,1.7732613904668624e-16,5.9670608079388622e-25,1.7906753991594537e-25,3.8424063998471399e-48,1.3928274071642003e-42,9.2121188111247683e-51,1.2677107949613975e-73,1.9865341587748927e-76,9.0852460885808769e-83,8.6536267247114806e-85,1.9505216015497994e-85,1.6342362100536988e-56,6.7875291257852899e-58,1.8085260242510848e-81,5.7834604696284426e-75
2.7408757804210026e-16,0.11224537200000627,0.0,0.0,0.0,0.0,0.99999999999988876,1.1030298076446039e-13,3.5527014000420318e-16,3.3108359147858101e-24,3.552701400432019e-16,2.3930582720277576e-24,7.1814092642985151e-25,6.1765557265493376e-47,1.1176567162552671e-41,1.4787496492097286e-49,8.1545605967438157e-72,1.2803733155258814e-74,1.1710683171400558e-80,1.1155598748231249e-82,2.5144643975575202e-83,5.254785984512096e-55,2.1824881865715122e-56,2.3267468906567726e-79,3.7195668464653086e-73
5.486518301329694e-16,0.11224537200001247,0.0,0.0,0.0,0.0,0.99999999999977784,2.2079779279316192e-13,7.1115814439891653e-16,1.3260612887272938e-23,7.1115814455511503e-16,9.5847152516424935e-24,2.8763095205346625e-24,9.9055130602669339e-46,8.9548614633169642e-41,2.3698570081789938e-48,5.2321494177745071e-70,8.2232751411384797e-73,1.5039526562680481e-78,1.4329900789491812e-80,3.2299499184773903e-81,1.6855795590240887e-53,7.0007748038008598e-55,2.9858347968956474e-77,2.3863550528203701e-71
