Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550)
6.455791350549897e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999978,2.5980492595365301e-16,8.3679453947082462e-19,2.7527799291392843e-29,8.3679453947114895e-19,1.9896977452201851e-29,5.9709510572151159e-30,5.33435217597947e-57,3.8253735675370349e-49,2.2318295310601105e-59,1.3516180546267006e-86,2.2403650419192308e-89,9.5634759773391583e-98,9.1081150012604774e-100,2.052962932793214e-100,2.0677822871033096e-67,8.5881911581108283e-69,1.8073456492117141e-96,6.7759495143010498e-88,1.0781207048496632e-84,5.8696958292795313e-98,1.1233766352647424e-113,-2.0388304570788033e-184
1.807621578153971e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999922,7.2745379267013918e-16,2.3430247105623774e-18,1.6626790771999766e-28,2.3430247105643365e-18,1.2017774381318537e-28,3.6064544386158788e-29,1.6772056730655176e-55,4.5414835142135447e-48,4.9925134033780057e-58,1.5283520664252868e-84,1.7287660397915329e-87,1.3378915052282768e-95,1.2741894225778982e-97,2.8720143467352074e-98,1.1909367398290187e-65,4.9463583889649659e-67,3.6834916100946469e-94,7.0924399270956165e-86,1.1284774065393267e-82,1.111763916855571e-95,4.1283047574766389e-111,3.975278625048005e-181
4.1317064643519335e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999833,1.6627515261027536e-15,5.3554850529217593e-18,8.0050840339347694e-28,5.3554850529311894e-18,5.7860410433832254e-28,1.7363525675250799e-28,3.741753590187437e-54,4.4588554746359611e-47,9.8643652384671437e-57,1.3828851445877969e-82,1.8840937930933188e-85,2.9087270960681561e-93,2.7702368825354249e-95,6.2440951952873352e-96,5.3406602114945387e-64,2.21815471050788e-65,6.6677932831850115e-92,6.3712477086035927e-84,1.0137285516664222e-80,1.9980011140465817e-93,1.4945193159578961e-108,6.6624996921070082e-177
8.77987623674786e-18,0.1122453720000002,0.0,0.0,0.0,0.0,0.99999999999999656,3.5333469929665507e-15,1.1380405738345623e-17,3.4960305100045426e-27,1.1380405738386807e-17,2.5269161367219933e-27,7.5831078435614153e-28,7.0078903534951829e-53,3.9438072248977158e-46,1.7553111117150501e-55,1.0477453071774063e-80,1.5413057008676483e-83,4.7662181856091608e-91,4.5393065875739807e-93,1.0231566326913975e-93,2.0092898485641914e-62,8.3452523836439904e-64,1.0112480653936933e-89,4.8043909683441456e-82,7.6442609130168119e-79,3.0164934045250909e-91,4.5353829803258582e-106,7.978882559515112e-173
1.807621578153971e-17,0.11224537200000043,0.0,0.0,0.0,0.0,0.99999999999999267,7.2745379266884192e-15,2.3430247112013756e-17,1.4595239184275336e-26,2.3430247112185679e-17,1.0549377447788647e-26,3.1657982513438505e-27,1.2104387801372426e-51,3.3150076929684635e-45,2.9605888278367322e-54,7.283972334089837e-79,1.1092888988503065e-81,6.8663046674691466e-89,6.5394616696597407e-91,1.4739902330659443e-91,6.9575327916973256e-61,2.889695931872386e-62,1.4067250938978344e-87,3.3311372274616874e-80,5.3001679035454472e-77,4.1854455460575088e-89,1.2621505974850332e-103,7.8822311281579977e-169
3.6668894871123413e-17,0.11224537200000083,0.0,0.0,0.0,0.0,0.99999999999998535,1.4756919794109255e-14,4.7529929870631667e-17,5.9626314376949458e-26,4.7529929871334012e-17,4.3097649062845032e-26,1.2933318834814655e-26,2.0111621218737209e-50,2.7178437356795225e-44,4.8627762902877573e-53,4.8564943318190574e-77,7.5191212496232421e-80,9.3123163406071632e-87,8.8691768071689712e-89,1.9991064465757484e-89,2.3148149676413314e-59,9.6142002865658818e-61,1.8763003388471759e-85,2.2179235817556258e-78,3.5289342748584385e-75,5.5751557819305928e-87,3.3673974271171622e-101,7.0831919717436003e-165
7.385425305029081e-17,0.11224537200000168,0.0,0.0,0.0,0.0,0.99999999999997025,2.972168352885931e-14,9.5729295432993988e-17,2.4101909613833079e-25,9.5729295435832987e-17,1.7420758832645656e-25,5.2278542618726741e-26,3.2787018009622481e-49,2.2009805562952212e-43,7.8827707298349598e-52,3.1720583684622812e-75,4.95092692295489e-78,1.2265620639261817e-84,1.1682302467026681e-86,2.6331830639275821e-87,7.5520959540797892e-58,3.1366378613631496e-59,2.451353018527948e-83,1.4476417371365878e-76,2.3033390058895992e-73,7.2789352728460815e-85,8.7995087205360964e-99,6.0754932906419994e-161
1.482249694086256e-16,0.1122453720000034,0.0,0.0,0.0,0.0,0.99999999999993983,5.9651210997992942e-14,1.921280267382247e-16,9.6912718516124892e-25,1.9212802674964011e-16,7.0048105148212685e-25,2.1020972080634403e-25,5.2951120087783877e-48,1.7715410098301271e-42,1.2694961863565809e-50,2.0508220689926847e-73,3.2136887884988455e-76,1.592422604713006e-82,1.516784571592415e-84,3.4188221489159987e-85,2.4400832708621716e-56,1.0134481258920913e-57,3.169936210271257e-81,9.3561165380115826e-75,1.4886477288820512e-71,9.4094771468566399e-83,2.275875434059661e-96,5.0923340162175059e-157
2.9696640212529524e-16,0.1122453720000068,0.0,0.0,0.0,0.0,0.99999999999987954,1.1951026593479448e-13,3.8492549007071009e-16,3.886633465175896e-24,3.8492549011649124e-16,2.8092423202628705e-24,8.4303500087604218e-25,8.5117373976426938e-47,1.4215506978988195e-41,2.0378233697701954e-49,1.3191930890118048e-71,2.0713066090122206e-74,2.0525784298672355e-80,1.9553235255931044e-82,4.4072859743152457e-83,7.8459375926397188e-55,3.2586800115928867e-56,4.0782600435241857e-79,6.0172809058599829e-73,9.5740502592917857e-70,1.2103646661813549e-80,5.8561286601259144e-94,4.2195642982974442e-153
5.944492675586344e-16,0.11224537200001349,0.0,0.0,0.0,0.0,0.99999999999975953,2.3922837580253443e-13,7.705204196237781e-16,1.5566806432825964e-23,7.7052041980714162e-16,1.1251622259346906e-23,3.3765372655156246e-24,1.3650508295750415e-45,1.1389714044361922e-40,3.265833607110384e-48,8.4642398186191062e-70,1.3303091867656784e-72,2.6359883029372521e-78,2.5117066564234538e-80,5.6613697652560244e-81,2.5167441545316954e-53,1.0452878866463819e-54,5.2334920756277441e-77,3.8604960512500105e-71,6.1423806954658176e-68,1.5530880346375204e-78,1.5030074824612711e-91,3.4763971482869087e-149
