Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535)
6.574256118830243e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999978,2.6457238646778003e-16,8.5214984850042471e-19,2.8547347413296235e-29,8.5214984850076097e-19,2.0633902543030304e-29,6.1920973926694202e-30,5.7368067296699379e-57,4.0398501250195798e-49,2.4002117317066102e-59,1.5074287218001027e-86,2.4986279222902125e-89,1.0861647341864257e-97,1.0344474671541997e-99,2.3316375624320258e-100,2.2645946591626185e-67,9.4056187393433541e-69,2.0526795377259378e-96,7.5570616096089333e-88,1.2024033791905044e-84,6.6664638980440477e-98,1.2992791090995169e-113,-2.5825209220752484e-184,-3.1868345372303926e-155
1.8407917132724682e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999922,7.4080268210969119e-16,2.3860195758468895e-18,1.7242597837629324e-28,2.3860195758489202e-18,1.2462877136189497e-28,3.7400268252335256e-29,1.8037438239522995e-55,4.7961100843759526e-48,5.3691776524188973e-58,1.7045361257979462e-84,1.9280532491541344e-87,1.519500390679276e-95,1.4471512719687379e-97,3.2618691862784326e-98,1.304290590560934e-65,5.4171548231492481e-67,4.1834985247162392e-94,7.9100361402382118e-86,1.258565057561437e-82,1.2626776977920376e-95,4.7747300061555243e-111,5.0353574880140931e-181,5.9513585415182207e-152
4.207523916051355e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999833,1.6932632733931422e-15,5.4537590307226242e-18,8.3015686277841483e-28,5.4537590307324025e-18,6.0003388598120003e-28,1.8006619218800642e-28,4.0240532436319446e-54,4.7088493533809795e-47,1.0608590327295071e-56,1.5423001929747693e-82,2.1012867419650863e-85,3.3035651892652179e-93,3.1462761792392207e-95,7.0916852265137058e-96,5.8489864559225409e-64,2.429279591841827e-65,7.5728972179259522e-92,7.1057069472664848e-84,1.1305882825548841e-80,2.2692150814884037e-93,1.7285366858043256e-108,8.439173900572203e-177,2.4773431833284397e-148
8.94098832160913e-18,0.1122453720000002,0.0,0.0,0.0,0.0,0.99999999999999645,3.5981844559585603e-15,1.1589237941205311e-17,3.6255131214861414e-27,1.1589237941248015e-17,2.6205056232735982e-27,7.8639636896387376e-28,7.536606360448295e-53,4.1649239835190335e-46,1.8877419920466209e-55,1.1685263928410643e-80,1.7189830178329473e-83,5.4131965128477452e-91,5.1554840944602916e-93,1.1620426257203438e-93,2.200534886041114e-62,9.1395569512812404e-64,1.148517558571642e-89,5.3582274433659726e-82,8.5254694687166304e-79,3.4259602160874106e-91,5.2455500465259143e-106,1.010659364907562e-172,7.0123980428193914e-145
1.8407917132724678e-17,0.11224537200000043,0.0,0.0,0.0,0.0,0.99999999999999256,7.4080268210834566e-15,2.3860195765095546e-17,1.5135803598507322e-26,2.3860195765273828e-17,1.0940095131093417e-26,3.2830500384470455e-27,1.3017613216711998e-51,3.5008696585304628e-45,3.1839528712791216e-54,8.1236478575915696e-79,1.2371645531866534e-81,7.7983528654470863e-89,7.4271455274795064e-91,1.6740735736433939e-91,7.6197536352614122e-61,3.1647383835398818e-62,1.5976776879911265e-87,3.7151412257630252e-80,5.9111561146719058e-77,4.7535890225548669e-89,1.4597828136965961e-103,9.9841682810268103e-169,1.6767446715344436e-141
3.7341774754955774e-17,0.11224537200000086,0.0,0.0,0.0,0.0,0.9999999999999849,1.5027711551309503e-14,4.8402111424575489e-17,6.1834696390907012e-26,4.8402111425303841e-17,4.4693858287832113e-26,1.3412330643645836e-26,2.1628958890519119e-50,2.8702246152678557e-44,5.2296524262023554e-53,5.4163371290982478e-77,8.3859040582527066e-80,1.057638888333692e-86,1.0073102369234904e-88,2.2704704530139548e-89,2.5351400116078857e-59,1.0529283836697281e-60,2.1309943235304067e-85,2.4735994976262421e-78,3.9357397339676817e-75,6.3319422169360432e-87,3.8946769941872443e-101,8.9720509180372503e-165,3.7045179987377801e-138
7.520948999941798e-17,0.1122453720000017,0.0,0.0,0.0,0.0,0.99999999999996969,3.0267081011666592e-14,9.7485942790333241e-17,2.4994572932861079e-25,9.7485942793277381e-17,1.8065972123097755e-25,5.4214784939026782e-26,3.5260661324431385e-49,2.3243825610027449e-43,8.477492833207133e-52,3.5377242030667825e-75,5.5216556263222939e-78,1.3930572794415267e-84,1.3268089153512508e-86,2.9906183090106236e-87,8.2709075616203886e-58,3.4351843459543215e-59,2.7841061838937695e-83,1.6145217699934764e-76,2.5688613439922971e-73,8.2669972716138029e-85,1.0177368420210371e-98,7.695631140984443e-161,7.8769840834389774e-135
1.5094492048834237e-16,0.11224537200000344,0.0,0.0,0.0,0.0,0.99999999999993883,6.0745819932000734e-14,1.9565360570904014e-16,1.0050207846114362e-24,1.956536057208784e-16,7.2642479415811488e-25,2.1799526603015055e-25,5.6946060498601549e-48,1.8708657074043717e-42,1.3652743725725232e-50,2.2872349894905199e-73,3.584153641797612e-76,1.8085781931212853e-82,1.7226769258757205e-84,3.8829021205598713e-85,2.6723314015044833e-56,1.1099085354630008e-57,3.6002317775151024e-81,1.043466330503676e-74,1.6602547840303564e-71,1.0686744597507716e-82,2.6322404564074498e-96,6.4502944619753466e-157,1.6436051495640357e-131
3.0241578146619114e-16,0.11224537200000692,0.0,0.0,0.0,0.0,0.99999999999987732,1.217032977711489e-13,3.9198893229521973e-16,4.0305828527731642e-24,3.9198893234269648e-16,2.9132883323531694e-24,8.7425851949727415e-25,9.1539123527743162e-47,1.5012525581159731e-41,2.1915686502357639e-49,1.47126591469495e-71,2.3100809065888535e-74,2.3311903579640951e-80,2.2207443140292216e-82,5.0055426322973108e-83,8.5927171548637364e-55,3.5688425106062287e-56,4.6318539334439025e-79,6.7109363525025235e-73,1.0677719397534486e-69,1.374662795391369e-80,6.7731030673298604e-94,5.3447843885261224e-153,3.3975892009161425e-128
6.053575034218888e-16,0.11224537200001379,0.0,0.0,0.0,0.0,0.99999999999975464,2.4361825344336495e-13,7.8465958846264222e-16,1.6143354819212173e-23,7.8465958865279704e-16,1.1668349011525559e-23,3.5015942018384548e-24,1.4680381971333401e-45,1.202829954483565e-40,3.5122271952696558e-48,9.4399734017870175e-70,1.4836634159714125e-72,2.9937773579966059e-78,2.8526523508849502e-80,6.4298590471262912e-81,2.7562888908897069e-53,1.1447788127775411e-54,5.9439003210098741e-77,4.3055236436645151e-71,6.8504567660470453e-68,1.7639083757370596e-78,1.7383540083804608e-91,4.4034372362118397e-149,6.9906866166717295e-125
1.2112409473332839e-15,0.11224537200002754,0.0,0.0,0.0,0.0,0.99999999999950939,4.874481647634758e-13,1.5700009127777399e-15,6.4615490070402384e-23,1.570000913538855e-15,4.6703805048352719e-23,1.4015502350287972e-23,2.3515940449465319e-44,9.6299700587831539e-40,5.6241490485614808e-47,6.0492390669141733e-68,9.5121528582991775e-71,3.836913484441259e-76,3.6578705317881638e-78,8.244815320285432e-79,8.8307288191647438e-52,3.6676962343506743e-53,7.6178975666724402e-75,2.7589248719175395e-69,4.389648652529006e-66,2.2605873459005158e-76,4.4558830586983268e-89,3.6174629512642841e-145,1.4350214269557659e-121
2.423007835156074e-15,0.11224537200005509,0.0,0.0,0.0,0.0,0.99999999999901867,9.7510798730641179e-13,3.1406836093289442e-15,2.5854612582883122e-22,3.1406836123744012e-15,1.8687605797476262e-22,5.6080266439371065e-23,3.7647368786574524e-43,7.7069295246304988e-39,9.002331406855681e-46,3.8739717419943492e-66,6.0931250687415149e-69,4.9106918038206588e-74,4.6862195030050778e-76,1.056270679994317e-76,2.8275301144719544e-50,1.1743673694044065e-51,9.7571468812256623e-73,1.7668192486349533e-67,2.8110895353660293e-64,2.8953427732693503e-74,1.1414384467736921e-86,2.967421042985974e-141,2.9423338143919347e-118
4.846541610801655e-15,0.11224537200011016,0.0,0.0,0.0,0.0,0.99999999999803713,1.9504276320031417e-12,6.2820491941153735e-15,1.0343528582322798e-21,6.2820492062992205e-15,7.4762594434921144e-22,2.2435759104319706e-22,6.0253243196788384e-42,6.1667573528551142e-38,1.440675788049683e-44,2.4801378465843375e-64,3.9013065767495708e-67,6.2759318765027298e-72,6.0010069360393809e-74,1.3526228418065901e-74,9.0508059578274714e-49,3.7590996751765475e-50,1.2493197792616886e-70,1.1311467348458998e-65,1.7996449961062353e-62,3.707204586349098e-72,2.9230336549346228e-84,2.4322592831626932e-137,6.0293790408429963e-115
9.693609162092818e-15,0.11224537200022038,0.0,0.0,0.0,0.0,0.9999999999960737,3.9010669198400315e-12,1.2564781130424224e-14,4.1377481654847172e-21,1.2564781179163872e-14,2.9907473760694631e-21,8.9750346800888232e-22,9.6419013595649115e-41,4.9339427726304145e-37,2.3053467182387728e-43,1.5875542741165153e-62,2.4973756890593827e-65,8.0030587802932874e-70,7.6829620959495813e-72,1.7317343056335209e-72,2.8966874278219082e-47,1.2030894644804069e-48,1.5994028670673157e-68,7.2409207250938919e-64,1.1519466667146746e-60,4.7460172801336684e-70,7.4842526391722756e-82,1.9925840721204393e-133,1.2351671524172558e-111
1.9387744264675142e-14,0.11224537200044073,0.0,0.0,0.0,0.0,0.99999999999214739,7.8023454892875393e-12,2.5130248069985129e-14,1.6551666140965181e-20,2.5130248264953995e-14,1.1963477970473815e-20,3.590160469415622e-21,1.5428103322006766e-39,3.9474511394811689e-36,3.6888414235882395e-42,1.0161343510481606e-60,1.5984849874536121e-63,1.0164310211186927e-67,9.8352128808191e-70,2.2168499440890218e-70,9.2700608906152261e-46,3.8501555850012458e-47,2.0474473999546447e-66,4.635153256451098e-62,7.3729968650040044e-59,6.0755370203996346e-68,1.9161685197399294e-79,1.6315789414995845e-129,2.5299561733823711e-108
3.8776014469839785e-14,0.11224537200088143,0.0,0.0,0.0,0.0,0.99999999998429479,1.5604902603277451e-11,5.0261194216873626e-14,6.6208011465375826e-20,5.0261194996783541e-14,4.7854898843761011e-20,1.4360938153677749e-20,2.4685670579891327e-38,3.1582111303629412e-35,5.9026133715387767e-41,6.5037638536988672e-59,1.0230739801030448e-61,1.2809150251147542e-65,1.2589615270255138e-67,2.8376897861007761e-68,2.966508518467726e-44,1.2320833820024824e-45,2.6209619863291857e-64,2.967392593888011e-60,4.718866885382353e-57,7.7774157710170547e-66,4.9058272317058128e-77,1.3350128508142377e-125,5.1815899361964711e-105
