Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535),C5H7(806),C5H8(470)
6.805001588850729e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999978,2.7385843778164406e-16,8.8205889277393422e-19,3.0586443657103004e-29,8.8205889277429436e-19,2.2107752724688158e-29,6.6343900635783216e-30,6.5856199701662433e-57,4.4803308798906326e-49,2.7553451003666091e-59,1.8540714047915965e-86,3.0732030742716808e-89,1.3828241742142649e-97,1.3169816453940503e-99,2.9684676805103729e-100,2.6909060627257956e-67,1.1176232526567163e-68,2.6133190526483472e-96,9.2948552868243705e-88,1.4789035731353635e-84,8.4872464499506208e-98,1.7122033756360397e-113,-4.0439408915351612e-184,-4.6575469555902337e-155,-1.7557801505463383e-163,-3.0956424963146333e-140
1.905400444878204e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999922,7.6680362578850394e-16,2.4697648998159807e-18,1.8474211968888438e-28,2.4697648998181566e-18,1.3353082645932557e-28,4.0071715984691762e-29,2.0706242876324351e-55,5.3190488389192169e-48,6.1635967959882154e-58,2.0965048925681474e-84,2.3714211789696271e-87,1.9345148509343157e-95,1.8424054618587348e-97,4.1527694589163271e-98,1.5498241345071025e-65,6.4369377084667788e-67,5.326119447887909e-94,9.7289985409076509e-86,1.5479799814673575e-82,1.6075474158999588e-95,6.2921883224913558e-111,7.8848104699137094e-181,8.6978885953407333e-152,5.9002446327296127e-160,3.0025803534479388e-137
4.3552010168644665e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999833,1.7526940018018261e-15,5.6451769140959366e-18,8.8945378154828919e-28,5.6451769141064129e-18,6.4289344926706865e-28,1.9292806305903836e-28,4.6194488763138388e-54,5.2222737283101437e-47,1.2178228697077712e-56,1.8969617903558132e-82,2.5844907991378943e-85,4.2058531355737688e-93,4.0056050318231147e-95,9.0286066477025436e-96,6.9500619241635751e-64,2.8865930398789069e-65,9.6412500015160536e-92,8.7397088174361285e-84,1.3905741448266996e-80,2.8889960182462061e-93,2.2778834274936117e-108,1.3214808784815086e-176,3.6206279158282931e-148,4.9141841344607706e-156,6.1997007452860422e-134
9.254802160836992e-18,0.11224537200000022,0.0,0.0,0.0,0.0,0.99999999999999623,3.7244747538268805e-15,1.1996000943439292e-17,3.8844783444493284e-27,1.1996000943485046e-17,2.8076845963778101e-27,8.4256753817964725e-28,8.6517164840631603e-53,4.6190420371539394e-46,2.1670507580696212e-55,1.4372363623253113e-80,2.1142739370878562e-83,6.8916776569682118e-91,6.5635792445197063e-93,1.4794263195571669e-93,2.6147869957529784e-62,1.0860084433846751e-63,1.4622072106889623e-89,6.5903854586021504e-82,1.0485954611387398e-78,4.3616779689032238e-91,6.9126398196923149e-106,1.5825802697783601e-172,1.0248593707667385e-144,2.7821872519998046e-152,8.732466860934525e-131
1.905400444878204e-17,0.11224537200000047,0.0,0.0,0.0,0.0,0.99999999999999223,7.6680362578706251e-15,2.4697649005259785e-17,1.6216932426971228e-26,2.4697649005450813e-17,1.1721530497711389e-26,3.51755361265603e-27,1.4943688637667966e-51,3.8825832593153764e-45,3.6550479455275413e-54,9.9917316158103254e-79,1.5216582961384586e-81,9.9282779272642059e-89,9.4556897711866128e-91,2.1313060728181092e-91,9.0541771639880082e-61,3.7605024218825832e-62,2.034044512610067e-87,4.5694612780550228e-80,7.2704635140286621e-77,6.0519163168206588e-89,1.9237168123502797e-103,1.5634097833418861e-168,2.4505560452858224e-141,1.3305487447483194e-148,1.041153927356861e-127
3.865240902467214e-17,0.11224537200000088,0.0,0.0,0.0,0.0,0.99999999999998446,1.5555159265932672e-14,5.0100945141435937e-17,6.6251460418821569e-26,5.0100945142216324e-17,4.7886276737875519e-26,1.4370354261329472e-26,2.4829161978473651e-50,3.1831765103735399e-44,6.0034275519052131e-53,6.6618578197694476e-77,1.031429524981607e-79,1.3465057618871892e-86,1.2824325393229562e-88,2.8905942595949866e-89,3.0123817505684737e-59,1.2511428293910224e-60,2.7130236278891318e-85,3.0424192613475609e-78,4.8407877536906024e-75,8.0613583358889977e-87,5.1324454258956797e-101,1.4049233922600921e-164,5.414138854705098e-138,5.8793992124839094e-145,1.1484096765128343e-124
7.784921817645233e-17,0.11224537200000177,0.0,0.0,0.0,0.0,0.99999999999996858,3.1329405281954971e-14,1.0090753746392875e-16,2.6779899570916632e-25,1.0090753746708323e-16,1.935639870405803e-25,5.8087269579799145e-26,4.0477799946737126e-49,2.5778191567649902e-43,9.7318158236186588e-52,4.3512460812549904e-75,6.7913949339743341e-78,1.7735331170833573e-84,1.6891945126403182e-86,3.807432990851317e-87,9.8279112286990281e-58,4.0818600065376039e-59,3.5445171302259448e-83,1.985791242406034e-76,3.1595871093765796e-73,1.0524926687153115e-84,1.3411840891846246e-98,1.2050501456222867e-160,1.1512180772348636e-134,2.5003158636655826e-141,1.2198330136265417e-121
1.5624283648001274e-16,0.11224537200000358,0.0,0.0,0.0,0.0,0.99999999999993672,6.2877897313592391e-14,2.0252072230947668e-16,1.0768079835117745e-24,2.0252072232216061e-16,7.7831227951460466e-25,2.3356635647915035e-25,6.5371752984321245e-48,2.074853588171116e-42,1.5672792772382563e-50,2.8131990413841278e-73,4.4083522193003742e-76,2.3025372512687189e-82,2.1931842411628991e-84,4.9434224215092562e-85,3.1753995030016164e-56,1.3188495286357907e-57,4.5835476267059949e-81,1.2834180462698762e-74,2.0420407747690429e-71,1.3605569297907516e-82,3.4687935986615922e-96,1.0100441123815202e-156,2.4021218301232087e-131,1.0434316532785929e-137,1.2716925334158409e-118
3.1303007308713356e-16,0.11224537200000714,0.0,0.0,0.0,0.0,0.99999999999987321,1.2597488137523858e-13,4.0574709280282168e-16,4.3184816279674089e-24,4.0574709285368965e-16,3.1213803565699865e-24,9.367055567508658e-25,1.0508317707191303e-46,1.6649400820344616e-41,2.5158314326762673e-49,1.8095927716039332e-71,2.8412984672243795e-74,2.9678722754684539e-80,2.8272866140913617e-82,6.3726848650819668e-83,1.0210301653192596e-54,4.2406793886523458e-56,5.8969323903818366e-79,8.2541594228701532e-73,1.3133127855803222e-69,1.7501185731976309e-80,8.9256651386309168e-94,8.3693328301683925e-153,4.965559755925124e-128,4.3138762786103246e-134,1.3131293400895538e-115
6.266045463013751e-16,0.11224537200001429,0.0,0.0,0.0,0.0,0.99999999999974598,2.5216884949201626e-13,8.1219983699850771e-16,1.7296451591982279e-23,8.1219983720224504e-16,1.2501802516173057e-23,3.7517080745732736e-24,1.6852479160384855e-45,1.333979318282223e-40,4.0318937012888062e-48,1.1610754940463529e-69,1.8248410878198432e-72,3.8113879527702382e-78,3.6317849328794293e-80,8.1860185999420155e-81,3.2751620233656314e-53,1.3602841465064918e-54,7.5673325949348814e-77,5.2956073223826655e-71,8.4257621786305178e-68,2.2456772043454422e-78,2.2908209181682429e-91,6.8952839699026958e-149,1.0216844774316379e-124,1.7751938999567308e-130,1.3486781373219408e-112
