Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535),C5H7(806),C5H8(470),C7H9(588),C5H9(108)
7.028175419875703e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999967,2.8283977833244904e-16,9.1098650722387207e-19,3.2625539900909756e-29,9.1098650722425629e-19,2.3581602906347288e-29,7.0766827344876126e-30,7.4929720548147228e-57,4.9357502249221891e-49,3.134970425518621e-59,2.2501559917363719e-86,3.7297303079802527e-89,1.733275026957815e-97,1.6507460046172765e-99,3.7207702784422026e-100,3.1620617457109868e-67,1.3133099598954711e-68,3.2756158749472101e-96,1.1280511768351091e-87,1.7948411956860568e-84,1.0638180278547659e-97,2.2165127978890143e-113,-6.15164834085941e-184,-6.6422500630006914e-155,-2.5860831001502854e-163,-4.2745885781109475e-140,0.0,-1.8879487264298336e-126
1.967889117565197e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999922,7.9195137933075105e-16,2.5507622202790717e-18,1.9705826100147541e-28,2.5507622202813924e-18,1.4243288155677134e-28,4.2743163717052892e-29,2.3559103005203996e-55,5.8597226878638147e-48,7.0128034668897487e-58,2.5443804565575061e-84,2.8780270067854651e-87,2.4247812874355785e-95,2.3093286576868311e-97,5.2052111865540208e-98,1.8211856876460967e-65,7.5639929497709366e-67,6.6759247804394568e-94,1.1807400905684904e-85,1.878674371529518e-82,2.0149502343792071e-95,8.1454785967581453e-111,1.1994384300992455e-180,1.2404287411924793e-151,8.6904518901298778e-160,4.1460838626219647e-137,4.4793096338111944e-220,1.3292596771049603e-123
4.49803226872045e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999822,1.8101745813269314e-15,5.8303136465983893e-18,9.4875070031816284e-28,5.8303136466095651e-18,6.8575301255308435e-28,2.0578993393011544e-28,5.2559062767153707e-54,5.7531105244166972e-47,1.3856117989765658e-56,2.302209035669863e-82,3.1366146107837559e-85,5.2717472297592375e-93,5.0207506883462813e-95,1.131673809101556e-95,8.166961026305444e-64,3.3920119147425585e-65,1.2084644447505416e-91,1.0606769595717579e-83,1.6876419842651994e-80,3.6211580124294738e-93,2.9488072761799402e-108,2.0102384807026256e-176,5.1634725799076684e-148,7.2380864557725063e-156,8.5607930037122748e-134,5.6167471380873598e-215,1.3243329982993205e-120
9.558318571030956e-18,0.11224537200000022,0.0,0.0,0.0,0.0,0.99999999999999611,3.8466209853175954e-15,1.23894165000727e-17,4.1434435674125082e-27,1.2389416500121508e-17,2.9948635694833258e-27,8.9873870739582128e-28,9.8437307539403781e-53,5.0885611807071338e-46,2.4656221979319614e-55,1.744272635118085e-80,2.5659454944262054e-83,8.6382421363816706e-91,8.2269956084046567e-93,1.8543592421898532e-93,3.0726148512184272e-62,1.2761596554368293e-63,1.8327762742361855e-89,7.9982870961971472e-82,1.2726065209931718e-78,5.467063655404134e-91,8.948676811188711e-106,2.4074231987596116e-172,1.4615788693935471e-144,4.0978749023286998e-152,1.205812735622343e-130,7.1293585888006583e-210,9.2267002595038026e-118
1.967889117565197e-17,0.11224537200000047,0.0,0.0,0.0,0.0,0.99999999999999212,7.9195137932921375e-15,2.5507622210364031e-17,1.7298061255435062e-26,2.5507622210567785e-17,1.2502965864340315e-26,3.7520571868683794e-27,1.7002596845604881e-51,4.2772424051301288e-45,4.1586323363515469e-54,1.2126261554975054e-78,1.8467295933382878e-81,1.244440762283153e-88,1.1852057437618148e-90,2.6714457224490259e-91,1.0639489664491557e-60,4.4189356937272804e-62,2.5495350447941558e-87,5.5456336455617816e-80,8.8236499398315361e-77,7.5856612999421194e-89,2.4903250412237331e-103,2.3782609792992066e-168,3.4948023421258801e-141,1.9597610778916763e-148,1.4376632267987734e-127,6.3985093288763257e-205,5.4746551050932495e-115
3.992003638489399e-17,0.1122453720000009,0.0,0.0,0.0,0.0,0.99999999999998401,1.6065299409214077e-14,5.1744033644317511e-17,7.0668224446735484e-26,5.1744033645149926e-17,5.1078695188008688e-26,1.532837787904069e-26,2.8250068725433354e-50,3.5067419470190087e-44,6.8305664830748465e-53,8.085028058446442e-77,1.2517734310618108e-79,1.6877506647920083e-86,1.607441072631546e-88,3.6231612928242844e-89,3.5398252002570998e-59,1.4702077234924175e-60,3.4005887210041677e-85,3.6923702249152063e-78,5.8749234460545972e-75,1.0104358828539769e-86,6.6441470519461788e-101,2.1371711865997688e-164,7.7212456071878952e-138,8.6597486193897488e-145,1.5857607736463517e-124,4.8845107471418316e-200,3.0128374390381235e-112
8.040232680337805e-17,0.11224537200000183,0.0,0.0,0.0,0.0,0.99999999999996758,3.2356870640949381e-14,1.0421685656570774e-16,2.8565226208971612e-25,1.0421685656907249e-16,2.0646825285090983e-25,6.1959754220794818e-26,4.6054741225364836e-49,2.8398508762118254e-43,1.107264385990477e-51,5.280801196377312e-75,8.2422381012720531e-78,2.2229971859004632e-84,2.1172892556044301e-86,4.7723556419681003e-87,1.1548698238298606e-57,4.7965603628636708e-59,4.4428087130118311e-83,2.4100151736442284e-76,3.8345685299795293e-73,1.319227254877526e-84,1.736214143889744e-98,1.8331236041743569e-160,1.6417823246045133e-134,3.682707323533943e-141,1.6843735806818277e-121,3.4509864908761471e-195,1.5986665016108911e-109
1.6136690764034616e-16,0.11224537200000366,0.0,0.0,0.0,0.0,0.99999999999993472,6.4940013103985666e-14,2.0916250262242128e-16,1.1485951824120663e-24,2.0916250263595073e-16,8.3019976487694426e-25,2.4913744692994724e-25,7.4378527686896614e-48,2.2857595763768221e-42,1.7832155585340532e-50,3.4141817449029804e-73,5.3501068492397087e-76,2.8860599857184009e-82,2.7490057452096382e-84,6.1962403258493663e-85,3.7313860245818304e-56,1.5497693097962602e-57,5.7451620949021511e-81,1.5575942766009042e-74,2.4782811848355782e-71,1.7053646548671722e-82,4.4904861277978058e-96,1.5364799531831082e-156,3.4257289721089231e-131,1.5368671361580181e-137,1.7559598586573477e-118,2.3475994845172225e-190,8.3318996081016729e-107
3.2329606931428233e-16,0.11224537200000735,0.0,0.0,0.0,0.0,0.9999999999998691,1.3010629802832098e-13,4.1905379559158063e-16,4.6063804031612767e-24,4.1905379564583981e-16,3.3294723808337392e-24,9.9915259401887727e-25,1.1956130319861404e-46,1.8341789581276779e-41,2.8624571781526386e-49,2.1961754493220852e-71,3.4482839783534534e-74,3.719992390078586e-80,3.543809484114281e-82,7.9877225568653209e-83,1.1998042067904801e-54,4.9831877015629708e-56,7.3913997700877804e-79,1.0017493840666704e-72,1.5938753039754934e-69,2.1936534480191719e-80,1.155461542075104e-93,1.2731431844457613e-152,7.081514910826711e-128,6.35389417291206e-134,1.8131295226171866e-115,1.5673781047979403e-185,4.3038997127384477e-104
6.471543926621548e-16,0.11224537200001473,0.0,0.0,0.0,0.0,0.99999999999973777,2.604388678700426e-13,8.3883638495282868e-16,1.8449548364749375e-23,8.3883638517014842e-16,1.3335256021196614e-23,4.001821947423628e-24,1.9174376131299551e-45,1.4695765298702617e-40,4.5873993168581487e-48,1.4091156785169761e-69,2.2146811776478477e-72,4.7772318093757491e-78,4.5521928063852053e-80,1.0260611700728618e-80,3.8486161245135859e-53,1.598458777783987e-54,9.4851319491942277e-77,6.4269077479369636e-71,1.0225754560655322e-67,2.8148022437825701e-78,2.9655555057346042e-91,1.048910115783151e-148,1.4570509488685579e-124,2.6146769526375599e-130,1.8621189458982951e-112,1.0367628988290659e-180,2.2133679212371845e-101
