Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12)
4.120636032714573e-19,0.11224537199999998,0.0,0.0,0.0,0.0,0.99999999999999989,1.6582951922612554e-16,5.3411292268596744e-19,1.1215037339217546e-29,5.3411292268609956e-19,8.1061817801201817e-30,2.4326102355517148e-30
1.1537780891600805e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999956,4.6432265383311501e-16,1.4955161835386627e-18,6.7738825528870045e-29,1.4955161835394604e-18,4.8961337952416374e-29,1.4692965822883048e-29
2.637207060937327e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.999999999999999,1.0613089230469485e-15,3.4183227053158686e-18,3.2613328582438715e-28,3.4183227053197109e-18,2.3572776617325214e-28,7.0740305652104259e-29
5.60406500449182e-18,0.11224537200000013,0.0,0.0,0.0,0.0,0.99999999999999778,2.2552814614740311e-15,7.2639357491575468e-18,1.4243097420800171e-27,7.2639357491743224e-18,1.0294850861512881e-27,3.0894149993842508e-28
1.1537780891600804e-17,0.11224537200000026,0.0,0.0,0.0,0.0,0.99999999999999545,4.6432265383258653e-15,1.4955161837989952e-17,5.9462127972476433e-27,1.4955161838059995e-17,4.297897580503949e-27,1.2897699470997361e-27
2.3405212665818772e-17,0.11224537200000054,0.0,0.0,0.0,0.0,0.99999999999999056,9.4191166920202007e-15,3.0337614020250997e-17,2.4292219478192196e-26,3.0337614020537131e-17,1.7558313988804665e-26,5.2691310763942753e-27
4.7140076214254714e-17,0.11224537200000106,0.0,0.0,0.0,0.0,0.99999999999998113,1.8970896999371558e-14,6.1102518403157975e-17,9.8193035122389263e-26,6.1102518404314606e-17,7.0973512499859997e-26,2.1298670279808947e-26
9.460980331112659e-17,0.11224537200000217,0.0,0.0,0.0,0.0,0.99999999999996148,3.8074457613924942e-14,1.2263232724251135e-16,3.94829875538981e-25,1.226323272471622e-16,2.8538137242836454e-25,8.5641016505443995e-26
1.8954925750487036e-16,0.11224537200000431,0.0,0.0,0.0,0.0,0.99999999999992317,7.628157884243458e-14,2.4569194521537643e-16,1.5834443928766833e-24,2.4569194523402836e-16,1.1445069449395777e-24,3.4345878054796425e-25
3.7942816589235785e-16,0.11224537200000863,0.0,0.0,0.0,0.0,0.99999999999984635,1.5269582129706513e-13,4.9181118233773918e-16,6.3420367735039865e-24,4.9181118241244411e-16,4.5839975088078414e-24,1.3756265975262229e-24
7.591859826673329e-16,0.11224537200001723,0.0,0.0,0.0,0.0,0.9999999999996928,3.0552430619677151e-13,9.8404966128899472e-16,2.538467491803678e-23,9.8404966158800969e-16,1.8347936377759892e-23,5.5060914072813492e-24
1.518701616217283e-15,0.11224537200003455,0.0,0.0,0.0,0.0,0.99999999999938471,6.1118127595796447e-13,1.9685266380176256e-15,1.0157176473597966e-22,1.9685266392140759e-15,7.3415645607183465e-23,2.2031537891791908e-23
