Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13)
4.479603646056342e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999978,1.8027569361901305e-16,5.8064196324950247e-19,1.3254135037257023e-29,5.8064196324965866e-19,9.5800330128779602e-30,2.8749030056546855e-30,1.2366348474173559e-57,1.2780382565250134e-49
1.254289020895776e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999956,5.0477194213319345e-16,1.6257974971198252e-18,8.0054975625027384e-29,1.6257974971207684e-18,5.7863399398413036e-29,1.7364414154347909e-29,3.8881778208247652e-56,1.5172870216395996e-48
2.866946333476059e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999878,1.1537644391613817e-15,3.716108564945344e-18,3.8543024688335815e-28,3.7161085649498845e-18,2.7858736002394345e-28,8.3602179407342332e-29,8.674310824770242e-55,1.4896814022471937e-47
6.0922609586366255e-18,0.11224537200000015,0.0,0.0,0.0,0.0,0.99999999999999745,2.4517494332170692e-15,7.8967307009358736e-18,1.6832751497308568e-27,7.896730700955703e-18,1.216664192733176e-27,3.6511268174815401e-28,1.6246024150942039e-53,1.3176063425611961e-46
1.2542890208957758e-17,0.11224537200000027,0.0,0.0,0.0,0.0,0.999999999999995,5.0477194213256887e-15,1.6257974974274912e-17,7.0273423967466066e-27,1.6257974974357693e-17,5.0793335043069732e-27,1.524273573868196e-27,2.8060966553266687e-52,1.1075275434587639e-45
2.5444148709600022e-17,0.11224537200000059,0.0,0.0,0.0,0.0,0.99999999999998967,1.0239659397531898e-14,3.2980463526384889e-17,2.8708986656040351e-26,3.2980463526723057e-17,2.0750734714657052e-26,6.227154908654963e-27,4.6623715394152034e-51,9.0801802822250026e-45
5.1246665710884553e-17,0.11224537200000115,0.0,0.0,0.0,0.0,0.99999999999997935,2.0623539349900209e-14,6.6425440652332412e-17,1.1604631423551082e-25,6.6425440653699373e-17,8.3877787504816376e-26,2.5171155786759347e-26,7.6008422588906444e-50,7.3533659643921202e-44
1.0285169971345362e-16,0.11224537200000236,0.0,0.0,0.0,0.0,0.99999999999995826,4.1391299254460382e-14,1.3331539499113782e-16,4.6661712563665481e-25,1.3331539499663428e-16,3.3726889472816579e-25,1.012121104278443e-25,1.2275380317866524e-48,5.9186295455554369e-43
2.0606176771859175e-16,0.11224537200000466,0.0,0.0,0.0,0.0,0.99999999999991673,8.2926819062874995e-14,2.6709530401639024e-16,1.8713433733971283e-24,2.6709530403843333e-16,1.3525991170685401e-24,4.0590583165554202e-25,1.9732314595238594e-47,4.7493288948213731e-42
4.12481903728868e-16,0.11224537200000935,0.0,0.0,0.0,0.0,0.99999999999983313,1.659978586768812e-13,5.3465512345746068e-16,7.4951343686657964e-24,5.3465512354574842e-16,5.4174516038964041e-24,1.6257405251412303e-24,3.1645259141127755e-46,3.8052448310273633e-41
8.253221757494205e-16,0.11224537200001877,0.0,0.0,0.0,0.0,0.9999999999996656,3.3213993789360146e-13,1.069774767901864e-15,3.0000070357513805e-23,1.0697747682552453e-15,2.168392483071991e-23,6.5071989422192288e-24,5.0691330671353984e-45,3.0465132774819323e-40
1.6510027197905256e-15,0.11224537200003754,0.0,0.0,0.0,0.0,0.9999999999993312,6.6442409628187379e-13,2.1400140790397223e-15,1.2003935832301112e-22,2.1400140804537097e-15,8.6763944973672617e-23,2.6037272104685377e-23,8.1153274306011501e-44,2.438142379224925e-39
3.3023638078727356e-15,0.11224537200007506,0.0,0.0,0.0,0.0,0.99999999999866263,1.328992412877745e-12,4.2804927903116408e-15,4.8023559816167943e-22,4.2804927959685229e-15,3.4711228542987724e-22,1.0416604540592764e-22,1.2988290822380729e-42,1.9508937196913999e-38
6.605085984037156e-15,0.11224537200015017,0.0,0.0,0.0,0.0,0.99999999999732458,2.6581290453467944e-12,8.5614505688402477e-15,1.9210987331214553e-21,8.5614505914697072e-15,1.3885622103280899e-21,4.166981132182069e-22,2.0784260408222346e-41,1.5608781729316543e-37
1.3210530336365996e-14,0.11224537200030028,0.0,0.0,0.0,0.0,0.9999999999946495,5.3164023073941222e-12,1.7123367549836329e-14,7.68470762138474e-21,1.7123367640358588e-14,5.554475382504529e-21,1.6668604401184074e-21,3.3257152288481617e-40,1.2487858281037059e-36
2.6421419041023676e-14,0.11224537200060059,0.0,0.0,0.0,0.0,0.99999999998929867,1.0632948819925686e-11,3.4247207207581948e-14,3.0739455848997987e-20,3.4247207569684249e-14,2.2218357787870887e-20,6.6675787105133402e-21,5.3213118213913108e-39,9.9909079138254134e-36
5.2843196450339036e-14,0.11224537200120117,0.0,0.0,0.0,0.0,0.99999999997859723,2.126604179873645e-11,6.8494909306071506e-14,1.2295907393026527e-19,6.8494910754542546e-14,8.8874369014589857e-20,2.667059652962154e-20,8.5141707914333417e-38,7.9934358460382965e-35
1.0568675126896975e-13,0.1122453720024024,0.0,0.0,0.0,0.0,0.9999999999571938,4.25322275713485e-11,1.3699040463491934e-13,4.9183879517051556e-19,1.3699041042920962e-13,3.5549955450718858e-19,1.0668301177670455e-19,1.3622532087751713e-36,6.395770081032232e-34
2.113738609062312e-13,0.11224537200480482,0.0,0.0,0.0,0.0,0.99999999991438748,8.5064598376534611e-11,2.7398175981909417e-13,1.9673601665503027e-18,2.7398178299932754e-13,1.4220039966468828e-18,4.2673379667223001e-19,2.1795302594624332e-35,5.1182047864900558e-33
4.2274808018075404e-13,0.11224537200960964,0.0,0.0,0.0,0.0,0.99999999982877474,1.70129337026754e-10,5.4796592828539277e-13,7.8694505336144616e-18,5.4796602103055044e-13,5.688040517465048e-18,1.7069426718142079e-18,3.4869851019335137e-34,4.0970875837935085e-32
8.454965187297998e-13,0.11224537201921926,0.0,0.0,0.0,0.0,0.99999999965754915,3.4025880248657446e-10,1.0959400975460493e-12,3.1477821034621325e-17,1.0959404687197622e-12,2.2752314919630446e-17,6.8278175457592965e-18,5.5783147627993771e-33,3.2817008266180557e-31
1e-12,0.11224537203843848,0.0,0.0,0.0,0.0,0.99999999959497077,4.0243665727709293e-10,1.2962145664239083e-12,4.873430536212308e-17,1.2962151413610246e-12,3.5225585238124919e-17,1.0570963998694861e-17,2.0863711787034566e-32,7.4912957461618561e-31
1.6909933958278914e-12,0.11224537203843848,0.0,0.0,0.0,0.0,0.99999999931509842,6.8051768604368632e-10,2.1919117648697221e-12,1.259113152614423e-16,2.1919132511077689e-12,9.1010395665191626e-17,2.7311619011049415e-17,8.9225332559022285e-32,2.631807080717394e-30
2.5364902729259827e-12,0.11224537205765779,0.0,0.0,0.0,0.0,0.99999999897264713,1.0207765222090616e-09,3.287906760392049e-12,2.675615571001139e-16,3.2879099209137797e-12,1.9339873483197818e-16,5.8037695416463977e-17,3.4012271967837723e-31,7.5376031390261716e-30
4.227484027122166e-12,0.11224537209609636,0.0,0.0,0.0,0.0,0.99999999828774455,1.7012940050889413e-09,5.4799900605281157e-12,7.3972898451592268e-16,5.479998814592791e-12,5.3470225848571304e-16,1.6046073388952249e-16,2.7954702560041923e-30,3.4818184074412356e-29
5.749378405898731e-12,0.11224537213069105,0.0,0.0,0.0,0.0,0.99999999767133219,2.3137595865340976e-09,7.4529403983482756e-12,1.3172380882446847e-15,7.4529560058070756e-12,9.5216001258149828e-16,2.8573723905793638e-16,8.1512810229489813e-30,7.8644000878473858e-29
7.271272784675296e-12,0.11224537216528582,0.0,0.0,0.0,0.0,0.99999999705491893,2.9262250059203796e-09,9.4259705079298739e-12,2.0562271162353759e-15,9.4259949014155289e-12,1.4863567941823018e-15,4.4604649323640921e-16,1.8646583273989154e-29,1.4911113134776536e-28
8.79316716345186e-12,0.11224537219988052,0.0,0.0,0.0,0.0,0.99999999643850568,3.5386902722034914e-09,1.1399075967421616e-11,2.9477510164042277e-15,1.1399110978278975e-11,2.1308301017703588e-15,6.3944916488822346e-16,3.6866399377806196e-29,2.5005814339000769e-28
1e-11,0.11224537226907007,0.0,0.0,0.0,0.0,0.9999999959497019,4.0243633115998732e-09,1.2963751189468757e-11,3.737141727040419e-15,1.2963795613298436e-11,2.7014810051659733e-15,8.1069822680733138e-16,5.837165039642684e-29,3.5034869969305901e-28
1.183695592100499e-11,0.11224537226907007,0.0,0.0,0.0,0.0,0.99999999520567862,4.763620455347359e-09,1.5345458711222979e-11,5.078651706041277e-15,1.5345519149828577e-11,3.6712722720059453e-15,1.1017271161867957e-15,1.0308783077331366e-28,5.3737152314135759e-28
1.488074467855812e-11,0.1122453723382596,0.0,0.0,0.0,0.0,0.99999999397285055,5.9885500724404285e-09,1.9292119954096198e-11,7.7733831153179697e-15,1.9292212638467029e-11,5.6193762850938548e-15,1.6863425420215167e-15,2.3075672758121651e-28,9.8341739926783464e-28
1.792453343611125e-11,0.11224537240744921,0.0,0.0,0.0,0.0,0.99999999274002116,7.2134790851880957e-09,2.3239078566209701e-11,1.1070188378366308e-14,2.3239210816750907e-11,8.0028215905075112e-15,2.4016021307193747e-15,4.557794591390363e-28,1.6374879626724412e-27
2.4012110951217508e-11,0.1122453725458286,0.0,0.0,0.0,0.0,0.99999999027435882,9.6633352636583984e-09,3.1133904525826933e-11,1.9503945401809898e-14,3.1134138538710891e-11,1.4100451220461484e-14,4.2314720775840572e-15,1.4528971255046498e-27,3.8354424568915919e-27
3.009968846632377e-11,0.11224537268420814,0.0,0.0,0.0,0.0,0.99999998780869181,1.2113188987068488e-08,3.9029938232114308e-11,3.0383581067653145e-14,3.9030304331268524e-11,2.1967043951355756e-14,6.5922038404382211e-15,3.5010032919695927e-27,7.4711783605830338e-27
4.2274843496536285e-11,0.11224537296096787,0.0,0.0,0.0,0.0,0.99999998287734337,1.7012889063673785e-08,5.48256303140833e-11,5.9485357688197726e-14,5.4826353564211825e-11,4.3012046081096298e-14,1.290774217277232e-14,1.3926448789316089e-26,2.1177307767008321e-26
6.662515355696133e-11,0.11224537351448965,0.0,0.0,0.0,0.0,0.99999997301458998,2.6812259733989854e-08,8.6431507397842497e-11,1.4705994723365292e-13,8.6433329369262442e-11,1.0635907766874221e-13,3.1918118342156701e-14,9.0969054586088303e-26,8.9509372489999086e-26
9.999999999999999e-11,0.1122453746215428,0.0,0.0,0.0,0.0,0.99999995949645082,4.0243338651894649e-08,1.2978229404998478e-10,3.3071440456487495e-13,1.2978650927769789e-10,2.3926983174755424e-13,7.1805015609609033e-14,5.3116715622854011e-25,3.5021231214221757e-25
1.153257736778114e-10,0.1122453746215428,0.0,0.0,0.0,0.0,0.99999995328885549,4.6410883130786642e-08,1.4970118470930285e-10,4.396972900647074e-13,1.4970684268718626e-10,3.1815706654300549e-13,9.5479432570585101e-14,8.629355685694043e-25,5.3464304038206833e-25
1.6402639379866147e-10,0.11224537572860868,0.0,0.0,0.0,0.0,0.99999993356281713,6.6009349258910047e-08,2.1304802699945942e-10,8.8898502854702184e-13,2.1305983674194678e-10,6.4352140235339899e-13,1.9312401684186781e-13,3.246674313734153e-24,1.6220863705657747e-24
2.1272701391951155e-10,0.1122453768356873,0.0,0.0,0.0,0.0,0.99999991383647502,8.5607658103815771e-08,2.7647194245784243e-10,1.4949227319946243e-12,2.7649240254369354e-10,1.0825841588256492e-12,3.248927499169754e-13,8.6430521906239194e-24,3.722610257335162e-24
2.614276340403616e-10,0.11224537794277865,0.0,0.0,0.0,0.0,0.99999989410982892,1.0520580965088225e-07,3.3997283617031682e-10,2.2575095429647444e-12,3.4000463376636076e-10,1.6354814147453971e-12,4.9082784527090697e-13,1.8916544457799469e-23,7.2876181309363564e-24
3.5882887428206176e-10,0.1122453801569998,0.0,0.0,0.0,0.0,0.99999985465562446,1.4440164079789862e-07,4.6720520726520053e-10,4.2526266931507789e-12,4.6726843834927895e-10,3.0832826585625921e-12,9.2535377004281529e-13,6.3437461084221326e-23,2.0896016609042017e-23
4.562301145237619e-10,0.11224538237127213,0.0,0.0,0.0,0.0,0.99999981520020187,1.8359684258400413e-07,5.947443820124618e-10,6.8743282942523392e-12,5.9485199749512545e-10,4.9880127896528675e-12,1.4970409014252701e-12,1.5926011371113601e-22,4.7361265135702446e-23
5.536313547654621e-10,0.11224538458559584,0.0,0.0,0.0,0.0,0.99999977574355969,2.2279141488728307e-07,7.2258956534979494e-10,1.0122605575523853e-11,7.2275609423961388e-10,7.3508142141619338e-12,2.2062469819660725e-12,3.3601640946787599e-22,9.2965941733681846e-23
6.510325950071622e-10,0.11224538679997097,0.0,0.0,0.0,0.0,0.99999973628569738,2.6198535758699931e-07,8.5073997315834616e-10,1.3997449694243264e-11,8.5098150061659517e-10,1.0172816269445775e-11,3.0533276940782755e-12,6.3042468998209288e-22,1.6537296393604875e-22
8.458350754905625e-10,0.11224539122887606,0.0,0.0,0.0,0.0,0.99999965736630569,3.4037135371259988e-07,1.107953483544883e-09,2.3626804443883405e-11,1.1083991743717675e-09,1.7198732201979237e-11,5.1624845690003381e-12,1.7594057075818652e-21,4.3033060570428584e-22
9.999999999999999e-10,0.1122453952150678,0.0,0.0,0.0,0.0,0.99999959490674006,4.0240353731709062e-07,1.3123692753622134e-09,3.3023875465729814e-11,1.3130342240660273e-09,2.4069797543603311e-11,7.2253854634048164e-12,3.3744501882609973e-21,7.991850229195942e-22
1.0211573079256228e-09,0.1122453952150678,0.0,0.0,0.0,0.0,0.99999958633466568,4.1091659580962973e-07,1.340481982597264e-09,3.4435996605881534e-11,1.3411813702404835e-09,2.5103420030952613e-11,7.535727911355259e-12,3.6579143154045781e-21,8.6338853938489302e-22
