Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4)
3.0433229689682e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999989,1.2247448713915893e-16
8.52130431311096e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999956,3.4292856398964485e-16
1.947726700139648e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999911,7.8383671769061663e-16
4.138919237796752e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999822,1.6656530250925586e-15
8.52130431311096e-18,0.11224537200000019,0.0,0.0,0.0,0.0,0.99999999999999667,3.4292856398964401e-15
1.7286074463739374e-17,0.11224537200000038,0.0,0.0,0.0,0.0,0.99999999999999312,6.9565508695041864e-15
3.481561476499621e-17,0.11224537200000077,0.0,0.0,0.0,0.0,0.99999999999998601,1.4011081328719618e-14
6.987469536750987e-17,0.11224537200000156,0.0,0.0,0.0,0.0,0.9999999999999718,2.8120142247150226e-14
1.3999285657253718e-16,0.11224537200000316,0.0,0.0,0.0,0.0,0.99999999999994371,5.6338264084010461e-14
2.8022917898259186e-16,0.11224537200000632,0.0,0.0,0.0,0.0,0.99999999999988731,1.1277450775772696e-13
5.607018238027011e-16,0.11224537200001267,0.0,0.0,0.0,0.0,0.99999999999977429,2.2564699510514395e-13
1.1216471134429196e-15,0.11224537200002532,0.0,0.0,0.0,0.0,0.99999999999954858,4.5139196979991432e-13
2.2435376927233567e-15,0.11224537200005068,0.0,0.0,0.0,0.0,0.99999999999909706,9.0288191918920017e-13
4.487318851284231e-15,0.11224537200010135,0.0,0.0,0.0,0.0,0.99999999999819411,1.8058618179667528e-12
8.974881168405979e-15,0.11224537200020271,0.0,0.0,0.0,0.0,0.99999999999638811,3.6118216155177806e-12
1.7950005802649475e-14,0.11224537200040541,0.0,0.0,0.0,0.0,0.99999999999277622,7.2237412106035297e-12
3.5900255071136474e-14,0.11224537200081083,0.0,0.0,0.0,0.0,0.99999999998555233,1.4447580400709797e-11
7.180075360811047e-14,0.11224537200162167,0.0,0.0,0.0,0.0,0.99999999997110467,2.8895258780661404e-11
1.4360175068205844e-13,0.11224537200324336,0.0,0.0,0.0,0.0,0.99999999994220945,5.7790615539520872e-11
2.8720374482995443e-13,0.11224537200648674,0.0,0.0,0.0,0.0,0.99999999988441857,1.1558132905306446e-10
5.744077331257464e-13,0.11224537201297348,0.0,0.0,0.0,0.0,0.99999999976883724,2.31162756063448e-10
1e-12,0.11224537202594695,0.0,0.0,0.0,0.0,0.99999999959756325,4.0243670601465723e-10
1.1488157097173304e-12,0.11224537202594695,0.0,0.0,0.0,0.0,0.99999999953767449,4.6232561001738111e-10
2.297631662900498e-12,0.1122453720518939,0.0,0.0,0.0,0.0,0.99999999907534876,9.246513176577563e-10
4.595263569266833e-12,0.11224537210378784,0.0,0.0,0.0,0.0,0.99999999815069729,1.8493027318673048e-09
