Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535),C5H7(806),C5H8(470),C7H9(588)
6.917488574504694e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999967,2.7838533020918281e-16,8.9663936637466068e-19,3.1605991779006374e-29,8.9663936637503315e-19,2.2844677815517567e-29,6.8555363990329202e-30,7.031978656971585e-57,4.7062039849627138e-49,2.9420962683809175e-59,2.0457274523378426e-86,3.3908812139045863e-89,1.5509881939411654e-97,1.4771376729417256e-99,3.3294582784248161e-100,2.920786716768294e-67,1.2130997875617514e-68,2.9311205696479147e-96,1.0255667915385413e-87,1.6317783832157065e-84,9.5193731290917937e-98,1.9521676215302976e-113,-5.0045801913735876e-184,-5.5780147330150124e-155,-2.1375327106464016e-163,-3.6471448431011385e-140,0.0
1.9368968008613143e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999922,7.7947892458560919e-16,2.5105902258996473e-18,1.9090019034517994e-28,2.5105902259018964e-18,1.3798185400804659e-28,4.1407439850871755e-29,2.2109666004255077e-55,5.5872053905020087e-48,6.5813516905213119e-58,2.3132213799214402e-84,2.6165558643865401e-87,2.1697694516187046e-95,2.0664574378859983e-97,4.6577810985984176e-98,1.682223622766703e-65,6.9868336651482723e-67,5.9738202488610091e-94,1.073468872791117e-85,1.7079952454531887e-82,1.8030398631657877e-95,7.1740346323309204e-111,9.757849411542161e-181,1.0416846291426461e-151,7.1831122466548356e-160,3.5375029520767377e-137,3.4745976700715633e-220
4.4271926876830044e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999822,1.781666113338051e-15,5.7384919451520112e-18,9.1910224093322584e-28,5.738491945162838e-18,6.6432323091005834e-28,1.9935899849457125e-28,4.9325448555499598e-54,5.4855514232902567e-47,1.300364197805339e-56,2.0930514334868705e-82,2.851650570009198e-85,4.7173229726961334e-93,4.492720241209873e-95,1.0126561034791543e-95,7.5437968012121453e-64,3.1331894670425431e-65,1.0813706874740143e-91,9.6431357642360683e-84,1.5343183091619528e-80,3.2403243192193419e-93,2.5971273842153108e-108,1.6353990279817655e-176,4.3361701012959459e-148,5.9826563846144001e-156,7.3042026071843586e-134,4.3569072304463115e-215
9.407784461326383e-18,0.11224537200000022,0.0,0.0,0.0,0.0,0.99999999999999611,3.7860404908412912e-15,1.21942953844663e-17,4.0139609559309194e-27,1.2194295384513581e-17,2.9012740829304076e-27,8.7065312278768503e-28,9.2381106007201406e-53,4.8519081812329804e-46,2.3139286437689421e-55,1.5858040178755719e-80,2.3328272166728557e-83,7.7297675665402396e-91,7.3617655985809403e-93,1.6593369835564759e-93,2.838164895367621e-62,1.1787841821751428e-63,1.6400238731693744e-89,7.2716360594434692e-82,1.1569891622610899e-78,4.8920978461857174e-91,7.8814420263688371e-106,1.9585226417513045e-172,1.2274016174489222e-144,3.3871075759269965e-152,1.0288187125218279e-130,5.530238991076919e-210
1.936896800861314e-17,0.11224537200000047,0.0,0.0,0.0,0.0,0.99999999999999212,7.7947892458411962e-15,2.5105902266333124e-17,1.6757496841203154e-26,2.5105902266530512e-17,1.2112248181024506e-26,3.6348053997617911e-27,1.595653864326784e-51,4.0783212920343495e-45,3.9027789763609061e-54,1.1024580620323457e-78,1.678952677316786e-81,1.1135644216962735e-88,1.0605581050562394e-90,2.3904907886932848e-91,9.8276639066172311e-61,4.0817553478226855e-62,2.2814013887460526e-87,5.0418082043296953e-80,8.0220140193506199e-77,6.78788461769855e-89,2.1933245378557936e-103,1.9347981805036847e-168,2.9348577350398862e-141,1.6198448620205782e-148,1.2266382372834266e-127,4.9633196914888735e-205
3.9291335103186655e-17,0.1122453720000009,0.0,0.0,0.0,0.0,0.99999999999998412,1.5812286755814714e-14,5.0929116043019756e-17,6.8459842432778595e-26,5.092911604382615e-17,4.9482485962931057e-26,1.4849366070181686e-26,2.6512027394591288e-50,3.343654387694583e-44,6.4103265417844187e-53,7.3504965391159876e-77,1.1380487763801182e-79,1.5102523517263042e-86,1.4383871048369892e-88,3.2421147941929183e-89,3.2697256595595837e-59,1.3580257000136264e-60,3.042950062759933e-85,3.3569152963541561e-78,5.3411817754945311e-75,9.0416931483892627e-87,5.8517544935701224e-101,1.7386632693965916e-164,6.4841313487343693e-138,7.1577344379664213e-145,1.3529996894025988e-124,3.788911957503759e-200
7.91360692923337e-17,0.11224537200000177,0.0,0.0,0.0,0.0,0.99999999999996825,3.1847281775656562e-14,1.0257554364820497e-16,2.7672562889944191e-25,1.0257554365146453e-16,2.0001611994565573e-25,6.0023511900269529e-26,4.322129525405458e-49,2.7077783220935739e-43,1.039141671095476e-51,4.8010360123245414e-75,7.4934239357875663e-78,1.9892088124516574e-84,1.8946147487742526e-86,4.2704488117703692e-87,1.0667497076093305e-57,4.4305659278969352e-59,3.9755601573838779e-83,2.1910632569222662e-76,3.4861947975521904e-73,1.1804853937141819e-84,1.5291502163522277e-98,1.4913100233401353e-160,1.37873250099256e-134,3.0439499321196941e-141,1.4371424928987761e-121,2.6769281100045604e-195
1.5882553767062778e-16,0.11224537200000363,0.0,0.0,0.0,0.0,0.99999999999993572,6.3917271814919517e-14,2.0586839906582298e-16,1.1127015829619261e-24,2.0586839907892958e-16,8.0425602219505552e-25,2.4135190170432775e-25,6.9802505058643671e-48,2.1794560621773294e-42,1.6735059957839286e-50,3.1040004839048027e-73,4.8640452108755378e-76,2.5825412818119963e-82,2.4598938575607424e-84,5.5445840898767864e-85,3.4466698068799009e-56,1.4315164587284007e-57,5.1409454977487508e-81,1.4160854947488112e-74,2.2531272839811602e-71,1.5260130893095609e-82,3.9549429060452622e-96,1.249980165729937e-156,2.8768514726402211e-131,1.2703009689262696e-137,1.4982309305949474e-118,1.8210315237160089e-190
3.182044744272159e-16,0.11224537200000727,0.0,0.0,0.0,0.0,0.99999999999987099,1.2805725189176245e-13,4.1245411073004967e-16,4.4624310155643876e-24,4.1245411078261315e-16,3.2254263686960928e-24,9.6792907538309783e-25,1.1220548106290268e-46,1.7488770304371319e-41,2.6863489349595062e-49,1.9966510668509477e-71,3.1350045292413572e-74,3.328778400584956e-80,3.1711083961579415e-82,7.147656831141689e-83,1.1082554607227497e-54,4.6029529532360716e-56,6.6140489169628684e-79,9.1073955798664733e-73,1.4490704120825041e-69,1.9629490040276083e-80,1.017659173099049e-93,1.0357466699633484e-152,5.9468997635286366e-128,5.2518255899461199e-134,1.5470292620717152e-115,1.2158143164463121e-185
6.369623479403922e-16,0.1122453720000145,0.0,0.0,0.0,0.0,0.99999999999974187,2.5633721203871655e-13,8.2562553737446588e-16,1.7872999978366204e-23,8.2562553758499442e-16,1.2918529268638605e-23,3.8767650109842461e-24,1.7994702673255436e-45,1.4012311005132309e-40,4.3051666201376369e-48,1.2810963238787098e-69,2.0134755704853588e-72,4.2748509494229279e-78,4.0734404463170055e-80,9.1815071301096889e-81,3.5549549005792213e-53,1.4764907549854015e-54,8.4875839299190365e-77,5.8430170350223179e-71,9.2967363029031541e-68,2.518772135910532e-78,2.6118781240260064e-91,8.5332548321442852e-149,1.2235992206154572e-124,2.1611672680161289e-130,1.5888691738414653e-112,8.0421646884990713e-181
1.2744780949667449e-15,0.11224537200002896,0.0,0.0,0.0,0.0,0.99999999999948397,5.1289713230569756e-13,1.6519684039271498e-15,7.153857829185276e-23,1.6519684047698135e-15,5.170778420773729e-23,1.5517163330848915e-23,2.8825023213862848e-44,1.1218389361623737e-39,6.8938879879043689e-47,8.2094070408946657e-68,1.2908916351802506e-70,5.4786323084880688e-76,5.2232503557572626e-78,1.1773170798845525e-78,1.1389532646426709e-51,4.7304504860574677e-53,1.0877966740544439e-74,3.7441327206890521e-69,5.9571802201782599e-66,3.2280049286533286e-76,6.6949679738398568e-89,7.0101303805747592e-145,2.51175316427389e-121,8.8726723047627849e-127,1.6255482220399827e-109,5.2949321720449178e-176
2.5495095890194498e-15,0.11224537200005798,0.0,0.0,0.0,0.0,0.99999999999896727,1.0260169727319505e-12,3.3046541900879187e-15,2.8624749645031987e-22,3.3046541934596759e-15,2.0689849313440425e-22,6.2088866530731112e-23,4.6146836188193556e-43,8.978153755364805e-39,1.1034749379762547e-45,5.2573579063590932e-66,8.2689627868628272e-69,7.0114881015408484e-74,6.6916792954069304e-76,1.5082999478030529e-76,3.6468389434064569e-50,1.5146528371470981e-51,1.3932707135512627e-72,2.3977497590860104e-67,3.8149218633331549e-64,4.1344044692905135e-74,1.7150124823016599e-86,5.7504174496560849e-141,5.1500203343995066e-118,3.6384185060746799e-123,1.655968640305387e-106,3.4780558044624325e-171
5.0995725771248604e-15,0.11224537200011594,0.0,0.0,0.0,0.0,0.99999999999793432,2.0522566531536201e-12,6.6100259746310519e-15,1.1451763787329307e-21,6.610025988120317e-15,8.2772872711453582e-22,2.48395905295135e-22,7.3856327610754605e-42,7.1839395393359573e-38,1.7659316361819829e-44,3.3657900512588059e-64,5.2944516130049603e-67,8.959847818500604e-72,8.5691270030101292e-74,1.9314753367700532e-74,1.1673378771660344e-48,4.8483385648030457e-50,1.7839653575012403e-70,1.5350814611014602e-65,2.4422931607273018e-62,5.2937043843726209e-72,4.3918625829399032e-84,4.7133150191099795e-137,1.0553255319479021e-114,1.491119404283225e-119,1.6755841240417372e-103,2.2819194670274969e-166
1.0199698553335682e-14,0.1122453720002319,0.0,0.0,0.0,0.0,0.99999999999586853,4.1047360122736157e-12,1.3220770392603583e-14,4.5810783258784607e-21,1.3220770446565373e-14,3.311184619045322e-21,9.9366456127473031e-22,1.1818705777267363e-40,5.7477812432061466e-37,2.8258179874203601e-43,2.1544677597039044e-62,3.3891805515422994e-65,1.1423225531275332e-69,1.0970869877596061e-71,2.4728264187185118e-72,3.7360348197590878e-47,1.5516971533910717e-48,2.2838676951351641e-68,9.8267015571576031e-64,1.563303445718938e-60,6.7770823012580677e-70,1.1245108335464146e-81,3.8612333515917422e-133,2.1618885809809434e-111,6.1090507528873322e-116,1.674648110123549e-100,1.4962144529916287e-161
2.039995050575732e-14,0.11224537200046374,0.0,0.0,0.0,0.0,0.99999999999173739,8.2096947236202294e-12,2.644226262409283e-14,1.8325058940231576e-20,2.6442262839951477e-14,1.3245279374495314e-20,3.9748205789750112e-21,1.8911226128980682e-39,4.5985775539439588e-36,4.521666514953328e-42,1.378995921339221e-60,2.1692981672679327e-63,1.450218694418647e-67,1.4044167498120168e-69,3.16554527414265e-70,1.1956161762414729e-45,4.9657768896869772e-47,2.923656631701262e-66,6.2904404799645406e-62,1.0005870717118245e-58,8.6755844576591266e-68,2.8790516770662091e-79,3.1615721331373899e-129,4.4280040069893969e-108,2.5023455927922111e-112,1.6357182094706047e-97,9.8067269475350213e-157
4.0800454410600606e-14,0.11224537200092745,0.0,0.0,0.0,0.0,0.99999999998347466,1.6419612118739957e-11,5.2885260669240843e-14,7.3301726967112605e-20,5.2885261532714674e-14,5.2982210977394154e-20,1.5899610572845038e-20,3.0258814034971173e-38,3.679164193894798e-35,7.235259257785263e-41,8.826275380344298e-59,1.3884093075427036e-61,1.8261231853989672e-65,1.7977300803106748e-67,4.0520699691593775e-68,3.8260850920058907e-44,1.5890910814919619e-45,3.742617261398042e-64,4.0271512047813261e-60,6.4039571147414806e-57,1.1105820212810769e-65,7.3710459417669639e-77,2.5867337616176455e-125,9.068447098239732e-105,1.0248018754537865e-108,1.53320440392627e-94,6.4256422536216083e-152
8.160146222028718e-14,0.1122453720018549,0.0,0.0,0.0,0.0,0.9999999999669491,3.2839446798685387e-11,1.0577131108815768e-13,2.9320988955698626e-19,1.0577131454226155e-13,2.1193112419626271e-19,6.3599127478529246e-20,4.8414191235064017e-37,2.9437100147374225e-34,1.1577870327827733e-39,5.6493792463356736e-57,8.8858906011656122e-60,2.2637088766415308e-63,2.3011136656635092e-65,5.1866908872399064e-66,1.2243508140248383e-42,5.0850769602102559e-44,4.7911264093548231e-62,2.5788540342807992e-58,4.098553850530996e-55,1.4217374653529689e-63,1.8872196897856332e-74,2.1135064627409286e-121,1.8569729708571281e-101,4.1958311011124742e-105,1.3426277273133562e-91,4.20851452817411e-147
1.632034778396603e-13,0.11224537200370988,0.0,0.0,0.0,0.0,0.99999999993389765,6.5679115717400083e-11,2.1154362924001606e-13,1.1728455156284804e-18,2.1154364305788887e-13,8.4772980384550929e-19,2.5439810963461189e-19,7.7460879447214584e-36,2.3555319520165974e-33,1.8528896910747388e-38,3.6162161340182945e-55,5.6869515100274221e-58,2.7255241676006879e-61,2.9454165618824547e-63,6.6389394296059903e-64,3.9178352361602832e-41,1.6271695326879711e-42,6.1339341290228548e-60,1.65231020140825e-56,2.6230266799238108e-53,1.8202642076366445e-61,4.8323251848721496e-72,1.7222596532203477e-117,3.8018718398283444e-98,1.7170812632920119e-101,1.0660995692838296e-88,2.7544319246360721e-142
3.2640750907840657e-13,0.11224537200741969,0.0,0.0,0.0,0.0,0.99999999986779553,1.3135845179012451e-10,4.2308913479616491e-13,4.6913939293168844e-18,4.2308919007889273e-13,3.3909358012418041e-18,1.0175974727156568e-18,1.2392987382693411e-34,1.8853110937984066e-32,2.9659726390556343e-37,2.3151290143386928e-53,4.8097593229456588e-56,4.1139102508317226e-59,4.9727249294345316e-61,1.1208455874814635e-61,1.2536337108740627e-39,5.206516613801249e-41,7.8546262569168236e-58,1.0598229840356566e-54,1.6786518969850249e-51,2.3310315107042356e-59,1.2375905366927247e-69,7.3786786283675013e-113,1.2360879478548724e-94,1.1151565321428492e-97,1.1886890024085772e-85,5.203750174445145e-136
