Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32)
4.81186276951039e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999978,1.9364715844252533e-16,6.2370951956216164e-19,1.5293221828862212e-29,6.2370951956234181e-19,1.1053876362512881e-29,3.3171934100859065e-30,1.6464049929129976e-57,1.5840361726538508e-49,6.8883627470235281e-60,2.1471807906668528e-87
1.3473215754629092e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999944,5.4221204363902129e-16,1.7463866547985351e-18,9.2371059846321532e-29,1.7463866547996232e-18,6.6765413230358847e-29,2.0035848197158834e-29,5.1765607210429128e-56,1.8805677487529157e-48,1.5408991966418143e-58,2.4422632275294783e-85
3.0795921724866496e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999867,1.2393418140318143e-15,3.9917409253692133e-18,4.4472689078321918e-28,3.9917409253744518e-18,3.2144672463359015e-28,9.6463984368897567e-29,1.1548622199107575e-54,1.8463525765227333e-47,3.0445571635312005e-57,2.2109716260568714e-83
6.5441333665341306e-18,0.11224537200000015,0.0,0.0,0.0,0.0,0.99999999999999734,2.6336013548166046e-15,8.4824494669022916e-18,1.9422391722645283e-27,8.4824494669251701e-18,1.4038422981601973e-27,4.2128356311810407e-28,2.1629291240582915e-53,1.633077960864686e-46,5.4176268545010174e-56,1.6757197486339779e-81
1.3473215754629093e-17,0.1122453720000003,0.0,0.0,0.0,0.0,0.99999999999999456,5.4221204363830062e-15,1.7463866551535343e-17,8.1084662136539872e-27,1.7463866551630854e-17,5.8607652484938855e-27,1.7587759463622936e-27,3.7359221697993696e-52,1.3727004536671212e-45,9.1376197225469649e-55,1.165191632138248e-79
2.7331380530819015e-17,0.11224537200000062,0.0,0.0,0.0,0.0,0.9999999999999889,1.0999158599503083e-14,3.5426700727069017e-17,3.3125730210114549e-26,3.5426700727459214e-17,2.3943138365482314e-26,7.1851736168166606e-27,6.2072905289078336e-51,1.1254228116311344e-44,1.5008568409048908e-53,7.7695363802627557e-78
5.504771008319886e-17,0.11224537200000123,0.0,0.0,0.0,0.0,0.99999999999997791,2.2153234925692348e-14,7.1352369103206661e-17,1.3389949785755647e-25,7.1352369104783889e-17,9.678199349033666e-26,2.9043620581452426e-26,1.0119450098141068e-49,9.1139664372577223e-44,2.4329538022229749e-52,5.0749900396324089e-76
1.1048036918795856e-16,0.11224537200000252,0.0,0.0,0.0,0.0,0.99999999999995515,4.446138757786728e-14,1.4320370595576298e-16,5.3840399176887655e-25,1.4320370596210505e-16,3.8915613950830103e-25,1.1678312106853648e-25,1.6342938605531312e-48,7.3357142498864455e-43,3.918197696372327e-51,3.2812017997235291e-74
2.2134568739747794e-16,0.112245372000005,0.0,0.0,0.0,0.0,0.99999999999991052,8.9077692881402831e-14,2.8690638006200015e-16,2.1592408140440903e-24,2.8690638008743465e-16,1.5606901762552221e-24,4.6835254877719084e-25,2.6270795422700495e-47,5.8864505664920938e-42,6.2895769842232718e-50,2.1106624321402848e-72
4.430763238165167e-16,0.1122453720000101,0.0,0.0,0.0,0.0,0.99999999999982037,1.7831030348521653e-13,5.7431172987897202e-16,8.648225796299426e-24,5.7431172998084255e-16,6.2509012416967733e-24,1.8758531151583303e-24,4.2131201603252145e-46,4.7163266318563872e-41,1.0079729128565206e-48,1.3542569001736865e-70
8.865375966545943e-16,0.11224537200002015,0.0,0.0,0.0,0.0,0.99999999999964106,3.5677552467981483e-13,1.1491224359309075e-15,3.4615441110786719e-23,1.1491224363386553e-15,2.5019895445200698e-23,7.5083011239830341e-24,6.7488360214114074e-45,3.7759338272475281e-40,1.6140719358204611e-47,8.6782524495848385e-69
1.7734601423307493e-15,0.11224537200004031,0.0,0.0,0.0,0.0,0.9999999999992818,7.1370596701689394e-13,2.2987438737067419e-15,1.385068531329234e-22,2.2987438753382648e-15,1.0011217298133154e-22,3.0042984903538915e-23,1.0804414113710245e-43,3.0219023173025179e-39,2.5835726044461288e-46,5.5576144025923746e-67
3.5473052336830596e-15,0.11224537200008065,0.0,0.0,0.0,0.0,0.99999999999856304,1.4275668514825829e-12,4.5979868519462604e-15,5.5411760269589073e-22,4.5979868584734289e-15,4.0051389127920247e-22,1.2019150557153092e-22,1.729207694316077e-42,2.4179932641983583e-38,4.1345776231681105e-45,3.55801370182519e-65
7.09499541638768e-15,0.11224537200016126,0.0,0.0,0.0,0.0,0.99999999999712652,2.8552886195800861e-12,9.1964732191766662e-15,2.2166508034649673e-21,9.1964732452875788e-15,1.6021860344503158e-21,4.8080517583307257e-22,2.7671308157520924e-41,1.9345979312019487e-37,6.6160622158876295e-44,2.277506005375154e-63
1.419037578179692e-14,0.11224537200032257,0.0,0.0,0.0,0.0,0.99999999999425249,5.7107321524395849e-12,1.8393447596642629e-14,8.8669640081225984e-21,1.8393447701091445e-14,6.409005576477422e-21,1.9232991639786987e-21,4.4277194637575459e-40,1.5477832545420181e-36,1.0586446058285061e-42,1.4577402006134609e-61
2.8381136512615402e-14,0.11224537200064515,0.0,0.0,0.0,0.0,0.99999999998850475,1.1421619204816566e-11,3.6787402923592757e-14,3.5468577602291109e-20,3.6787403341403823e-14,2.5636549118337034e-20,7.693354786123011e-21,7.0845715303146229e-39,1.2383062925710692e-35,1.6939410322208552e-41,9.3301737100713703e-60
5.6762657974252366e-14,0.11224537200129027,0.0,0.0,0.0,0.0,0.99999999997700972,2.284339325620246e-11,7.3575339865546617e-14,1.4187575330904389e-19,7.3575341536866218e-14,1.0254728151378491e-19,3.077374505673291e-20,1.1335401967962021e-37,9.9073726860532651e-35,2.7105531918327065e-40,5.9717709074107953e-58
1.135257008975263e-13,0.11224537200258061,0.0,0.0,0.0,0.0,0.99999999995401867,4.5686941145501914e-11,1.4715131890151422e-13,5.6750589702823376e-19,1.4715132558729351e-13,4.1019154739532821e-19,1.230957092466054e-19,1.8136429031307332e-36,7.9272328253362627e-34,4.3375945279304997e-39,3.8224082449440465e-56
2.2705178674407415e-13,0.11224537200516119,0.0,0.0,0.0,0.0,0.99999999990803745,9.1374036070211446e-11,2.9430369758045494e-13,2.270029339545529e-18,2.9430372432737478e-13,1.6407730422657098e-18,4.9238491256942968e-19,2.9017205898452801e-35,6.3438653019676313e-33,6.9423552148128989e-38,2.4469126694909865e-54
4.5410395843716986e-13,0.11224537201032239,0.0,0.0,0.0,0.0,0.99999999981607457,1.8274822250407183e-10,5.8861013735648329e-13,9.0801287317452557e-18,5.8861024437417663e-13,6.5631219543107142e-18,1.969548741799562e-18,4.6423756022318165e-34,5.0783961004600213e-32,1.1114768040617018e-36,1.5667436849083976e-52
9.082083018233613e-13,0.11224537202064479,0.0,0.0,0.0,0.0,0.99999999963214892,3.6549658170954921e-10,1.1772297465021305e-12,3.6320536639602007e-17,1.1772301748121946e-12,2.6252676025296934e-17,7.8782526734858727e-18,7.4265684861481225e-33,4.0679939109639953e-31,1.7805985070161508e-35,1.0036328125343252e-50
1e-12,0.11224537204128955,0.0,0.0,0.0,0.0,0.99999999959497043,4.0243694567961665e-10,1.2962147985327251e-12,4.7333175677556895e-17,1.2962153569026421e-12,3.4212809264822002e-17,1.0267036467805843e-17,1.8681496156543774e-32,6.9545584997663352e-31,4.4872735490132098e-35,7.4059446989174791e-50
1.816416988595744e-12,0.11224537204128955,0.0,0.0,0.0,0.0,0.99999999926429772,7.3099324547146137e-10,2.3544958825358344e-12,1.4528218170753385e-16,2.3544975976887196e-12,1.050121095951497e-16,3.151344229911958e-17,1.1878547436332089e-31,3.2628343987520232e-30,2.8561079027975975e-34,6.4349614913100049e-49
2.724625675368127e-12,0.11224537206193441,0.0,0.0,0.0,0.0,0.99999999889644609,1.0964898545506233e-09,3.5317889355717338e-12,3.0872464907083399e-16,3.5317925830799654e-12,2.2315276900802194e-16,6.6966690356764352e-17,4.5279974722516335e-31,9.3457798599428924e-30,1.05268764710818e-33,3.591191591669607e-48
4.541043048912893e-12,0.11224537210322404,0.0,0.0,0.0,0.0,0.99999999816074259,1.8274828541118406e-09,5.8864827050304138e-12,8.5353281508660753e-16,5.8864928093363996e-12,6.1696619424990189e-16,1.8514763371365458e-16,3.7214171464693907e-30,4.3183625020829153e-29,8.1414827721928851e-33,9.3750055137948852e-47
6.150284407132149e-12,0.11224537213980429,0.0,0.0,0.0,0.0,0.99999999750895119,2.4751004522687335e-09,7.9726901932850267e-12,1.5066225399810811e-15,7.9727080518512209e-12,1.0890609366198784e-15,3.2682038353262872e-16,1.0647429452170037e-29,9.6200705320130831e-29,2.204295708488672e-32,3.8992294374773893e-46
7.759525765351404e-12,0.11224537217638457,0.0,0.0,0.0,0.0,0.99999999685715957,3.1227178677217328e-09,1.0058987616029385e-11,2.3417667992094371e-15,1.0059015410180408e-11,1.6927705217482694e-15,5.0799004663285194e-16,2.4194224239727791e-29,1.8143981911433975e-28,4.9505037603903815e-32,1.1604254697776418e-45
9.36876712357066e-12,0.11224537221296489,0.0,0.0,0.0,0.0,0.99999999620536761,3.7703351121585344e-09,1.2145369202993942e-11,3.347291865755534e-15,1.2145408980948559e-11,2.4196604073579387e-15,7.2612549717272394e-16,4.758674521911344e-29,3.0310336030808303e-28,9.4952526865947312e-32,2.9626920199076608e-45
1e-11,0.11224537228612551,0.0,0.0,0.0,0.0,0.99999999594969891,4.0243661417282802e-09,1.2963780102248462e-11,3.7769602351438919e-15,1.2963825006385583e-11,2.7302697911358849e-15,8.1933760500570618e-16,6.0182921873742874e-29,3.6006127226403989e-28,1.1815441832304567e-31,4.2235499589749271e-45
1.2587249840009171e-11,0.11224537228612551,0.0,0.0,0.0,0.0,0.99999999490178271,5.0655692120424284e-09,1.6318323652160562e-11,5.7455784781166215e-15,1.6318392072268431e-11,4.153414751571723e-15,1.2464154585812055e-15,1.3194981047755577e-28,6.4788952305938556e-28,2.4489936395480137e-31,1.2652822904514376e-44
1.5805732556447684e-11,0.11224537235928612,0.0,0.0,0.0,0.0,0.99999999359819702,6.3608026786800722e-09,2.0491589654379094e-11,8.7746276413947502e-15,2.0491694356780974e-11,6.343233318859355e-15,1.9035682972240953e-15,2.9414950338348207e-28,1.1822867843270544e-27,5.1919533443545703e-31,3.732034106439372e-44
1.9024215272886195e-11,0.11224537243244684,0.0,0.0,0.0,0.0,0.99999999229460967,7.6560354698483905e-09,2.4665188013401e-11,1.2476605337363365e-14,2.4665337196257112e-11,9.0196377795127391e-15,2.7067436827777023e-15,5.7941552462761351e-28,1.9648787080274262e-27,9.8470343783138826e-31,9.4875590591271966e-44
2.5461180705763218e-11,0.11224537257876843,0.0,0.0,0.0,0.0,0.99999998968743165,1.0246498988044676e-08,3.3013400251432968e-11,2.1937006346700716e-14,3.3013663749606011e-11,1.585965326938842e-14,4.7594010095263764e-15,1.8374342972034611e-27,4.5891475526306995e-27,3.0110573371368649e-30,5.6168205917804172e-43
3.1898146138640243e-11,0.11224537272509028,0.0,0.0,0.0,0.0,0.99999998708024773,1.2836959761684453e-08,4.1362962595776872e-11,3.4131690332462867e-14,4.1363374410797404e-11,2.4677291738426513e-14,7.405539061950656e-15,4.4157871429697511e-27,8.9264856937435918e-27,7.1483575795839005e-30,1.9979207909792672e-42
4.477207700439429e-11,0.11224537301773453,0.0,0.0,0.0,0.0,0.99999998186586458,1.8017873068563336e-08,5.8066139677683459e-11,6.6730442451625474e-14,5.8066952512973954e-11,4.8251826023627699e-14,1.4480187152627252e-14,1.7510495233486145e-26,2.5274679879422917e-26,2.8806844249405239e-29,1.7318028513069097e-41
7.051993873590238e-11,0.11224537360302586,0.0,0.0,0.0,0.0,0.9999999714370339,2.8379666718139271e-08,9.1488696693775595e-11,1.647668564232004e-13,9.1490743900616604e-11,1.191695877624702e-13,3.5762556130641984e-14,1.1405796554685702e-25,1.0685309190247824e-25,2.0305551361378664e-28,3.4429979975749368e-40
9.999999999999999e-11,0.11224537477361898,0.0,0.0,0.0,0.0,0.99999995949642162,4.0243367284710888e-08,1.2978241902062339e-10,3.3078139021984364e-13,1.2978663616708014e-10,2.393190669232884e-13,7.1819798586048706e-14,5.4071220122968201e-25,3.5153945028418156e-25,1.0958960216886265e-27,5.4142100963809225e-39
1.2201566219891856e-10,0.11224537477361898,0.0,0.0,0.0,0.0,0.99999995057911928,4.9103122145341456e-08,1.5839856512866108e-10,4.9220080457505168e-13,1.5840492965706341e-10,3.5617003546055001e-13,1.0688736897390024e-13,1.0794555490110494e-24,6.3961389664769498e-25,2.2454580506636921e-27,1.247005602636825e-38
1.7351138566193474e-10,0.11224537594422643,0.0,0.0,0.0,0.0,0.9999999297208646,6.9826401731148866e-08,2.2539469492485244e-10,9.9478237295413222e-13,2.2540799637826334e-10,7.2016871594937296e-13,2.16126802773843e-13,4.0575799233893003e-24,1.9440813027806747e-24,8.9578517161199637e-27,7.8675849510485812e-38
