Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50)
5.122619097780635e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999978,2.0615314267774982e-16,6.6398948794300497e-19,1.7332318072710423e-29,6.6398948794320912e-19,1.2527726544191064e-29,3.7594858647670371e-30,2.1147157464057188e-57,1.9111799839138823e-49,8.8477192625679732e-60,3.1256590284427656e-87,5.5920913816966441e-90,1.894148033150614e-98
1.434333347378578e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999944,5.7722879949764325e-16,1.8591705662681612e-18,1.0468720115916344e-28,1.8591705662693942e-18,7.5667468327856395e-29,2.2707294623482428e-29,6.649004659202896e-56,2.2689528827830871e-48,1.9791994130596578e-58,3.5552116262960965e-85,4.3151082460364838e-88,2.6498367497768772e-96
3.2784762225796067e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999867,1.3193801131372047e-15,4.2495327230294606e-18,5.040238095543057e-28,4.2495327230353971e-18,3.6430628791921143e-28,1.0932584895176823e-28,1.4833563623420985e-54,2.2276714068178878e-47,3.9105645366663545e-57,3.2185195860867488e-83,4.7028160428497616e-86,5.7610463702539047e-94
6.966761972981664e-18,0.11224537200000015,0.0,0.0,0.0,0.0,0.99999999999999722,2.8036827404154265e-15,9.0302570369960155e-18,2.2012043952330511e-27,9.0302570370219416e-18,1.5910212712583295e-27,4.7745470487028931e-28,2.778162296668389e-53,1.9703501525726626e-46,6.9586407235260864e-56,2.439351446506821e-81,3.8471955112003054e-84,9.4400144263948485e-92
1.4343333473785777e-17,0.11224537200000033,0.0,0.0,0.0,0.0,0.99999999999999423,5.772287994968265e-15,1.8591705666704936e-17,9.1895950421405047e-27,1.8591705666813182e-17,6.6422006150446807e-27,1.9932794059033636e-27,4.7985844742989269e-52,1.6561980607175937e-45,1.1736764916436943e-54,1.6961737773842292e-79,2.7688545351898754e-82,1.3599486089021254e-89
2.9096476475394004e-17,0.11224537200000066,0.0,0.0,0.0,0.0,0.99999999999998834,1.1709498504059521e-14,3.7714602933226032e-17,3.7542494238124219e-26,3.771460293366825e-17,2.7135556814909716e-26,8.1431967659395138e-27,7.9729198296626687e-51,1.3578512907945813e-44,1.9277672406455071e-53,1.1310142924916721e-77,1.8768197418388751e-80,1.8444144900263221e-87
5.860276247861046e-17,0.11224537200000133,0.0,0.0,0.0,0.0,0.99999999999997635,2.358391952218435e-14,7.5960397494681175e-17,1.5175276423851849e-25,7.5960397496468722e-17,1.09686259294688e-25,3.2916103327378807e-26,1.2997871442276528e-49,1.0996232728357922e-43,3.1249940256515798e-52,7.3876818497941839e-76,1.2357823670948833e-78,2.4293667777286695e-85
1.1761533448504336e-16,0.1122453720000027,0.0,0.0,0.0,0.0,0.99999999999995215,4.7332761558203272e-14,1.5245198673124337e-16,6.1019119067102769e-25,1.5245198673843097e-16,4.4104362482146856e-25,1.323542038916211e-25,2.0991596642477923e-48,8.8507262455296854e-43,5.0327073628468763e-51,4.7764576810737998e-74,8.0215686014766029e-77,3.1540414965965586e-83
2.3564047849790918e-16,0.11224537200000534,0.0,0.0,0.0,0.0,0.99999999999990474,9.4830445629318243e-14,3.0543516565897562e-16,2.4471395892470377e-24,3.0543516568780129e-16,1.768782200120177e-24,5.3079955539272803e-25,3.3743377054032479e-47,7.1021528122450056e-42,8.0786125352536831e-50,3.0724992081968388e-72,5.1701112429552475e-75,4.0655550545456178e-81
4.716907665236409e-16,0.11224537200001072,0.0,0.0,0.0,0.0,0.99999999999980893,1.8982581376785648e-13,6.1140152533287066e-16,9.8013225691158752e-24,6.1140152544832381e-16,7.0843547435081847e-24,2.1259668647427655e-24,5.4115187266764354e-46,5.6903686604623065e-41,1.2946853107044303e-48,1.9713968989867557e-70,3.320535379889666e-73,5.2213834819204176e-79
