Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40)
6.086578455927461e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999978,2.4494643323914868e-16,7.8893707206084251e-19,2.4469154926179072e-29,7.8893707206113102e-19,1.768620218007737e-29,5.3075094561548916e-30,4.2147967813127963e-57,3.2058638103182664e-49,1.7634208639211188e-59,9.4928456008206171e-87,1.5734799752429112e-89,6.3325987268143671e-98,6.0310703239441404e-100,1.359399153218912e-100,1.5403652572177886e-67,6.3976488102124511e-69,1.1967600997290619e-96,4.7589659219791611e-88,7.5719862954044515e-85
1.7042419676596893e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999922,6.8585001306953666e-16,2.2090238018095315e-18,1.4779369575410889e-28,2.2090238018112721e-18,1.0682466116924807e-28,3.2057357115661171e-29,1.3251995442738445e-55,3.806001527330205e-48,3.9447019473614304e-58,1.0734105046889909e-84,1.2141676441725797e-87,8.859049237258554e-96,8.4372298892178466e-98,1.9017459146332629e-98,8.8717153109428239e-66,3.6847181531532504e-67,2.4390773206435888e-94,4.9812472400858271e-86,7.9256575063119872e-83
3.895410211793576e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999833,1.5676571727299946e-15,5.049197261463599e-18,7.1156302525309693e-28,5.0491972614719822e-18,5.143147594203609e-28,1.5434237499226892e-28,2.9564472815675014e-54,3.73675489232113e-47,7.7940663564231187e-57,9.7124443588090688e-83,1.3232592899930801e-85,1.926057477795645e-93,1.8343524921469044e-95,4.1346181097051988e-96,3.9784495168147991e-64,1.6523822752348291e-65,4.4151758960763426e-92,4.4747308872060898e-84,7.1197396232143197e-81
8.277746700061349e-18,0.1122453720000002,0.0,0.0,0.0,0.0,0.99999999999999656,3.331271492049638e-15,1.072954418139849e-17,3.1075826756227731e-27,1.0729544181435098e-17,2.2461476771148385e-27,6.7405370100694648e-28,5.5370985523073334e-53,3.3051174263477313e-46,1.3869124814474185e-55,7.3586501617147114e-81,1.0825082569105115e-83,3.1560238858268967e-91,3.005767631553146e-93,6.7749798988806233e-94,1.4967921401891716e-62,6.2166750847957876e-64,6.6961255257048223e-90,3.3742773107100304e-82,5.3688087632586929e-79
1.7042419676596892e-17,0.11224537200000038,0.0,0.0,0.0,0.0,0.99999999999999323,6.858500130683838e-15,2.2090238023775303e-17,1.2973545941842424e-26,2.2090238023928129e-17,9.3772243980821314e-27,2.8140415143308022e-27,9.5639607363977449e-52,2.7781504148224317e-45,2.3392306721624439e-54,5.115766567614621e-79,7.7908904906517108e-82,4.5466300974178885e-89,4.3301993032238077e-91,9.7602399137122539e-92,5.1829159477974599e-61,2.1526371979566258e-62,9.3148339353861617e-88,2.3395641112203919e-80,3.7224773220385947e-77
3.457176562966798e-17,0.11224537200000077,0.0,0.0,0.0,0.0,0.99999999999998612,1.3912957407931877e-14,4.4811625718557034e-17,5.3001168336150823e-26,4.4811625719181362e-17,3.8309021388804699e-26,1.1496277788145731e-26,1.5890663693158086e-50,2.2776956731451188e-44,3.8421935898839222e-53,3.4108711767756949e-77,5.2809191862991237e-80,6.1663000674705367e-87,5.8728539446560837e-89,1.3237373023491486e-89,1.7243887705796115e-59,7.1619594812245467e-61,1.2424194392738372e-85,1.5577185763962209e-78,2.4784833335367558e-75
6.963045753581017e-17,0.11224537200000156,0.0,0.0,0.0,0.0,0.99999999999997191,2.8021871962346524e-14,9.025440114823297e-17,2.1423919657182756e-25,9.0254401150756561e-17,1.5485118961719892e-25,4.6469792940358168e-26,2.5905792052733318e-49,1.8445371944748655e-43,6.2283619854680375e-52,2.2278379579442637e-75,3.4771942296516949e-78,8.1218922820968416e-85,7.7356058777699056e-87,1.7436003257763489e-87,5.6258273988865034e-58,2.3365930213734128e-59,1.623198889758963e-83,1.0167250037450991e-76,1.6177086046601084e-73
1.3974784134809453e-16,0.11224537200000319,0.0,0.0,0.0,0.0,0.99999999999994327,5.6239701070850058e-14,1.8113995216803454e-16,8.6144638682808743e-25,1.8113995217818181e-16,6.226498234761603e-25,1.8685299379042304e-25,4.1837922188785167e-48,1.4846443032120079e-42,1.0030586916234763e-50,1.4403578627848767e-73,2.2570763662265512e-76,1.0544537998679512e-82,1.0043608885774362e-84,2.2638226389829351e-85,1.8177056312476666e-56,7.5495352937939214e-58,2.0990191313139282e-81,6.571098938842836e-75,1.0455248826386201e-71
2.799826089726633e-16,0.1122453720000064,0.0,0.0,0.0,0.0,0.99999999999988642,1.1267535928655423e-13,3.6291105484943685e-16,3.4547853024535764e-24,3.6291105489013191e-16,2.4971042841177898e-24,7.4936407869159044e-25,6.7253234219818012e-47,1.191334031930116e-41,1.6101319695486742e-49,9.2651143917259154e-72,1.4547448534630134e-74,1.3591645333201578e-80,1.2947458218313686e-82,2.9183483075956379e-83,5.8447206134195736e-55,2.4275065729638307e-56,2.7004788448630229e-79,4.2261277454400035e-73,6.7241615383701894e-70
5.604521442218007e-16,0.11224537200001272,0.0,0.0,0.0,0.0,0.99999999999977318,2.2554667571275091e-13,7.264532627794382e-16,1.3837161273943161e-23,7.2645326294243097e-16,1.0001442003615997e-23,3.0013649894459023e-24,1.0785586948910502e-45,9.5451771887075198e-41,2.5804114960153946e-48,5.9447057597811679e-70,9.3431868578434355e-73,1.7455080249082654e-78,1.6631630007252594e-80,3.7487581225870923e-81,1.8748130943168247e-53,7.7867210935869404e-55,3.4654322909776678e-77,2.7113485356550563e-71,4.3139903329608137e-68
