Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535)
6.574256118896928e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999978,2.6457238647046359e-16,8.5214943189895267e-19,2.8547347413875364e-29,8.5214943189928904e-19,2.0633902543448939e-29,6.1920943655218234e-30,5.7368067299027108e-57,4.03985012514252e-49,2.4002117318038986e-59,1.5074287218917799e-86,2.498627922442289e-89,1.0861647342604609e-97,1.034446789303339e-99,2.3316360345606885e-100,2.2645957537597037e-67,9.4056187398203967e-69,2.0526781749464317e-96,7.557061610068056e-88,1.2024033792635674e-84,6.6664638985167348e-98,1.2992797835861231e-113,-2.5825222628538707e-184,-3.1868361916887675e-155
1.8407917132911397e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999922,7.4080268211720528e-16,2.3860184093627675e-18,1.7242597837979117e-28,2.386018409364799e-18,1.2462877136442349e-28,3.7400249968363767e-29,1.8037438240254864e-55,4.796110084521906e-48,5.3691776526365272e-58,1.7045361259016087e-84,1.9280532492714822e-87,1.5195003907793567e-95,1.4471503236820595e-97,3.2618670488465598e-98,1.3042912209928111e-65,5.4171548234239962e-67,4.1834957472802342e-94,7.910036140718888e-86,1.2585650576379053e-82,1.2626776978815662e-95,4.7747324848311276e-111,5.0353601022423497e-181,5.9513616311906885e-152
4.207523916094034e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999833,1.6932632734103175e-15,5.4537563644732041e-18,8.3015686279525571e-28,5.4537563644829824e-18,6.0003388599337406e-28,1.8006610415855431e-28,4.0240532437952209e-54,4.708849353524278e-47,1.0608590327725069e-56,1.5423001930685652e-82,2.1012867420929786e-85,3.3035651894658738e-93,3.1462741175530414e-95,7.091680579486754e-96,5.8489892830436838e-64,2.4292795919650353e-65,7.572892190258974e-92,7.1057069476983722e-84,1.1305882826235762e-80,2.2692150816493052e-93,1.7285375831287206e-108,8.4391782819737824e-177,2.4773444694514161e-148
8.94098832169982e-18,0.1122453720000002,0.0,0.0,0.0,0.0,0.99999999999999645,3.5981844559950577e-15,1.1589232275425292e-17,3.6255131215596902e-27,1.1589232275467998e-17,2.6205056233267652e-27,7.8639598451612909e-28,7.5366063607540977e-53,4.1649239836457777e-46,1.8877419921231367e-55,1.1685263929121296e-80,1.7189830179375718e-83,5.4131965131208781e-91,5.1554807161839818e-93,1.1620418642591082e-93,2.2005359496747462e-62,9.1395569517447814e-64,1.1485167960677253e-89,5.3582274436917787e-82,8.5254694692346225e-79,3.4259602163303516e-91,5.2455527696153768e-106,1.0106598896156837e-172,7.0124016833348301e-145
1.8407917132911397e-17,0.11224537200000043,0.0,0.0,0.0,0.0,0.99999999999999256,7.4080268211585988e-15,2.386018410025433e-17,1.513580359881438e-26,2.3860184100432619e-17,1.0940095131315375e-26,3.2830484334533899e-27,1.3017613217240189e-51,3.5008696586369958e-45,3.183952871408173e-54,8.123647858085607e-79,1.2371645532619512e-81,7.7983528656801667e-89,7.4271406606329909e-91,1.6740724766594228e-91,7.6197573182869654e-61,3.164738383700388e-62,1.5976766272885858e-87,3.7151412259891052e-80,5.9111561150310521e-77,4.7535890228920035e-89,1.459783571504484e-103,9.9841734645445479e-169,1.6767455420233418e-141
3.734177475533455e-17,0.11224537200000086,0.0,0.0,0.0,0.0,0.9999999999999849,1.5027711551461933e-14,4.8402087761611872e-17,6.1834696392161416e-26,4.840208776234025e-17,4.4693858288738891e-26,1.3412324086723059e-26,2.1628958891396699e-50,2.870224615355193e-44,5.2296524264143153e-53,5.4163371294276372e-77,8.3859040587630962e-80,1.0576388883217965e-86,1.0073095768550566e-88,2.2704689652240896e-89,2.5351412369736747e-59,1.0529283837231276e-60,2.130992908757516e-85,2.4735994977770155e-78,3.9357397342068051e-75,6.3319422173852631e-87,3.8946790160064723e-101,8.972055576084132e-165,3.7045199219534156e-138
7.520949000018086e-17,0.1122453720000017,0.0,0.0,0.0,0.0,0.99999999999996969,3.0267081011973598e-14,9.7485895131124812e-17,2.499457293336813e-25,9.7485895134069013e-17,1.8065972123464294e-25,5.4214758434896551e-26,3.5260661325862056e-49,2.3243825610734663e-43,8.4774928335507034e-52,3.5377242032819186e-75,5.5216556266583549e-78,1.393057279311257e-84,1.3268080459222991e-86,2.9906163493235435e-87,8.2709115593826912e-58,3.4351843461285279e-59,2.7841043355181682e-83,1.6145217700922075e-76,2.5688613441483746e-73,8.2669972722006835e-85,1.017737370352382e-98,7.6956351363380945e-161,7.8769881728068407e-135
1.5094492048987345e-16,0.11224537200000344,0.0,0.0,0.0,0.0,0.99999999999993883,6.0745819932616904e-14,1.9565351005734207e-16,1.0050207846318248e-24,1.9565351006918056e-16,7.2642479417285347e-25,2.1799515945820868e-25,5.6946060500912038e-48,1.8708657074612837e-42,1.3652743726278467e-50,2.2872349896296039e-73,3.584153642015747e-76,1.8085781926546158e-82,1.7226757970430908e-84,3.8828995761786262e-85,2.6723326931820465e-56,1.1099085355192803e-57,3.6002293873115711e-81,1.0434663305679007e-74,1.6602547841312296e-71,1.0686744598267353e-82,2.6322418228659568e-96,6.4502978107678781e-157,1.6436060028480031e-131
3.0241578146925862e-16,0.11224537200000692,0.0,0.0,0.0,0.0,0.99999999999987732,1.2170329777238339e-13,3.9198874065854218e-16,4.0305828528549301e-24,3.9198874070601978e-16,2.9132883324122795e-24,8.7425809209612197e-25,9.1539123531457077e-47,1.5012525581616238e-41,2.1915686503245452e-49,1.4712659147844049e-71,2.3100809067294425e-74,2.3311903565956755e-80,2.2207428588238876e-82,5.0055393522741642e-83,8.5927213081734293e-55,3.5688425107871522e-56,4.6318508583437855e-79,6.7109363529209146e-73,1.0677719398183255e-69,1.3746627954893344e-80,6.7731065834085769e-94,5.3447871633429915e-153,3.3975909647867419e-128
6.053575034280291e-16,0.11224537200001379,0.0,0.0,0.0,0.0,0.99999999999975464,2.4361825344583604e-13,7.8465920485600504e-16,1.6143354819539666e-23,7.8465920504616331e-16,1.1668349011762323e-23,3.5015924900045373e-24,1.4680381971928962e-45,1.2028299545201122e-40,3.5122271954118577e-48,9.439973402360844e-70,1.4836634160617011e-72,2.9937773542702324e-78,2.8526504816040458e-80,6.4298548337795729e-81,2.7562902231483026e-53,1.1447788128355497e-54,5.94389637483901e-77,4.3055236439397928e-71,6.8504567664632917e-68,1.7639083758634105e-78,1.7383549108013912e-91,4.4034395222675813e-149,6.9906902459077188e-125
1.21124094734557e-15,0.11224537200002754,0.0,0.0,0.0,0.0,0.99999999999950939,4.8744816476842e-13,1.5700001452311809e-15,6.4615490071713201e-23,1.57000014599231e-15,4.6703805049300502e-23,1.4015495498491159e-23,2.3515940450419158e-44,9.6299700590752951e-40,5.6241490487889281e-47,6.0492390672817064e-68,9.5121528588780075e-71,3.8369134746221234e-76,3.6578681348653238e-78,8.2448099176373331e-79,8.8307330875178359e-52,3.6676962345363539e-53,7.6178925091313051e-75,2.758924872102708e-69,4.3896486527957473e-66,2.2605873460640963e-76,4.4558853718535854e-89,3.6174648292004955e-145,1.4350221719498154e-121
2.423007835180652e-15,0.11224537200005509,0.0,0.0,0.0,0.0,0.99999999999901867,9.7510798731630282e-13,3.1406820739025316e-15,2.5854612583407628e-22,3.1406820769480431e-15,1.8687605797855583e-22,5.6080239023259133e-23,3.7647368788101048e-43,7.7069295248635605e-39,9.0023314072189106e-46,3.8739717422294903e-66,6.0931250691123398e-69,4.9106917783635171e-74,4.6862164322276062e-76,1.0562699878431295e-76,2.8275314811651026e-50,1.1743673694637512e-51,9.7571404034337611e-73,1.7668192487647762e-67,2.8110895355368746e-64,2.8953427734830977e-74,1.1414390393218061e-86,2.9674225833359111e-141,2.9423353419032873e-118
4.8465416108508154e-15,0.11224537200011016,0.0,0.0,0.0,0.0,0.99999999999803713,1.9504276320229254e-12,6.2820461229292112e-15,1.0343528582532632e-21,6.2820461351132784e-15,7.4762594436439394e-22,2.2435748136089875e-22,6.0253243199229893e-42,6.1667573530404255e-38,1.4406757881075461e-44,2.4801378467345845e-64,3.9013065769873171e-67,6.2759318111192285e-72,6.0010030037108493e-74,1.3526219554623891e-74,9.0508103325549921e-49,3.7590996753658103e-50,1.2493189498360166e-70,1.1311467349434056e-65,1.799644996215643e-62,3.7072045866336262e-72,2.9230351723524749e-84,2.4322605455047753e-137,6.029382170964977e-115
9.693609162191141e-15,0.11224537200022038,0.0,0.0,0.0,0.0,0.9999999999960737,3.9010669198796013e-12,1.2564774987718399e-14,4.1377481655686576e-21,1.2564775036458926e-14,2.9907473761302544e-21,8.9750302924399522e-22,9.641901359955088e-41,4.9339427727767935e-37,2.3053467183305114e-43,1.5875542742123135e-62,2.4973756892125921e-65,8.003058613637251e-70,7.6829570614757528e-72,1.7317331708665607e-72,2.8966888279421712e-47,1.2030894645405346e-48,1.5994018052222714e-68,7.240920725902302e-64,1.1519466667847492e-60,4.7460172805256935e-70,7.4842565244342905e-82,1.9925851059235104e-133,1.2351677936368018e-111
1.9387744264871796e-14,0.11224537200044073,0.0,0.0,0.0,0.0,0.99999999999214739,7.8023454893666788e-12,2.5130235784239327e-14,1.6551666141300949e-20,2.5130235979211702e-14,1.1963477970717454e-20,3.5901587142847645e-21,1.5428103322629417e-39,3.9474511395952679e-36,3.6888414237323079e-42,1.0161343511089983e-60,1.5984849875545254e-63,1.0164309790485802e-67,9.835206436040727e-70,2.2168484914405059e-70,9.2700653713186332e-46,3.8501555851908173e-47,2.0474460406560744e-66,4.6351532572044094e-62,7.3729968654530635e-59,6.075537020972566e-68,1.9161695144730421e-79,1.63157978743528e-129,2.529957486727011e-108
3.8776014470233105e-14,0.11224537200088143,0.0,0.0,0.0,0.0,0.99999999998429479,1.5604902603435739e-11,5.0261169645045216e-14,6.6208011466718945e-20,5.0261170424969179e-14,4.7854898844739239e-20,1.4360931133012345e-20,2.4685670580882276e-38,3.158211130449403e-35,5.9026133717605799e-41,6.5037638540821196e-59,1.023073980175015e-61,1.280914920636455e-65,1.258960702067346e-67,2.8376879266511824e-68,2.9665099523352204e-44,1.2320833820613234e-45,2.6209602462841261e-64,2.967392594672096e-60,4.7188668856704662e-57,7.7774157719324601e-66,4.9058297784605557e-77,1.3350135420584231e-125,5.181592625861076e-105
