Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12)
4.1206362078247544e-19,0.11224537199999998,0.0,0.0,0.0,0.0,0.99999999999999989,1.658295192267375e-16,5.3411282767928245e-19,1.1215037815852161e-29,5.3411282767941457e-19,8.1061844022233914e-30,2.4326099062209953e-30
1.1537781381909313e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999956,4.6432265383482852e-16,1.4955159175199445e-18,6.7738828407743113e-29,1.4955159175207428e-18,4.8961353789919762e-29,1.4692963833725507e-29
2.637207173007843e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.999999999999999,1.061308923050865e-15,3.4183220972730852e-18,3.2613329968492173e-28,3.4183220972769271e-18,2.3572784242401357e-28,7.0740296075166926e-29
5.604065242641666e-18,0.11224537200000013,0.0,0.0,0.0,0.0,0.99999999999999778,2.255281461482354e-15,7.2639344570666301e-18,1.4243098026126131e-27,7.2639344570834072e-18,1.0294854191583961e-27,3.0894145811342374e-28
1.1537781381909312e-17,0.11224537200000026,0.0,0.0,0.0,0.0,0.99999999999999545,4.643226538343001e-15,1.495515917780277e-17,5.9462130499593154e-27,1.4955159177872818e-17,4.2978989707430721e-27,1.2897697724885889e-27
2.3405213660444606e-17,0.11224537200000054,0.0,0.0,0.0,0.0,0.99999999999999056,9.4191166920549611e-15,3.0337608623871282e-17,2.4292220510601838e-26,3.0337608624157441e-17,1.7558319668385108e-26,5.2691303630507652e-27
4.714007821751519e-17,0.11224537200000106,0.0,0.0,0.0,0.0,0.99999999999998113,1.8970896999441565e-14,6.1102507534393178e-17,9.8193039295554117e-26,6.1102507535549883e-17,7.0973535457632217e-26,2.1298667396360432e-26
9.460980733165636e-17,0.11224537200000217,0.0,0.0,0.0,0.0,0.99999999999996148,3.8074457614065454e-14,1.2263230542897638e-16,3.9482989231909325e-25,1.2263230543362746e-16,2.8538146474055695e-25,8.5641004911224371e-26
1.8954926555993872e-16,0.11224537200000431,0.0,0.0,0.0,0.0,0.99999999999992317,7.6281578842716084e-14,2.4569190151230099e-16,1.5834444601724389e-24,2.4569190153095366e-16,1.1445073151527569e-24,3.4345873404995809e-25
3.794281820165034e-16,0.11224537200000863,0.0,0.0,0.0,0.0,0.99999999999984635,1.5269582129762865e-13,4.9181109485558205e-16,6.3420370430380218e-24,4.9181109493029023e-16,4.5839989915915802e-24,1.3756264112916678e-24
7.591860149296328e-16,0.11224537200001723,0.0,0.0,0.0,0.0,0.9999999999996928,3.0552430619789904e-13,9.8404948624867272e-16,2.5384675996875346e-23,9.8404948654770011e-16,1.8347942312759105e-23,5.5060906618578064e-24
1.5187016807558915e-15,0.11224537200003455,0.0,0.0,0.0,0.0,0.99999999999938471,6.1118127596021993e-13,1.9685262878609649e-15,1.0157176905273915e-22,1.9685262890574646e-15,7.3415669354911051e-23,2.2031534909126925e-23
3.037733012408409e-15,0.11224537200006908,0.0,0.0,0.0,0.0,0.99999999999876954,1.2224952153319851e-12,3.9374799663899952e-15,4.0635321572334077e-22,3.9374799711767827e-15,2.9371048925174188e-22,8.8140487682660449e-23
6.075795675713444e-15,0.11224537200013808,0.0,0.0,0.0,0.0,0.99999999999753941,2.4451230934640059e-12,7.8753876246658149e-15,1.6255451510289781e-21,7.8753876438145929e-15,1.1749376260015823e-21,3.5259066070129329e-22
1.2151921002323514e-14,0.11224537200027623,0.0,0.0,0.0,0.0,0.99999999999507816,4.8903788472820074e-12,1.5751204146088274e-14,6.5024451873294834e-21,1.5751204222687084e-14,4.6999421569745022e-21,1.4104201594695068e-21
2.4304171655543653e-14,0.11224537200055248,0.0,0.0,0.0,0.0,0.99999999999015599,9.7808903451338557e-12,3.1502842008415011e-14,2.6010309905339388e-20,3.1502842314821063e-14,1.8800154406000825e-20,5.6417964306874145e-21
4.8608672961983934e-14,0.11224537200110497,0.0,0.0,0.0,0.0,0.99999999998031186,1.9561913301700933e-11,6.3006137010983628e-14,1.0404229778421061e-19,6.3006138236656936e-14,7.5201408909864788e-20,2.2567423369913878e-20
9.72176755748645e-14,0.11224537200220991,0.0,0.0,0.0,0.0,0.99999999996062372,3.912395905828862e-11,1.2601280412768456e-13,4.1617130620308585e-19,1.2601280903069591e-13,3.0080737600057962e-19,9.0270217252098499e-20
1.944356808006256e-13,0.1122453720044198,0.0,0.0,0.0,0.0,0.99999999992124788,7.8248049945277996e-11,2.5202644680656616e-13,1.6646894448031856e-18,2.5202646642100666e-13,1.2032342469891147e-18,3.6108230436476856e-19
3.8887169125214786e-13,0.11224537200883956,0.0,0.0,0.0,0.0,0.99999999984249566,1.5649622921451209e-10,5.0405496594004656e-13,6.6587661379953534e-18,5.0405504441667116e-13,4.8129565719514571e-18,1.444335190663436e-18
7.777437121551923e-13,0.11224537201767913,0.0,0.0,0.0,0.0,0.99999999968499131,3.1299257773399603e-10,1.0081169392602658e-12,2.6635080619888654e-17,1.0081172533170659e-12,1.9251946239161507e-17,5.7773775292052254e-18
1e-12,0.11224537203535827,0.0,0.0,0.0,0.0,0.99999999959497077,4.0243663944041369e-10,1.2962146440924385e-12,4.9469647610690646e-17,1.2962152277369875e-12,3.5757113209536494e-17,1.0730467129603675e-17
1.5554877539612813e-12,0.11224537203535827,0.0,0.0,0.0,0.0,0.9999999993699823,6.2598523469698368e-10,2.0162606257168745e-12,1.0654034941804794e-16,2.016261883145256e-12,7.7008671114109241e-17,2.3109782214638023e-17
2.3332317957673705e-12,0.11224537205303746,0.0,0.0,0.0,0.0,0.99999999905497283,9.3897785155928192e-10,3.024424051513394e-12,2.263982536817415e-16,3.024426725312381e-12,1.6364470698707968e-16,4.9108680652674672e-17
3.888719879379549e-12,0.11224537208839581,0.0,0.0,0.0,0.0,0.99999999842495402,1.5649629249793706e-09,5.040829857609091e-12,6.2592456771540299e-16,5.0408372624486972e-12,4.524385462415849e-16,1.3577384258186738e-16
5.288659154630509e-12,0.1122453721202183,0.0,0.0,0.0,0.0,0.99999999785793714,2.1283493614718435e-09,6.8556588564909671e-12,1.1145861573888587e-15,6.855672057154519e-12,8.0566967703892775e-16,2.417762665683524e-16
6.6885984298814685e-12,0.1122453721520408,0.0,0.0,0.0,0.0,0.99999999729091948,2.6917356608377054e-09,8.6705553555670611e-12,1.7398846235650762e-15,8.6705759853573721e-12,1.2576785325770017e-15,3.7742132563890691e-16
8.088537705132428e-12,0.11224537218386332,0.0,0.0,0.0,0.0,0.99999999672390227,3.2551218306548867e-09,1.0485515613411844e-11,2.4942510771893099e-15,1.0485545219646513e-11,1.8029966420502883e-15,5.410679861212017e-16
1e-11,0.1122453722475084,0.0,0.0,0.0,0.0,0.99999999594970201,4.0243631951145656e-09,1.2963721435179517e-11,3.6826907305139426e-15,1.296376520412462e-11,2.6621137817846155e-15,7.9888394397667441e-16
1.088841625563435e-11,0.1122453722475084,0.0,0.0,0.0,0.0,0.99999999558986674,4.3818938746246491e-09,1.4115581522528892e-11,4.2973210931251932e-15,1.411563262324677e-11,3.1064322124709919e-15,9.3222130696951486e-16
1.368829480613627e-11,0.11224537231115352,0.0,0.0,0.0,0.0,0.9999999944558301,5.5086654396292288e-09,1.7745883090626872e-11,6.5774787277533549e-15,1.7745961443189386e-11,4.7548039435931146e-15,1.4268882984594033e-15
1.648817335663819e-11,0.1122453723747987,0.0,0.0,0.0,0.0,0.99999999332179268,6.6354364932657726e-09,2.1376436286536313e-11,9.3670835769449012e-15,2.1376548069900658e-11,6.7715303895483911e-15,2.0320969189057164e-15
2.2087930457642028e-11,0.11224537250208912,0.0,0.0,0.0,0.0,0.99999999105371418,8.8889770376763584e-09,2.863831164053622e-11,1.6503340736322123e-14,2.8638509370050582e-11,1.193094714660153e-14,3.5804120212615753e-15
2.7687687558645868e-11,0.11224537262937977,0.0,0.0,0.0,0.0,0.99999998878563201,1.1142515504735991e-08,3.5901208985220932e-11,2.5709188172898626e-14,3.5901518218065577e-11,1.8587105688607337e-14,5.5778951798364071e-15
