Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25)
4.648704595723506e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999978,1.870809285886691e-16,6.025605346950961e-19,1.4273684492902629e-29,6.0256053469526443e-19,1.031696196647985e-29,3.0960489715582074e-30,1.434204253222737e-57,1.4283059905180082e-49,6.0005425590716179e-60
1.3016372868025816e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999944,5.238266000482273e-16,1.6871694971691199e-18,8.6213054337126264e-29,1.6871694971701358e-18,6.231445027824257e-29,1.8700135788427952e-29,4.5093676435719666e-56,1.6956848759311663e-48,1.342297371309987e-58
2.9751709412630437e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999889,1.1973179429671582e-15,3.8563874222085708e-18,4.1507874505352409e-28,3.8563874222134603e-18,3.0001725399579806e-28,9.0033104096158256e-29,1.0060151146671341e-54,1.6648334744623589e-47,2.6521534216182003e-57
6.322238250183968e-18,0.11224537200000013,0.0,0.0,0.0,0.0,0.99999999999999756,2.5443006288042776e-15,8.194823272653078e-18,1.8127579305977582e-27,8.1948232726744327e-18,1.3102541698521013e-27,3.9319821942142989e-28,1.8841549696019662e-53,1.4725263686417155e-46,4.7193653535703488e-56
1.3016372868025817e-17,0.1122453720000003,0.0,0.0,0.0,0.0,0.99999999999999467,5.2382660004755456e-15,1.6871694975004523e-17,7.5679075181290805e-27,1.6871694975093674e-17,5.4700532356100567e-27,1.6415251650219988e-27,3.2544091457212669e-52,1.237747162934784e-45,7.9598996133863106e-55
2.6404642103709516e-17,0.1122453720000006,0.0,0.0,0.0,0.0,0.99999999999998934,1.0626196743806208e-14,3.4225438385557163e-17,3.0917371558939956e-26,3.4225438385921358e-17,2.2346952306192008e-26,6.7061659169094915e-27,5.4072494427807247e-51,1.0147799445999984e-44,1.3074159501994262e-53
5.3181180575076906e-17,0.1122453720000012,0.0,0.0,0.0,0.0,0.99999999999997857,2.1402058230420033e-14,6.8932925230061357e-17,1.24972959103369e-25,6.8932925231533519e-17,9.032995422669716e-26,2.7107394870519928e-26,8.8151812241616075e-50,8.2179517207409478e-44,2.1193777528611028e-52
1.067342575178117e-16,0.11224537200000244,0.0,0.0,0.0,0.0,0.99999999999995659,4.2953781203457656e-14,1.3834789901266547e-16,5.0251077204197152e-25,1.3834789901858495e-16,3.6321277336968925e-25,1.0899764263380273e-25,1.4236540942992419e-48,6.6145235044880878e-43,3.4131930405651156e-51
2.1384041140328126e-16,0.11224537200000487,0.0,0.0,0.0,0.0,0.9999999999999134,8.6057227148772896e-14,2.7717784695225669e-16,2.0152929493062776e-24,2.7717784697599652e-16,1.4566456743405359e-24,4.3712929803837777e-25,2.2884822869680184e-47,5.3077401715424144e-42,5.4789323639705634e-50
4.2805271917422043e-16,0.1122453720000097,0.0,0.0,0.0,0.0,0.99999999999982692,1.7226411903636324e-13,5.5483774432897082e-16,8.0716835092882809e-24,5.5483774442405391e-16,5.8341805388371557e-24,1.7507972519896578e-24,3.6701023822509825e-46,4.2526537009852827e-41,8.7805830393439082e-49
8.564773347160988e-16,0.11224537200001947,0.0,0.0,0.0,0.0,0.99999999999965317,3.4467790279938306e-13,1.1101575450725252e-15,3.2307769450305651e-23,1.1101575454531057e-15,2.3351926612573907e-23,7.0077517615014683e-24,5.8789966471665718e-45,3.4047129317700915e-40,1.4060389810895318e-47
