Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32)
4.8118664055979705e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999978,1.9364715844323994e-16,6.2370940861825566e-19,1.5293233385252776e-29,6.2370940861843573e-19,1.1053887821232953e-29,3.3171953266709029e-30,1.6464079437313884e-57,1.5840398126373992e-49,6.8883779380513124e-60,2.1471871484127132e-87
1.3473225935674317e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999944,5.4221204364102233e-16,1.7463863441555988e-18,9.2371129646920566e-29,1.7463863441566866e-18,6.676548244102811e-29,2.003585977333222e-29,5.1765699988880635e-56,1.8805720701413961e-48,1.5409025948139748e-58,2.4422704590066788e-85
3.0795944995827012e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999867,1.2393418140363881e-15,3.9917402153282159e-18,4.4472722684305706e-28,3.9917402153334545e-18,3.2144705785317003e-28,9.6464040103189333e-29,1.1548642897469717e-54,1.8463568192875899e-47,3.0445638777467811e-57,2.2109781726857195e-83
6.5441383116132406e-18,0.11224537200000015,0.0,0.0,0.0,0.0,0.99999999999999734,2.6336013548263242e-15,8.4824479580651728e-18,1.9422406399261314e-27,8.4824479580880528e-18,1.4038437534176474e-27,4.2128380652439895e-28,2.1629330006324388e-53,1.6330817135421914e-46,5.4176388020890191e-56,1.6757247103960873e-81
1.3473225935674319e-17,0.1122453720000003,0.0,0.0,0.0,0.0,0.99999999999999456,5.4221204364030165e-15,1.7463863445105977e-17,8.1084723408522697e-27,1.7463863445201497e-17,5.8607713239072711e-27,1.7587769625356607e-27,3.7359288656171421e-52,1.372703608018743e-45,9.1376398739008168e-55,1.165195082240025e-79
2.7331401183796475e-17,0.11224537200000062,0.0,0.0,0.0,0.0,0.9999999999999889,1.0999158599543676e-14,3.5426694425455156e-17,3.3125755241718784e-26,3.5426694425845377e-17,2.3943163185528354e-26,7.185177768216436e-27,6.2073016541091058e-51,1.1254253977592753e-44,1.5008601507709403e-53,7.7695593856555605e-78
5.5047751680040787e-17,0.11224537200000123,0.0,0.0,0.0,0.0,0.99999999999997791,2.2153234925774109e-14,7.135235641122384e-17,1.3389959903930302e-25,7.1352356412801155e-17,9.6782093816931222e-26,2.9043637362074095e-26,1.0119468235026673e-49,9.1139873803955754e-44,2.4329591676588861e-52,5.0750050665443047e-76
1.1048045267252942e-16,0.11224537200000252,0.0,0.0,0.0,0.0,0.99999999999995515,4.4461387578031363e-14,1.4320368048304225e-16,5.3840439861622917e-25,1.432036804893846e-16,3.8915654291712573e-25,1.1678318854267835e-25,1.6342967896648955e-48,7.3357311067484895e-43,3.9182063372427891e-51,3.281211515275556e-74
2.2134585465750666e-16,0.112245372000005,0.0,0.0,0.0,0.0,0.99999999999991052,8.907769288173159e-14,2.8690632902780376e-16,2.1592424456839414e-24,2.8690632905323925e-16,1.5606917941050418e-24,4.683528193786798e-25,2.6270842507313238e-47,5.8864640930665906e-42,6.289590854738311e-50,2.1106686817559562e-72
4.4307665862746116e-16,0.1122453720000101,0.0,0.0,0.0,0.0,0.99999999999982037,1.7831030348587458e-13,5.7431162772182489e-16,8.6482323313694184e-24,5.7431162782369947e-16,6.2509077215347412e-24,1.8758541989757481e-24,4.2131277114143835e-46,4.7163374695833032e-41,1.007975135756968e-48,1.3542609100923807e-70
