Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28)
4.969674254148235e-19,0.11224537200000001,0.0,0.0,0.0,0.0,0.99999999999999978,1.9999792525094812e-16,6.4416430732062405e-19,1.6312782277602925e-29,6.4416430732081635e-19,1.1790813675986499e-29,3.5383416817837361e-30,1.8732463715132502e-57,1.7450552360870024e-49,7.8374433432253415e-60,2.6058899432280617e-87,4.6621819794323889e-90
1.3915087911615058e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999944,5.5999419070260172e-16,1.8036600605238624e-18,9.8529204956714778e-29,1.8036600605250234e-18,7.1216514603818896e-29,2.1371583758238118e-29,5.8897863097245163e-56,2.0717295814915491e-48,1.753204730317251e-58,2.9640117928576251e-85,3.5975484989638189e-88
3.1805915226548705e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999867,1.2799867216056969e-15,4.1226515670347984e-18,4.7437570863258958e-28,4.1226515670403867e-18,3.4287686171059397e-28,1.0289497611023635e-28,1.3139789251687668e-54,2.0340363987448937e-47,3.4640371241036869e-57,2.6833086213658072e-83,3.9207843539744916e-86
6.7587569856416e-18,0.11224537200000015,0.0,0.0,0.0,0.0,0.99999999999999722,2.7199717834110389e-15,8.7606345804745085e-18,2.0717233492545007e-27,8.7606345804989139e-18,1.4974333369836532e-27,4.4936939362750932e-28,2.4609371027369528e-53,1.7990821784016686e-46,6.1640690407272871e-56,2.0337091605075141e-81,3.2074450734625041e-84
1.3915087911615057e-17,0.1122453720000003,0.0,0.0,0.0,0.0,0.99999999999999445,5.5999419070183311e-15,1.8036600609025285e-17,8.6490371635754274e-27,1.8036600609127171e-17,6.2514894122083541e-27,1.876028760050511e-27,4.2506568419484693e-52,1.5122370047633917e-45,1.0396603602620225e-54,1.4141152773567228e-79,2.308421556794519e-82
2.822774976356197e-17,0.11224537200000062,0.0,0.0,0.0,0.0,0.99999999999998868,1.135988215421934e-14,3.6588532672812239e-17,3.5334138924497348e-26,3.6588532673228474e-17,2.553937406489643e-26,7.6641896195331295e-27,7.0625298796489245e-51,1.2398233128146172e-44,1.7076453313452552e-53,9.4293674965790041e-78,1.5647233551862521e-80
5.68530734674558e-17,0.11224537200000129,0.0,0.0,0.0,0.0,0.99999999999997713,2.2879762648567075e-14,7.3692396827127774e-17,1.4282623897523474e-25,7.3692396828810266e-17,1.032342334074221e-25,3.0979879853707167e-26,1.1513706073043197e-49,1.004041145580355e-43,2.7681668890561869e-52,6.1591765416504461e-76,1.0302841952895245e-78
1.1410372087524348e-16,0.11224537200000263,0.0,0.0,0.0,0.0,0.99999999999995359,4.5919523637045361e-14,1.4790012524272538e-16,5.7429802519046927e-25,1.4790012524949052e-16,4.1510031246662992e-25,1.2456873445218916e-25,1.8594665670869963e-48,8.0813979600864903e-43,4.458048144024182e-51,3.9821755450708934e-74,6.6876637496002707e-77
2.286050156908188e-16,0.11224537200000519,0.0,0.0,0.0,0.0,0.99999999999990752,9.199904561313338e-14,2.9631558250178693e-16,2.3031919420614686e-24,2.9631558252891817e-16,1.6647379138861399e-24,4.9957634072407961e-25,2.989038072834414e-47,6.4848150397961238e-42,7.156156849765273e-50,2.5615700879626938e-72,4.3103762540812829e-75
4.576076053219694e-16,0.11224537200001043,0.0,0.0,0.0,0.0,0.99999999999981448,1.8415808956183487e-13,5.9314649873137462e-16,9.2247811534494906e-24,5.93146498840041e-16,6.6676349043652825e-24,2.0009111460026857e-24,4.7936030593329457e-46,5.1957467689598045e-41,1.1468517561856075e-48,1.6435712148483424e-70,2.7683674819470188e-73
