Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(51),C3H6(18)
5.556264729153009e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999978,2.236044781100187e-16,7.2019758992505392e-19,2.0390977847003473e-29,7.2019758992529437e-19,1.4738517095004887e-29,4.4229271022363586e-30,2.926947455269077e-57,2.4387888331737818e-49,1.224600522597253e-59,5.4935613522166678e-87,9.1058241430150674e-90,3.3454130810083423e-98,3.1861201441652238e-100,7.18149823174071e-101,9.7649898724221154e-68
1.5557541241628426e-18,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999944,6.2609253870798608e-16,2.0165532518227955e-18,1.2316150619589137e-28,2.0165532518242464e-18,8.9020643255032028e-29,2.6714479697877047e-29,9.2027911076767362e-56,2.8953301108830703e-48,2.7393823923856661e-58,6.2118849217929691e-85,7.0264618674871045e-88,4.6800977861647159e-96,4.4572566162596444e-98,1.0046633387660046e-98,5.624134260296983e-66
3.556009426657926e-18,0.11224537200000008,0.0,0.0,0.0,0.0,0.99999999999999856,1.4310686599036555e-15,4.609264575748851e-18,5.9296963579071644e-28,4.6092645757558359e-18,4.2859607714077963e-28,1.2861872013857492e-28,2.0530920700077217e-54,2.8426522882628033e-47,5.4125580120949176e-57,5.6206443275914644e-83,7.6577818457232697e-86,1.0175063387885499e-93,9.6905973768976029e-96,2.1842556375284344e-96,2.5220978635598119e-64
7.556520031648093e-18,0.11224537200000019,0.0,0.0,0.0,0.0,0.99999999999999689,3.0410209022939342e-15,9.7946872241232604e-18,2.5896541865679431e-27,9.7946872241537656e-18,1.8717916712520082e-27,5.6171174204128112e-28,3.8452142208878872e-53,2.5142937857697992e-46,9.6313578975317897e-56,4.2584908333696224e-81,6.2645410032518904e-84,1.6672790707860105e-91,1.5879000388015039e-93,3.5791184699712714e-94,9.4887625028367178e-63
1.5557541241628426e-17,0.11224537200000036,0.0,0.0,0.0,0.0,0.99999999999999367,6.2609253870702501e-15,2.0165532522961269e-17,1.0811296454467761e-26,2.0165532523088627e-17,7.8143617654490751e-27,2.3450359501210927e-27,6.6416513081394674e-52,2.1134154729167128e-45,1.6244693203202654e-54,2.9605219082157383e-79,4.5086356291817506e-82,2.4019165442535003e-89,2.2875765822814218e-91,5.1561857731005321e-92,3.2856571860051228e-61
3.1559583661589095e-17,0.1122453720000007,0.0,0.0,0.0,0.0,0.99999999999998734,1.2700734356605917e-14,4.0907223128994061e-17,4.4167673655609223e-26,4.0907223129514352e-17,3.1924217582667091e-26,9.5802370248915608e-27,1.1035202912314988e-50,1.7327057712538087e-44,2.6681958548869939e-53,1.9738896797896442e-77,3.0560999997915326e-80,3.257568026297935e-87,3.1025369111853596e-89,6.9931021309945211e-90,1.0931588348243917e-59
6.356366850151043e-17,0.11224537200000143,0.0,0.0,0.0,0.0,0.99999999999997446,2.5580352295609392e-14,8.2390604374486669e-17,1.7853279871894265e-25,8.2390604376589748e-17,1.2904279177180213e-25,3.8724849820981878e-26,1.7990165658754246e-49,1.4031901855436488e-43,4.3252608446095908e-52,1.2892619259222984e-75,2.0122734196879933e-78,4.2906902147577805e-85,4.0865996412988036e-87,9.2111744238649537e-88,3.5664364299129821e-58
1.275718381813531e-16,0.11224537200000291,0.0,0.0,0.0,0.0,0.99999999999994815,5.1339588173344886e-14,1.6535736699918009e-16,7.1787253148727586e-25,1.6535736700763648e-16,5.1887539068409552e-25,1.5571091809620795e-25,2.9054164851041459e-48,1.1294097430503113e-42,6.9657004850111762e-51,8.3354291381322179e-74,1.3061838079388275e-76,5.5705705896775371e-83,5.3058815708715461e-85,1.1959429569389935e-85,1.1523161192246559e-56
2.5558817754103843e-16,0.1122453720000058,0.0,0.0,0.0,0.0,0.99999999999989664,1.0285805992773012e-13,3.3129089278339975e-16,2.8789899275703294e-24,3.3129089281731372e-16,2.0809223931665979e-24,6.2447042615362627e-25,4.6703719053013425e-47,9.0628052316498253e-42,1.1181495913701565e-49,5.3617719386535611e-72,8.4186969434394118e-75,7.1803983867428412e-81,6.8399398451416685e-83,1.5417188952880236e-83,3.7052015945988646e-55
5.116208562604091e-16,0.11224537200001163,0.0,0.0,0.0,0.0,0.99999999999979283,2.0589500343215748e-13,6.6315794649116995e-16,1.1530976441759736e-23,6.6315794662700283e-16,8.3345436369378282e-24,2.5011389344945973e-24,7.4900045123570437e-46,7.2612779785551038e-41,1.7919561371882438e-48,3.4402333901912391e-70,5.4069591628541646e-73,9.2216177788346336e-79,8.7862303957068765e-81,1.9804117719043633e-81,1.188518833366397e-53
1.0236862136991504e-15,0.11224537200002326,0.0,0.0,0.0,0.0,0.99999999999958544,4.1196889042363976e-13,1.3268920624640338e-15,4.6153956356933831e-23,1.3268920630077201e-15,3.3359895241101719e-23,1.0011073969667248e-23,1.1997951221798199e-44,5.8134460720878529e-40,2.8694686375423981e-47,2.2045392164008792e-68,3.4665426986630291e-71,1.1819612326185851e-76,1.1266320474644001e-78,2.5394227772417664e-79,3.8078330278030742e-52
2.047816928576633e-15,0.11224537200004654,0.0,0.0,0.0,0.0,0.99999999999917066,8.2411666433711464e-13,2.6543603286390559e-15,1.8467594372407951e-22,2.6543603308145115e-15,1.3348303620708743e-22,4.0057336510664746e-23,1.920787858014327e-43,4.6525373219846237e-39,4.5930315833717354e-46,1.411800782392436e-66,2.2205363589594281e-69,1.5129724713381371e-74,1.4433659657219386e-76,3.253339352780631e-77,1.2192383566483437e-50
