Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(51),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535),C5H7(809),C5H8(470),C7H9(588),C5H9(108)
7.02818073079283e-19,0.11224537200000002,0.0,0.0,0.0,0.0,0.99999999999999967,2.8283977833636169e-16,9.1098589981421871e-19,3.2625564555204836e-29,9.1098589981460274e-19,2.3581627352095231e-29,7.0766833636050227e-30,7.4929854846211146e-57,4.9357615670164305e-49,3.1349773392512332e-59,2.2501627258519332e-86,3.7297455635395353e-89,1.7332834262686885e-97,1.6507529690835913e-99,3.7207886056004047e-100,3.1620719945722841e-67,1.313313306186375e-68,3.2756287864402726e-96,1.1280550728368686e-87,1.7948466664593282e-84,1.0638224949845294e-97,2.2165231676500492e-113,-6.1516953360501724e-184,-6.6422930431897988e-155,-2.5861017882033777e-163,-4.2746127646076455e-140,0.0,-1.887958118331073e-126
1.9678906046219925e-18,0.11224537200000007,0.0,0.0,0.0,0.0,0.99999999999999922,7.9195137934170675e-16,2.5507605195320419e-18,1.9705840991341774e-28,2.550760519534363e-18,1.4243302920908884e-28,4.2743167516922039e-29,2.355914523066404e-55,5.8597361531981436e-48,7.0128189326331029e-58,2.5443880652133458e-84,2.8780387786584859e-87,2.4247930377247017e-95,2.3093384007009119e-97,5.2052368255270543e-98,1.8211915904655221e-65,7.564012222693231e-67,6.6759510708918071e-94,1.1807441685443757e-85,1.8786800978308493e-82,2.014958695454253e-95,8.1455166727960311e-111,1.1994475886873171e-180,1.2404367628551029e-151,8.6905146570177598e-160,4.1461073219951012e-137,4.4793528601852648e-220,1.3292662897186297e-123
4.498035667707412e-18,0.1122453720000001,0.0,0.0,0.0,0.0,0.99999999999999822,1.810174581351973e-15,5.8303097591766078e-18,9.4875141726506365e-28,5.8303097591877836e-18,6.8575372343543446e-28,2.0578995222484973e-28,5.2559156969832086e-54,5.753123744761885e-47,1.3856148547468538e-56,2.3022159196562398e-82,3.1366274403467735e-85,5.2717727761837512e-93,5.020771870798783e-95,1.1316793833142429e-95,8.1669874970253166e-64,3.3920205575298344e-65,1.2084692033908841e-91,1.060680622880147e-83,1.6876471282894565e-80,3.6211732182093451e-93,2.9488210592532818e-108,2.0102538292139514e-176,5.1635059691701224e-148,7.238138729966426e-156,8.560841442312285e-134,5.6168013336654125e-215,1.3243395864044373e-120
9.55832579387825e-18,0.11224537200000022,0.0,0.0,0.0,0.0,0.99999999999999611,3.8466209853708088e-15,1.2389408239301415e-17,4.1434466985079826e-27,1.2389408239350224e-17,2.9948666740933147e-27,8.987387872937325e-28,9.8437483970594158e-53,5.0885728739529085e-46,2.4656276355119976e-55,1.7442778505422365e-80,2.5659559898052702e-83,8.6382839964610481e-91,8.2270303179439454e-93,1.8543683760875406e-93,3.072624810164806e-62,1.2761629070693983e-63,1.8327834908755265e-89,7.9983147202462579e-82,1.2726103999668339e-78,5.4670866124157495e-91,8.9487186362815231e-106,2.4074415792690496e-172,1.4615883202580841e-144,4.0979044966406486e-152,1.2058195583177821e-130,7.1294273773753504e-210,9.2267461591915189e-118
1.9678906046219925e-17,0.11224537200000047,0.0,0.0,0.0,0.0,0.99999999999999212,7.9195137934016945e-15,2.550760520289374e-17,1.7298074327142314e-26,2.5507605203097504e-17,1.250297882547588e-26,3.7520575204264332e-27,1.7002627319705266e-51,4.2772522340080557e-45,4.1586415076253057e-54,1.2126297811900897e-78,1.8467371469387157e-81,1.2444467926975593e-88,1.1852107441224612e-90,2.6714588810168045e-91,1.0639524149160808e-60,4.41894695309841e-62,2.5495450833982912e-87,5.5456527987700257e-80,8.8236768347948272e-77,7.5856931532597055e-89,2.4903366803923505e-103,2.3782791368328456e-168,3.4948249397643633e-141,1.9597752307696758e-148,1.4376713612891082e-127,6.3985710646826059e-205,5.4746823396355374e-115
3.992006655090328e-17,0.1122453720000009,0.0,0.0,0.0,0.0,0.99999999999998401,1.6065299409436321e-14,5.1743999143449213e-17,7.066827784892481e-26,5.1743999144281665e-17,5.1078748138476594e-26,1.5328379241734181e-26,2.8250119358606202e-50,3.5067500053274314e-44,6.8305815469203713e-53,8.0850522319595729e-77,1.2517785511379905e-79,1.6877588433686512e-86,1.6074478543949846e-88,3.6231791391958291e-89,3.5398366735236441e-59,1.4702114695560515e-60,3.4006021103575803e-85,3.6923829774232827e-78,5.8749413531396403e-75,1.0104401258242225e-86,6.6441781046088364e-101,2.137187503307631e-164,7.7212955327776e-138,8.6598111572195025e-145,1.5857697459710894e-124,4.8845578747452666e-200,3.012852426876843e-112
8.040238756026998e-17,0.11224537200000183,0.0,0.0,0.0,0.0,0.99999999999996758,3.2356870641396993e-14,1.0421678707804341e-16,2.8565247794990368e-25,1.0421678708140833e-16,2.0646846688516742e-25,6.1959759729019874e-26,4.6054823770213372e-49,2.8398574020396631e-43,1.1072668279050229e-51,5.2808169853952379e-75,8.2422718141507827e-78,2.2230079580252292e-84,2.1172981884074732e-86,4.7723791488515163e-87,1.1548735669890497e-57,4.7965725844156716e-59,4.4428262058244306e-83,2.4100234972244343e-76,3.8345802179521403e-73,1.3192327945086144e-84,1.7362222583511968e-98,1.8331375994922214e-160,1.6417929403150694e-134,3.6827339186960723e-141,1.6843831107058888e-121,3.451019787137943e-195,1.5986744544313352e-109
1.613670295790034e-16,0.11224537200000366,0.0,0.0,0.0,0.0,0.99999999999993472,6.4940013104884046e-14,2.0916236316116491e-16,1.1485960503763864e-24,2.0916236317469515e-16,8.3020062549928204e-25,2.4913746907827862e-25,7.4378660997039879e-48,2.2857648289320094e-42,1.7832194911630255e-50,3.4141919528980633e-73,5.3501287325548725e-76,2.8860739704411275e-82,2.749017343211937e-84,6.196270846268135e-85,3.7313981187342719e-56,1.5497732585812961e-57,5.7451847154214892e-81,1.5575996561364822e-74,2.4782887387707889e-71,1.7053718159466293e-82,4.4905071146914777e-96,1.5364916836842424e-156,3.425751122698586e-131,1.5368782348222639e-137,1.7559697931730282e-118,2.3476221348798811e-190,8.3319410564579283e-107
3.2329631361647023e-16,0.11224537200000735,0.0,0.0,0.0,0.0,0.9999999999998691,1.3010629803012084e-13,4.1905351618314023e-16,4.6063838840864065e-24,4.1905351623740257e-16,3.3294758323142497e-24,9.9915268284359738e-25,1.1956151749075135e-46,1.8341831729743617e-41,2.8624634908958976e-49,2.1961820156125517e-71,3.4482980827217156e-74,3.7200104145547337e-80,3.5438244353767514e-82,7.9877619014684508e-83,1.1998080955906448e-54,4.9832003986373157e-56,7.3914288723063564e-79,1.0017528438557567e-72,1.5938801621935739e-69,2.1936626594960479e-80,1.15546694227067e-93,1.273152904434554e-152,7.0815606994740555e-128,6.3539400582401557e-134,1.8131397794689168e-115,1.5673932273242663e-185,4.3039211231684404e-104
6.471548816914038e-16,0.11224537200001473,0.0,0.0,0.0,0.0,0.99999999999973777,2.6043886787364546e-13,8.388358256500202e-16,1.8449562306606307e-23,8.3883582586735316e-16,1.333526984512159e-23,4.0018223031858575e-24,1.9174410497917569e-45,1.4695799068797389e-40,4.5874094337165414e-48,1.4091198915929883e-69,2.214690236261534e-72,4.7772549535195694e-78,4.5522120119932258e-80,1.026066224074464e-80,3.848628598630724e-53,1.598462850628386e-54,9.4851692950427789e-77,6.4269299448614421e-71,1.0225785729306331e-67,2.8148140635562326e-78,2.9655693656198635e-91,1.0489181238051605e-148,1.4570603700627151e-124,2.6146958347960609e-130,1.8621294776143946e-112,1.0367729018144533e-180,2.2133789319841713e-101
